source_headword	HI	example_HI
incur	उठाना	देरी के कारण अतिरिक्त लागत उठानी पड़ सकती है।
indicator	संकेतक	बेरोजगारी एक आर्थिक संकेतक है।
indictment	अभियोग	अभियोग में तीन आरोप सूचीबद्ध थे।
indigenous	स्वदेशी	यहाँ स्वदेशी पौधे अच्छी तरह उगते हैं।
induce	प्रेरित करना	दवा नींद प्रेरित कर सकती है।
indulge	शौक पूरा करना	वह महंगे शौक पूरे नहीं करती है।
inequality	असमानता	आय असमानता एक प्रमुख मुद्दा बनी हुई है।
infamous	कुख्यात	जेल दुनिया भर में कुख्यात हो गई।
infant	शिशु	शिशु पालने में सो गया।
infect	संक्रमित करना	वायरस स्वस्थ कोशिकाओं को संक्रमित कर सकता है।
inflict	पहुँचाना	जानवरों को दर्द न पहुँचाएँ।
influential	प्रभावशाली	वह एक प्रभावशाली कानूनी विद्वान हैं।
inherent	अंतर्निहित	डिज़ाइन में अंतर्निहित जोखिम हैं।
inhibit	बाधा डालना	डर ईमानदार चर्चा में बाधा डाल सकता है।
initiate	शुरू करना	प्रबंधक समीक्षा शुरू करेगा।
inject	इंजेक्ट करना	नर्स वैक्सीन का इंजेक्शन लगाएगी।
injection	इंजेक्शन	इंजेक्शन ने दर्द कम कर दिया।
injustice	अन्याय	फैसले ने स्पष्ट अन्याय को उजागर किया।
inmate	कैदी	कैदी ने कानूनी सलाह मांगी।
insertion	प्रविष्टि	फॉर्म में एक टेक्स्ट प्रविष्टि की आवश्यकता है।
insider	भेदिया	एक भेदिये ने रिपोर्ट लीक कर दी।
inspect	निरीक्षण करना	अधिकारी सालाना पुल का निरीक्षण करते हैं।
inspection	निरीक्षण	निरीक्षण में गंभीर क्षति पाई गई।
inspiration	प्रेरणा	उनके भाषण ने मुझे प्रेरणा दी।
instinct	प्रवृत्ति	उनकी पहली प्रवृत्ति मदद करने की थी।
institutional	संस्थागत	संस्थागत नियमों ने निर्णय को आकार दिया।
instruct	निर्देश देना	मैनुअल नए कर्मचारियों को निर्देश देगा।
instrumental	सहायक	उनकी सलाह बातचीत में सहायक थी।
insufficient	अपर्याप्त	सबूत आरोपों के लिए अपर्याप्त थे।
insult	अपमान	उनके अपमान ने बातचीत समाप्त कर दी।
intact	बरकरार	प्राचीन दीवार बरकरार रही।
intake	सेवन	चीनी का सेवन मध्यम रहना चाहिए।
integral	अभिन्न	विश्वास टीम का अभिन्न अंग है।
integrated	एकीकृत	स्कूल एकीकृत सहायता प्रदान करता है।
integration	एकीकरण	एकीकरण ने पूरी प्रणाली में सुधार किया।
integrity	सत्यनिष्ठा	न्यायाधीश ने महान सत्यनिष्ठा दिखाई।
intensify	तीव्र होना	तूफान रात भर में तीव्र हो सकता है।
intensity	तीव्रता	प्रशिक्षण की तीव्रता बढ़ गई।
intensive	गहन	उन्होंने गहन भाषा प्रशिक्षण पूरा किया।
intent	इरादा	उनका इरादा साबित करना मुश्किल था।
interactive	संवादात्मक	संग्रहालय में इंटरैक्टिव प्रदर्शन हैं।
interface	इंटरफ़ेस	इंटरफ़ेस नेविगेट करना आसान है।
interfere	दखल देना	जांच में दखल न दें।
interference	रुकावट	सिग्नल के हस्तक्षेप ने कॉल को बाधित कर दिया।
interim	अंतरिम	अंतरिम रिपोर्ट कल आएगी।
interior	आंतरिक	भीतरी दीवारों को पेंट की आवश्यकता है।
intermediate	मध्यवर्ती	वह मध्यवर्ती कक्षा में शामिल हुई।
intervene	हस्तक्षेप करना	पुलिस को जल्दी हस्तक्षेप करना पड़ा।
intervention	हस्तक्षेप	शुरुआती हस्तक्षेप ने मरीज की मदद की।
intimate	अंतरंग	उन्होंने एक अंतरंग पारिवारिक समारोह आयोजित किया।
intriguing	दिलचस्प	डेटा ने एक दिलचस्प पैटर्न का खुलासा किया।
investigator	जांचकर्ता	जांचकर्ता ने प्रत्येक गवाह का साक्षात्कार लिया।
invisible	अदृश्य	गैस अदृश्य और खतरनाक है।
invoke	आह्वान करना	वकील ने मिसाल का आह्वान करने की कोशिश की।
involvement	भागीदारी	उनकी भागीदारी अस्पष्ट रही।
ironic	विडंबनापूर्ण	विडंबनापूर्ण टिप्पणी ने सबको हंसा दिया।
ironically	विडंबना यह है कि	विडंबना यह है कि इस रास्ते में अधिक समय लगा।
irony	विडंबना	विडंबना सबको स्पष्ट थी।
irrelevant	अप्रासंगिक	वह विवरण यहाँ अप्रासंगिक है।
isolation	अलगाव	अलगाव मानसिक स्वास्थ्य को नुकसान पहुंचा सकता है।
judicial	न्यायिक	न्यायिक समीक्षा सोमवार को शुरू होती है।
junction	चौराहा	जंक्शन पर बाएँ मुड़ें।
jurisdiction	अधिकार क्षेत्र	अदालत का अधिकार क्षेत्र सीमित है।
just	न्यायपूर्ण	न्यायाधीश ने न्यायपूर्ण निर्णय लिया।
justification	औचित्य	हमें खर्च के लिए स्पष्ट औचित्य चाहिए।
kidnap	अपहरण करना	अपराधियों ने राजनयिक का अपहरण करने की कोशिश की।
kidney	गुर्दा	उनके गुर्दे की कार्यक्षमता में सुधार हुआ।
kingdom	राज्य	उनके शासन में राज्य का विस्तार हुआ।
lad	लड़का	युवा लड़के ने बैग उठाए।
landlord	मकान मालिक	मकान मालिक ने हीटिंग की मरम्मत की।
landmark	लैंडमार्क	टावर शहर का लैंडमार्क बन गया।
lap	गोद	बच्चा उसकी गोद में बैठ गया।
large-scale	बड़े पैमाने पर	शहर ने बड़े पैमाने पर मरम्मत की योजना बनाई।
laser	लेज़र	लेज़र ने दूरी मापी।
latter	बाद वाला	बाद वाला विकल्प अधिक सुरक्षित लगता है।
lawn	लॉन	बच्चे लॉन में खेले।
lawsuit	मुकदमा	कंपनी ने मुकदमा सुलझा लिया।
layout	खाका	पेज का लेआउट स्पष्ट दिखता है।
leak	रिसाव	पाइप के रिसाव ने रसोई में पानी भर दिया।
leap	छलांग	बिक्री ने अचानक छलांग लगाई।
legacy	विरासत	उनकी विरासत ने विश्वविद्यालय को आकार दिया।
legendary	प्रसिद्ध	दिग्गज गायक मंच पर लौट आए।
legislation	कानून	नया कानून किरायेदारों की रक्षा करता है।
legislative	विधायी	विधायी समिति की आज बैठक हुई।
legislature	विधायिका	विधायिका ने बजट को मंजूरी दे दी।
legitimate	वैध	उन्होंने वैध चिंताएं उठाईं।
lengthy	लंबा	लंबी बहस ने मतदान में देरी की।
lesbian	समलैंगिक	समलैंगिक कार्यकर्ता ने मंच पर बात की।
lesser	कम	कम जोखिम चुनें।
lethal	घातक	रसायन घातक हो सकता है।
liable	उत्तरदायी	ड्राइवर नुकसान के लिए उत्तरदायी हैं।
liberal	उदार	वह उदार सामाजिक नीतियों का समर्थन करते हैं।
liberation	मुक्ति	मुक्ति ने देश का भविष्य बदल दिया।
liberty	स्वतंत्रता	कानून व्यक्तिगत स्वतंत्रता की रक्षा करता है।
license	लाइसेंस देना	राज्य नए क्लीनिकों को लाइसेंस दे सकता है।
lifelong	आजीवन	उसने वहाँ आजीवन दोस्त बनाए।
likelihood	संभावना	बारिश की संभावना बढ़ गई।
limb	अंग	घायल अंग धीरे-धीरे ठीक हुआ।
linear	रैखिक	चार्ट एक रैखिक प्रवृत्ति दिखाता है।
line-up	सूची	त्योहार के लाइन-अप में स्थानीय बैंड शामिल हैं।
linger	ठहरे रहना	गंध घंटों तक ठहरी रह सकती है।
listing	सूची	अपार्टमेंट की सूची सटीक लग रही थी।
literacy	साक्षरता	वयस्क साक्षरता कार्यक्रमों का विस्तार हुआ।
liver	यकृत	यकृत हानिकारक पदार्थों को फिल्टर करता है।
lobby	लॉबी	दोपहर के बाद लॉबी में भीड़ थी।
log	लॉग	सिस्टम एक दैनिक लॉग रखता है।
logic	तर्क	उनके तर्क की लॉजिक विफल रही।
long-standing	लंबे समय से चला आ रहा	उन्होंने एक लंबे समय से चले आ रहे विवाद को सुलझाया।
long-time	लंबे समय से	वह लंबे समय से एक स्वयंसेवक हैं।
loom	मंडराना	घाटी पर काले बादल मंडरा रहे हैं।
loop	लूप	पगडंडी एक लूप बनाती है।
loyalty	वफादारी	उनकी वफादारी ने टीम को प्रभावित किया।
machinery	मशीनरी	कारखाने ने नई मशीनरी लगाई।
magical	जादुई	रात में बगीचा जादुई लग रहा था।
magistrate	मजिस्ट्रेट	मजिस्ट्रेट ने मामले की सुनवाई की।
magnetic	चुंबकीय	चुंबकीय क्षेत्र ने कंपास को प्रभावित किया।
magnitude	परिमाण	क्षति का परिमाण स्पष्ट था।
mainland	मुख्य भूमि	नौका द्वीपों को मुख्य भूमि से जोड़ती है।
mainstream	मुख्यधारा	यह विचार मुख्यधारा की राजनीति में प्रवेश कर गया।
maintenance	रखरखाव	नियमित रखरखाव खराबी को रोकता है।
mandate	जनादेश	राष्ट्रपति ने एक मजबूत जनादेश का दावा किया।
mandatory	अनिवार्य	प्रशिक्षुओं के लिए उपस्थिति अनिवार्य है।
manifest	प्रकट होना	लक्षण हफ्तों बाद प्रकट हो सकते हैं।
manipulate	हेरफेर करना	सर्वेक्षण के परिणामों में हेरफेर न करें।
manipulation	हेरफेर	डेटा हेरफेर का पता चल गया था।
manuscript	पांडुलिपि	प्रकाशक ने उनकी पांडुलिपि स्वीकार कर ली।
march	मार्च	प्रदर्शनकारी शहर के केंद्र तक मार्च करेंगे।
marginal	मामूली	परिवर्तन का मामूली लाभ हुआ।
marine	समुद्री	समुद्री जीवन को साफ पानी की जरूरत है।
marketplace	बाज़ार	ऑनलाइन बाज़ार का तेज़ी से विस्तार हुआ।
mask	मास्क	श्रमिकों को मास्क पहनना चाहिए।
massacre	नरसंहार	नरसंहार ने पूरे क्षेत्र को झकझोर कर रख दिया।
mathematical	गणितीय	गणितीय मॉडल ने मांग की भविष्यवाणी की।
mature	परिपक्व	परिपक्व पेड़ छाया प्रदान करते हैं।
maximize	अधिकतम करना	अपडेट बैटरी लाइफ को अधिकतम करेगा।
meaningful	सार्थक	उनके बीच एक सार्थक बातचीत हुई।
meantime	इस दौरान	इस दौरान, बाहर प्रतीक्षा करें।
medieval	मध्यकालीन	महल की दीवारें मध्यकालीन हैं।
meditation	ध्यान	दैनिक ध्यान उनके दिमाग को शांत करता है।
melody	धुन	धुन मेरे दिमाग में बस गई।
memo	ज्ञापन	ज्ञापन में नीति को समझाया गया था।
memoir	संस्मरण	उनका संस्मरण बचपन के निर्वासन का वर्णन करता है।
memorial	स्मारक	स्मारक स्थानीय सैनिकों का सम्मान करता है।
mentor	मार्गदर्शक	उनके मार्गदर्शक ने प्रस्ताव की समीक्षा की।
merchant	व्यापारी	व्यापारी ने रेशम और मसाले बेचे।
mercy	दया	न्यायाधीश ने दया दिखाई।
mere	महज़	महज़ एक नज़र ने त्रुटि को उजागर कर दिया।
merely	केवल	उसने केवल निर्देशों को दोहराया।
merge	विलय करना	दोनों कंपनियों का विलय होगा।
merger	विलय	विलय से एक बड़ा बैंक बना।
merit	योग्यता	प्रस्ताव में स्पष्ट योग्यता है।
methodology	कार्यप्रणाली	अध्ययन अपनी कार्यप्रणाली की व्याख्या करता है।
midst	बीच में	उन्होंने अराजकता के बीच काम किया।
migration	प्रवास	मौसमी प्रवास स्थानीय नौकरियों को प्रभावित करता है।
militant	आतंकवादी	आतंकवादी समूह ने बातचीत से इनकार कर दिया।
militia	लड़ाकू दल	लड़ाकू दल ने सड़क को नियंत्रित किया।
mill	चक्की	पुरानी चक्की एक संग्रहालय बन गई।
minimal	न्यूनतम	योजना के लिए न्यूनतम प्रयास की आवश्यकता है।
minimize	कम करना	हमें अनावश्यक जोखिम को कम करना चाहिए।
mining	खनन	खनन ने नदी घाटी को नुकसान पहुंचाया।
ministry	मंत्रालय	मंत्रालय ने नए नियमों की घोषणा की।
minute2	सूक्ष्म	शीशे में एक सूक्ष्म दरार दिखाई दी।
miracle	चमत्कार	उनका ठीक होना एक चमत्कार जैसा लगा।
