source_headword	KK	example_KK
clothes	киімдер	Менің киімдерім таза.
club	клуб; үйірме	Ол музыка клубына барады.
coat	пальто	Менің пальтом жылы.
coffee	кофе	Мен таңертең кофе ішемін.
cold	суық; тұмау	Су суық.
college	колледж	Менің әпкем колледжде оқиды.
colour	түс	Менің сүйікті түсім көк.
come	келу	Өтінемін, осында кел.
common	жалпы; жиі кездесетін	Бұл есім жиі кездеседі.
company	компания	Анам бір компанияда жұмыс істейді.
compare	салыстыру	Мына екі суретті салыстыр.
complete	толық; аяқтау	Форма толық.
computer	компьютер	Бұл компьютер жаңа.
concert	концерт	Біз бүгін кешке концертке барамыз.
conversation	әңгіме; сөйлесу	Біз қысқа әңгіме жүргіздік.
cook	тамақ пісіру; аспаз	Мен үйде кешкі ас пісіремін.
cooking	тамақ пісіру	Әкеммен тамақ пісіру маған ұнайды.
cool	салқын; керемет	Бөлме салқын.
correct	дұрыс; түзету	Сенің жауабың дұрыс.
cost	баға; тұру	Бұл қанша тұрады?
could modal	істей алатын; мүмкін	Мен саған көмектесе алар едім.
country	ел	Канада үлкен ел.
course	курс; оқу курсы	Мен ағылшын тілі курсына қатысамын.
cousin	немере туыс	Менің немере туысым жақын жерде тұрады.
cow	сиыр	Сиыр шөп жейді.
cream	кілегей	Мен кофеге кілегей қосамын.
create	жасау; құру	Олар жаңа ойын жасайды.
culture	мәдениет	Біз жергілікті мәдениетті үйренеміз.
cup	кесе	Бұл кесе бос.
customer	клиент	Клиент сұрақ қояды.
cut	кесу	Алманы екіге кес.
dad	әке	Менің әкем жұмыста.
dance	би; билеу	Біз кешкі астан кейін билейміз.
dancer	биші	Биші тез қозғалады.
dancing	билеу	Билеу қызық.
dangerous	қауіпті	Бұл жол қауіпті.
dark	қараңғы; қою	Бөлме қараңғы.
date	күн	Бүгінгі күн қандай?
daughter	қыз	Оның қызы алты жаста.
day	күн	Күнің жақсы өтсін.
dear	қымбатты	Қымбатты досым, рақмет.
December	желтоқсан	Менің туған күнім желтоқсанда.
decide	шешу	Өтінемін, қазір шеш.
delicious	дәмді	Бұл сорпа дәмді.
describe	сипаттау	Бөлмеңді сипатта.
description	сипаттама	Қысқа сипаттаманы оқы.
design	дизайн; жобалау	Мен қарапайым карта жобалаймын.
desk	жазу үстелі	Кітап менің үстелімде жатыр.
detail	егжей-тегжей	Бір егжей-тегжей жоқ.
dialogue	диалог	Енді диалогты оқы.
dictionary	сөздік	Сабақта сөздікті қолдан.
die	өлу	Сусыз гүлдер өледі.
diet	тамақтану тәртібі	Менің тамақтану тәртібімде жемістер бар.
difference	айырмашылық	Бір айырмашылық бар.
different	әртүрлі	Біздің есімдеріміз әртүрлі.
difficult	қиын	Бұл сұрақ қиын.
dinner	кешкі ас	Кешкі ас дайын.
dirty	лас	Менің аяқ киімім лас.
discuss	талқылау	Біз жоспарды талқылаймыз.
dish	тағам; ыдыс	Бұл тағам ыстық.
do1	істеу; көмекші етістік	Сен не істеп жатырсың?
doctor	дәрігер	Дәрігер бос емес.
dog	ит	Ит сыртта жүгіреді.
dollar	доллар	Бұл бір доллар тұрады.
door	есік	Өтінемін, есікті жап.
down	төмен	Мұнда төмен отыр.
downstairs	төменгі қабатта	Асүй төменгі қабатта.
draw	сурет салу	Кішкентай үйдің суретін сал.
dress	көйлек; киім	Ол қызыл көйлек киеді.
drink	ішу; сусын	Мен су ішемін.
drive	айдау	Мен жұмысқа көлік айдаймын.
driver	жүргізуші	Жүргізуші осында тоқтайды.
during	кезінде	Ұшу кезінде мен ұйықтаймын.
DVD	бейне диск	Бұл бейне диск ескі.
each	әрбір	Әрбір балада бір кітап бар.
ear	құлақ	Құлағым ауырады.
early	ерте	Мен ерте тұрамын.
east	шығыс	Күн шығыстан шығады.
easy	оңай	Бұл емтихан оңай.
eat	жеу	Біз бірге түскі ас ішеміз.
egg	жұмыртқа	Мен бір жұмыртқа жеймін.
