simplified	IT	example_IT
啊	la particella modale di assenso o conferma	Va bene, andiamo adesso.
阿姨	la zia; la babysitter; la signora più grande	La zia lavora al supermercato.
矮	basso; di bassa statura	Questo tavolo è un po' basso.
爱好	l'hobby; l'interesse	Il mio hobby è ascoltare musica.
安静	tranquillo; silenzioso	In biblioteca c'è molto silenzio.
把	tenere; la particella dell'oggetto	Per favore, chiudi la porta.
搬	traslocare; spostare	Domani traslochiamo.
班	la classe; il gruppo	Nella nostra classe ci sono venti studenti.
办法	il metodo; la soluzione	Questo metodo è molto buono.
办公室	l'ufficio	Il direttore è in ufficio.
半	mezzo; metà	Ho aspettato mezz'ora.
帮忙	aiutare; dare una mano	Puoi aiutare?
包	la borsa; avvolgere; coprire	Lei ha comprato una borsa nuova.
饱	sazio; pieno	Ho già mangiato abbastanza.
北方	il nord	L'inverno al nord è molto freddo.
被	la particella passiva; da	La mia bicicletta è stata presa in prestito da un amico.
鼻子	il naso	Il suo naso è un po' rosso.
比较	confrontare; abbastanza	Oggi fa abbastanza caldo.
比赛	la partita; la gara	Questa partita è molto importante.
笔记本	il quaderno; il taccuino	Ho messo il quaderno sul tavolo.
必须	dovere; essere necessario	Devi ripassare con attenzione.
变化	il cambiamento; cambiare	Questa città è cambiata molto.
别人	gli altri; altre persone	Non prendere le cose degli altri.
冰箱	il frigorifero	La frutta è nel frigorifero.
不但…而且…	non solo... ma anche...	Lui non è solo intelligente, ma anche diligente.
菜单	il menu	Per favore, mi dia un menu.
参加	partecipare; prendere parte	Voglio partecipare a questa riunione.
草	l'erba	Il cucciolo corre sull'erba.
层	il piano; lo strato	Questo edificio ha tre piani.
差	scarso; cattivo; differire	Oggi il tempo è brutto.
超市	il supermercato	Vado al supermercato a comprare il pane.
衬衫	la camicia; la blusa	Questa camicia è molto pulita.
城市	la città	Pechino è una grande città.
成绩	il voto; il risultato	I suoi voti in matematica sono molto buoni.
迟到	arrivare in ritardo	Non arrivare in ritardo a lezione.
除了	oltre a; eccetto	Oltre al caffè, voglio anche il tè.
船	la nave; la barca	Andiamo in quella città in nave.
春	la primavera	In primavera ci sono molti fiori.
词典	il dizionario	Questo dizionario è molto utile.
聪明	intelligente	Questo bambino è molto intelligente.
打扫	pulire; spazzare	Nel fine settimana pulisco la stanza.
打算	progettare; avere intenzione	Che programmi hai per domani?
带	portare con sé	Per favore, porta il passaporto.
担心	preoccuparsi; essere preoccupato	Non preoccuparti, ti aiuto io.
蛋糕	la torta	Questa torta è molto dolce.
当然	certo; naturalmente	Certo che puoi.
地	la particella avverbiale	Lui ha sorriso felicemente.
灯	la lampada; la luce	Per favore, accendi la luce.
地方	il posto; il luogo	Questo posto è molto tranquillo.
地铁	la metropolitana	Ogni giorno prendo la metropolitana per andare al lavoro.
地图	la mappa; la carta	Cerco la scuola sulla mappa.
电梯	l'ascensore	L'ascensore è a sinistra.
电子邮件	l'email; la posta elettronica	Mando un'email all'insegnante.
东	l'est	Il sole sorge a est.
冬	l'inverno	In inverno mi piace bere tè caldo.
动物	l'animale	Il panda è un animale famoso in Cina.
短	corto	Questi pantaloni sono troppo corti.
段	il paragrafo; il tratto	Per favore, leggi questo paragrafo.
锻炼	fare esercizio; allenarsi	Faccio esercizio ogni mattina.
多么	quanto; come	Com'è bello l'ambiente qui!
饿	avere fame; affamato	Ho fame e voglio mangiare pane.
耳朵	l'orecchio	Mi fa un po' male l'orecchio.
发	inviare; emettere	La sera invio email.
发烧	avere la febbre	Lui ha la febbre e non può andare a scuola.
发现	scoprire; accorgersi	Ho scoperto che questo metodo è buono.
方便	comodo; pratico	Prendere la metropolitana è comodo.
放	mettere; lasciare andare	Per favore, metti il libro sul tavolo.
放心	stare tranquillo; non preoccuparsi	Non preoccuparti, arriverò in orario.
分	dividere; distribuire	Per favore, dividi la torta tra tutti.
复习	ripassare	Devo ripassare prima dell'esame.
附近	vicino; i dintorni	C'è un ristorante qui vicino.
干净	pulito; ordinato	Questa stanza è molto pulita.
感冒	avere il raffreddore; il raffreddore	Ho il raffreddore e voglio riposare.
感兴趣	essere interessato	Sono molto interessato al cinese.
刚才	poco fa; appena adesso	Chi ti ha chiamato poco fa?
个子	la statura	Lui è alto.
根据	secondo; in base a	Secondo la mappa, la scuola è a est.
