simplified	BN	example_BN
啊	সম্মতি বা নিশ্চিতকরণ বোঝানো বাক্যশেষ কণা	ঠিক আছে, আমরা এখন যাই।
阿姨	মাসি; খালা; পিসি; বয়স্কা মহিলা; শিশু-পরিচর্যাকারী	খালা সুপারমার্কেটে কাজ করেন।
矮	নিচু; খাটো	এই টেবিলটা একটু নিচু।
爱好	শখ; আগ্রহ	আমার শখ গান শোনা।
安静	শান্ত; নীরব	লাইব্রেরিতে খুব শান্ত।
把	ধরা; হাতে নেওয়া; কর্মবাচক গঠনসূচক কণা	দয়া করে দরজাটা বন্ধ করুন।
搬	সরানো; বাসা বদলানো	আমরা কাল বাসা বদলাচ্ছি।
班	ক্লাস; দল	আমাদের ক্লাসে বিশজন ছাত্র আছে।
办法	উপায়; পদ্ধতি	এই উপায়টা খুব ভালো।
办公室	অফিস; দপ্তর	ম্যানেজার অফিসে আছেন।
半	অর্ধেক; আধা	আমি আধা ঘণ্টা অপেক্ষা করেছি।
帮忙	সাহায্য করা; সাহায্য	আপনি কি সাহায্য করতে পারবেন?
包	ব্যাগ; মোড়ানো; জড়ানো	সে একটি নতুন ব্যাগ কিনেছে।
饱	পেট ভরা; তৃপ্ত	আমি ইতিমধ্যে পেট ভরে খেয়েছি।
北方	উত্তর; উত্তরাঞ্চল	উত্তরের শীত খুব ঠান্ডা।
被	কর্মবাচ্যসূচক কণা	আমার সাইকেল বন্ধু ধার নিয়ে গেছে।
鼻子	নাক	তার নাকটা একটু লাল।
比较	তুলনা করা; তুলনামূলকভাবে	আজ তুলনামূলকভাবে গরম।
比赛	প্রতিযোগিতা; ম্যাচ	এই ম্যাচটা খুব গুরুত্বপূর্ণ।
笔记本	খাতা; নোটবই	আমি খাতাটা টেবিলের ওপর রেখেছি।
必须	অবশ্যই করতে হবে; জরুরি	তোমাকে মন দিয়ে পুনরাবৃত্তি করতে হবে।
变化	পরিবর্তন; বদলানো	এই শহর অনেক বদলে গেছে।
别人	অন্য মানুষ; অন্য কেউ	অন্যের জিনিস নিও না।
冰箱	ফ্রিজ	ফলগুলো ফ্রিজে আছে।
不但…而且…	শুধু… নয়, বরং…ও	সে শুধু বুদ্ধিমান নয়, খুব পরিশ্রমীও।
菜单	মেনু; খাবারের তালিকা	দয়া করে আমাকে একটি মেনু দিন।
参加	অংশ নেওয়া; যোগ দেওয়া	আমি এই সভায় যোগ দিতে চাই।
草	ঘাস	ছোট কুকুরটা ঘাসের ওপর দৌড়াচ্ছে।
层	তলা; স্তর	এই ভবনটির তিন তলা।
差	খারাপ; কম; পার্থক্য থাকা	আজ আবহাওয়া খুব খারাপ।
超市	সুপারমার্কেট	আমি রুটি কিনতে সুপারমার্কেটে যাচ্ছি।
衬衫	শার্ট; ব্লাউজ	এই শার্টটা খুব পরিষ্কার।
城市	শহর	বেইজিং একটি বড় শহর।
成绩	নম্বর; ফলাফল; সাফল্য	তার গণিতের নম্বর খুব ভালো।
迟到	দেরি করা; দেরিতে পৌঁছানো	ক্লাসে দেরি কোরো না।
除了	ছাড়া; পাশাপাশি	কফি ছাড়া আমার চাও চাই।
船	নৌকা; জাহাজ	আমরা নৌকায় সেই শহরে যাচ্ছি।
春	বসন্ত	বসন্তে অনেক ফুল থাকে।
词典	অভিধান	এই অভিধানটা খুব দরকারি।
聪明	বুদ্ধিমান; চতুর	এই শিশুটি খুব বুদ্ধিমান।
打扫	পরিষ্কার করা; ঝাড়ু দেওয়া	আমি সপ্তাহান্তে ঘর পরিষ্কার করি।
打算	পরিকল্পনা করা; ইচ্ছা; পরিকল্পনা	কাল তোমার কী পরিকল্পনা আছে?
带	নিয়ে আসা; সঙ্গে নেওয়া; বহন করা	দয়া করে তোমার পাসপোর্ট নিয়ে এসো।
担心	চিন্তা করা; উদ্বেগ	চিন্তা কোরো না, আমি তোমাকে সাহায্য করব।
蛋糕	কেক	এই কেকটা খুব মিষ্টি।
当然	অবশ্যই; স্বাভাবিকভাবেই	অবশ্যই পারো।
地	ক্রিয়াবিশেষণ গঠনকারী কাঠামোগত কণা	সে খুশি হয়ে হাসল।
灯	বাতি; আলো	দয়া করে বাতিটা জ্বালান।
地方	জায়গা; স্থান	এই জায়গাটা খুব শান্ত।
地铁	মেট্রো; পাতালরেল	আমি প্রতিদিন মেট্রোতে করে কাজে যাই।
地图	মানচিত্র	আমি মানচিত্রে স্কুল খুঁজি।
电梯	লিফট	লিফটটা বাম দিকে।
电子邮件	ইমেল	আমি শিক্ষককে ইমেল পাঠাই।
东	পূর্ব	সূর্য পূর্ব দিক থেকে ওঠে।
冬	শীত; শীতকাল	শীতে আমি গরম চা খেতে ভালোবাসি।
动物	প্রাণী; পশু	পান্ডা চীনের একটি বিখ্যাত প্রাণী।
短	ছোট; খাটো	এই প্যান্টটা খুব ছোট।
段	অনুচ্ছেদ; অংশ	দয়া করে এই অনুচ্ছেদটা পড়ুন।
锻炼	ব্যায়াম করা; অনুশীলনে শক্ত করা	আমি প্রতিদিন সকালে ব্যায়াম করি।
多么	কত; কী	এখানকার পরিবেশ কত ভালো!
饿	ক্ষুধার্ত; ক্ষুধা লাগা	আমার ক্ষুধা লেগেছে, রুটি খেতে চাই।
耳朵	কান	আমার কানটা একটু ব্যথা করছে।
发	পাঠানো; জারি করা	আমি সন্ধ্যায় ইমেল পাঠাই।
发烧	জ্বর হওয়া	তার জ্বর হয়েছে, তাই সে স্কুলে যেতে পারে না।
发现	খুঁজে পাওয়া; আবিষ্কার করা	আমি দেখলাম যে এই পদ্ধতিটা ভালো।
方便	সুবিধাজনক	মেট্রো নেওয়া খুব সুবিধাজনক।
放	রাখা; ছেড়ে দেওয়া	দয়া করে বইটা টেবিলের ওপর রাখুন।
放心	নিশ্চিন্ত হওয়া	নিশ্চিন্ত থাকো, আমি সময়মতো পৌঁছব।
分	ভাগ করা; বিতরণ করা	দয়া করে কেকটা সবাইকে ভাগ করে দিন।
复习	পুনরাবৃত্তি করা; রিভিশন	পরীক্ষার আগে আমাকে পুনরাবৃত্তি করতে হবে।
附近	কাছাকাছি; আশেপাশে	কাছাকাছি একটি রেস্তোরাঁ আছে।
干净	পরিষ্কার; পরিচ্ছন্ন	এই ঘরটা খুব পরিষ্কার।
感冒	সর্দি লাগা; সর্দি	আমার সর্দি হয়েছে, বিশ্রাম নিতে চাই।
感兴趣	আগ্রহ থাকা	চীনা ভাষায় আমার খুব আগ্রহ আছে।
刚才	এইমাত্র; একটু আগে	এইমাত্র কে তোমাকে ফোন করল?
个子	উচ্চতা; গড়ন	তার উচ্চতা বেশি।
根据	অনুযায়ী; ভিত্তিতে	মানচিত্র অনুযায়ী স্কুল পূর্ব দিকে।
跟	সঙ্গে; অনুসরণ করা	আমি বন্ধুর সঙ্গে পার্কে যাই।
更	আরও; বেশি	আজ গতকালের চেয়েও ঠান্ডা।
公斤	কিলোগ্রাম	এই আপেলগুলো এক কিলোগ্রাম।
公园	পার্ক	বাচ্চারা পার্কে খেলছে।
故事	গল্প	দাদু আমাকে গল্প বলেন।
刮风	হাওয়া বইছে; বাতাস হওয়া	আজ হাওয়া বইছে, সাইকেল চালিও না।
关	বন্ধ করা	দয়া করে দরজাটা বন্ধ করুন।
关系	সম্পর্ক	আমার আর সহকর্মীর সম্পর্ক ভালো।
关心	খেয়াল রাখা; যত্ন নেওয়া	মা আমার স্বাস্থ্যের খুব খেয়াল রাখেন।
关于	সম্পর্কে; সংক্রান্ত	এই বইটি চীনা সংস্কৃতি সম্পর্কে।
