source_headword	KN	example_KN
toss	ಎಸೆಯುವುದು	ಅವಳು ಕೀಗಳನ್ನು ಮೇಜಿನ ಮೇಲೆ ಎಸೆದಳು.
total	ಒಟ್ಟುಗೂಡಿಸು	ರಿಪೇರಿ ವೆಚ್ಚವು ನಿರೀಕ್ಷೆಗಿಂತ ಹೆಚ್ಚಾಗಿದೆ.
toxic	ವಿಷಕಾರಿ	ವಿಷಕಾರಿ ಹೊಗೆ ಎಲ್ಲರನ್ನು ಹೊರಗೆ ಕಳುಹಿಸಿತು.
trademark	ಟ್ರೇಡ್‌ಮಾರ್ಕ್	ಲೋಗೋ ಕಂಪನಿಯ ಟ್ರೇಡ್‌ಮಾರ್ಕ್ ಆಯಿತು.
trail	ಕಾಲುದಾರಿ	ಕಾಲುದಾರಿಯು ಕಾಡಿನ ಮೂಲಕ ಸಾಗಿತ್ತು.
trailer	ಟ್ರೇಲರ್	ಟ್ರೇಲರ್ ಚಲನಚಿತ್ರದ ಅಂತ್ಯವನ್ನು ತೋರಿಸಿದೆ.
transaction	ವಹಿವಾಟು	ವಹಿವಾಟು ನನ್ನ ಬ್ಯಾಂಕ್ ಸ್ಟೇಟ್‌ಮೆಂಟ್‌ನಲ್ಲಿ ಕಾಣಿಸಿಕೊಂಡಿದೆ.
transcript	ಅಂಕಪಟ್ಟಿ	ವಿದ್ಯಾರ್ಥಿಯು ಅಧಿಕೃತ ಅಂಕಪಟ್ಟಿಯನ್ನು ವಿನಂತಿಸಿದನು.
transformation	ರೂಪಾಂತರ	ನಗರವು ದೊಡ್ಡ ರೂಪಾಂತರವನ್ನು ಕಂಡಿತು.
transit	ಸಾಗಣೆ	ಸಾಗಣೆಯ ಸಮಯದಲ್ಲಿ ಪ್ಯಾಕೇಜ್ ಹಾನಿಯಾಗಿದೆ.
transmission	ರವಾನೆ	ಡೇಟಾದ ರವಾನೆ ಸುರಕ್ಷಿತವಾಗಿತ್ತು.
transparency	ಪಾರದರ್ಶಕತೆ	ವರದಿಯು ಹೆಚ್ಚಿನ ಪಾರದರ್ಶಕತೆಗೆ ಕರೆ ನೀಡಿದೆ.
transparent	ಪಾರದರ್ಶಕ	ಪ್ರಕ್ರಿಯೆಯು ಎಲ್ಲರಿಗೂ ಪಾರದರ್ಶಕವಾಗಿರಬೇಕು.
trauma	ಆಘಾತ	ಅಪಘಾತವು ಆಳವಾದ ಆಘಾತವನ್ನು ನೀಡಿತು.
treaty	ಒಪ್ಪಂದ	ದೇಶಗಳು ಶಾಂತಿ ಒಪ್ಪಂದಕ್ಕೆ ಸಹಿ ಹಾಕಿದವು.
tremendous	ಅಗಾಧ	ತಂಡವು ಅಗಾಧವಾದ ಪ್ರಗತಿಯನ್ನು ಸಾಧಿಸಿತು.
tribal	ಬುಡಕಟ್ಟು	ವಸ್ತುಸಂಗ್ರಹಾಲಯವು ಬುಡಕಟ್ಟು ಕಲೆಯನ್ನು ಪ್ರದರ್ಶಿಸಿತು.
tribunal	ನ್ಯಾಯಮಂಡಳಿ	ನ್ಯಾಯಮಂಡಳಿಯು ಇಡೀ ವಾರ ಸಾಕ್ಷ್ಯವನ್ನು ಆಲಿಸಿತು.
tribute	ಗೌರವ	ಸಂಗೀತ ಕಛೇರಿಯು ಅವಳಿಗೆ ಗೌರವವಾಗಿತ್ತು.
trio	ಮೂವರು	ಮೂವರು ಉತ್ಸವದಲ್ಲಿ ಪ್ರದರ್ಶನ ನೀಡಿದರು.
triumph	ವಿಜಯ	ಗೆಲುವು ವೈಯಕ್ತಿಕ ವಿಜಯವಾಗಿತ್ತು.
trophy	ಟ್ರೋಫಿ	ನಾಯಕನು ಹೆಮ್ಮೆಯಿಂದ ಟ್ರೋಫಿಯನ್ನು ಎತ್ತಿದನು.
troubled	ತೊಂದರೆಗೀಡಾದ	ತೊಂದರೆಗೀಡಾದ ಕಂಪನಿಗೆ ಹೊಸ ನಾಯಕತ್ವದ ಅಗತ್ಯವಿತ್ತು.
trustee	ಟ್ರಸ್ಟಿ	ಟ್ರಸ್ಟಿ ವಿದ್ಯಾರ್ಥಿವೇತನ ನಿಧಿಯನ್ನು ನಿರ್ವಹಿಸುತ್ತಾರೆ.
tuition	ಬೋಧನಾ ಶುಲ್ಕ	ಈ ವರ್ಷ ಅವಳ ಬೋಧನಾ ಶುಲ್ಕ ಹೆಚ್ಚಾಗಿದೆ.
turnout	ಹಾಜರಾತಿ	ಮತದಾರರ ಹಾಜರಾತಿ ನಿರೀಕ್ಷೆಗಿಂತ ಹೆಚ್ಚಾಗಿತ್ತು.
turnover	ವಹಿವಾಟು	ಬದಲಾವಣೆಗಳ ನಂತರ ಸಿಬ್ಬಂದಿ ವಹಿವಾಟು ಕುಸಿಯಿತು.
