source_headword	SI	example_SI
abolish	අහෝසි කරනවා	නීතිය මගින් පැරණි ගාස්තුව අහෝසි කරනු ඇත.
abortion	ගබ්සාව	ගබ්සාව සංවේදී වෛද්‍ය ගැටලුවක් ලෙස පවතී.
absence	නොපැමිණීම	ඇයගේ නොපැමිණීම අවසන් තීරණය ප්‍රමාද කළේය.
absent	නොපැමිණි	සාමාජිකයින් දෙදෙනෙකු පන්තියට නොපැමිණියහ.
absurd	විකාර	එම ප්‍රකාශය සැමට විකාරයක් ලෙස පෙනුණි.
abundance	බහුලත්වය	නිම්නයේ ජලය බහුලව ඇත.
abuse	අපයෝජනය	වාර්තාවේ සේවා ස්ථානයේ අපයෝජනය විස්තර කර ඇත.
academy	ඇකඩමිය	ඇකඩමිය තරුණ සංගීතඥයින් පුහුණු කරයි.
accelerate	වේගවත් කරනවා	නව අරමුදල් මගින් පර්යේෂණ වේගවත් කරනු ඇත.
acceptance	පිළිගැනීම	විවේචනය පිළිගැනීම මා සිත් ගත්තේය.
accessible	ප්‍රවේශ විය හැකි	කෞතුකාගාරය රෝද පුටු භාවිතා කරන්නන්ට ප්‍රවේශ විය හැකිය.
accomplishment	ජයග්‍රහණය	පොත අවසන් කිරීම සැබෑ ජයග්‍රහණයක් විය.
accordance	අනුකූලව	වැඩ කටයුතු ප්‍රතිපත්තියට අනුකූලව සිදු කරන ලදී.
accordingly	ඒ අනුව	සාක්ෂි වෙනස් වූ අතර අපි ඒ අනුව ක්‍රියා කළෙමු.
accountability	වගවීම	ප්‍රතිපත්තිය මගින් කළමනාකරුවන්ගේ වගවීම වැඩි කරයි.
accountable	වගකිව යුතු	ආරක්ෂාව සඳහා කළමනාකරුවන් වගකිව යුතුය.
accumulate	රැස් කරනවා	තිරය පිටුපස දූවිලි රැස් විය හැක.
accumulation	එකතුව	දත්ත එකතුව සඳහා මාස ගණනක් ගත විය.
accusation	චෝදනාව	චෝදනාව කමිටුව කම්පනයට පත් කළේය.
accused	විත්තිකරු	විත්තිකරු උසාවියේ පෙනී සිටියේය.
acquisition	අත්පත් කර ගැනීම	අත්පත් කර ගැනීම සමාගම ඉක්මනින් ව්‍යාප්ත කළේය.
acre	අක්කරය	ගොවිපල අක්කරයක් ආවරණය කරයි.
activation	සක්‍රිය කිරීම	කාඩ්පත සක්‍රිය කිරීමට මිනිත්තු කිහිපයක් ගතවේ.
activist	ක්‍රියාකාරිකයා	ක්‍රියාකාරිකයා රැලියේදී කතා කළේය.
acute	උග්‍ර	දිවීමෙන් පසු ඇයට උග්‍ර වේදනාවක් දැනුනි.
adaptation	අනුවර්තනය	අනුවර්තනය නවකතාවේ අවසානය වෙනස් කළේය.
adhere	අනුගත වෙනවා	කාර්ය මණ්ඩලය ආරක්ෂක නීතිවලට අනුගත විය යුතුය.
adjacent	යාබද	හෝටලය දුම්රිය ස්ථානයට යාබදව පිහිටා ඇත.
adjustment	ගැලපීම	කුඩා ගැලපීමක් ගැටලුව විසඳා ඇත.
administer	පරිපාලනය කරනවා	හෙදියන් එන්නත ප්‍රවේශමෙන් පරිපාලනය කරයි.
administrative	පරිපාලන	පරිපාලන කාර්ය මණ්ඩලය ආකෘති පත්‍ර හසුරුවයි.
administrator	පරිපාලක	පරිපාලක මගේ මුරපදය යළි පිහිටෙව්වා.
admission	ඇතුළත් වීම	කෞතුකාගාරයට ඇතුළත් වීම නොමිලේ.
adolescent	නව යොවුන් වියේ පසුවන්නා	නව යොවුන් වියේ පසුවන්නාට අමතර සහාය අවශ්‍ය විය.
adoption	හදාගැනීම	හදාගැනීමෙන් දරුවාට ස්ථාවර නිවසක් ලැබුණි.
adverse	අහිතකර	ඖෂධය අහිතකර බලපෑම් ඇති කළේය.
advocate	නීතිඥයා	නීතිඥයා කුලී නිවැසියන්ගේ අයිතිවාසිකම් ආරක්ෂා කළේය.
aesthetic	සෞන්දර්යාත්මක	කාමරයට සන්සුන් සෞන්දර්යාත්මක ශෛලියක් ඇත.
affection	සෙනෙහස	ඇය සිය පවුල වෙනුවෙන් සෙනෙහස පෙන්වූවාය.
aftermath	ප්‍රතිවිපාකය	කුණාටුවෙහි ප්‍රතිවිපාකය දුෂ්කර විය.
aggression	ආක්‍රමණශීලීත්වය	විවේක කාලයේදී ගුරුවරයා ආක්‍රමණශීලී බව දුටුවේය.
agricultural	කෘෂිකාර්මික	කෘෂිකාර්මික අපනයන මෙම වසරේ ඉහළ ගියේය.
aide	සහායකයා	සහායකයා ඇමතිවරයාගේ කාලසටහන සංවිධානය කළේය.
albeit	එසේ වුවද	සැලැස්ම සාර්ථක විය, එසේ වුවද සෙමින්.
alert	අනතුරු අඟවනවා	කරුණාකර වහාම කාර්ය මණ්ඩලයට අනතුරු අඟවන්න.
align	පෙළගස්වනවා	ඊතල මාර්ගය සමග පෙළගැසී ඇත.
alignment	පෙළගැස්ම	රෝද පෙළගැස්ම මෝටර් රථයේ හැසිරවීම වැඩිදියුණු කළේය.
alike	එකසේ	නිවුන් දරුවන් සති අන්තවල එකසේ ඇඳුම් අඳිති.
allegation	චෝදනාව	චෝදනාව පුවත්පතේ පළ විය.
allege	චෝදනා කරනවා	අරමුදල් අහිමි වූ බවට ඔවුන් චෝදනා කරයි.
allegedly	කියන විදිහට	රියදුරා කියන විදිහට අනතුරු ඇඟවීම නොසලකා හැර ඇත.
alliance	සන්ධානය	පක්ෂ තාවකාලික සන්ධානයක් පිහිටුවා ගත්හ.
allocate	වෙන් කරනවා	නගරය පාසල් සඳහා මුදල් වෙන් කරනු ඇත.
allocation	වෙන් කිරීම	ආසන වෙන් කිරීම අසාධාරණ විය.
