source_headword	ID	example_ID
absorb	menyerap	Handuk itu menyerap air dengan cepat.
abstract	abstrak	Kuliah itu membahas ide-ide abstrak.
accent	aksen	Aksennya mudah dipahami.
accidentally	tidak sengaja	Saya secara tidak sengaja menghapus file tersebut.
accommodate	mengakomodasi	Hotel itu dapat menampung keluarga besar.
accomplish	menyelesaikan	Dia menyelesaikan tujuannya sebelum bulan Juni.
accountant	akuntan	Akuntan itu memeriksa faktur tersebut.
accuracy	akurasi	Tes ini mengukur akurasi membaca.
accurately	dengan akurat	Peta itu menunjukkan rute dengan akurat.
acid	asam	Asam itu merusak permukaan logam.
activate	mengaktifkan	Tekan tombol untuk mengaktifkan alarm.
addiction	kecanduan	Kecanduannya memengaruhi pekerjaannya.
additionally	sebagai tambahan	Sebagai tambahan, kita membutuhkan lebih banyak kursi.
adequate	memadai	Ruangan itu memiliki cahaya yang memadai.
adequately	dengan memadai	Laporan itu menjelaskan masalah secara memadai.
adjust	menyesuaikan	Sesuaikan kursi sebelum mengemudi.
affordable	terjangkau	Apartemen itu terjangkau untuk mahasiswa.
agriculture	pertanian	Pertanian mendukung banyak keluarga pedesaan.
AIDS	AIDS	Dokter mengobati AIDS dengan pengobatan modern.
alien	alien	Film itu menampilkan planet alien.
alongside	di samping	Jalur sepeda membentang di samping sungai.
altogether	sepenuhnya	Secara keseluruhan, proyek itu memakan waktu enam minggu.
ambulance	ambulans	Ambulans tiba dalam beberapa menit.
amusing	menghibur	Cerita itu lucu dan ringan.
analyst	analis	Analis itu meninjau data penjualan.
ancestor	leluhur	Leluhur saya tinggal di dekat desa ini.
animation	animasi	Animasi itu membuat pelajaran menjadi lebih jelas.
annually	setiap tahun	Festival itu diadakan setiap tahun.
anticipate	mengantisipasi	Kami mengantisipasi lalu lintas padat besok.
anxiety	kecemasan	Kecemasan dapat membuat tidur menjadi sulit.
apology	permintaan maaf	Dia menawarkan permintaan maaf yang tulus.
applicant	pelamar	Pelamar itu mengirimkan resume baru.
appropriately	dengan tepat	Tolong berpakaian dengan pantas untuk wawancara.
arrow	panah	Panah itu menunjuk ke pintu keluar.
artwork	karya seni	Museum itu memamerkan karya seni lokal.
aside	ke samping	Dia melangkah ke samping untuk membiarkannya lewat.
asset	aset	Pengalaman adalah aset yang berharga.
assign	menetapkan	Guru menugaskan pekerjaan rumah hari ini.
assistance	bantuan	Silakan minta bantuan kepada staf.
assumption	asumsi	Asumsi itu mungkin salah.
assure	meyakinkan	Saya meyakinkan Anda bahwa pintu terkunci.
astonishing	menakjubkan	Pemandangan dari tebing itu menakjubkan.
attachment	lampiran	Email itu menyertakan lampiran.
auction	lelang	Lukisan itu terjual di lelang.
audio	audio	Rekaman audio itu terdengar jelas.
automatic	otomatis	Pintu itu memiliki kunci otomatis.
automatically	secara otomatis	Lampu menyala secara otomatis.
awareness	kesadaran	Kampanye itu meningkatkan kesadaran publik.
awkward	canggung	Keheningan itu terasa canggung.
badge	lencana	Pengunjung harus memakai lencana.
balanced	seimbang	Diet seimbang mencakup sayuran.
ballet	balet	Dia belajar balet sepulang sekolah.
balloon	balon	Balon itu melayang di atas meja.
barely	hampir tidak	Dia hampir tidak mendengar pengumuman itu.
bargain	barang murah	Jaket itu adalah barang murah.
basement	ruang bawah tanah	Kotak-kotak itu ada di ruang bawah tanah.
basket	keranjang	Dia menaruh apel di keranjang.
bat	kelelawar	Kelelawar itu terbang keluar dari gua.
beneficial	bermanfaat	Olahraga teratur bermanfaat untuk kesehatan.
beside	di samping	Lampu berdiri di samping sofa.
besides	selain itu	Selain matematika, ia belajar kimia.
bias	bias	Artikel itu menunjukkan bias yang jelas.
bid	tawaran	Perusahaan mengajukan tawaran yang lebih tinggi.
biological	biologis	Tes biologis itu memastikan hasilnya.
blanket	selimut	Anak itu tidur di bawah selimut.
blow	pukulan	Pukulan kuat memecahkan jendela.
bold	berani	Judul utama menggunakan huruf tebal.
bombing	pengeboman	Pengeboman itu merusak beberapa bangunan.
booking	pemesanan	Saya mengonfirmasi pemesanan hotel.
boost	peningkatan	Kemenangan itu meningkatkan kepercayaan diri tim.
bound	pasti	Paket itu diikat dengan tali.
brick	batu bata	Dinding itu terbuat dari batu bata.
briefly	secara singkat	Dia berbicara secara singkat setelah makan siang.
broadcaster	penyiar	Penyiar itu mewawancarai walikota.
broadly	secara luas	Kedua rencana itu secara umum serupa.
bug	serangga	Aplikasi itu mogok karena bug.
cabin	kabin	Kami menginap di kabin kecil.
canal	kanal	Perahu bergerak perlahan di sepanjang kanal.
candle	lilin	Lilin itu menyala di atas meja.
carbon	karbon	Pohon menyerap karbon dari udara.
casual	santai	Dia mengenakan pakaian kasual ke tempat kerja.
cave	gua	Para pendaki memasuki gua.
certainty	kepastian	Kita tidak bisa tahu dengan kepastian.
certificate	sertifikat	Dia menerima sertifikat pelatihan.
challenging	menantang	Kursus itu menantang tetapi berguna.
championship	kejuaraan	Tim kami mencapai final kejuaraan.
charming	menawan	Jalan tua itu terlihat menawan.
chase	pengejaran	Anjing itu mengejar bola.
cheek	pipi	Air mata mengalir di pipinya.
cheer	sorakan	Penonton mulai bersorak keras.
choir	paduan suara	Paduan suara itu bernyanyi dengan indah.
chop	memotong	Potong bawang menjadi potongan-potongan kecil.
circuit	sirkuit	Pelari itu menyelesaikan sirkuit.
civilization	peradaban	Peradaban kuno membentuk wilayah ini.
clarify	mengklarifikasi	Tolong klarifikasi poin terakhir.
classify	mengklasifikasikan	Ilmuwan mengklasifikasikan hewan berdasarkan spesies.
clerk	pegawai	Petugas mencetak tanda terima.
cliff	tebing	Jalur berakhir di dekat tebing.
clinic	klinik	Klinik buka jam delapan.
clip	klip	Dia memasang klip pada kertas itu.
coincidence	kebetulan	Bertemu dengannya di sana adalah sebuah kebetulan.
collector	kolektor	Kolektor itu membeli koin langka.
colony	koloni	Semut-semut itu membangun koloni yang besar.
colourful	berwarna-warni	Pasar itu cerah dan berwarna-warni.
comic	komik	Adegan komedi itu membuat kami tertawa.
commander	komandan	Komandan memberikan perintah yang jelas.
comparative	komparatif	Esai tersebut menggunakan data komparatif.
completion	penyelesaian	Jembatan itu hampir selesai.
compose	menyusun	Dia akan menggubah musik untuk film tersebut.
composer	komposer	Komposer itu menulis lagu baru.
compound	senyawa	Senyawa tersebut mengandung dua bahan kimia.
comprehensive	komprehensif	Panduan ini memberikan instruksi yang komprehensif.
comprise	mencakup	Tim ini terdiri dari lima anggota.
compulsory	wajib	Kehadiran adalah wajib untuk kelas ini.
concrete	beton	Lantai itu terbuat dari beton.
confess	mengakui	Dia mengakui kesalahannya kepada gurunya.
confusion	kebingungan	Penundaan tersebut menyebabkan kebingungan.
consequently	akibatnya	Hujan turun; akibatnya, pertandingan dihentikan.
conservation	konservasi	Konservasi melindungi hewan-hewan langka.
considerable	cukup besar	Perbaikan itu memakan waktu yang cukup lama.
considerably	secara signifikan	Harga naik secara signifikan tahun ini.
consistently	secara konsisten	Dia tampil baik secara konsisten.
conspiracy	konspirasi	Polisi menyelidiki konspirasi tersebut.
consult	berkonsultasi	Berkonsultasilah dengan dokter Anda sebelum minum obat.
consultant	konsultan	Konsultan itu menyarankan strategi baru.
consumption	konsumsi	Konsumsi energi turun bulan lalu.
controversial	kontroversial	Kebijakan tersebut tetap kontroversial.
controversy	kontroversi	Keputusan itu menyebabkan kontroversi.
convenience	kenyamanan	Toko ini menawarkan kemudahan yang besar.
convention	konvensi	Konvensi tahunan dimulai hari Senin.
conventional	konvensional	Dia memilih desain yang konvensional.
convey	menyampaikan	Pesan itu menyampaikan simpati.
convincing	meyakinkan	Penjelasannya meyakinkan.
cope	mengatasi	Dia belajar untuk mengatasi stres.
corporation	korporasi	Perusahaan itu membuka kantor baru.
corridor	koridor	Lorong itu sempit dan sepi.
counter (long flat surface)	konter	Kunci-kunci itu ada di atas meja dapur.
coverage	cakupan	Liputan berita berlangsung sepanjang malam.
crack	retakan	Sebuah retakan muncul di dinding.
craft	kerajinan	Dia menjual kerajinan buatan tangan secara daring.
creativity	kreativitas	Kreativitas membantu memecahkan masalah.
critically	secara kritis	Artikel itu sangat penting.
cruise	pelayaran	Mereka memesan pelayaran ke Yunani.
cue	isyarat	Aktor itu melewatkan isyaratnya.
curious	aneh	Anak itu penasaran dengan luar angkasa.
curriculum	kurikulum	Sekolah itu memperbarui kurikulumnya.
cute	lucu	Anak anjing itu terlihat imut.
dairy	produk susu	Peternakan itu menghasilkan produk susu.
dare	berani	Aku menantangmu untuk mencobanya.
darkness	kegelapan	Ruangan itu dipenuhi dengan kegelapan.
database	basis data	Basis data itu menyimpan catatan pelanggan.
deadline	tenggat waktu	Tenggat waktunya adalah hari Jumat.
deadly	mematikan	Ular itu memiliki bisa yang mematikan.
dealer	agen	Diler mobil itu menawarkan diskon.
deck	geladak	Kursi-kursi itu ada di atas dek.
defender	pembela	Bek itu memblokir tembakan tersebut.
delete	menghapus	Hapus pesan lama itu.
democracy	demokrasi	Demokrasi bergantung pada pemilihan yang bebas.
democratic	demokratis	Pemungutan suara itu mengikuti aturan yang demokratis.
demonstration	demonstrasi	Para siswa bergabung dalam sebuah demonstrasi.
depart	menyimpang	Kereta akan berangkat pada siang hari.
dependent	bergantung	Anak itu bergantung pada orang dewasa.
deposit	setoran	Dia membayar uang muka untuk apartemen itu.
depression	depresi	Depresi membutuhkan dukungan profesional.
derive	memperoleh	Banyak kata berasal dari bahasa Latin.
desperately	dengan putus asa	Dia sangat membutuhkan air.
destruction	kehancuran	Badai itu menyebabkan kehancuran yang luas.
