simplified	HU	example_HU
啊	beleegyezést vagy megerősítést jelző partikula	Jó, akkor most menjünk.
阿姨	néni; nagynéni; gyermekfelügyelő	A néni egy nagy boltban dolgozik.
矮	alacsony; rövid	Ez az asztal egy kicsit alacsony.
爱好	hobbi; érdeklődés	A hobbim a zenehallgatás.
安静	csendes; nyugodt	A könyvtárban nagyon csend van.
把	tartani; megfogni; tárgyi partikula	Kérem, csukja be az ajtót.
搬	költözni; áthelyezni	Holnap költözünk.
班	osztály; csoport	Az osztályunkban húsz diák van.
办法	módszer; megoldás	Ez a módszer nagyon jó.
办公室	iroda	A vezető az irodában van.
半	fél; fele	Fél órát vártam.
帮忙	segíteni; segítséget nyújtani	Tudsz segíteni?
包	táska; becsomagolni; beburkolni	Vett egy új táskát.
饱	jóllakott	Már jóllaktam.
北方	észak; északi rész	Északon a tél nagyon hideg.
被	passzív partikula; által	A biciklimet egy barát kölcsönvette.
鼻子	orr	Az orra egy kicsit piros.
比较	összehasonlítani; eléggé	Ma elég meleg van.
比赛	mérkőzés; verseny	Ez a mérkőzés nagyon fontos.
笔记本	jegyzetfüzet; füzet	Letettem a füzetet az asztalra.
必须	kelleni; szükséges	Alaposan át kell ismételned.
变化	változás; változni	Ez a város sokat változott.
别人	mások	Ne vedd el mások dolgait.
冰箱	hűtőszekrény	A gyümölcs a hűtőben van.
不但…而且…	nemcsak... hanem... is	Nemcsak okos, hanem szorgalmas is.
菜单	étlap	Kérem, adja ide az étlapot.
参加	részt venni	Részt akarok venni ezen a megbeszélésen.
草	fű	A kiskutya a füvön fut.
层	emelet; réteg	Ennek az épületnek három emelete van.
差	rossz; különbözni; hiányozni	Ma rossz az idő.
超市	nagybolt; önkiszolgáló bolt	A nagyboltba megyek kenyeret venni.
衬衫	ing; blúz	Ez az ing nagyon tiszta.
城市	város	Peking nagy város.
成绩	eredmény; jegy	A matematika jegyei nagyon jók.
迟到	késni	Ne késs el az óráról.
除了	kivéve; azon kívül	A kávén kívül teát is kérek.
船	hajó	Abba a városba hajóval megyünk.
春	tavasz	Tavasszal sok virág van.
词典	szótár	Ez a szótár nagyon hasznos.
聪明	okos; intelligens	Ez a gyerek nagyon okos.
打扫	takarítani; seperni	Hétvégén kitakarítom a szobát.
打算	tervezni; szándékozni	Milyen terveid vannak holnapra?
带	hozni; magával vinni	Kérem, hozza magával az útlevelét.
担心	aggódni	Ne aggódj, segítek neked.
蛋糕	torta; sütemény	Ez a torta nagyon édes.
当然	persze; természetesen	Természetesen lehet.
地	határozói partikula	Boldogan mosolygott.
灯	lámpa; világítás	Kérem, kapcsolja fel a villanyt.
地方	hely; terület	Ez a hely nagyon nyugodt.
地铁	metró	Mindennap metróval megyek dolgozni.
地图	térkép	A térképen keresem az iskolát.
电梯	lift	A lift bal oldalon van.
电子邮件	elektronikus levél	Elektronikus levelet küldök a tanárnak.
东	kelet	A nap keleten kel fel.
冬	tél	Télen szeretek forró teát inni.
动物	állat	A panda híres állat Kínában.
短	rövid	Ez a nadrág túl rövid.
段	bekezdés; szakasz	Kérem, olvassa el ezt a bekezdést.
锻炼	edzeni; gyakorolni	Minden reggel edzek.
多么	milyen; mennyire	Milyen jó itt a környezet!
饿	éhes	Éhes vagyok, és kenyeret akarok enni.
耳朵	fül	Egy kicsit fáj a fülem.
发	küldeni; kiadni	Este elektronikus levelet küldök.
发烧	lázasnak lenni	Lázas, ezért nem tud iskolába menni.
发现	felfedezni; észrevenni	Észrevettem, hogy ez a módszer jó.
方便	kényelmes; praktikus	Metróval menni kényelmes.
放	letenni; elhelyezni; elengedni	Kérem, tegye a könyvet az asztalra.
放心	megnyugodni; nem aggódni	Ne aggódj, időben megérkezem.
分	osztani; szétválasztani	Kérem, ossza szét a tortát mindenkinek.
复习	ismételni; átismétlés	A vizsga előtt ismételnem kell.
附近	közel; környék	A közelben van egy étterem.
干净	tiszta; rendezett	Ez a szoba nagyon tiszta.
感冒	megfázni; megfázás	Megfáztam, és pihenni szeretnék.
感兴趣	érdeklődni	Nagyon érdekel a kínai nyelv.
刚才	az imént	Ki hívott az imént?
