source_headword	TA	example_TA
stranger	அந்நியர்	ஒரு அந்நியர் வழி கேட்டார்.
strength	வலிமை	அவளது வலிமை அணிக்கு உதவியது.
string	கயிறு	பெட்டியை கயிற்றால் கட்டவும்.
strongly	வலுவாக	அந்த கருத்தை நான் வலுவாக ஏற்க மறுக்கிறேன்.
studio	ஸ்டுடியோ	அந்த கலைஞர் ஒரு சிறிய ஸ்டுடியோவில் வேலை செய்கிறார்.
stuff	பொருட்கள்	உங்கள் பொருட்களை அலமாரியில் வைக்கவும்.
substance	பொருள்	காவல்துறையினர் ஒரு விசித்திரமான பொருளைக் கண்டுபிடித்தனர்.
successfully	வெற்றிகரமாக	அவர்கள் திட்டத்தை வெற்றிகரமாக முடித்தனர்.
sudden	திடீர்	ஒரு திடீர் சத்தம் எங்களை எழுப்பியது.
suffer	பாதிக்கப்படு	வறண்ட வானிலையில் பல தாவரங்கள் பாதிக்கப்படுகின்றன.
suitable	பொருத்தமான	இந்த ஜாக்கெட் பள்ளிக்கு பொருத்தமானது.
summarize	சுருக்கமாகக் கூறு	கட்டுரையை சுருக்கமாகக் கூற முடியுமா?
summary	சுருக்கம்	இன்று இரவு ஒரு சிறிய சுருக்கத்தை எழுதுங்கள்.
supply	வழங்கல்	நகரத்திற்கு சுத்தமான குடிநீர் வழங்கல் தேவை.
supporter	ஆதரவாளர்	ஒவ்வொரு ஆதரவாளரும் சத்தமாக உற்சாகப்படுத்தினர்.
surely	நிச்சயமாக	நிச்சயமாக நம்மால் இதைத் தீர்க்க முடியும்.
surface	மேற்பரப்பு	மேற்பரப்பு குளிர்ச்சியாகவும் மென்மையாகவும் இருந்தது.
survive	உயிர்வாழ்	இந்த விலங்குகள் குளிர்ந்த குளிர்காலங்களில் உயிர்வாழ்கின்றன.
switch	சுவிட்ச்	சமையலறை விளக்கை அணைக்கவும்.
symptom	அறிகுறி	இருமல் ஒரு அறிகுறியாக இருக்கலாம்.
tail	வால்	நாய்க்கு நீளமான வால் உள்ளது.
talent	திறமை	அவளுக்கு இசையில் திறமை இருக்கிறது.
talented	திறமையான	அவர் ஒரு திறமையான இளம் நடிகர்.
tape	ஒட்டுநாடா	பெட்டியை மூட ஒட்டுநாடாவைப் பயன்படுத்தவும்.
tax	வரி	அனைவரும் இந்த வரியை செலுத்த வேண்டும்.
technical	தொழில்நுட்ப	எங்களுக்கு ஒரு தொழில்நுட்ப பிரச்சனை ஏற்பட்டது.
technique	நுட்பம்	இந்த நுட்பம் நேரத்தை மிச்சப்படுத்துகிறது.
tend	ஒன்றைச் செய்ய முனை	குழந்தைகள் விரைவாகக் கற்றுக்கொள்ள முனைகிறார்கள்.
tent	கூடாரம்	நாங்கள் ஒரு சிறிய கூடாரத்தில் தூங்கினோம்.
theirs	அவர்களுடையது	அந்த நீல நிற மிதிவண்டிகள் அவர்களுடையவை.
