source_headword	KA	example_KA
take	აღება; წაყვანა	ბილეთი აიღეთ.
talk	საუბარი; ლაპარაკი	გაკვეთილის შემდეგ ვსაუბრობთ.
tall	მაღალი	ჩემი მასწავლებელი მაღალია.
taxi	ტაქსი	ტაქსი გარეთ დგას.
tea	ჩაი	ეს ჩაი ცხელია.
teach	სწავლება	ინგლისურს ვასწავლი.
teacher	მასწავლებელი	მასწავლებელი იღიმის.
team	გუნდი	ჩვენი გუნდი დღეს იგებს.
teenager	მოზარდი	მოზარდი წიგნს კითხულობს.
telephone	ტელეფონი; დარეკვა	ტელეფონი მაგიდაზეა.
television	ტელევიზორი	ტელევიზორი ახალია.
tell	თქმა	თქვენი სახელი მითხარით.
ten	ათი	ათი წიგნი მაქვს.
tennis	ჩოგბურთი	დღეს ჩოგბურთს ვთამაშობთ.
terrible	საშინელი; ძალიან ცუდი	ამინდი საშინელია.
test	ტესტი; გამოცდა; შემოწმება	ტესტი ახლა იწყება.
text	ტექსტი; შეტყობინება	მოკლე შეტყობინება გაგზავნეთ.
than	-ზე მეტად	ათი ორზე მეტია.
thank	მადლობის თქმა	მასწავლებელს მადლობა უთხარით.
thanks	მადლობა	დახმარებისთვის მადლობა.
that	ის; ის კონკრეტული	ის წიგნი ჩემია.
the	ინგლისური განსაზღვრული არტიკლი	ჩაი თბილია.
theatre	თეატრი	თეატრი სადგურთანაა.
their	მათი	მათი სახლი დიდია.
them	ისინი; მათ	მე მათ ვიცნობ.
then	შემდეგ; მაშინ	ჭამე, შემდეგ წაიკითხე.
there	იქ	იქ სკამია.
they	ისინი	ისინი სკოლაში არიან.
thing	ნივთი; რამ	ეს ნივთი სასარგებლოა.
think	ფიქრი	სახლზე ვფიქრობ.
third	მესამე	ეს მესამე გაკვეთილია.
thirsty	მწყურვალი	მე მწყურია.
thirteen	ცამეტი	ის ცამეტი წლისაა.
thirty	ოცდაათი	ჩემი და ოცდაათი წლისაა.
this	ეს	ეს ბილეთი ახალია.
thousand	ათასი	ათასი ადამიანი მოვიდა.
three	სამი	სამ ჩიტს ვხედავ.
through	გავლით; საშუალებით	პარკში გავდივართ.
Thursday	ხუთშაბათი	ხუთშაბათს ვხვდებით.
ticket	ბილეთი	ბილეთი მჭირდება.
time	დრო	რომელი საათია?
tired	დაღლილი	მე დაღლილი ვარ.
title	სათაური	სათაური წაიკითხეთ.
to	-ში; -კენ; რომ	გაკვეთილზე მივდივარ.
today	დღეს	დღეს მზიანია.
together	ერთად	ერთად ვჭამთ.
toilet	ტუალეტი	ტუალეტი სუფთაა.
tomato	პომიდორი	ეს პომიდორი წითელია.
tomorrow	ხვალ	ხვალ შევხვდებით.
tonight	ამ საღამოს	ამ საღამოს ვკითხულობთ.
too	ასევე; ძალიან	მეც ჩაი მინდა.
tooth	კბილი	კბილი მტკივა.
topic	თემა	ერთი თემა აირჩიეთ.
tourist	ტურისტი	ტურისტი ფოტოებს იღებს.
town	დაბა; ქალაქი	ეს დაბა მშვიდია.
traffic	საგზაო მოძრაობა; საცობი	საგზაო მოძრაობა ნელია.
train	მატარებელი	მატარებელი აგვიანებს.
travel	მოგზაურობა; მგზავრობა	მატარებლით ვმოგზაურობთ.
tree	ხე	ხე მაღალია.
trip	მგზავრობა; მოგზაურობა	მგზავრობა ხვალ იწყება.
trousers	შარვალი	ჩემი შარვალი შავია.
true	მართალი; ნამდვილი	ეს ამბავი მართალია.
try	ცდა; გასინჯვა	ეს ჩაი გასინჯეთ.
T-shirt	მაისური	მაისური მაცვია.
Tuesday	სამშაბათი	სამშაბათს ვხვდებით.
turn	მობრუნება; რიგი	აქ მარცხნივ მოუხვიეთ.
TV	ტელევიზორი	ტელევიზორის ხმა მაღალია.
twelve	თორმეტი	თორმეტი კალამი მაქვს.
twenty	ოცი	აქ ოცი სტუდენტია.
twice	ორჯერ	კვირაში ორჯერ ვცურავ.
two	ორი	ორი ადამიანი ელოდება.
type	ტიპი; აკრეფა	რა ტიპის მუსიკა გჭირდებათ?
umbrella	ქოლგა	ქოლგა აიღეთ.
uncle	ბიძა	ჩემი ბიძა კეთილია.
under	ქვეშ	ჩანთა მაგიდის ქვეშაა.
understand	გაგება	კითხვას ვიგებ.
university	უნივერსიტეტი	უნივერსიტეტი ახლოსაა.
until	-მდე	ხუთ საათამდე დაელოდეთ.
up	ზემოთ; ადგომა	ახლა ადექით.
upstairs	ზედა სართულზე	ჩემი ოთახი ზედა სართულზეა.
us	ჩვენ; ჩვენთვის	გთხოვთ, დაგვეხმარეთ.
use	გამოყენება	ეს კალამი გამოიყენეთ.
useful	სასარგებლო	ეს რუკა სასარგებლოა.
usually	ჩვეულებრივ	ჩვეულებრივ სახლში ფეხით მივდივარ.
vacation	შვებულება; არდადეგები	ჩვენი შვებულება ხვალ იწყება.
vegetable	ბოსტნეული	სტაფილო ბოსტნეულია.
very	ძალიან	ოთახი ძალიან მშვიდია.
video	ვიდეო	ამ ვიდეოს უყურეთ.
village	სოფელი	სოფელი პატარაა.
visit	სტუმრობა; მონახულება	დეიდას ვსტუმრობთ.
visitor	სტუმარი; ვიზიტორი	სტუმარი გარეთ ელოდება.
wait	ლოდინი	გთხოვთ, აქ დაელოდეთ.
waiter	მიმტანი	მიმტანს ჩაი მოაქვს.
wake	გაღვიძება	დილით ადრე ვიღვიძებ.
walk	სიარული; ფეხით წასვლა	სკოლაში ფეხით მივდივართ.
wall	კედელი	კედელი თეთრია.
want	სურვილი; საჭიროება	წყალი მინდა.
warm	თბილი	ოთახი თბილია.
wash	დაბანა; გარეცხვა	ხელები დაიბანეთ.
watch	ყურება; საათი	ტელევიზორს ვუყურებ.
water	წყალი; მორწყვა	ცოტა წყალი დალიეთ.
way	გზა; ხერხი	ეს გზა მოკლეა.
we	ჩვენ	ჩვენ ინგლისურს ვსწავლობთ.
wear	ჩაცმა; ტარება	ქურთუკი მაცვია.
