source_headword	KO	example_KO
absorb	흡수하다	수건이 물을 빨리 흡수합니다.
abstract	추상적인	그 강의는 추상적인 개념들을 다루었습니다.
accent	억양	그녀의 억양은 알아듣기 쉽습니다.
accidentally	우연히	저는 실수로 파일을 삭제했습니다.
accommodate	수용하다	이 호텔은 대가족을 수용할 수 있습니다.
accomplish	성취하다	그녀는 6월 전에 목표를 달성했습니다.
accountant	회계사	회계사가 송장을 확인했습니다.
accuracy	정확성	이 시험은 읽기 정확성을 측정합니다.
accurately	정확하게	그 지도는 경로를 정확하게 보여줍니다.
acid	산	그 산은 금속 표면을 손상시켰습니다.
activate	활성화하다	버튼을 눌러 알람을 작동시키세요.
addiction	중독	그의 중독은 업무에 영향을 미쳤습니다.
additionally	게다가	게다가 우리는 의자가 더 필요합니다.
adequate	적절한	그 방은 빛이 충분합니다.
adequately	적절하게	그 보고서는 문제를 충분히 설명했습니다.
adjust	조정하다	운전하기 전에 좌석을 조절하세요.
affordable	감당할 수 있는	그 아파트는 학생들이 감당할 수 있는 가격입니다.
agriculture	농업	농업은 많은 농촌 가정을 부양합니다.
AIDS	에이즈	의사들은 현대 의학으로 에이즈를 치료합니다.
alien	외계인	그 영화는 외계 행성을 보여줍니다.
alongside	~옆에	자전거 도로가 강과 나란히 이어져 있습니다.
altogether	완전히	전체적으로 그 프로젝트는 6주가 걸렸습니다.
ambulance	구급차	구급차가 몇 분 안에 도착했습니다.
amusing	재미있는	그 이야기는 재미있고 가벼웠습니다.
analyst	분석가	분석가가 판매 데이터를 검토했습니다.
ancestor	조상	나의 조상은 이 마을 근처에 살았습니다.
animation	애니메이션	애니메이션 덕분에 수업이 더 명확해졌습니다.
annually	매년	그 축제는 매년 열립니다.
anticipate	예상하다	우리는 내일 교통 체증이 심할 것으로 예상합니다.
anxiety	불안	불안은 수면을 방해할 수 있습니다.
apology	사과	그녀는 진심 어린 사과를 했습니다.
applicant	지원자	그 지원자는 새 이력서를 보냈습니다.
appropriately	적절하게	면접에 알맞게 옷을 입어주세요.
arrow	화살	화살표가 출구를 가리킵니다.
artwork	예술 작품	그 박물관은 지역 예술 작품을 전시했습니다.
aside	한쪽으로	그녀는 그가 지나가도록 한쪽으로 비켜섰습니다.
asset	자산	경험은 귀중한 자산입니다.
assign	할당하다	선생님은 오늘 숙제를 내주셨습니다.
assistance	지원	직원에게 도움을 요청하세요.
assumption	가정	그 가정은 틀렸을 수도 있습니다.
assure	보장하다	문이 잠겨 있다고 장담합니다.
astonishing	놀라운	절벽에서 바라보는 경치는 놀라웠습니다.
attachment	첨부 파일	그 이메일에는 첨부 파일이 있습니다.
auction	경매	그 그림은 경매에서 팔렸습니다.
audio	오디오의	오디오 녹음이 선명하게 들립니다.
automatic	자동의	그 문에는 자동 잠금장치가 있습니다.
automatically	자동으로	조명이 자동으로 켜집니다.
awareness	인식	그 캠페인은 대중의 인식을 높였습니다.
awkward	어색한	침묵이 어색하게 느껴졌습니다.
badge	배지	방문객은 배지를 착용해야 합니다.
balanced	균형 잡힌	균형 잡힌 식단에는 채소가 포함됩니다.
ballet	발레	그녀는 방과 후에 발레를 배웁니다.
balloon	풍선	풍선이 테이블 위로 떠올랐습니다.
barely	거의 ~않다	그는 안내 방송을 간신히 들었습니다.
bargain	싸게 산 물건	그 재킷은 정말 싸게 샀습니다.
basement	지하실	상자들은 지하실에 있습니다.
basket	바구니	그녀는 바구니에 사과를 담았습니다.
bat	방망이 / 박쥐	박쥐가 동굴 밖으로 날아갔습니다.
beneficial	유익한	규칙적인 운동은 건강에 유익합니다.
beside	~의 옆에	램프가 소파 옆에 서 있습니다.
besides	게다가 / ~외에	수학 외에도 그는 화학을 공부합니다.
bias	편견	그 기사는 명백한 편향을 보였습니다.
bid	입찰	그 회사는 더 높은 입찰가를 제시했습니다.
biological	생물학적인	생물학적 검사가 결과를 확인해주었습니다.
blanket	담요	아이는 담요를 덮고 잤습니다.
blow	타격	강한 타격으로 창문이 깨졌습니다.
bold	대담한	그 제목은 굵은 글씨체를 사용했습니다.
bombing	폭격	폭격으로 여러 건물이 손상되었습니다.
booking	예약	저는 호텔 예약을 확인했습니다.
boost	증대 / 상승	그 승리는 팀의 자신감을 높였습니다.
bound	얽매인 / ~할 것 같은	그 소포는 끈으로 묶여 있었습니다.
brick	벽돌	그 벽은 벽돌로 만들어졌습니다.
briefly	짧게	그녀는 점심 식사 후 짧게 이야기했습니다.
broadcaster	방송인 / 방송국	방송인이 시장을 인터뷰했습니다.
broadly	대략적으로	그 두 계획은 대체로 비슷합니다.
bug	벌레 / 버그	버그 때문에 앱이 다운되었습니다.
cabin	오두막 / 객실	우리는 작은 오두막에 머물렀습니다.
canal	운하	보트들이 운하를 따라 천천히 이동했습니다.
candle	양초	테이블 위에서 양초가 타오르고 있었습니다.
carbon	탄소	나무는 공기 중의 탄소를 흡수합니다.
casual	캐주얼한 / 무심한	그는 직장에 평상복을 입고 갔습니다.
cave	동굴	등산객들이 동굴로 들어갔습니다.
certainty	확실성	우리는 확실히 알 수 없습니다.
certificate	증명서	그녀는 훈련 수료증을 받았습니다.
challenging	도전적인	그 과정은 힘들었지만 유용했습니다.
championship	선수권 대회	우리 팀은 챔피언십 결승전에 진출했습니다.
charming	매력적인	그 오래된 거리는 매력적으로 보였습니다.
chase	추적 / 쫓다	개가 공을 쫓아갔습니다.
cheek	뺨	눈물이 그녀의 뺨을 타고 흘러내렸습니다.
cheer	환호	군중이 큰 소리로 환호하기 시작했습니다.
choir	합창단	합창단이 아름답게 노래했습니다.
chop	자르다 / 썰다	양파를 잘게 써세요.
circuit	회로 / 순회	주자가 코스를 완주했습니다.
civilization	문명	고대 문명이 이 지역을 형성했습니다.
clarify	명확히 하다	마지막 요점을 명확히 해주세요.
classify	분류하다	과학자들은 동물을 종별로 분류합니다.
clerk	점원 / 사무원	점원이 영수증을 인쇄했습니다.
cliff	절벽	길은 절벽 근처에서 끝납니다.
clinic	진료소	진료소는 8시에 문을 엽니다.
clip	클립 / 짧은 영상	그녀는 종이에 클립을 끼웠습니다.
coincidence	우연의 일치	거기서 그를 만난 것은 우연이었습니다.
collector	수집가	그 수집가는 희귀한 동전을 샀습니다.
colony	식민지	개미들은 큰 군집을 이루었습니다.
colourful	다채로운	시장은 밝고 화려했습니다.
comic	만화	코믹한 장면이 우리를 웃게 만들었습니다.
commander	지휘관	사령관은 명확한 명령을 내렸습니다.
comparative	비교의	그 에세이는 비교 데이터를 사용합니다.
completion	완료	다리가 거의 완성되어 갑니다.
compose	구성하다	그는 영화 음악을 작곡할 것입니다.
composer	작곡가	작곡가가 새 노래를 썼습니다.
compound	화합물	그 화합물은 두 가지 화학 물질을 포함합니다.
comprehensive	포괄적인	그 안내서는 포괄적인 지침을 제공합니다.
comprise	포함하다	그 팀은 다섯 명의 멤버로 구성됩니다.
compulsory	의무적인	이 수업의 출석은 의무적입니다.
concrete	콘크리트	바닥은 콘크리트로 되어 있습니다.
confess	고백하다	그는 선생님에게 실수를 고백했습니다.
confusion	혼란	지연이 혼란을 일으켰습니다.
consequently	결과적으로	비가 내렸고, 그 결과 경기가 중단되었습니다.
conservation	보존	자연 보호는 희귀 동물을 보호합니다.
considerable	상당한	수리하는 데 상당한 시간이 걸렸습니다.
considerably	상당히	올해 가격이 상당히 올랐습니다.
consistently	일관되게	그녀는 항상 일관되게 잘 해냅니다.
conspiracy	음모	경찰은 그 음모를 조사했습니다.
consult	상담하다	약을 먹기 전에 의사와 상담하세요.
consultant	컨설턴트	컨설턴트가 새로운 전략을 제안했습니다.
consumption	소비	지난달 에너지 소비량이 줄었습니다.
controversial	논란이 많은	그 정책은 여전히 논란의 여지가 있습니다.
controversy	논란	그 결정은 논란을 일으켰습니다.
convenience	편의	그 가게는 큰 편리함을 제공합니다.
convention	관습	연례 대회가 월요일에 시작됩니다.
conventional	전통적인	그는 전통적인 디자인을 선택했습니다.
convey	전달하다	그 메시지는 위로의 뜻을 전달했습니다.
convincing	설득력 있는	그녀의 설명은 설득력이 있었습니다.
cope	대처하다	그녀는 스트레스에 대처하는 법을 배웠습니다.
corporation	기업	그 기업은 새 사무실을 열었습니다.
