source_headword	VI	example_VI
heal	chữa lành	Sự nghỉ ngơi giúp cơ thể chữa lành.
healthcare	chăm sóc sức khỏe	Chi phí chăm sóc sức khỏe đã tăng trong năm nay.
helmet	mũ bảo hiểm	Hãy đội mũ bảo hiểm khi đi xe đạp.
hence	vì thế	Vì thế, chúng tôi đã đổi lịch.
herb	thảo mộc	Húng quế là một loại thảo mộc hữu ích.
hidden	giấu	Chìa khóa được giấu dưới thảm.
highway	đường cao tốc	Đường cao tốc đã bị đóng sau khi có tuyết.
hilarious	vui nhộn	Bộ phim thật vui nhộn.
hip	hông	Cô ấy bị đau hông trong lúc tập.
historian	nhà sử học	Nhà sử học đã nghiên cứu những lá thư cũ.
homeless	vô gia cư	Khu tạm trú giúp các gia đình vô gia cư.
honesty	sự trung thực	Sự trung thực xây dựng niềm tin.
hook	cái móc	Hãy treo áo khoác lên cái móc.
hopefully	hy vọng là	Hy vọng là tàu sẽ đến sớm.
hunger	cơn đói	Cơn đói có thể ảnh hưởng đến sự tập trung.
hypothesis	giả thuyết	Cuộc thí nghiệm đã kiểm tra giả thuyết.
icon	biểu tượng	Biểu tượng ứng dụng đã thay đổi hôm nay.
ID	giấy CMND	Hãy trình giấy CMND ở quầy lễ tân.
identical	giống hệt	Cặp sinh đôi mặc áo khoác giống hệt nhau.
illusion	ảo ảnh	Tấm gương tạo ra một ảo ảnh.
immigration	sự nhập cư	Chính sách nhập cư đã thay đổi vào năm ngoái.
immune	miễn dịch	Việc tiêm vaccine có thể làm cho con người được miễn dịch.
implement	thực hiện	Trường học sẽ thực hiện chính sách này.
implication	hàm ý	Hàm ý đó đã rõ ràng.
incentive	sự khích lệ	Tiền thưởng đã tạo sự khích lệ cho công nhân.
incorporate	kết hợp	Hãy kết hợp thêm rau vào bữa ăn.
incorrect	không đúng	Câu trả lời không đúng.
independence	sự độc lập	Đất nước đã ăn mừng sự độc lập.
index	chỉ mục	Hãy kiểm tra chỉ mục để tìm chủ đề.
indication	dấu hiệu	Nụ cười là một dấu hiệu của sự nhẹ nhõm.
inevitable	không thể tránh khỏi	Một chút chậm trễ là không thể tránh khỏi.
inevitably	một cách tất yếu	Giá cả đã tất yếu tăng sau khi thiếu hụt.
infer	suy ra	Chúng ta có thể suy ra câu trả lời từ ngữ cảnh.
inflation	lạm phát	Lạm phát làm tăng giá thực phẩm.
