source_headword	RU	example_RU
rock (music)	рок	Я люблю рок-музыку.
role	роль	Её роль важна.
roof	крыша	Крыше нужен ремонт.
round	круглый; вокруг	Стол круглый.
route	маршрут	Этот маршрут короче.
rubbish	мусор	Вынесите мусор на улицу.
rude	грубый	Этот комментарий был грубым.
runner	бегун	Бегун выглядит уставшим.
running	бег	Бег помогает мне быть здоровым.
sadly	к сожалению; грустно	К сожалению, мы пропустили поезд.
safe	безопасный	Эта улица кажется безопасной.
sail	плыть под парусом; парус	Мы плывём под парусом в субботу.
sailing	парусный спорт	Парусный спорт здесь популярен.
salary	зарплата	Теперь его зарплата выше.
sale	распродажа	Распродажа начинается завтра.
sauce	соус	Добавьте соус к рису.
save	сохранить; сберечь	Сохраните работу сейчас.
scared	испуганный	Ребёнок испуган.
scary	страшный	Эта история страшная.
scene	сцена	Последняя сцена была смешной.
schedule	расписание; планировать	Проверьте расписание сегодня.
score	счёт; набрать очки	Какой счёт?
screen	экран	Аккуратно очистите экран.
search	искать; поиск	Поищите фотографии в интернете.
season	сезон; время года	Лето — оживлённый сезон.
seat	место; сиденье	Займите это место, пожалуйста.
second1 (next after the first)	во-вторых	Во-вторых, вымойте руки.
secondly	во-вторых	Во-вторых, проверьте ответ.
secret	секрет; тайный	Храните этот секрет.
secretary	секретарь	Секретарь сегодня позвонил.
seem	казаться	Ты кажешься уставшим.
sense	смысл; чувство	В этом плане есть смысл.
separate	отдельный; разделять	Держите бумаги отдельно.
series	серия	Эта серия популярна.
serious	серьёзный	Эта проблема серьёзная.
serve	подавать; обслуживать	Они подают обед в полдень.
service	сервис; обслуживание	Обслуживание было быстрым.
several	несколько	Несколько студентов пришли рано.
shake	тряхнуть; встряхивать	Сначала встряхните бутылку.
shall modal	давай; следует	Давай начнём сейчас?
shape	форма	Нарисуйте квадратную форму.
sheet	простыня; лист	Положите простыню на кровать.
ship	корабль	Корабль сегодня ушёл.
shoulder	плечо	У меня болит плечо.
shout	кричать; крик	Не кричите в классе.
shut	закрыть; закрытый	Закройте окно, пожалуйста.
side	сторона	Сядьте на эту сторону.
sign	знак; подписывать	Внимательно прочитайте знак.
silver	серебро; серебряный	Серебро — яркий металл.
simple	простой	Это упражнение простое.
since	с; с тех пор как	Я жду с полудня.
singing	пение	Пение помогает мне расслабиться.
single	один; отдельный	Я купил один билет.
sir	сэр	Сэр, ваша сумка готова.
site	сайт; место	Этот сайт безопасен.
size	размер	Какой размер вам нужен?
ski	кататься на лыжах; лыжа	Мы катаемся на лыжах зимой.
skiing	катание на лыжах	Зимой кататься на лыжах весело.
skin	кожа	Её кожа сухая.
sky	небо	Небо ясное.
slowly	медленно	Идите медленно по льду.
smartphone	смартфон	Мой смартфон новый.
smell	пахнуть; запах	Суп хорошо пахнет.
smile	улыбаться; улыбка	Улыбнитесь для камеры.
smoke	дым; курить	Дым заполнил комнату.
smoking	курение	Курение запрещено.
soap	мыло	Используйте мыло и воду.
soccer	футбол	Футбол здесь популярен.
social	социальный; общественный	Это общественное событие.
society	общество	Общество меняется со временем.
sock	носок	Один носок пропал.
soft	мягкий	Это одеяло мягкое.
soldier	солдат	Солдат вернулся домой.
solution	решение	Мы нашли решение.
solve	решать	Решите эту головоломку.
somewhere	где-нибудь; куда-нибудь	Положите это куда-нибудь в безопасное место.
sort	вид; сортировать	Какой вид вам нужен?
source	источник	Сначала проверьте источник.
speaker	динамик; выступающий	Динамик был громким.
specific	конкретный	Мне нужен конкретный ответ.
speech	речь	Её речь была короткой.
speed	скорость	Снизьте скорость здесь.
spider	паук	Паук на стене.
spoon	ложка	Используйте ложку для супа.
square	квадратный; площадь	Нарисуйте квадратную коробку.
stage	сцена; этап	Группа на сцене.
stair	ступенька	Ступенька сломана.
stamp	марка; штамп	Наклейте марку на письмо.
state	штат; состояние; заявлять	Чётко назовите своё имя.
steal	красть	Не крадите деньги.
step	шаг; ступень	Сделайте один шаг вперёд.
stomach	живот; желудок	У меня болит живот.
stone	камень	Камень тяжёлый.
store	магазин; хранить	Магазин закрывается рано.
storm	буря; шторм	Приближается буря.
straight	прямо; прямой	Идите прямо домой.
strange	странный	Этот звук странный.
strategy	стратегия	Нам нужна стратегия.
stress	стресс; напряжение	Работа может вызывать стресс.
structure	структура; сооружение	Это сооружение прочное.
stupid	глупый	Это была глупая ошибка.
succeed	преуспеть; добиться успеха	Здесь ты можешь добиться успеха.
successful	успешный	Она стала успешной.
such	такой	Такая помощь полезна.
suddenly	вдруг; внезапно	Вдруг собака убежала.
suggest	предлагать	Я предлагаю короткий перерыв.
suggestion	предложение	Ваше предложение полезно.
suit	костюм; подходить	Этот костюм дорогой.
support	поддерживать; поддержка	Мы поддерживаем нашу команду.
suppose	полагать	Полагаю, ты прав.
surprise	сюрприз; удивлять	Сюрприз сделал её счастливой.
surprised	удивлённый	Сегодня она была удивлена.
surprising	удивительный	Результат был удивительным.
survey	опрос	Пожалуйста, заполните опрос.
sweet	сладкий; сладость	Этот чай сладкий.
symbol	символ	Этот символ означает опасность.
system	система	Система работает хорошо.
tablet	планшет	Мой планшет на столе.
target	цель; мишень	Аккуратно поразите цель.
task	задача	Эта задача лёгкая.
taste	вкус; пробовать	Сначала попробуйте суп.
teaching	преподавание	Преподавание — трудная работа.
technology	технология	Технологии быстро меняются.
teenage	подростковый	Мой брат-подросток усердно учится.
temperature	температура	Температура низкая.
term	срок; термин; семестр	Этот семестр скоро заканчивается.
themselves	сами; себя	Они сами приготовили ужин.
thick	толстый	Эта книга толстая.
thief	вор	Вор убежал.
thin	тонкий	Бумага тонкая.
thinking	мышление; размышление	Размышление требует времени.
thought	мысль	У меня была странная мысль.
throw	бросать	Бросьте мяч мягко.
tidy	аккуратный; убирать	Держите комнату в порядке.
tie	завязывать; галстук	Завяжите обувь сейчас.
tip	чаевые; совет	Оставьте чаевые за обслуживание.
tool	инструмент	Используйте правильный инструмент.
top	верхний; верх	Верхняя полка заполнена.
touch	трогать; прикосновение	Не трогайте стекло.
tour	тур; экскурсия	Мы взяли экскурсию по городу.
tourism	туризм	Туризм помогает этому городу.
towards	к; по направлению к	Идите к станции.
towel	полотенце	Принесите чистое полотенце.
tower	башня	Башня очень старая.
toy	игрушка; игрушечный	Игрушечная машина красная.
track	путь; трек	Путь идёт на север.
tradition	традиция	Эта традиция старая.
traditional	традиционный	Она носила традиционную одежду.
trainer	тренер; кроссовок	Мой тренер помогает мне.
training	тренировка; обучение	Тренировка начинается завтра.
transport	транспорт; перевозить	Общественный транспорт опаздывает.
traveller	путешественник	Путешественник попросил помощи.
trouble	проблема; неприятность	Вчера у нас была проблема.
truck	грузовик	Грузовик стоит снаружи.
twin	близнец	Моя сестра-близнец выше.
typical	типичный	Это типичный день.
underground	подземный; под землёй	Поезд идёт под землёй.
understanding	понимание	Ваше понимание верно.
unfortunately	к сожалению	К сожалению, магазин закрыт.
unhappy	несчастный; недовольный	Он выглядит несчастным.
uniform	форма	Она носит школьную форму.
unit	единица; блок	Этот блок маленький.
united	объединённый	Команда оставалась объединённой.
unusual	необычный	Этот звук необычный.
used to modal	раньше	Раньше мы жили здесь.
user	пользователь	У каждого пользователя есть номер.
usual	обычный	Я занял своё обычное место.
valley	долина	Долина зелёная.
van	фургон	Фургон полный.
variety	разнообразие	Нам нужно больше разнообразия.
vehicle	транспортное средство	Это транспортное средство медленное.
view	вид; смотреть	Вид красивый.
virus	вирус	Вирус сделал его больным.
voice	голос	Её голос тихий.
war	война	Война закончилась много лет назад.
washing	стирка; бельё	Бельё сушится снаружи.
wave	волна; махать	Волна ударила по лодке.
weak	слабый	Мои ноги слабые.
web	интернет; сеть	Веб-страница открыта.
wedding	свадьба	Свадьба скоро начнётся.
weight	вес	Сначала проверьте вес.
wet	мокрый	Мои ботинки мокрые.
wheel	колесо	Колесо сломано.
while	пока; некоторое время	Подождите здесь некоторое время.
whole	весь; целый	Я съел всё яблоко.
whose	чей	Чей это телефон?
wide	широкий	Дорога широкая.
wild	дикий	Дикие животные живут здесь.
wind1	ветер	Ветер сильный.
winner	победитель	Победитель улыбнулся.
wish	желание; желать	Загадайте желание.
wood	дерево; древесина	Стул сделан из дерева.
wooden	деревянный	Деревянная коробка тяжёлая.
working	рабочий	Рабочий день закончился.
worried	обеспокоенный	Сегодня я обеспокоен.
worry	беспокоиться	Не беспокойтесь сейчас.
worse	хуже	Эта боль хуже.
worst	худший	Это был худший день.
wow	вау	Вау, это удивительно!
yet	ещё; уже	Мы уже там?
yours	твой; ваш	Эта книга ваша.
zero	ноль	Считайте назад до нуля.
