source_headword	NE	example_NE
toss	फ्याँक्नु	उनले चाबीहरू टेबुलमा फ्याँकिन्।
total	कुल	मर्मतको कुल खर्च अपेक्षाभन्दा बढी भयो।
toxic	विषाक्त	विषाक्त धुवाँले सबैलाई बाहिर निस्कन बाध्य बनायो।
trademark	ट्रेडमार्क	लोगो कम्पनीको ट्रेडमार्क बन्यो।
trail	बाटो	त्यो बाटो जङ्गल हुँदै गएको थियो।
trailer	ट्रेलर	ट्रेलरले चलचित्रको अन्त्य देखायो।
transaction	कारोबार	मेरो बैंक स्टेटमेन्टमा कारोबार देखियो।
transcript	ट्रान्सक्रिप्ट	विद्यार्थीले आधिकारिक ट्रान्सक्रिप्ट अनुरोध गरे।
transformation	रूपान्तरण	सहरले ठूलो रूपान्तरण देख्यो।
transit	ढुवानी	ढुवानीको क्रममा प्याकेजमा क्षति पुगेको थियो।
transmission	प्रसारण	डाटाको प्रसारण सुरक्षित थियो।
transparency	पारदर्शिता	प्रतिवेदनले थप पारदर्शिताको माग गर्‍यो।
transparent	पारदर्शी	प्रक्रिया सबैका लागि पारदर्शी हुनुपर्छ।
trauma	आघात	दुर्घटनाले गहिरो आघात पुर्‍यायो।
treaty	सन्धि	देशहरूले शान्ति सन्धिमा हस्ताक्षर गरे।
tremendous	असाधारण	टोलीले असाधारण प्रगति गर्‍यो।
tribal	आदिवासी	सङ्ग्रहालयले आदिवासी कला प्रदर्शन गर्‍यो।
tribunal	न्यायाधिकरण	न्यायाधिकरणले हप्ताभर प्रमाणहरू सुन्यो।
tribute	श्रद्धाञ्जली	कन्सर्ट उनलाई एक श्रद्धाञ्जली थियो।
trio	त्रिकुट	त्रिकुटले महोत्सवमा प्रस्तुति दिए।
triumph	विजय	त्यो जित एक व्यक्तिगत विजय थियो।
trophy	ट्रफी	कप्तानले गर्वका साथ ट्रफी उठाए।
troubled	समस्याग्रस्त	समस्याग्रस्त कम्पनीलाई नयाँ नेतृत्वको आवश्यकता थियो।
trustee	ट्रस्टी	ट्रस्टीले छात्रवृत्ति कोषको व्यवस्थापन गर्छन्।
tuition	ट्युसन शुल्क	उनको ट्युसन शुल्क यस वर्ष बढ्यो।
turnout	उपस्थिति	मतदाताको उपस्थिति अपेक्षाभन्दा बढी थियो।
turnover	कर्मचारी फेरबदल	परिवर्तनहरूपछि कर्मचारी फेरबदल दर घट्यो।
twist	बटार्नु	उनले बिर्कोलाई बटारेर खोलिन्।
undergraduate	स्नातक तहको विद्यार्थी	स्नातक तहका विद्यार्थी एक अनुसन्धान परियोजनामा सामेल भए।
underlying	अन्तर्निहित	प्रतिवेदनले अन्तर्निहित कारणहरू व्याख्या गर्‍यो।
undermine	कमजोर बनाउनु	काण्डले जनविश्वास कमजोर बनायो।
undoubtedly	निस्सन्देह	उनी निस्सन्देह सबैभन्दा उत्कृष्ट उम्मेदवार हुन्।
unify	एकताबद्ध गर्नु	योजनाको उद्देश्य टोलीहरूलाई एकताबद्ध गर्नु हो।
unprecedented	अभूतपूर्व	आँधीले अभूतपूर्व क्षति पुर्‍यायो।
unveil	सार्वजनिक गर्नु	कम्पनीले भोलि डिजाइन सार्वजनिक गर्नेछ।
upcoming	आगामी	आगामी चुनावले जनताको ध्यान तान्यो।
