source_headword	TE	example_TE
fridge	ఫ్రిజ్	పాలు ఫ్రిజ్‌లో ఉన్నాయి.
frog	కప్ప	ఒక కప్ప చెరువులోకి దూకింది.
furniture	ఫర్నిచర్	ఈ ఫర్నిచర్ పాతది కానీ బలంగా ఉంది.
further	మరింత	మాకు మరింత సమాచారం కావాలి.
gallery	ప్రదర్శనశాల	ప్రదర్శనశాల ఈ రోజు తెరిచి ఉంది.
gap	ఖాళీ	గోడలో ఒక ఖాళీ ఉంది.
gas	వాయువు	కారుకు వాయువు కావాలి.
gate	గేటు	దయచేసి గేటు మూయి.
general	సాధారణ	ఇది ఒక సాధారణ నియమం.
gift	బహుమతి	ఆమె ఒక బహుమతి కొన్నది.
goal	లక్ష్యం	మా లక్ష్యం సరళమైనది.
god	దేవుడు	చాలా మంది దేవునికి ప్రార్థిస్తారు.
gold	బంగారం	ఉంగరం బంగారు రంగులో ఉంది.
golf	గోల్ఫ్	అతను ఈ రోజు గోల్ఫ్ ఆడుతున్నాడు.
government	ప్రభుత్వం	ప్రభుత్వం చట్టాన్ని మార్చింది.
grass	గడ్డి	గడ్డి తడిగా ఉంది.
greet	అభివాదం చేయు	ప్రతి అతిథిని మర్యాదగా అభివాదం చేయు.
ground	నేల	నేలపై కూర్చో.
guest	అతిథి	మా అతిథి ముందుగానే వచ్చాడు.
guide	మార్గదర్శి	మార్గదర్శి మ్యూజియాన్ని చూపించాడు.
gun	తుపాకీ	పోలీసులు ఒక తుపాకీ కనుగొన్నారు.
guy	వ్యక్తి	ఆ వ్యక్తి నా అన్న.
habit	అలవాటు	ప్రతిరోజూ చదవడం మంచి అలవాటు.
hall	మండపం	మండపంలో వేచి ఉండు.
happily	సంతోషంగా	వారు కలిసి సంతోషంగా జీవించారు.
headache	తలనొప్పి	నాకు తలనొప్పి ఉంది.
heart	హృదయం	ఆమె హృదయం వేగంగా కొడుతుంది.
heat	వేడి	సూప్‌ను నెమ్మదిగా వేడి చేయు.
heavy	బరువైన	ఈ సంచి బరువుగా ఉంది.
height	ఎత్తు	మెజ్ ఎత్తు కొలువు.
helpful	ఉపయోగకరమైన	నీ సలహా ఉపయోగకరంగా ఉంది.
hero	వీరుడు	అతను నా వీరుడు.
hers	ఆమెది	నీలి కోటు ఆమెది.
herself	ఆమె స్వయంగా	ఆమె స్వయంగా రాత్రి భోజనం చేసింది.
hide	దాచు	తాళం చెవిని పెట్టె కింద దాచు.
hill	కొండ	మేము కొండ ఎక్కాము.
himself	అతనే	అతనే దాన్ని సరి చేశాడు.
hit	కొట్టు	తలుపును కొట్టవద్దు.
hockey	హాకీ	మేము నిన్న రాత్రి హాకీ చూశాము.
hold	పట్టు	నా చేతిని పట్టు.
hole	రంధ్రం	నా సాక్స్‌లో ఒక రంధ్రం ఉంది.
huge	విశాలమైన	గది చాలా విశాలంగా ఉంది.
human	మనిషి	ప్రతి మనిషికి నీరు అవసరం.
hurt	నొప్పి పెట్టు	నా మోకాలి నొప్పిగా ఉంది.
ideal	ఆదర్శమైన	ఈ గది చదువుకు ఆదర్శంగా ఉంది.
identify	గుర్తించు	ఈ పక్షిని గుర్తించగలవా?
ill	అనారోగ్యంగా	ఆమెకు ఈ రోజు అనారోగ్యంగా ఉంది.
illness	వ్యాధి	వ్యాధి ఒక వారం కొనసాగింది.
image	చిత్రం	చిత్రం స్పష్టంగా ఉంది.
immediately	వెంటనే	వెంటనే ఇక్కడికి రా.
impossible	అసాధ్యమైన	ఈ పజిల్ అసాధ్యంగా కనిపిస్తోంది.
included	చేర్చబడిన	ఉదయభోజనం చేర్చబడింది.
including	సహా	నన్ను సహా పది మంది వచ్చారు.
increase	పెరుగు	వేసవిలో ధరలు పెరుగుతాయి.
incredible	నమ్మశక్యం కాని	దృశ్యం నమ్మశక్యం కానిది.
independent	స్వతంత్ర	నా చెల్లి స్వతంత్రురాలు.
individual	వ్యక్తి	ప్రతి వ్యక్తికి ఒక సంఖ్య ఉంది.
industry	పరిశ్రమ	స్థానిక పరిశ్రమ పెరుగుతోంది.
informal	అనౌపచారిక	ఈ ఇమెయిల్ అనౌపచారికంగా ఉంది.
injury	గాయం	అతని గాయం తీవ్రంగా లేదు.
insect	పురుగు	ఒక పురుగు కప్పుపై దిగింది.
inside	లోపల	ఇంటి లోపల వేచి ఉండు.
instead	బదులుగా	బదులుగా నీరు తాగు.
instruction	సూచన	ప్రతి సూచనను జాగ్రత్తగా చదువు.
instructor	బోధకుడు	బోధకుడు వ్యాయామాన్ని వివరించాడు.
instrument	వాద్యం	ఆమె ఒక వాద్యం వాయిస్తుంది.
intelligent	తెలివైన	అతను తెలివైన విద్యార్థి.
international	అంతర్జాతీయ	ఇది అంతర్జాతీయ విమానాశ్రయం.
introduction	పరిచయం	పరిచయం చిన్నది.
invent	కనుగొను	పిల్లలు కొత్త ఆటలను కనుగొనగలరు.
invention	ఆవిష్కరణ	ఆవిష్కరణ సమయాన్ని ఆదా చేసింది.
