simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO
爱情	miłość; miłość romantyczna	To wzruszająca historia miłosna.	de liefde; romantische liefde	Dit is een ontroerend liefdesverhaal.	kärlek; romantisk kärlek	Det här är en gripande kärlekshistoria.	kjærlighet; romantisk kjærlighet	Dette er en rørende kjærlighetshistorie.
安排	planować; organizować	Jakie masz plany na ten weekend?	regelen; plannen	Wat zijn je plannen voor dit weekend?	ordna; planera	Vilka planer har du för den här helgen?	ordne; planlegge	Hvilke planer har du for denne helgen?
安全	bezpieczny; bezpieczeństwo	Proszę uważać na bezpieczeństwo.	veilig; de veiligheid	Let alstublieft op uw veiligheid.	säker; säkerhet	Var försiktig och tänk på säkerheten.	trygg; sikkerhet	Vær forsiktig og pass på sikkerheten.
按时	na czas; punktualnie	Wykonałem zadanie na czas.	op tijd	Ik heb de taak op tijd afgerond.	i tid	Jag slutförde uppgiften i tid.	i tide	Jeg fullførte oppgaven i tide.
按照	zgodnie z; według	Ten plan jest bardzo dobry, po prostu zrób zgodnie z nim.	volgens; overeenkomstig	Dit plan is heel goed, volg het gewoon.	enligt; i enlighet med	Den här planen är mycket bra, följ den bara.	ifølge; i henhold til	Denne planen er veldig god, bare følg den.
百分之	procent	Osiemdziesiąt procent zadania jest ukończone.	het procent	Tachtig procent van de taak is voltooid.	procent	Åttio procent av uppgiften är färdig.	prosent	Åtti prosent av oppgaven er fullført.
棒	świetny; znakomity	Twoje pismo jest świetne!	geweldig; uitstekend	Je handschrift is geweldig!	fantastisk; utmärkt	Din handstil är fantastisk!	flott; utmerket	Håndskriften din er kjempeflott!
包子	bułeczka bao; bułka na parze	Bułeczki bao w tej restauracji smakują bardzo dobrze.	het gestoomde broodje	De gestoomde broodjes in dit restaurant smaken erg goed.	en baozi; en ångad fylld bulle	De ångade bullarna på den här restaurangen smakar väldigt gott.	en baozi; en dampet fylt bolle	De dampede bollene på denne restauranten smaker veldig godt.
保护	chronić; ochraniać	Ludzie powinni chronić środowisko.	beschermen	Mensen moeten het milieu beschermen.	skydda	Människor bör skydda miljön.	beskytte	Folk bør beskytte miljøet.
保证	gwarancja; gwarantować	Obiecuję, że już się nie spóźnię.	de garantie; garanderen	Ik beloof dat ik niet meer te laat zal zijn.	en garanti; garantera	Jag lovar att jag inte kommer för sent igen.	en garanti; garantere	Jeg lover at jeg ikke kommer for sent igjen.
报名	zapisać się; rejestracja	Jakie materiały są potrzebne do rejestracji?	zich inschrijven; de inschrijving	Welke documenten zijn nodig voor de inschrijving?	anmäla sig; anmälan	Vilka material behövs för anmälan?	melde seg på; påmelding	Hvilke dokumenter trengs for påmeldingen?
抱	trzymać w ramionach; przytulić	On wziął dziecko na ręce.	vasthouden; knuffelen	Hij pakte het kind op.	hålla i famnen; krama	Han tog upp barnet i famnen.	holde i armene; klemme	Han tok barnet opp i armene.
抱歉	przepraszam; czuć przykrość	Bardzo przepraszam, że kazałem ci tak długo czekać.	sorry; excuses aanbieden	Het spijt me erg dat ik je zo lang heb laten wachten.	ledsen; be om ursäkt	Jag är väldigt ledsen att du fick vänta så länge.	beklager; be om unnskyldning	Jeg beklager veldig at jeg lot deg vente så lenge.
倍	razy; krotność	Liczba studentów zagranicznych w naszej szkole podwoiła się w porównaniu z zeszłym rokiem.	de keer; maal	Het aantal buitenlandse studenten op onze school is verdubbeld vergeleken met vorig jaar.	gånger; en gång	Antalet internationella studenter på vår skola har fördubblats jämfört med förra året.	ganger; en gang	Antallet internasjonale studenter ved skolen vår er doblet sammenlignet med i fjor.
本来	pierwotnie; z początku	Miałem obejrzeć występ, ale nagle coś wypadło.	oorspronkelijk; eigenlijk	Ik zou eigenlijk naar de voorstelling gaan kijken, maar er kwam plotseling iets tussen.	egentligen; från början	Jag skulle egentligen se föreställningen, men något dök plötsligt upp.	opprinnelig; egentlig	Jeg skulle egentlig se forestillingen, men det dukket plutselig opp noe.
笨	głupi; nierozgarnięty	Nie jesteś głupi, musisz tylko bardziej się postarać.	dom; onhandig	Je bent niet dom, je moet gewoon harder werken.	dum; korkad	Du är inte dum, du behöver bara anstränga dig mer.	dum; klønete	Du er ikke dum, du må bare jobbe hardere.
比如	na przykład	Mam wiele hobby, na przykład pływanie i czytanie.	bijvoorbeeld	Ik heb veel hobby's, bijvoorbeeld zwemmen en lezen.	till exempel	Jag har många hobbyer, till exempel simning och läsning.	for eksempel	Jeg har mange hobbyer, for eksempel svømming og lesing.
毕业	ukończyć szkołę; ukończenie studiów	W tym roku jestem na trzecim roku, a w przyszłym roku kończę studia.	afstuderen; het afstuderen	Ik zit dit jaar in het derde jaar en studeer volgend jaar af.	ta examen; examen	Jag går tredje året i år och tar examen nästa år.	ta eksamen; bli ferdig med studiene	Jeg går tredje året i år og blir ferdig neste år.
