source_headword	PL	example_PL
ability	umiejętność; zdolność	Jej umiejętność pływania jest jasna.
able	zdolny; w stanie	On może przyjść dzisiaj.
abroad	za granicą	Ona chce studiować za granicą.
accept	zaakceptować; przyjąć	Proszę przyjąć ten mały prezent.
accident	wypadek	Wypadek zdarzył się blisko szkoły.
according to	według; zgodnie z	Według raportu nadchodzi deszcz.
achieve	osiągnąć	Możesz osiągnąć swój cel.
act	grać; działać	On może grać w sztuce.
active	aktywny; czynny	Ona jest aktywna każdego dnia.
actually	właściwie; tak naprawdę	Właściwie potrzebuję więcej czasu.
advantage	zaleta; przewaga	Ten plan ma zaletę.
adventure	przygoda	Ich podróż była przygodą.
advertise	reklamować	Oni reklamują nową pracę.
advertisement	reklama	Widziałem reklamę.
advertising	reklama; reklamowanie	Reklama pomaga sprzedawać jedzenie.
affect	wpływać na	Sen może wpływać na zdrowie.
against	przeciwko; oparty o	Nie opieraj się o ścianę.
ah	ach; aha	Aha, teraz rozumiem.
airline	linia lotnicza	Linia lotnicza jest bardzo zajęta.
alive	żywy; przy życiu	Mała ryba jest żywa.
all right	w porządku; dobrze	Wszystko jest teraz w porządku.
allow	pozwalać; zezwalać	Pozwalają tu na psy.
almost	prawie	Jesteśmy prawie gotowi.
alone	sam; samotnie	Ona mieszka sama.
along	wzdłuż; po	Idź wzdłuż tej drogi.
already	już	Znam już odpowiedź.
alternative	alternatywa; inna możliwość	Ten pociąg jest alternatywą.
although	chociaż; mimo że	Chociaż jest późno, możemy zostać.
among	wśród; między	On stał wśród drzew.
amount	ilość; kwota	Ilość jest zbyt mała.
ancient	starożytny; dawny	Ten starożytny mur jest słynny.
ankle	kostka; staw skokowy	Dzisiaj boli mnie kostka.
anybody	ktokolwiek; ktoś	Czy ktokolwiek może na to odpowiedzieć?
any more	już więcej; więcej	Nie potrzebuję już więcej.
anyway	w każdym razie; i tak	W każdym razie możemy zacząć teraz.
anywhere	gdziekolwiek; gdzieś	Usiądź gdziekolwiek chcesz.
app	aplikacja; app	Ta aplikacja jest przydatna.
appear	pojawiać się; wydawać się	Jej imię pojawi się tutaj.
appearance	wygląd; pojawienie się	Jego wygląd jest inny.
apply	ubiegać się; stosować	Zgłoś się do pracy dzisiaj.
architect	architekt	Architekt ma plan.
architecture	architektura	Lubię nowoczesną architekturę.
argue	kłócić się; spierać się	Nie kłóć się z siostrą.
argument	kłótnia; argument	Kłótnia była krótka.
army	armia; wojsko	Armia jest duża.
arrange	zorganizować; ułożyć	Proszę zorganizować spotkanie.
arrangement	ustalenie; układ	To ustalenie działa dobrze.
asleep	śpiący; we śnie	Dziecko śpi.
assistant	asystent; pomocnik	Asystent mi pomógł.
athlete	sportowiec; atleta	Sportowiec biega szybko.
attack	atak; zaatakować	Pies może zaatakować.
attend	uczestniczyć; chodzić	Uczestniczę dzisiaj w zajęciach.
attention	uwaga	Proszę teraz uważać.
attractive	atrakcyjny; pociągający	Ogród jest atrakcyjny.
audience	publiczność; widownia	Publiczność była cicha.
author	autor; pisarz	Autor napisał tę książkę.
available	dostępny; wolny	Jedzenie jest teraz dostępne.
average	średni; przeciętny	Średni wynik był dobry.
avoid	unikać	Unikaj ruchliwej drogi.
award	nagroda; przyznawać nagrodę	Ona zdobyła nagrodę.
awful	okropny; straszny	Pogoda była okropna.
background	tło; pochodzenie	Obraz ma ciemne tło.
badly	źle; kiepsko	Dzisiaj grał źle.
bar	bar; pręt	Spotkaliśmy się w barze hotelowym.
baseball	baseball	Baseball jest tu popularny.
based	oparty na	Film jest oparty na książce.
basketball	koszykówka	Gramy w koszykówkę po szkole.
bean	fasola; ziarno	Ta fasola jest zielona.
bear (animal)	niedźwiedź	Niedźwiedź mieszka w lesie.
beat	pokonać; bić	Nasza drużyna może ich pokonać.
beef	wołowina	Jadłem wołowinę na kolację.
behave	zachowywać się	Proszę dobrze zachowywać się w klasie.
behaviour	zachowanie	Jego zachowanie było uprzejme.
belong	należeć	Te buty należą do mnie.
belt	pasek; pas	Jego pasek jest czarny.
benefit	korzyść; pożytek	Ćwiczenia mają prawdziwą korzyść.
billion	miliard	Miliard to ogromna liczba.
bin	kosz; pojemnik	Włóż papier do kosza.
biology	biologia	Biologia to mój najlepszy przedmiot.
birth	narodziny; urodzenie	Jej narodziny były w maju.
biscuit	herbatnik; ciastko	Ona je herbatnik.
bit	trochę; kawałek	Potrzebuję trochę więcej czasu.
blank	puste miejsce; pusty	Wpisz swoje imię w puste miejsce.
blood	krew	Krew jest czerwona.
blow	dmuchać; wiać	Wiatr może mocno wiać.
board	tablica; deska	Napisz to na tablicy.
boil	gotować; wrzeć	Najpierw zagotuj wodę.
bone	kość	Pies ma kość.
borrow	pożyczyć	Czy mogę pożyczyć twój długopis?
boss	szef	Szef jest przyjazny.
bottom	dół; spód	Podpisz na dole.
bowl	miska	Miska jest pełna.
brain	mózg	Twój mózg potrzebuje odpoczynku.
bridge	most	Most jest stary.
bright	jasny; bystry	Pokój jest jasny.
brilliant	świetny; genialny	Ten pomysł jest świetny.
broken	zepsuty; złamany	Krzesło jest zepsute.
brush	szczotka; szczotkować	Umyj teraz zęby szczoteczką.
burn	palić; spalić	Nie spal chleba.
businessman	biznesmen; przedsiębiorca	Biznesmen przybył wcześnie.
button	przycisk; guzik	Naciśnij czerwony przycisk.
camp	obóz; obozować	Obozujemy blisko jeziora.
camping	kemping; biwakowanie	Biwakowanie jest zabawne latem.
can2	puszka	Otwórz puszkę ostrożnie.
care	opieka; troska	Zadbaj o swoje zdrowie.
careful	ostrożny; uważny	Bądź ostrożny na schodach.
carefully	ostrożnie; uważnie	Przeczytaj pytanie uważnie.
carpet	dywan	Dywan jest miękki.
cartoon	kreskówka; komiks	Ta kreskówka jest zabawna.
case	etui; przypadek	Włóż to do etui.
cash	gotówka	Zapłaciłem gotówką.
castle	zamek	Zamek jest bardzo stary.
catch	złapać; chwycić	Złap piłkę teraz.
cause	przyczyna; powodować	Deszcz może powodować problemy.
celebrate	świętować	Świętujemy moje urodziny.
celebrity	celebryta; znana osoba	Celebryta był bardzo miły.
certain	pewny; określony	Jestem tego pewien.
certainly	z pewnością; oczywiście	Z pewnością pomogę.
chance	szansa; okazja	Masz szansę.
character	postać; charakter	Ta postać jest odważna.
charity	organizacja charytatywna; dobroczynność	Organizacja charytatywna pomaga dzieciom.
chat	rozmawiać; pogawędka	Rozmawiamy po lekcji.
chef	szef kuchni; kucharz	Szef kuchni zrobił zupę.
chemistry	chemia	Chemia jest dla mnie trudna.
chip	chips; kawałek	Ten chips jest słony.
choice	wybór	Ten wybór jest ważny.
church	kościół	Kościół jest blisko stąd.
cigarette	papieros	Papieros szkodzi zdrowiu.
circle	okrąg; koło	Narysuj tutaj koło.
classical	klasyczny	Lubię muzykę klasyczną.
clear	jasny; wyraźny	Odpowiedź jest jasna.
clearly	wyraźnie; jasno	Mów wyraźnie, proszę.
clever	sprytny; mądry	Ona jest mądrym dzieckiem.
climate	klimat	Klimat się zmienia.
