source_headword	HU	example_HU
incur	felmerül	A késedelmek többletköltségekkel járhatnak.
indicator	mutató	A munkanélküliség az egyik gazdasági mutató.
indictment	vádirat	A vádirat három vádpontot sorolt fel.
indigenous	őshonos	Az őshonos növények jól fejlődnek itt.
induce	előidéz	A gyógyszer álmosságot idézhet elő.
indulge	hódol	Nem hódol drága szokásoknak.
inequality	egyenlőtlenség	A jövedelmi egyenlőtlenség továbbra is komoly probléma.
infamous	hírhedt	A börtön világszerte hírhedtté vált.
infant	csecsemő	A csecsemő a kiságyban aludt.
infect	megfertőz	A vírus megfertőzheti az egészséges sejteket.
inflict	okoz	Ne okozz fájdalmat az állatoknak.
influential	befolyásos	Befolyásos jogtudós.
inherent	velejáró	A tervezésnek megvannak a maga velejáró kockázatai.
inhibit	gátol	A félelem gátolhatja az őszinte vitát.
initiate	kezdeményez	A menedzser fogja kezdeményezni a felülvizsgálatot.
inject	befecskendez	A nővér be fogja fecskendezni a vakcinát.
injection	injekció	Az injekció csökkentette a fájdalmat.
injustice	igazságtalanság	A döntés egyértelmű igazságtalanságot tárt fel.
inmate	rab	A rab jogi tanácsot kért.
insertion	beszúrás	Az űrlaphoz egy szöveg beszúrására van szükség.
insider	bennfentes	Egy bennfentes szivárogtatta ki a jelentést.
inspect	megvizsgál	A tisztviselők évente ellenőrzik a hidat.
inspection	ellenőrzés	Az ellenőrzés súlyos károkat állapított meg.
inspiration	ihlet	A beszéde ihletet adott nekem.
instinct	ösztön	Az első ösztöne az volt, hogy segítsen.
institutional	intézményi	Intézményi szabályok formálták a döntést.
instruct	betanít	A kézikönyv betanítja az új személyzetet.
instrumental	döntő szerepet játszó	A tanácsa döntő szerepet játszott a tárgyalásokon.
insufficient	elégtelen	A bizonyítékok elégtelenek voltak a vádemeléshez.
insult	sértés	A sértése véget vetett a beszélgetésnek.
intact	érintetlen	Az ősi fal érintetlen maradt.
intake	bevitel	A cukorbevitelt mérsékelten kell tartani.
integral	szerves	A bizalom szerves része a csapatnak.
integrated	integrált	Az iskola integrált támogatást nyújt.
integration	integráció	Az integráció javította az egész rendszert.
integrity	feddhetetlenség	A bíró nagy feddhetetlenséget mutatott.
intensify	fokozódik	A vihar éjszaka fokozódhat.
intensity	intenzitás	Az edzés intenzitása nőtt.
intensive	intenzív	Intenzív nyelvi képzést végeztek el.
intent	szándék	A szándékát nehéz volt bizonyítani.
interactive	interaktív	A múzeumban interaktív kiállítások vannak.
interface	felület	A felületen könnyű navigálni.
interfere	beavatkozik	Ne avatkozzon be a nyomozásba.
