source_headword	ES-419	example_ES-419
institute	el instituto	El instituto abrió un nuevo programa de investigación.
institution	la institución	La institución cambió sus reglas de admisión.
insurance	el seguro	Su seguro cubrió los gastos del hospital.
intended	previsto	El mensaje llegó a su público previsto.
intense	intenso	El debate se volvió intenso muy rápidamente.
internal	interno	La empresa inició una revisión interna.
interpret	interpretar	Por favor, interprete los resultados cuidadosamente.
interrupt	interrumpir	No interrumpas al orador ahora.
investigation	la investigación	La investigación reveló errores graves.
investment	la inversión	La inversión creó muchos empleos locales.
joy	la alegría	Su éxito trajo gran alegría.
judgement	el criterio	Su criterio mejoró con la experiencia.
junior	júnior	Ella se unió al equipo como analista júnior.
justice	la justicia	La familia exigió justicia después del juicio.
justify	justificar	Debes justificar esa decisión claramente.
labour	la mano de obra	El proyecto requiere mano de obra calificada.
landscape	el paisaje	El paisaje cambió después de la tormenta.
largely	en gran parte	El plan fue en gran parte exitoso.
launch	lanzar	Lanzarán el producto mañana.
leadership	el liderazgo	Un liderazgo fuerte ayudó al equipo a recuperarse.
league	la liga	Nuestro club se unió a una liga regional.
lean	apoyarse	No te apoyes contra la pared mojada.
licence	la licencia	La licencia vence el próximo mes.
limited	limitado	Tenemos tiempo limitado hoy.
lively	animado	La reunión se volvió animada después del almuerzo.
load	la carga	El camión llevaba una carga pesada.
loan	el préstamo	El banco aprobó el préstamo.
logical	lógico	Su argumento era claro y lógico.
long-term	a largo plazo	Esta es una solución a largo plazo.
loose	flojo	La manija se siente floja.
lord	el señor	El señor poseía varias aldeas.
lower	bajar	Ellos bajan los precios durante el invierno.
lung	el pulmón	Fumar puede dañar un pulmón.
maintain	mantener	Mantenemos contacto regular.
majority	la mayoría	La mayoría apoyó la propuesta.
mass	la masa	Una masa de nubes cubrió el cielo.
massive	masivo	El terremoto causó daños masivos.
master	el maestro	Ella se convirtió en una maestra de la negociación.
matching	a juego	Él usaba zapatos y cinturón a juego.
maximum	máximo	La sala alcanzó su capacidad máxima.
means	el medio	El correo electrónico es nuestro principal medio de contacto.
measurement	la medición	La medición fue ligeramente incorrecta.
melt	derretirse	La nieve se derretirá para el mediodía.
military	militar	La base militar cerró el año pasado.
mineral	el mineral	El hierro es un mineral importante.
minimum	mínimo	La edad mínima es de dieciocho años.
minister	el ministro	El ministro respondió preguntas difíciles.
minor	menor	El accidente causó daños menores.
minority	la minoría	Una minoría se opuso a la nueva regla.
mission	la misión	Su misión terminó a salvo.
mixed	mixto / mezclado	Las noticias recibieron reacciones mixtas.
modify	modificar	Podemos modificar el diseño más tarde.
monitor	monitorear	La enfermera monitoreará su estado.
moral	moral	La historia tiene una lección moral.
motor	el motor	El motor se detuvo sin previo aviso.
mount	montar / instalar	Instalan cámaras cerca de la entrada.
multiple	múltiple	Múltiples factores causaron el retraso.
multiply	multiplicar	Multiplica el número por diez.
mysterious	misterioso	Una luz misteriosa apareció afuera.
neat	ordenado	Su escritorio siempre está ordenado.
nerve	el nervio	La lesión dañó un nervio.
nevertheless	sin embargo / no obstante	La tarea fue difícil; sin embargo, terminamos.
nightmare	la pesadilla	El viaje se convirtió en una pesadilla.
notion	la noción / la idea	Rechaza la noción de que el cambio es imposible.
numerous	numeroso	Numerosos estudios apoyan esta idea.
obey	obedecer	Los conductores deben obedecer las señales.
objective	el objetivo	Nuestro objetivo es reducir el desperdicio.
obligation	la obligación	Los padres tienen la obligación de proteger a los niños.
observation	la observación	Su observación cambió la discusión.
observe	observar	Los científicos observan a los pájaros cada primavera.
obtain	obtener	Debes obtener permiso por escrito.
occasionally	ocasionalmente	Ella ocasionalmente trabaja desde casa.
offence	la ofensa	El comentario causó una grave ofensa.
offend	ofender	No fue mi intención ofender a nadie.
offensive	ofensivo	El póster contenía lenguaje ofensivo.
opening	la vacante / la apertura	La vacante de trabajo atrajo a muchos solicitantes.
operate	operar / funcionar	La máquina puede operar automáticamente.
opponent	el oponente / el adversario	Su oponente criticó la política.
oppose	oponerse	Muchos residentes se oponen al plan.
opposed	opuesto / contrario	Los grupos tenían puntos de vista opuestos.
opposition	la oposición	La propuesta enfrentó una fuerte oposición.
organ	el órgano	El corazón es un órgano vital.
origin	el origen	El origen del incendio es desconocido.
otherwise	de lo contrario	Vete ahora; de lo contrario, llegarás tarde.
outcome	el resultado	El resultado sorprendió a todos.
outer	exterior	La pared exterior necesita reparaciones.
