source_headword	VI	example_VI
rock (music)	nhạc rock	Tôi thích nhạc rock.
role	vai trò	Vai trò của cô ấy quan trọng.
roof	mái nhà	Mái nhà cần được sửa.
round	tròn	Cái bàn này tròn.
route	tuyến đường	Tuyến đường này ngắn hơn.
rubbish	rác	Hãy đặt rác ra ngoài.
rude	thô lỗ	Lời bình luận đó thô lỗ.
runner	người chạy bộ	Người chạy bộ trông mệt.
running	chạy bộ	Chạy bộ giúp tôi khỏe mạnh.
sadly	đáng buồn thay	Đáng buồn thay, chúng tôi lỡ tàu.
safe	an toàn	Con phố này có vẻ an toàn.
sail	đi thuyền	Chúng tôi đi thuyền vào thứ Bảy.
sailing	môn chèo thuyền	Chèo thuyền rất phổ biến ở đây.
salary	lương	Lương của anh ấy cao hơn rồi.
sale	đợt giảm giá	Đợt giảm giá bắt đầu ngày mai.
sauce	nước sốt	Thêm nước sốt vào cơm.
save	lưu	Hãy lưu công việc của bạn ngay.
scared	sợ hãi	Đứa trẻ cảm thấy sợ hãi.
scary	đáng sợ	Câu chuyện này đáng sợ.
scene	cảnh	Cảnh cuối rất vui.
schedule	lịch trình	Kiểm tra lịch trình hôm nay.
score	tỉ số	Tỉ số là bao nhiêu?
screen	màn hình	Lau màn hình cẩn thận.
search	tìm kiếm	Tìm kiếm ảnh trên web.
season	mùa	Mùa hè là mùa bận rộn.
seat	chỗ ngồi	Hãy ngồi chỗ này.
second1 (next after the first)	thứ hai	Thứ hai, hãy rửa tay.
secondly	thứ hai	Thứ hai, hãy kiểm tra câu trả lời.
secret	bí mật	Giữ bí mật này an toàn.
secretary	thư ký	Thư ký đã gọi hôm nay.
seem	có vẻ	Bạn có vẻ mệt.
sense	ý nghĩa	Kế hoạch này có ý nghĩa.
separate	riêng biệt	Giữ giấy tờ riêng biệt.
series	loạt phim	Loạt phim này rất phổ biến.
serious	nghiêm trọng	Vấn đề này nghiêm trọng.
serve	phục vụ	Họ phục vụ bữa trưa lúc trưa.
service	dịch vụ	Dịch vụ rất nhanh.
several	vài	Vài học sinh đến sớm.
shake	lắc	Lắc chai trước.
shall modal	nhé	Chúng ta bắt đầu bây giờ nhé?
shape	hình dạng	Vẽ một hình vuông.
sheet	ga trải giường	Đặt ga trải giường lên giường.
ship	con tàu	Con tàu rời đi hôm nay.
shoulder	bờ vai	Vai tôi đau.
shout	hét	Đừng hét trong lớp.
shut	đóng	Hãy đóng cửa sổ.
side	phía	Ngồi ở phía này.
sign	biển báo	Đọc biển báo cẩn thận.
silver	bạc	Bạc là kim loại sáng.
simple	đơn giản	Bài tập này đơn giản.
since	từ khi	Tôi đã đợi từ trưa.
singing	ca hát	Ca hát giúp tôi thư giãn.
single	vé một chiều	Tôi đã mua vé một chiều.
sir	thưa ngài	Thưa ngài, túi của ngài sẵn sàng rồi.
site	trang mạng	Trang mạng này an toàn.
size	kích cỡ	Bạn cần kích cỡ nào?
ski	trượt tuyết	Chúng tôi trượt tuyết vào mùa đông.
skiing	môn trượt tuyết	Trượt tuyết rất vui vào mùa đông.
skin	làn da	Da cô ấy khô.
sky	bầu trời	Bầu trời quang đãng.
slowly	chậm rãi	Đi chậm rãi trên băng.
smartphone	điện thoại thông minh	Điện thoại thông minh của tôi mới.
smell	có mùi	Món súp có mùi thơm.
smile	mỉm cười	Mỉm cười trước máy ảnh.
smoke	khói	Khói lấp đầy căn phòng.
smoking	hút thuốc	Hút thuốc không được phép.
soap	xà phòng	Dùng xà phòng và nước.
soccer	bóng đá	Bóng đá phổ biến ở đây.
social	xã hội	Đây là một sự kiện xã hội.
society	xã hội	Xã hội thay đổi theo thời gian.
sock	tất	Một chiếc tất bị mất.
soft	mềm	Chiếc chăn này mềm.
soldier	người lính	Người lính về nhà.
solution	giải pháp	Chúng tôi tìm thấy giải pháp.
solve	giải	Giải câu đố này.
somewhere	đâu đó	Đặt nó ở đâu đó an toàn.
sort	loại	Bạn muốn loại nào?
