simplified	ID	example_ID
挨	bertahan	Dia bertahan sepanjang malam dan akhirnya menunggu sampai fajar
癌症	kanker	Deteksi dini kanker sangat penting
暧昧	ambigu	Jawabannya sangat ambigu
爱不释手	sangat menyukai	Dia sangat menyukai buku ini hingga sulit meletakkannya
爱戴	mencintai dan menghormati	Guru ini sangat dicintai dan dihormati oleh para murid
安宁	tenteram	Malam di sini sangat tenteram
安详	tenang	Ekspresi orang tua itu sangat tenang
安置	menempatkan kembali	Pemerintah menempatkan kembali warga yang terdampak bencana
按摩	pijat	Saya membuat janji untuk pijat
暗示	mengisyaratkan	Dia mengisyaratkan agar saya berhenti bertanya
案件	perkara	Polisi sedang menyelidiki perkara ini
案例	kasus	Kasus ini sangat representatif
昂贵	mahal	Peralatan ini sangat mahal
凹凸	tidak rata	Permukaan jalan ini tidak rata
熬	bertahan	Dia bertahan selama tiga hari sebelum menyelesaikan laporan
奥秘	misteri	Ilmuwan ingin mengungkap misteri ini
巴不得	tidak sabar	Saya tidak sabar untuk segera berangkat
巴结	menjilat	Dia tidak mau menjilat pemimpin
扒	berpegangan	Anak itu berpegangan pada pintu dan melihat keluar
疤	bekas luka	Ada bekas luka di lengannya
拔苗助长	terlalu tergesa-gesa	Memaksa anak belajar seperti ini hanya akan merusak hasil karena terlalu tergesa-gesa
把关	memeriksa	Kontrak ini perlu diperiksa oleh pengacara
把手	pegangan	Pegangan pintu rusak
罢工	mogok kerja	Para pekerja memutuskan mogok kerja besok
霸道	sewenang-wenang	Cara bicaranya terlalu sewenang-wenang
掰	membelah	Dia membelah roti menjadi dua
摆脱	menyingkirkan	Dia akhirnya menyingkirkan kebiasaan buruk
拜访	mengunjungi	Kami akan mengunjungi guru pada akhir pekan
拜年	memberi salam Tahun Baru	Saat Festival Musim Semi kami mengunjungi kakek nenek untuk memberi salam Tahun Baru
拜托	meminta bantuan	Urusan ini saya percayakan kepadamu
败坏	merusak	Perilaku seperti ini akan merusak nama baik perusahaan
斑	bercak	Ada bercak hitam pada tubuh kucing
颁布	mengeluarkan	Peraturan baru akan dikeluarkan minggu depan
颁发	menganugerahkan	Sekolah menganugerahkan sertifikat kepada siswa berprestasi
版本	versi	Perangkat lunak ini memiliki versi baru
伴侣	pendamping	Dia menganggap anjingnya sebagai pendamping
伴随	menyertai	Keberhasilan sering disertai tekanan
半途而废	berhenti di tengah jalan	Dalam melakukan penelitian tidak boleh berhenti di tengah jalan
扮演	memerankan	Dia memerankan dokter dalam film itu
榜样	teladan	Orang tua adalah teladan bagi anak-anak
绑架	penculikan	Polisi menggagalkan kasus penculikan
磅	pon	Kotak ini beratnya dua puluh pon
包庇	melindungi	Tidak seorang pun boleh melindungi kejahatan
包袱	beban	Setelah melepaskan beban itu dia merasa jauh lebih lega
包围	mengepung	Para reporter mengepung aktor itu
包装	kemasan	Kemasan hadiah ini sangat cantik
保管	menyimpan	Dokumen-dokumen ini saya simpan
保密	merahasiakan	Isi rapat harus dirahasiakan
保姆	pengasuh	Mereka mempekerjakan seorang pengasuh
保守	konservatif	Pemikirannya cukup konservatif
保卫	membela	Para prajurit membela perbatasan
保养	perawatan	Mobil ini membutuhkan perawatan rutin
保障	menjamin	Hukum menjamin hak warga negara
保重	menjaga diri	Saat berada jauh dari rumah jagalah dirimu baik-baik
饱和	jenuh	Pasar ini sudah hampir jenuh
饱经沧桑	banyak mengalami perubahan	Orang tua ini telah banyak mengalami kesulitan dan perubahan
报酬	imbalan	Dia menerima imbalan yang wajar
