source_headword	SI	example_SI
absolutely	සම්පූර්ණයෙන්ම	මම ඔබට සම්පූර්ණයෙන්ම එකඟ වෙමි.
academic	ශාස්ත්‍රීය	ශාස්ත්‍රීය වර්ෂය සැප්තැම්බර් මාසයේ ආරම්භ වේ.
access	ප්‍රවේශය	සිසුන්ට පුස්තකාලයට ප්‍රවේශය අවශ්‍යය.
accommodation	නවාතැන්	අපි ස්ථානය අසල නවාතැන් වෙන් කළෙමු.
account	ගිණුම	ඇය නව බැංකු ගිණුමක් විවෘත කළාය.
achievement	ජයග්‍රහණය	පාඨමාලාව අවසන් කිරීම විශාල ජයග්‍රහණයක් විය.
ad	දැන්වීම	දැන්වීම නව දුරකථනයක් පෙන්වීය.
addition	එකතු කිරීම	පිහිනුම් තටාකය ප්‍රයෝජනවත් එකතු කිරීමකි.
admire	අගය කරන්න	මම ඇගේ සන්සුන් හැසිරීම අගය කරමි.
admit	පිළිගන්න	ඔහු තම වැරැද්ද පිළිගත්තේය.
advanced	උසස්	මෙය උසස් ඉංග්‍රීසි පන්තියකි.
advise	උපදෙස් දෙන්න	වෛද්‍යවරු නිරන්තර ව්‍යායාමයට උපදෙස් දෙති.
afford	දරාගත හැකි	අපට ටැක්සියක් දරාගත නොහැක.
aged	වයසැති	මෙම පාඨමාලාව වයස අවුරුදු දහයෙහි දරුවන් සඳහාය.
agent	නියෝජිතයා	සංචාරක නියෝජිතයා අපගේ ටිකට් වෙනස් කළේය.
agreement	එකඟතාව	ඔවුහු අද එකඟතාවකට පැමිණියහ.
ahead	ඉදිරියෙන්	ඉදිරියේ මාර්ගය පැහැදිලිය.
aim	ඉලක්කය	අපි ඉක්මනින් අවසන් කිරීම ඉලක්ක කරමු.
alarm	අනතුරු ඇඟවීම	අනතුරු ඇඟවීම හයට නාද විය.
album	ඇල්බමය	මෙම ඇල්බමයේ ගීත දහයක් ඇත.
alcohol	මත්පැන්	හෝටලය මත්පැන් පිරිනමන්නේ නැත.
alcoholic	මත්පැන් සහිත	මෙම පානය මත්පැන් සහිත නොවේ.
amazed	අතිශය පුදුම වූ	ඇය ප්‍රතිඵලයෙන් අතිශය පුදුම වූවාය.
ambition	අභිලාෂය	ඔහුගේ අභිලාෂය ගුවන් නියමුවෙකු වීමය.
ambitious	අභිලාෂී	ඇයට අභිලාෂී සැලැස්මක් ඇත.
analyse	විශ්ලේෂණය කරන්න	අපට ප්‍රතිඵල විශ්ලේෂණය කළ යුතුය.
analysis	විශ්ලේෂණය	ඇගේ විශ්ලේෂණය පැහැදිලි සහ සැලකිලිමත් විය.
announce	නිවේදනය කරන්න	ඔවුහු හෙට ජයග්‍රාහකයා නිවේදනය කරනු ඇත.
announcement	නිවේදනය	නිවේදනය සියලු දෙනා පුදුම කළේය.
annoy	අමනාප කරන්න	ඝෝෂාකාරී සංගීතය අසල්වැසියන් අමනාප කළ හැකිය.
annoyed	අමනාප වූ	ප්‍රමාදයෙන් පසු ඔහු අමනාප වූ බව පෙනුණි.
annoying	අමනාප කරවන	ඒ ශබ්දය සැබවින්ම අමනාප කරවන එකකි.
apart	වෙන්ව	නිවාස දෙක මීටර් දෙකක් වෙන්ව ඇත.
apologize	සමාව ඉල්ලන්න	මම ප්‍රමාද වීම ගැන සමාව ඉල්ලමි.
application	අයදුම්පත	කරුණාකර අයදුම්පත මාර්ගගතව සම්පූර්ණ කරන්න.
appointment	වෙලාවක්	මට හෙට දන්ත වෛද්‍ය වෙලාවක් ඇත.
appreciate	අගය කරන්න	මම ඔබේ උදව් අගය කරමි.
approximately	ආසන්න වශයෙන්	ඇවිදීමට ආසන්න වශයෙන් විනාඩි විස්සක් ගත වේ.
arrest	අත්අඩංගුවට ගන්න	පොලිසිය රියදුරු අත්අඩංගුවට ගත්තේය.
arrival	පැමිණීම	අපගේ පැමිණීම අපේක්ෂිතට වඩා ප්‍රමාද විය.
assignment	පැවරුම	පැවරුම සිකුරාදා භාර දිය යුතුය.
assist	සහය දෙන්න	හෙදියන් වෛද්‍යවරයාට සහය දෙති.
atmosphere	වාතාවරණය	කැෆේහි සන්සුන් වාතාවරණයක් ඇත.
attach	අමුණන්න	ගොනුව ඔබේ විද්‍යුත් තැපෑලට අමුණන්න.
attitude	ආකල්පය	රැස්වීමෙන් පසු ඇගේ ආකල්පය වෙනස් විය.
attract	ආකර්ෂණය කරන්න	දීප්තිමත් මල් මී මැස්සන් ආකර්ෂණය කරයි.
attraction	ආකර්ෂණය	කොටුව ජනප්‍රිය ආකර්ෂණයකි.
authority	අධිකාරිය	දේශීය අධිකාරිය මාර්ගය අලුත්වැඩියා කළේය.
aware	දැනුවත්	ඇය අවදානම ගැන දැනුවත්ය.
backwards	පසුපසට	ඔහු සැලකිල්ලෙන් පසුපසට ඇවිද්දේය.
bake	පිසන්න	මම සෑම ඉරිදාම පාන් පිසමි.
balance	සමබරතාව	හොඳ සපත්තු ඔබේ සමබරතාවයට උදව් කරයි.
ban	තහනම් කරන්න	නගරය කාර් තහනම් කරනු ඇත.
bank (river)	ගංගා ඉවුර	අපි ගංගා ඉවුරේ වාඩි වුණෙමු.
base	පදනම	කණ්ඩායම පදනමට ආපසු ගියේය.
basic	මූලික	සියලු දෙනාටම මූලික පරිගණක කුසලතා අවශ්‍යය.
basis	පදනම	විශ්වාසය මිත්‍රත්වයේ පදනමයි.
battery	බැටරිය	මගේ දුරකථන බැටරිය අඩුය.
battle	සටන	සටන මුළු රාත්‍රිය පුරා පැවතිණි.
beauty	අලංකාරය	අපි කඳුකරයේ අලංකාරය අගය කළෙමු.
bee	මී මැස්සා	මී මැස්සෙක් මල මත බැසියේය.
belief	විශ්වාසය	ඔහුගේ විශ්වාසය ඔහුට ධෛර්යය දුන්නේය.
bell	සීනුව	පාසල් සීනුව ඝෝෂාකාරීව නාද විය.
bend	නමන්න	බර ඔසවන විට දණහිස් නමන්න.
bite	කඩන්න	බල්ලා අමුත්තන් කඩිය හැක.
block	අවහිර කරන්න	වැටුණු ගස මාර්ගය අවහිර කළේය.
bomb	බෝම්බය	බෝම්බය ගොඩනැගිලි කිහිපයකට හානි කළේය.
border	සීමාව	ඔවුහු රාත්‍රියේ සීමාව තරණය කළහ.
bother	කරදර කරන්න	කරුණාකර ඔබේ සහෝදරියට කරදර නොකරන්න.
branch	ශාඛාව	කුණාටුවේදී ශාඛාවක් කැඩුණි.
brand	වෙළඳ නාමය	මෙම වෙළඳ නාමය සිසුන් අතර ජනප්‍රියයි.
brave	ධෛර්යවත්	ධෛර්යවත් මිනිසා දරුවා බේරා ගත්තේය.
breath	හුස්ම	ගැඹුරු හුස්මක් ගන්න.
breathe	හුස්ම ගන්න	මට මෙම දුම තුළ හුස්ම ගත නොහැක.
breathing	හුස්ම ගැනීම	ඇගේ හුස්ම ගැනීම මන්ද විය.
bride	මනාලිය	මනාලිය සුදු ඇඳුමක් ඇඳ සිටියාය.
bubble	බුබුල	බුබුලක් වීදුරුවට ඉහළින් පාවිය.
bury	භූමදාන කරන්න	ඔවුහු පෙට්ටිය වැලි තුළ භූමදාන කළහ.
calm	සන්සුන්	විභාගයේදී සන්සුන්ව සිටින්න.
campaign	ව්‍යාපාරය	ව්‍යාපාරය පාසල් සඳහා මුදල් රැස් කළේය.
campus	කැම්පස්	සිසුන් කැම්පස් අසල ජීවත් වෙති.
candidate	අපේක්ෂකයා	සෑම අපේක්ෂකයෙක්ම ප්‍රශ්න තුනකට පිළිතුරු දුන්නේය.
cap	තොප්පිය	ඔහු බේස්බෝල් තොප්පියක් පැළඳ සිටියේය.
captain	නායකයා	නායකයා කණ්ඩායමට කතා කළේය.
careless	නොසැලකිලිමත්	නොසැලකිලිමත් වැරැද්දක් අපගේ කාලය අහිමි කළේය.
category	ප්‍රවර්ගය	නිවැරදි ප්‍රවර්ගය තෝරන්න.
ceiling	සිවිලිම	සිවිලිම සුදු පැහැයෙන් තීන්ත ගා තිබුණි.
celebration	සැමරුම	සැමරුම මුළු සන්ධ්‍යාව පුරා පැවතිණි.
central	මධ්‍යම	හෝටලයට මධ්‍යම ස්ථානයක් ඇත.
ceremony	උත්සවය	උත්සවය දවල් ආරම්භ විය.
chain	දම්වැල	ඇය රිදී දම්වැලක් පැළඳ සිටියාය.
challenge	අභියෝගය	මෙම ව්‍යාපෘතිය සැබෑ අභියෝගයකි.
champion	ශූරයා	ශූරයා ඇගේ පුහුණුකරුට ස්තුති කළාය.
channel	නාලිකාව	කරුණාකර නාලිකාව මාරු කරන්න.
chapter	පරිච්ඡේදය	අද රාත්‍රියේ ඊළඟ පරිච්ඡේදය කියවන්න.
charge	ගාස්තුව	දරුවන් සඳහා ගාස්තුවක් නැත.
