source_headword	TA	example_TA
clothes	உடைகள்	என் உடைகள் சுத்தமாக உள்ளன.
club	கழகம்; சங்கம்	அவள் இசைக் கழகத்திற்குச் செல்கிறாள்.
coat	மேலங்கி	என் மேலங்கி சூடாக உள்ளது.
coffee	காபி	நான் காலையில் காபி குடிக்கிறேன்.
cold	குளிர்	தண்ணீர் குளிராக உள்ளது.
college	கல்லூரி	என் அக்கா கல்லூரியில் இருக்கிறார்.
colour	நிறம்	எனக்கு பிடித்த நிறம் நீலம்.
come	வா	தயவுசெய்து இங்கே வா.
common	பொதுவான	இந்த பெயர் பொதுவானது.
company	நிறுவனம்	என் அம்மா ஒரு நிறுவனத்தில் வேலை செய்கிறார்.
compare	ஒப்பிடு	இந்த இரண்டு படங்களையும் ஒப்பிடு.
complete	முழுமையான; முடி	படிவம் முழுமையாக உள்ளது.
computer	கணினி	இந்த கணினி புதியது.
concert	இசை நிகழ்ச்சி	நாம் இன்று இரவு இசை நிகழ்ச்சிக்கு செல்கிறோம்.
conversation	உரையாடல்	நாம் ஒரு குறுகிய உரையாடல் செய்தோம்.
cook	சமை; சமையல்காரர்	நான் வீட்டில் இரவு உணவு சமைக்கிறேன்.
cooking	சமையல்	எனக்கு அப்பாவுடன் சமையல் செய்வது பிடிக்கும்.
cool	குளிர்ச்சியான; அருமை	அறை குளிர்ச்சியாக உள்ளது.
correct	சரியான; திருத்து	உன் பதில் சரியானது.
cost	விலை; செலவாகு	இதற்கு எவ்வளவு செலவாகும்?
could modal	முடியும்	நான் உனக்கு உதவ முடியும்.
country	நாடு	கனடா ஒரு பெரிய நாடு.
course	பாடநெறி	நான் ஆங்கிலப் பாடநெறி படிக்கிறேன்.
cousin	உறவினர்	என் உறவினர் என் அருகில் வசிக்கிறார்.
cow	மாடு	மாடு புல் சாப்பிடுகிறது.
cream	கிரீம்	நான் காபியில் கிரீம் சேர்க்கிறேன்.
create	உருவாக்கு	அவர்கள் ஒரு புதிய விளையாட்டை உருவாக்குகிறார்கள்.
culture	கலாச்சாரம்	நாம் உள்ளூர் கலாச்சாரம் பற்றி கற்கிறோம்.
cup	கோப்பை	இந்த கோப்பை காலியாக உள்ளது.
customer	வாடிக்கையாளர்	வாடிக்கையாளர் ஒரு கேள்வி கேட்கிறார்.
cut	வெட்டு	ஆப்பிளை பாதியாக வெட்டு.
dad	அப்பா	என் அப்பா வேலையில் இருக்கிறார்.
dance	நடனம்; ஆடு	நாம் இரவு உணவுக்குப் பிறகு ஆடுகிறோம்.
dancer	நடனக் கலைஞர்	நடனக் கலைஞர் வேகமாக நகர்கிறார்.
dancing	நடனம் ஆடுதல்	நடனம் ஆடுதல் மகிழ்ச்சியானது.
dangerous	ஆபத்தான	இந்த சாலை ஆபத்தானது.
dark	இருண்ட	அறை இருண்டுள்ளது.
date	தேதி	இன்று என்ன தேதி?
daughter	மகள்	அவளின் மகளுக்கு ஆறு வயது.
day	நாள்	உனக்கு நல்ல நாள் ஆகட்டும்.
dear	அன்புள்ள	அன்புள்ள நண்பா, நன்றி.
December	டிசம்பர்	என் பிறந்தநாள் டிசம்பரில் வருகிறது.
decide	முடிவு செய்	தயவுசெய்து இப்போது முடிவு செய்.
delicious	சுவையான	இந்த சூப் சுவையாக உள்ளது.
describe	விவரி	உன் அறையை விவரி.
description	விளக்கம்	குறுகிய விளக்கத்தை வாசி.
design	வடிவமைப்பு; வடிவமை	நான் ஒரு எளிய அட்டையை வடிவமைக்கிறேன்.
desk	மேசை	புத்தகம் என் மேசையில் உள்ளது.
detail	விவரம்	ஒரு விவரம் காணவில்லை.
dialogue	உரையாடல்	இப்போது உரையாடலை வாசி.
dictionary	அகராதி	வகுப்பில் அகராதி பயன்படுத்து.
die	இற	தண்ணீர் இல்லாமல் மலர்கள் இறக்கின்றன.
diet	உணவுமுறை	என் உணவுமுறையில் பழம் உள்ளது.
difference	வேறுபாடு	ஒரு வேறுபாடு உள்ளது.
different	வேறுபட்ட	எங்களுக்கு வேறுபட்ட பெயர்கள் உள்ளன.
difficult	கடினமான	இந்த கேள்வி கடினமானது.
dinner	இரவு உணவு	இரவு உணவு தயாராக உள்ளது.
dirty	அழுக்கு	என் காலணிகள் அழுக்காக உள்ளன.
discuss	விவாதி	நாம் திட்டத்தை விவாதிக்கிறோம்.
dish	உணவு வகை; தட்டு	இந்த உணவு வகை சூடாக உள்ளது.
do1	செய்; துணை வினை	நீ என்ன செய்கிறாய்?
doctor	மருத்துவர்	மருத்துவர் பிஸியாக இருக்கிறார்.
dog	நாய்	நாய் வெளியே ஓடுகிறது.
dollar	டாலர்	இதற்கு ஒரு டாலர் செலவாகும்.
door	கதவு	தயவுசெய்து கதவை மூடு.
down	கீழே	இங்கே கீழே உட்கார்.
downstairs	கீழ்தளத்தில்	சமையலறை கீழ்தளத்தில் உள்ளது.
draw	வரை	ஒரு சிறிய வீட்டை வரை.
dress	உடை; ஆடை அணிந்து கொள்	அவள் சிவப்பு உடை அணிகிறாள்.
drink	குடி; பானம்	நான் தண்ணீர் குடிக்கிறேன்.
drive	ஓட்டு	நான் வேலைக்கு காரை ஓட்டிச் செல்கிறேன்.
driver	ஓட்டுநர்	ஓட்டுநர் இங்கே நிற்கிறார்.
during	போது	நான் விமானப் பயணத்தின் போது தூங்குகிறேன்.
DVD	டிவிடி	இந்த டிவிடி பழையது.
each	ஒவ்வொரு	ஒவ்வொரு குழந்தைக்கும் ஒரு புத்தகம் உள்ளது.
ear	காது	என் காது வலிக்கிறது.
early	முன்கூட்டியே	நான் முன்கூட்டியே எழுகிறேன்.
east	கிழக்கு	சூரியன் கிழக்கில் உதயமாகிறது.
easy	எளிதான	இந்த தேர்வு எளிதானது.
eat	சாப்பிடு	நாம் மதிய உணவை சேர்ந்து சாப்பிடுகிறோம்.
egg	முட்டை	நான் ஒரு முட்டை சாப்பிடுகிறேன்.
eight	எட்டு	என்னிடம் எட்டு அட்டைகள் உள்ளன.
eighteen	பதினெட்டு	அவளுக்கு பதினெட்டு வயது.
eighty	எண்பது	என் தாத்தாவுக்கு எண்பது வயது.
elephant	யானை	யானை பெரியது.
eleven	பதினொன்று	வகுப்பு பதினொன்று மணிக்கு தொடங்குகிறது.
else	வேறு	உனக்கு வேறு என்ன தேவை?
email	மின்னஞ்சல்	எனக்கு மின்னஞ்சல் அனுப்பு.
end	முடிவு; முடி	இது முடிவு.
enjoy	ரசித்து மகிழ்	நான் இந்த பாடலை ரசித்து மகிழ்கிறேன்.
enough	போதுமான	எங்களிடம் போதுமான நேரம் உள்ளது.
euro	யூரோ	இதற்கு ஒரு யூரோ செலவாகும்.
even	கூட	என் சகோதரனுக்குக் கூட தெரியும்.
evening	மாலை	நாம் இன்று மாலை சந்திக்கிறோம்.
event	நிகழ்வு	நிகழ்வு இன்று தொடங்குகிறது.
ever	எப்போதாவது	நீ எப்போதாவது சமைக்கிறாயா?
every	ஒவ்வொரு	நான் ஒவ்வொரு நாளும் படிக்கிறேன்.
everybody	எல்லோரும்	எல்லோரும் இங்கே இருக்கிறார்கள்.
everyone	அனைவரும்	அனைவருக்கும் இசை பிடிக்கும்.
everything	எல்லாம்	எல்லாம் தயாராக உள்ளது.
exam	தேர்வு	தேர்வு விரைவில் தொடங்குகிறது.
example	உதாரணம்	இது நல்ல உதாரணம்.
excited	உற்சாகமான	நான் இன்று உற்சாகமாக இருக்கிறேன்.
exciting	உற்சாகமூட்டும்	விளையாட்டு உற்சாகமூட்டுகிறது.
exercise	உடற்பயிற்சி; பயிற்சி	நான் காலை உணவுக்கு முன் உடற்பயிற்சி செய்கிறேன்.
expensive	விலையுயர்ந்த	இந்த மேலங்கி விலையுயர்ந்தது.
explain	விளக்கு	தயவுசெய்து இந்த சொல்லை விளக்கு.
extra	கூடுதல்	எனக்கு கூடுதல் நேரம் தேவை.
eye	கண்	என் கண் சிவப்பாக உள்ளது.
face	முகம்	உன் முகத்தை கழுவு.
fact	உண்மை	இந்த உண்மை முக்கியமானது.
fall	விழு	இலையுதிர் காலத்தில் இலைகள் விழுகின்றன.
false	தவறான	அந்த பதில் தவறானது.
family	குடும்பம்	என் குடும்பம் சிறியது.
famous	பிரபலமான	அவள் பிரபலமான பாடகி.
fantastic	அற்புதமான	இசை நிகழ்ச்சி அற்புதமாக இருந்தது.
far	தூரம்	பள்ளி தூரத்தில் உள்ளது.
farm	பண்ணை	அவர்கள் பண்ணையில் வசிக்கிறார்கள்.
farmer	விவசாயி	விவசாயி உணவு பயிரிடுகிறார்.
