source_headword	IS	example_IS
rock (music)	rokk	Mér líkar rokk.
role	hlutverk	Hlutverk hennar er mikilvægt.
roof	þak	Þakið þarf viðgerð.
round	kringlóttur	Borðið er kringlótt.
route	leið	Þessi leið er styttri.
rubbish	rusl	Farðu út með ruslið.
rude	dónalegur	Þessi athugasemd var dónaleg.
runner	hlaupari	Hlauparinn lítur þreyttur út.
running	hlaup	Hlaup hjálpa mér að vera heilbrigður.
sadly	því miður	Því miður misstum við af lestinni.
safe	öruggur	Þessi gata virðist örugg.
sail	sigla	Á laugardag siglum við.
sailing	sigling	Sigling er vinsæl hér.
salary	laun	Launin hans eru nú hærri.
sale	útsala	Útsalan byrjar á morgun.
sauce	sósa	Bættu sósu við hrísgrjónin.
save	vista; bjarga	Vistaðu vinnuna þína núna.
scared	hræddur	Barnið er hrætt.
scary	ógnvekjandi	Þessi saga er ógnvekjandi.
scene	sena	Síðasta senan var fyndin.
schedule	áætlun	Athugaðu áætlunina í dag.
score	stig; staða	Hver er staðan?
screen	skjár	Hreinsaðu skjáinn varlega.
search	leita	Leitaðu að myndum á netinu.
season	árstíð; tímabil	Sumarið er annasamt tímabil.
seat	sæti	Vinsamlegast taktu þetta sæti.
second1 (next after the first)	annar	Í öðru lagi, þvoðu hendurnar.
secondly	í öðru lagi	Í öðru lagi, athugaðu svarið.
secret	leyndarmál	Geymdu þetta leyndarmál.
secretary	ritari	Ritarinn hringdi í dag.
seem	virðast	Þú virðist þreyttur.
sense	merking; vit	Þessi áætlun hefur vit.
separate	sér; aðskilinn	Haltu pappírunum sér.
series	þáttaröð; röð	Þessi þáttaröð er vinsæl.
serious	alvarlegur	Þetta vandamál er alvarlegt.
serve	bera fram	Hádegismatur er borinn fram um hádegi.
service	þjónusta	Þjónustan var hröð.
several	nokkrir	Nokkrir nemendur komu snemma.
shake	hrista	Hristu flöskuna fyrst.
shall modal	eigum við	Eigum við að byrja núna?
shape	lögun	Teiknaðu ferhyrnda lögun.
sheet	lak	Settu lak á rúmið.
ship	skip	Skipið fór í dag.
shoulder	öxl	Öxlin mín verkjar.
shout	hrópa	Ekki hrópa í bekknum.
shut	loka	Vinsamlegast lokaðu glugganum.
side	hlið	Sestu á þessa hlið.
sign	skilti; merki	Lestu skiltið vandlega.
silver	silfur	Silfur er ljós málmur.
simple	einfaldur	Þessi æfing er einföld.
since	frá	Ég hef beðið frá hádegi.
singing	söngur	Söngur hjálpar mér að slaka á.
single	einn; einstakur	Ég keypti einn miða.
sir	herra	Herra, taskan þín er tilbúin.
site	vefsíða	Þessi vefsíða er örugg.
size	stærð	Hvaða stærð þarftu?
ski	skíða	Á veturna skíðum við.
skiing	skíðaiðkun	Skíðaiðkun er skemmtileg á veturna.
skin	húð	Húðin hennar er þurr.
sky	himinn	Himinninn er heiður.
slowly	hægt	Gakktu hægt á ísnum.
smartphone	snjallsími	Snjallsíminn minn er nýr.
smell	lykt; lykta	Súpan lyktar vel.
smile	bros; brosa	Brostu til myndavélarinnar.
smoke	reykur	Reykur fyllti herbergið.
smoking	reykingar	Reykingar eru ekki leyfðar.
soap	sápa	Notaðu sápu og vatn.
soccer	fótbolti	Fótbolti er vinsæll hér.
social	félagslegur	Þetta er félagslegur viðburður.
society	samfélag	Samfélagið breytist með tímanum.
sock	sokkur	Einn sokkur vantar.
soft	mjúkur	Þetta teppi er mjúkt.
soldier	hermaður	Hermaðurinn kom heim.
solution	lausn	Við fundum lausn.
solve	leysa	Leystu þessa þraut.
somewhere	einhvers staðar	Settu þetta einhvers staðar öruggt.
sort	tegund	Hvaða tegund viltu?
source	heimild; uppspretta	Athugaðu heimildina fyrst.
speaker	ræðumaður; hátalari	Hátalarinn var hávær.
specific	sérstakur; nákvæmur	Ég þarf nákvæmt svar.
speech	ræða	Ræðan hennar var stutt.
speed	hraði	Minnkaðu hraðann hér.
spider	könguló	Það er könguló á veggnum.
spoon	skeið	Notaðu skeið fyrir súpuna.
square	ferningslaga	Teiknaðu ferningslaga kassa.
stage	svið	Hljómsveitin er á sviðinu.
stair	þrep	Þrepið er brotið.
stamp	frímerki	Settu frímerki á bréfið.
state	tilkynna	Tilkynntu nafnið þitt skýrt.
steal	stela	Ekki stela peningum.
step	skref	Taktu eitt skref áfram.
stomach	magi	Maginn á mér verkjar.
stone	steinn	Steinninn er þungur.
store	búð	Búðin lokar snemma.
storm	stormur	Stormur er að koma.
straight	beint	Farðu beint heim.
strange	skrýtinn	Þetta hljóð er skrýtið.
strategy	stefna; áætlun	Við þurfum stefnu.
stress	streita	Vinnan getur valdið streitu.
structure	uppbygging	Þessi uppbygging er sterk.
stupid	heimskur	Þetta voru heimskuleg mistök.
succeed	takast	Þér getur tekist þetta hér.
successful	farsæll	Hún varð farsæl.
such	slíkur	Slík hjálp er gagnleg.
suddenly	skyndilega	Skyndilega hljóp hundurinn í burtu.
suggest	leggja til	Ég legg til stutt hlé.
suggestion	tillaga	Tillagan þín er gagnleg.
suit	jakkaföt	Þessi jakkaföt eru dýr.
support	styðja	Við styðjum liðið okkar.
suppose	gera ráð fyrir	Ég geri ráð fyrir að þú hafir rétt fyrir þér.
surprise	óvænting	Óvæntingin gladdi hana.
surprised	hissa	Hún var hissa í dag.
surprising	óvæntur	Niðurstaðan var óvænt.
survey	könnun	Vinsamlegast fylltu út könnunina.
sweet	sætur	Þetta te er sætt.
symbol	tákn	Þetta tákn merkir hættu.
system	kerfi	Kerfið virkar vel.
tablet	spjaldtölva	Spjaldtölvan mín er á borðinu.
target	skotmark	Hittu skotmarkið varlega.
task	verkefni	Þetta verkefni er einfalt.
taste	bragð; smakka	Smakkaðu súpuna fyrst.
teaching	kennsla	Kennsla er erfið vinna.
technology	tækni	Tækni breytist hratt.
teenage	unglings	Unglingsbróðir minn lærir vel.
temperature	hitastig	Hitastigið er lágt.
term	tímabil; önn	Þessi önn endar fljótlega.
themselves	þau sjálf	Þau elduðu kvöldmatinn sjálf.
thick	þykkur	Þessi bók er þykk.
thief	þjófur	Þjófurinn hljóp í burtu.
thin	þunnur	Pappírinn er þunnur.
thinking	hugsun	Hugsun tekur tíma.
thought	hugmynd; hugsun	Ég fékk skrýtna hugmynd.
throw	kasta	Kastaðu boltanum varlega.
tidy	snyrtilegur	Haltu herberginu þínu snyrtilegu.
tie	binda	Bittu skóna þína núna.
tip	ráð; þjórfé	Skildu eftir þjórfé fyrir þjónustuna.
tool	verkfæri	Notaðu rétt verkfæri.
top	toppur; efsti hluti	Efsta hillan er full.
touch	snerta	Ekki snerta glerið.
tour	skoðunarferð	Við fórum í skoðunarferð um borgina.
tourism	ferðaþjónusta	Ferðaþjónusta hjálpar þessari borg.
towards	í átt að	Farðu í átt að stöðinni.
towel	handklæði	Taktu hreint handklæði.
tower	turn	Turninn er mjög gamall.
toy	leikfang	Leikfangabíllinn er rauður.
track	braut; spor	Brautin liggur til norðurs.
tradition	hefð	Þessi hefð er gömul.
traditional	hefðbundinn	Hún klæddist hefðbundnum fötum.
trainer	þjálfari	Þjálfarinn minn er hjálplegur.
training	þjálfun	Þjálfunin byrjar á morgun.
transport	samgöngur	Almenningssamgöngur eru seinar.
traveller	ferðamaður	Ferðamaðurinn bað um hjálp.
trouble	vandamál	Í gær áttum við í vandræðum.
truck	vörubíll	Vörubíllinn er úti.
twin	tvíburi	Tvíburasystir mín er hærri.
typical	dæmigerður	Þetta er dæmigerður dagur.
underground	neðanjarðar	Lestin fer neðanjarðar.
understanding	skilningur	Skilningur þinn er réttur.
unfortunately	því miður	Því miður er búðin lokuð.
unhappy	óhamingjusamur	Hann lítur óhamingjusamur út.
uniform	einkennisbúningur	Hún klæðist skólabúningi.
unit	eining	Þessi eining er lítil.
united	sameinaður	Liðið var sameinað.
unusual	óvenjulegur	Þetta hljóð er óvenjulegt.
used to modal	áður	Áður bjuggum við hér.
user	notandi	Hver notandi hefur númer.
usual	venjulegur	Ég settist í venjulega sætið mitt.
valley	dalur	Dalurinn er grænn.
van	sendibíll	Sendibíllinn er fullur.
variety	fjölbreytni	Við þurfum meiri fjölbreytni.
vehicle	farartæki	Þetta farartæki er hægt.
view	útsýni	Útsýnið er fallegt.
virus	veira	Veiran gerði hann veikan.
voice	rödd	Rödd hennar er lág.
war	stríð	Stríðið endaði fyrir árum.
washing	þvottur	Þvotturinn er úti.
wave	alda	Aldan skall á skipinu.
weak	veikur	Fæturnir mínir eru veikir.
web	vefur	Vefsíðan er opin.
wedding	brúðkaup	Brúðkaupið byrjar bráðum.
weight	þyngd	Athugaðu þyngdina fyrst.
wet	blautur	Skórnir mínir eru blautir.
wheel	hjól	Hjólið er brotið.
while	stund	Bíddu hér smástund.
whole	heill	Ég borðaði heilt epli.
whose	hvers	Hvers sími er þetta?
wide	breiður	Vegurinn er breiður.
wild	villtur	Villt dýr búa hér.
wind1	vindur	Vindurinn er sterkur.
winner	sigurvegari	Sigurvegarinn brosti.
wish	ósk	Óskaðu þér einhvers.
wood	viður	Stóllinn er úr viði.
wooden	úr tré	Trékassinn er þungur.
working	vinnu-	Vinnudagurinn er búinn.
worried	áhyggjufullur	Ég er áhyggjufullur í dag.
worry	hafa áhyggjur	Ekki hafa áhyggjur núna.
worse	verri	Þessi verkur er verri.
worst	verstur	Þetta var versti dagurinn.
wow	vá	Vá, þetta er ótrúlegt!
yet	enn; þegar	Erum við þegar komin?
yours	þinn; þín	Þessi bók er þín.
zero	núll	Teldu aftur niður að núlli.
