source_headword	VI	example_VI
hunt	săn; tìm kiếm	Họ tìm nấm vào mùa thu.
hurricane	bão cuồng phong	Cơn bão cuồng phong đã làm hư hại nhiều ngôi nhà.
hurry	sự vội vã	Hôm nay không cần vội vã.
identity	danh tính; bản sắc	Danh tính của cô ấy vẫn được giữ bí mật.
ignore	phớt lờ	Đừng phớt lờ cảnh báo này.
illegal	bất hợp pháp	Đỗ xe ở đây là bất hợp pháp.
imaginary	tưởng tượng	Câu chuyện có một hòn đảo tưởng tượng.
immediate	ngay lập tức	Chúng tôi cần một câu trả lời ngay lập tức.
immigrant	người nhập cư	Người nhập cư đó học tiếng Anh rất nhanh.
impact	tác động	Tin tức đó có tác động mạnh.
import	nhập khẩu	Quốc gia đó sẽ nhập khẩu thêm gạo.
importance	tầm quan trọng	Cô ấy hiểu tầm quan trọng của giấc ngủ.
impression	ấn tượng	Ấn tượng đầu tiên của anh ấy rất tích cực.
impressive	ấn tượng	Bảo tàng có lối vào rất ấn tượng.
improvement	sự cải thiện	Tháng này có sự cải thiện rõ ràng.
incredibly	cực kỳ	Bài kiểm tra đó cực kỳ khó.
indeed	quả thật	Đó quả thật là một ngày kỳ lạ.
indicate	chỉ ra	Biển báo sẽ chỉ ra lối ra.
indirect	gián tiếp	Cô ấy đưa ra một câu trả lời gián tiếp.
indoor	trong nhà	Khách sạn có hồ bơi trong nhà.
indoors	trong nhà	Chúng tôi ở trong nhà trong cơn bão.
influence	ảnh hưởng	Giáo viên của anh ấy có ảnh hưởng lớn.
ingredient	nguyên liệu	Bột mì là nguyên liệu chính.
injure	làm bị thương	Đừng làm lưng bạn bị thương.
injured	bị thương	Cầu thủ bị thương rời sân.
innocent	vô tội; ngây thơ	Đứa trẻ trông hoàn toàn ngây thơ.
intelligence	trí thông minh	Cô ấy thể hiện trí thông minh lớn trong lớp.
intend	dự định	Tôi dự định đi du học.
intention	ý định	Ý định của anh ấy là giúp đỡ.
invest	đầu tư	Họ đầu tư tiền vào giáo dục.
investigate	điều tra	Cảnh sát sẽ điều tra vụ tai nạn.
involved	liên quan	Một số học sinh đã liên quan.
iron	sắt	Cánh cổng được làm bằng sắt.
issue	vấn đề	Đây là một vấn đề nghiêm trọng.
IT	công nghệ thông tin	Cô ấy làm việc trong ngành công nghệ thông tin.
journal	nhật ký	Anh ấy viết trong nhật ký.
judge	thẩm phán	Thẩm phán lắng nghe cẩn thận.
keen	hăng hái; say mê	Cô ấy rất hăng hái học tập.
keyboard	bàn phím	Bàn phím của tôi ngừng hoạt động.
kick	đá	Hãy đá quả bóng nhẹ nhàng.
killing	vụ giết người	Vụ giết người làm cả làng chấn động.
kind (caring)	tốt bụng	Đó là một việc tốt bụng.
kiss	nụ hôn	Cô ấy hôn em bé một nụ hôn.
label	nhãn	Hãy đọc nhãn trước khi dùng.
laboratory	phòng thí nghiệm	Phòng thí nghiệm hôm nay đóng cửa.
lack	sự thiếu hụt	Thiếu ngủ làm hại trí nhớ.
latest	mới nhất	Bạn đã đọc báo cáo mới nhất chưa.
lay	đặt	Đặt cuốn sách lên bàn.
layer	lớp	Thêm một lớp sơn nữa.
leading	hàng đầu	Cô ấy là một nhà khoa học hàng đầu.
leaf	chiếc lá	Một chiếc lá rơi lên áo khoác của tôi.
leather	da thuộc	Túi của anh ấy làm bằng da.
legal	pháp lý; hợp pháp	Chúng tôi cần lời khuyên pháp lý.
leisure	thời gian rảnh	Đọc sách là hoạt động thời gian rảnh yêu thích của tôi.
length	chiều dài	Hãy đo chiều dài của căn phòng.
lie2 (tell a lie)	nói dối	Đừng nói dối bố mẹ bạn.
limit	giới hạn	Giới hạn tốc độ là năm mươi.
lip	môi	Cô ấy cắn môi.
liquid	chất lỏng	Nước là một chất lỏng trong suốt.
literature	văn học	Cô ấy học văn học Pháp.
live2	trực tiếp	Ban nhạc đã chơi trực tiếp tối qua.
living	sống; đang sống	Cây sống cần ánh sáng.
locate	xác định vị trí	Bạn có thể xác định vị trí tệp không.
located	nằm ở	Văn phòng nằm ở trung tâm thành phố.
location	vị trí	Đây là một vị trí tốt.
lonely	cô đơn	Anh ấy cảm thấy cô đơn sau khi chuyển nhà.
loss	sự mất mát	Sự mất mát đó thật khó khăn với mọi người.
luxury	sự xa xỉ	Khách sạn mang lại sự xa xỉ thật sự.
mad	tức giận	Cô ấy tức giận vì sự chậm trễ.
magic	phép thuật	Buổi biểu diễn đầy phép thuật.
mainly	chủ yếu	Nhóm đó chủ yếu là học sinh.
mall	trung tâm mua sắm	Chúng tôi gặp nhau ở trung tâm mua sắm.
management	sự quản lý	Quản lý tốt tiết kiệm thời gian.
marketing	tiếp thị	Tiếp thị giúp bán sản phẩm.
marriage	hôn nhân	Cuộc hôn nhân của họ kéo dài ba mươi năm.
meanwhile	trong lúc đó	Tôi nấu bữa tối trong lúc đó.
measure	đo	Hãy đo cái bàn cẩn thận.
medium	vừa	Tôi gọi một chiếc pizza cỡ vừa.
mental	tinh thần	Căng thẳng ảnh hưởng đến sức khỏe tinh thần.
mess	đống bừa bộn	Hãy dọn đống bừa bộn này.
mild	nhẹ	Món súp có vị nhẹ.
mine (hole in the ground)	mỏ	Mỏ đó đã đóng cửa năm ngoái.
mix	trộn	Trộn trứng với sữa.
mixture	hỗn hợp	Hỗn hợp trở nên đặc.
mood	tâm trạng	Âm nhạc đã thay đổi tâm trạng của cô ấy.
mud	bùn	Giày của anh ấy phủ đầy bùn.
murder	vụ giết người	Vụ giết người xảy ra vào ban đêm.
muscle	cơ bắp	Tập thể dục giúp xây dựng cơ bắp.
mystery	điều bí ẩn	Ngôi nhà cũ là một điều bí ẩn.
nail	móng tay	Tôi bị gãy một móng tay.
narrative	lời kể; tự sự	Cuốn tiểu thuyết có lời kể rõ ràng.
nation	quốc gia	Cả quốc gia đã ăn mừng.
native	bản ngữ	Tiếng Tây Ban Nha là ngôn ngữ bản ngữ của cô ấy.
naturally	một cách tự nhiên	Trẻ em học một cách tự nhiên qua vui chơi.
necessarily	nhất thiết	Đồ ăn đắt tiền không nhất thiết tốt hơn.
needle	cây kim	Cây kim rất sắc.
neighbourhood	khu phố	Họ sống trong một khu phố yên tĩnh.
net	lưới	Ngư dân sửa chiếc lưới của mình.
nor	cũng không	Anh ấy không cười cũng không nói.
northern	phía bắc	Họ đã thăm bờ biển phía bắc.
nuclear	hạt nhân	Cuộc tranh luận nói về năng lượng hạt nhân.
obvious	rõ ràng	Câu trả lời rất rõ ràng.
obviously	rõ ràng là	Rõ ràng là chúng ta cần thêm thời gian.
occasion	dịp	Đây là một dịp đặc biệt.
occur	xảy ra	Tai nạn có thể xảy ra ở bất cứ đâu.
odd	kỳ lạ	Đó là một câu hỏi kỳ lạ.
official	chính thức	Kết quả chính thức đã đến hôm nay.
old-fashioned	lỗi thời	Điện thoại của cô ấy trông lỗi thời.
operation	ca phẫu thuật; hoạt động	Ca phẫu thuật kéo dài hai giờ.
organized	có tổ chức	Bàn làm việc của cô ấy rất có tổ chức.
organizer	người tổ chức	Người tổ chức chào đón khách.
originally	ban đầu	Ban đầu cô ấy đến từ Canada.
ought modal	nên	Bạn nên nghỉ ngơi.
ours	của chúng ta	Cái bàn này là của chúng ta.
outdoor	ngoài trời	Chúng tôi đã mua đồ nội thất ngoài trời.
outdoors	ngoài trời	Trẻ em nên chơi ngoài trời.
package	gói hàng	Gói hàng đã đến sáng nay.
painful	đau	Vết cắt rất đau.
pale	nhợt nhạt	Khuôn mặt anh ấy trông nhợt nhạt.
pan	chảo	Hãy làm nóng chảo trước.
participate	tham dự; tham gia	Mọi người đều có thể tham gia.
particularly	đặc biệt	Tôi đặc biệt thích bài hát này.
passion	đam mê	Âm nhạc là niềm đam mê của cô ấy.
path	con đường	Đi theo con đường qua công viên.
payment	khoản thanh toán	Khoản thanh toán đến hạn vào ngày mai.
peaceful	yên bình	Khu vườn rất yên bình.
percentage	tỷ lệ phần trăm	Một tỷ lệ phần trăm nhỏ đã đồng ý.
perfectly	hoàn hảo	Kế hoạch hoạt động hoàn hảo.
performance	màn trình diễn	Màn trình diễn của cô ấy rất xuất sắc.
personally	cá nhân	Cá nhân tôi thích trà hơn.
persuade	thuyết phục	Bạn có thể thuyết phục anh ấy tham gia không.
photographer	nhiếp ảnh gia	Nhiếp ảnh gia đã chụp nhiều bức ảnh.
photography	nhiếp ảnh	Nhiếp ảnh là sở thích yêu thích của anh ấy.
pin	đinh ghim	Hãy đặt một đinh ghim lên bản đồ.
pipe	ống	Cái ống dẫn nước.
planning	việc lập kế hoạch	Việc lập kế hoạch mất thời gian.
pleasant	dễ chịu	Chúng tôi đã có một buổi tối dễ chịu.
pleasure	niềm vui	Rất vui được gặp bạn.
plenty	nhiều	Chúng ta có nhiều thời gian.
plot	cốt truyện	Cốt truyện dễ theo dõi.
plus1	cộng	Hai cộng ba bằng năm.
poem	bài thơ	Cô ấy viết một bài thơ ngắn.
poet	nhà thơ	Nhà thơ đọc to.
poetry	thơ ca	Anh ấy thích thơ ca hiện đại.
poison	chất độc	Hãy để chất độc xa trẻ em.
poisonous	có độc	Một số loại nấm có độc.
