hsk_key	source_word	simplified	CS	example_CS	SK	example_SK	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
2002:哎呀	哎呀	哎呀	ach ne; jejda	Jejda, nechal jsem klíče doma.	ach nie; jaj	Jaj, nechal som kľúče doma.	jaj; ó	Jaj, otthon hagytam a kulcsaimat.	vai; of	Vai, mi-am uitat cheile acasă.	ох; леле	Леле, забравих ключовете си вкъщи.	ajme; joj	Ajme, ostavio sam ključeve kod kuće.
2005:安	安	安	klidný; tichý	Když dítě usnulo, v pokoji se najednou uklidnilo.	pokojný; tichý	Keď dieťa zaspalo, v izbe sa zrazu stíšilo.	nyugodt; békés	Miután a gyerek elaludt, a szoba hirtelen elcsendesedett.	liniștit; pașnic	După ce copilul a adormit, camera s-a liniștit brusc.	спокоен; тих	След като детето заспа, стаята изведнъж утихна.	miran; tih	Nakon što je dijete zaspalo, soba se odjednom utišala.
2006:安全带	安全带	安全带	bezpečnostní pás	Před jízdou si prosím zapněte bezpečnostní pás.	bezpečnostný pás	Pred jazdou si prosím zapnite bezpečnostný pás.	biztonsági öv	Vezetés előtt csatold be a biztonsági övet.	centură de siguranță	Înainte de a conduce, vă rog să vă puneți centura de siguranță.	предпазен колан	Преди шофиране, моля, закопчайте предпазния колан.	sigurnosni pojas	Prije vožnje zavežite sigurnosni pojas.
2013:半夜	半夜	半夜	půlnoc; pozdě v noci	Uprostřed noci mu někdo zavolal.	polnoc; neskoro v noci	Uprostred noci mu niekto zavolal.	éjfél; késő éjszaka	Az éjszaka közepén valaki felhívta.	miezul nopții; noaptea târziu	Cineva l-a sunat în toiul nopții.	полунощ; късно през нощта	Посред нощ някой му се обади.	ponoć; kasno noću	Usred noći netko ga je nazvao.
2020:宝	宝	宝	poklad; miláček	Tento starý nefrit je rodinný poklad.	poklad; miláčik	Tento starý nefrit je rodinný poklad.	kincs; drágám	Ez a régi jáde a család kincse.	comoară; dragule	Această jadă veche este comoara familiei.	съкровище; мило	Този стар нефрит е семейното съкровище.	blago; milo	Ovaj stari žad obiteljsko je blago.
2021:保	保	保	chránit; udržet	Musíme ochránit tento kus lesa.	chrániť; udržať	Musíme ochrániť tento kus lesa.	megvédeni; megtartani	Meg kell védenünk ezt az erdőrészletet.	a proteja; a păstra	Trebuie să protejăm această porțiune de pădure.	пазя; запазвам	Трябва да запазим тази част от гората.	zaštititi; sačuvati	Moramo zaštititi ovaj dio šume.
2022:保安	保安	保安	ostraha; bezpečnostní pracovník	Ostraha u vchodu zkontrolovala můj doklad.	strážnik; bezpečnostná služba	Strážnik pri vchode skontroloval môj doklad.	biztonsági őr; biztonsági szolgálat	A bejáratnál lévő biztonsági őr ellenőrizte az igazolványomat.	agent de pază; securitate	Agentul de pază de la intrare mi-a verificat actul de identitate.	охранител; охрана	Охранителят на входа провери документа ми.	zaštitar; osiguranje	Zaštitar na ulazu provjerio je moju iskaznicu.
2029:保质期	保质期	保质期	doba trvanlivosti; datum spotřeby	Před nákupem mléka zkontrolujte dobu trvanlivosti.	trvanlivosť; dátum spotreby	Pred kúpou mlieka si pozrite dátum spotreby.	szavatossági idő; lejárati idő	Tej vásárlása előtt nézd meg a szavatossági időt.	termen de valabilitate; perioadă de expirare	Înainte să cumperi lapte, verifică termenul de valabilitate.	срок на годност	Преди да купиш мляко, провери срока на годност.	rok trajanja; datum isteka	Prije kupnje mlijeka provjeri rok trajanja.
2034:暴雨	暴雨	暴雨	prudký liják; silná bouře	Po prudkém lijáku se na silnici nahromadilo hodně vody.	prudký lejak; silná búrka	Po prudkom lejaku sa na ceste nahromadilo veľa vody.	felhőszakadás; heves eső	A felhőszakadás után sok víz gyűlt össze az úton.	ploaie torențială	După ploaia torențială, s-a adunat multă apă pe drum.	пороен дъжд; буря	След поройния дъжд по пътя се събра много вода.	pljusak; jaka kiša	Nakon pljuska na cesti se skupilo mnogo vode.
2037:背后	背后	背后	za; pozadí	Za úspěchem je mnoho úsilí.	za; pozadie	Za úspechom je veľa úsilia.	mögött; háttér	A siker mögött sok erőfeszítés van.	în spate; fundal	În spatele succesului se află mult efort.	зад; предистория	Зад успеха стои много усилие.	iza; pozadina	Iza uspjeha stoji mnogo truda.
