source_headword	DA	example_DA
absolutely	absolut	Jeg er helt enig med dig.
academic	akademisk	Det akademiske år starter i september.
access	adgang	Studerende har brug for adgang til biblioteket.
accommodation	indkvartering	Vi bookede indkvartering tæt på stationen.
account	en konto	Hun åbnede en ny bankkonto.
achievement	en præstation	At gennemføre kurset var en stor præstation.
ad	en annonce	Annoncen viste en ny telefon.
addition	en tilføjelse	Poolen er en nyttig tilføjelse.
admire	beundre	Jeg beundrer hendes rolige holdning.
admit	indrømme	Han indrømmede sin fejl.
advanced	avanceret	Dette er en avanceret engelsktime.
advise	råde	Læger råder til regelmæssig motion.
afford	have råd til	Vi har ikke råd til en taxa.
aged	i alderen	Kurset er for børn på ti år.
agent	en agent	Rejseagenten ændrede vores billetter.
agreement	en aftale	De nåede en aftale i dag.
ahead	forude	Vejen forude er fri.
aim	sigte mod	Vi sigter mod at blive færdige snart.
alarm	en alarm	Alarmen ringede klokken seks.
album	et album	Dette album har ti sange.
alcohol	alkohol	Hotellet serverer ikke alkohol.
alcoholic	alkoholisk	Denne drink er ikke alkoholisk.
amazed	forbløffet	Hun var forbløffet over resultatet.
ambition	en ambition	Hans ambition er at blive pilot.
ambitious	ambitiøs	Hun har en ambitiøs plan.
analyse	analysere	Vi skal analysere resultaterne.
analysis	en analyse	Hendes analyse var klar og grundig.
announce	annoncere	De annoncerer vinderen i morgen.
announcement	en meddelelse	Meddelelsen overraskede alle.
annoy	irritere	Høj musik kan irritere naboer.
annoyed	irriteret	Han så irriteret ud efter forsinkelsen.
annoying	irriterende	Den lyd er virkelig irriterende.
apart	fra hinanden	Husene ligger to meter fra hinanden.
apologize	undskylde	Jeg undskylder, at jeg kommer for sent.
application	en ansøgning	Udfyld venligst ansøgningen online.
appointment	en aftale	Jeg har en tandlægetid i morgen.
appreciate	værdsætte	Jeg værdsætter din hjælp.
approximately	cirka	Gåturen tager cirka tyve minutter.
arrest	anholde	Politiet anholdt chaufføren.
arrival	en ankomst	Vores ankomst var senere end forventet.
assignment	en opgave	Opgaven skal afleveres fredag.
assist	hjælpe	Sygeplejersker hjælper lægen.
atmosphere	en atmosfære	Cafeen har en afslappet atmosfære.
