source_headword	PT-BR	example_PT-BR
institute	o instituto	O instituto abriu um novo programa de pesquisa.
institution	a instituição	A instituição mudou suas regras de admissão.
insurance	o seguro	O seguro dela cobriu as despesas do hospital.
intended	pretendido	A mensagem chegou ao seu público pretendido.
intense	intenso	O debate ficou intenso muito rapidamente.
internal	interno	A empresa iniciou uma revisão interna.
interpret	interpretar	Por favor, interprete os resultados com cuidado.
interrupt	interromper	Não interrompa o palestrante agora.
investigation	a investigação	A investigação revelou erros graves.
investment	o investimento	O investimento criou muitos empregos locais.
joy	a alegria	O sucesso deles trouxe grande alegria.
judgement	o julgamento	Seu discernimento melhorou com a experiência.
junior	júnior	Ela se juntou à equipe como uma analista júnior.
justice	a justiça	A família exigiu justiça após o julgamento.
justify	justificar	Você deve justificar essa decisão claramente.
labour	a mão de obra	O projeto exige mão de obra qualificada.
landscape	a paisagem	A paisagem mudou depois da tempestade.
largely	em grande parte	O plano foi em grande parte bem-sucedido.
launch	lançar	Eles vão lançar o produto amanhã.
leadership	a liderança	Uma liderança forte ajudou a equipe a se recuperar.
league	a liga	Nosso clube entrou em uma liga regional.
lean	encostar	Não se encoste na parede molhada.
licence	a licença	A licença expira no mês que vem.
limited	limitado	Temos tempo limitado hoje.
lively	animado	A reunião ficou animada depois do almoço.
load	a carga	O caminhão carregava uma carga pesada.
loan	o empréstimo	O banco aprovou o empréstimo.
logical	lógico	O argumento dela era claro e lógico.
long-term	de longo prazo	Esta é uma solução de longo prazo.
loose	frouxo	A maçaneta parece frouxa.
lord	o senhor	O senhor possuía várias vilas.
lower	abaixar	Eles reduzem os preços durante o inverno.
lung	o pulmão	Fumar pode danificar um pulmão.
maintain	manter	Nós mantemos contato regular.
majority	a maioria	A maioria apoiou a proposta.
mass	a massa	Uma massa de nuvens cobriu o céu.
massive	enorme	O terremoto causou danos enormes.
master	o mestre	Ela se tornou uma mestre em negociação.
matching	combinando	Ele usou sapatos e cinto combinando.
maximum	máximo	A sala atingiu a capacidade máxima.
