source_headword	JA	example_JA
toss	放り投げる	彼女は鍵をテーブルに放り投げた。
total	合計～になる	修理費は予想以上の合計になった。
toxic	有毒な	有毒な煙のため、皆外に避難した。
trademark	商標	そのロゴは会社の商標になった。
trail	登山道	その道は森の中へと続いていた。
trailer	予告編	予告編で映画の結末が流れた。
transaction	取引	その取引は銀行の明細書に記載されていた。
transcript	成績証明書	その学生は公式な成績証明書を要求した。
transformation	変革	その都市は大きな変貌を遂げた。
transit	輸送	荷物は輸送中に破損した。
transmission	送信	データの送信は安全だった。
transparency	透明性	報告書はより高い透明性を求めた。
transparent	透明な	プロセスは誰にとっても透明であるべきだ。
trauma	トラウマ	その事故は深いトラウマを残した。
treaty	条約	両国は平和条約に調印した。
tremendous	すさまじい	チームはすさまじい進歩を遂げた。
tribal	部族の	博物館には部族の芸術品が展示されていた。
tribunal	法廷	法廷は一週間証拠を聴取した。
tribute	賛辞	そのコンサートは彼女への賛辞だった。
trio	3人組	その3人組はフェスティバルでパフォーマンスをした。
triumph	勝利	その勝利は個人的な大成功だった。
trophy	トロフィー	キャプテンは誇らしげにトロフィーを掲げた。
troubled	困難を抱えた	その問題のある企業には新たな指導者が必要だった。
trustee	理事	理事が奨学金基金を管理している。
tuition	授業料	彼女の授業料は今年値上がりした。
turnout	投票率	投票率は予想より高かった。
turnover	離職率	変更後、スタッフの離職率は低下した。
twist	ひねる	彼女は蓋をひねって開けた。
undergraduate	学部生	その学部生は研究プロジェクトに参加した。
underlying	根本的な	報告書は根本的な原因を説明した。
undermine	弱める	そのスキャンダルは国民の信頼を失墜させた。
undoubtedly	疑いなく	彼女は間違いなく最高の候補者だ。
unify	統合する	その計画はチームを統合することを目指している。
unprecedented	前例のない	その嵐は前例のない被害をもたらした。
unveil	発表する	会社は明日、デザインを発表する。
upcoming	今度の	今度の選挙は世間の注目を集めた。
upgrade	アップグレードする	私たちは昨夜ソフトウェアをアップグレードした。
uphold	支持する	私たちは元の決定を支持する。
utility	公共サービス	アパートにはすべての光熱費が含まれている。
utilize	利用する	チームは利用可能なデータを活用した。
utterly	完全に	その説明は全くもって不可解だった。
vacuum	空白	リーダーシップの空白が緊張を生んだ。
vague	曖昧な	彼の答えは曖昧で説得力がなかった。
validity	妥当性	その研究はテストの妥当性を疑問視した。
vanish	消える	ファイルがフォルダから消えた。
variable	変数	価格は一つの重要な変数だ。
varied	多様な	そのコースは多様な課題を提供している。
vein	静脈	看護師はすぐに静脈を見つけた。
venture	ベンチャー	その新規事業は投資家を惹きつけた。
verbal	口頭の	彼らは口頭での合意に達した。
verdict	評決	陪審員は評決を下した。
verify	確認する	メールアドレスを確認してください。
verse	詩の1行	彼女はその詩の一節を引用した。
versus	対	討論はプライバシー対セキュリティだった。
vessel	船	その船は海を越えて穀物を運んだ。
veteran	ベテラン	そのベテランが新しいスタッフを訓練した。
viable	実行可能な	その提案は財政的に実行可能である。
vibrant	活気のある	その都市には活気ある芸術シーンがある。
vice	悪徳	強欲は彼の最大の悪徳だった。
vicious	凶悪な	その凶悪な襲撃は町に衝撃を与えた。
villager	村人	村人が私たちを川まで案内してくれた。
violate	違反する	その会社は安全規則に違反するかもしれない。
violation	違反	検査官は重大な違反を報告した。
virtue	美徳	忍耐は重要な美徳だ。
vocal	率直な	彼女はその決定について意見をはっきりと言った。
vow	誓う	彼は仕事を終えると誓った。
vulnerability	脆弱性	監査によってセキュリティ上の脆弱性が明らかになった。
vulnerable	弱い	子供たちは極端な暑さに対して弱い。
ward	病棟	患者は別の病棟に移った。
warehouse	倉庫	倉庫には予備の部品が保管されている。
warfare	戦争	現代の戦争は技術に依存している。
warrant	令状	警察は捜索令状を見せた。
warrior	戦士	その戦士は村を守った。
weaken	弱める	ケガによって彼の握力は弱まった。
weave	編む	彼女はカゴの編み方を学んだ。
weed	雑草	石の間に雑草が生えていた。
well	井戸	村の井戸が枯れた。
well-being	健康	睡眠は健康にとって不可欠だ。
whatsoever	少しも	彼は少しも興味を示さなかった。
whereby	それによって	法律は、家族が上訴できる制度を設けた。
whilst	～する間に	彼が休んでいる間、彼女は働いた。
whip	激しく打つ	風が旗を激しく揺さぶることがある。
wholly	完全に	その決定は全く予想外だった。
widen	広げる	市は道路を拡張する計画だ。
widow	未亡人	その未亡人は学校の近くに住んでいる。
width	幅	ドアの幅を測りなさい。
willingness	意欲	彼女の助けようとする意欲は皆に感銘を与えた。
wipe	拭く	布で画面を拭きなさい。
wit	機知	彼の機知によってスピーチは活気づいた。
withdrawal	撤回	資金の撤回によりプロジェクトが遅れた。
workout	運動	トレーニングは40分間続いた。
worship	礼拝	人々は夜明けの礼拝のために集まった。
worthwhile	価値がある	その旅行は行く価値があった。
worthy	値する	その慈善団体は支援するに値する。
yell	怒鳴る	スタッフを怒鳴らないでください。
yield	収穫量	今シーズン、農場の収穫量は向上した。
youngster	子供	その若者はたくさんの質問をした。
