source_headword	RO	example_RO
prey	pradă	Bufnițele vânează pradă noaptea.
privatization	privatizare	Privatizarea a schimbat sistemul feroviar.
privilege	privilegiu	Educația nu ar trebui să fie un privilegiu.
probe	investigație	Investigația a scos la iveală erori grave.
problematic	problematic	Acordul rămâne problematic.
proceedings	proceduri	Procedurile judiciare au început luni.
proceeds	încasări	Încasările vor sprijini școlile locale.
processing	procesare	Procesarea imaginilor necesită timp.
processor	procesor	Procesorul a eșuat în timpul testării.
proclaim	a proclama	Liderii proclamă victoria prea devreme.
productive	productiv	Ședința a fost productivă.
productivity	productivitate	Productivitatea a crescut după instruire.
profitable	profitabil	Magazinul a devenit profitabil anul acesta.
profound	profund	Discursul a avut un efect profund.
projection	proiecție	Proiecția arată o creștere constantă.
prominent	proeminent	Ea a devenit o cercetătoare proeminentă.
pronounced	pronunțat	Accentul lui a devenit mai pronunțat.
propaganda	propagandă	Campania a folosit propagandă online.
proposition	propunere	Propunerea este o inițiativă riscantă.
prosecute	a pune sub acuzare	Oficialii pun sub acuzare cazurile grave de fraudă.
prosecution	acuzare	Acuzarea a prezentat dovezi noi.
prosecutor	procuror	Procurorul a chestionat martorul.
prospective	potențial	Viitorii studenți au vizitat campusul.
prosperity	prosperitate	Comerțul a adus prosperitate regiunii.
protective	de protecție	Ea purta mănuși de protecție.
protocol	protocol	Protocolul necesită aprobare scrisă.
province	provincie	Provincia a investit în transport.
provincial	provincial	Oficialii provinciali au anunțat planul.
provision	prevedere	Contractul include o prevedere de siguranță.
provoke	a provoca	Discursul ar putea provoca reacții puternice.
psychiatric	psihiatric	Spitalul a deschis o secție de psihiatrie.
pulse	puls	Asistenta i-a verificat pulsul.
pump	pompă	Pompa împinge apa în sus.
punch	pumn	A lovit cu pumnul din furie.
query	solicitare	Trimiteți solicitarea la asistență.
quest	căutare	Căutarea lor pentru dreptate a continuat.
quota	cotă	Echipa și-a îndeplinit cota de vânzări.
radar	radar	Furtuna a apărut pe radar.
radical	radical	Grupul a propus reforme radicale.
rage	furie	Furia lui a dispărut repede.
raid	razie	Poliția a efectuat o razie în zori.
rally	miting	Susținătorii s-au alăturat mitingului din centru.
ranking	clasament	Universitatea și-a îmbunătățit clasamentul.
rape	viol	Cazurile de viol necesită o investigație atentă.
ratio	raport	Clasa are un raport scăzut de profesori per elev.
rational	rațional	Decizia ei a fost rațională.
ray	rază	O rază de soare a pătruns înăuntru.
readily	imediat	A acceptat oferta imediat.
realization	conștientizare	Conștientizarea i-a schimbat planurile.
realm	domeniu	Această întrebare aparține altui domeniu.
rear	spate	Folosiți intrarea din spate astăzi.
reasoning	raționament	Raționamentul său a fost clar.
reassure	a liniști	Medicul a încercat să o liniștească.
rebel	rebel	Liderul rebel a scăpat de capturare.
rebellion	rebeliune	Rebeliunea s-a încheiat după negocieri.
recipient	destinatar	Destinatarul a semnat formularul.
reconstruction	reconstrucție	Reconstrucția a început după inundație.
recount1	a relata	Ea poate relata evenimentele clar.
referendum	referendum	Referendumul a divizat țara.
reflection	reflecție	Eseul a necesitat o reflecție mai profundă.
reform	reformă	Reforma a îmbunătățit serviciile publice.
refuge	refugiu	Familia a căutat refugiu în străinătate.
refusal	refuz	Refuzul ei a surprins comitetul.
regain	a recâștiga	A muncit din greu pentru a recâștiga încrederea.
regardless	indiferent	Au continuat indiferent de critici.
regime	regim	Regimul a restricționat libertatea de exprimare.
regulator	autoritate de reglementare	Autoritatea de reglementare a amendat compania.
regulatory	de reglementare	Aprobarea de reglementare a durat luni de zile.
rehabilitation	reabilitare	Reabilitarea l-a ajutat să meargă din nou.
reign	domnie	Domnia regelui a durat decenii.
rejection	respingere	Respingerea i-a afectat încrederea.
relevance	relevanță	Datele au o relevanță limitată.
reliability	fiabilitate	Fiabilitatea contează în sistemele de urgență.
reluctant	reticent	Era reticent să vorbească.
remainder	rest	Restul a mers la organizații de caritate.
remains	rămășițe	Rămășițele au fost examinate cu atenție.
remedy	remediu	Legea oferă un remediu.
reminder	memento	E-mailul a fost un memento util.
removal	înlăturare	Înlăturarea barierelor a ajutat comerțul.
render	a face	Greșeala a făcut contractul invalid.
renew	a reînnoi	Reînnoiți-vă pașaportul curând.
renowned	renumit	Este renumită pentru cercetările ei.
rental	închiriere	Închirierea include asigurare.
replacement	înlocuire	Piesa de înlocuire a sosit astăzi.
reportedly	potrivit rapoartelor	Se pare că ministrul a demisionat ieri.
representation	reprezentare	Reprezentarea corectă rămâne importantă.
reproduce	a se reproduce	Aceste plante se reproduc repede.
reproduction	reproducere	Reproducerea digitală a îmbunătățit accesul.
republic	republică	Republica a organizat alegeri.
resemble	a semăna	Cele două modele seamănă foarte mult între ele.
reside	a locui	Ei locuiesc lângă graniță.
residence	reședință	Reședința sa oficială este păzită.
residential	rezidențial	Zona este în mare parte rezidențială.
residue	reziduu	Soluția de curățare a lăsat un reziduu lipicios.
resignation	demisie	Demisia ei a șocat consiliul.
resistance	rezistență	Rezistența la schimbare a fost puternică.
respective	respectiv	S-au întors la birourile lor respective.
respectively	respectiv	Scorurile au fost 80 și, respectiv, 90.
restoration	restaurare	Restaurarea clădirii a durat ani.
restraint	reținere	Poliția a dat dovadă de reținere.
resume	a relua	Cursurile se reiau săptămâna viitoare.
retreat	retragere	Armata a început o retragere.
retrieve	a recupera	Ea a recuperat dosarul.
revelation	revelație	Revelația i-a distrus reputația.
revenge	răzbunare	Voia răzbunare pentru insultă.
reverse	a anula	Instanța a anulat decizia.
revival	renaștere	Orașul a cunoscut o renaștere economică.
revive	a revitaliza	Festivalul a ajutat la revitalizarea tradițiilor locale.
revolutionary	revoluționar	Invenția a fost revoluționară.
rhetoric	retorică	Retorica lui a sunat agresiv.
rifle	pușcă	Pușca a fost depozitată în siguranță.
riot	revoltă	Revolta a durat câteva ore.
rip	a rupe	Rupeți hârtia cu atenție.
ritual	ritual	Ritualul marchează recolta.
robust	robust	Sistemul este robust.
rock	a zgudui	Explozia a zguduit satul.
rod	bară	Perdeaua atârnă de o bară.
rotate	a roti	Rotiți mânerul încet.
rotation	rotație	Rotația culturilor protejează solul.
ruling	hotărâre	Instanța a emis o hotărâre.
rumour	zvon	Zvonul s-a răspândit repede.
sack	a concedia	Consiliul ar putea să-l concedieze pe antrenor.
sacred	sacru	Templul este sacru.
sacrifice	sacrificiu	Părinții fac adesea sacrificii.
saint	sfânt	Biserica onorează un sfânt local.
sake	de dragul	A rămas de dragul ei.
sanction	sancțiune	Sancțiunea a afectat comerțul internațional.
say	cuvânt de spus	Angajații au avut un cuvânt de spus în programare.
scattered	împrăștiat	Hârtii împrăștiate acopereau biroul.
sceptical	sceptic	A rămas sceptică în privința afirmației.
scope	amploare	Amploarea proiectului s-a extins.
screw	șurub	Strângeți șurubul cu atenție.
scrutiny	control	Acordul a fost supus controlului public.
seal	a sigila	Sigilați plicul înainte de a-l trimite.
secular	laic	Școala urmează o programă laică.
seemingly	aparent	Sarcina era aparent simplă.
segment	segment	Ultimul segment a fost mai scurt.
seize	a confisca	Poliția a confiscat documentele.
seldom	rareori	Ea lipsește rareori de la curs.
selective	selectiv	Programul este extrem de selectiv.
senator	senator	Senatorul a susținut proiectul de lege.
sensation	senzație	Descoperirea a provocat o senzație.
sensitivity	sensibilitate	Problema necesită sensibilitate.
sentiment	sentiment	Sentimentul public s-a schimbat rapid.
separation	separare	Separarea a fost dificilă.
serial	serie	Numărul de serie lipsește.
settlement	acord	Acordul a pus capăt disputei.
set-up	configurare	Configurarea a durat toată dimineața.
sexuality	sexualitate	Cursul discută despre identitate și sexualitate.
shareholder	acționar	Un acționar a pus întrebări consiliului.
shatter	a sparge	Vestea i-a spulberat încrederea.
shed	a renunța la	Compania va face concedieri.
sheer	absolut	Mărimea absolută i-a surprins pe toți.
shipping	transportul	Costurile de transport au crescut.
shoot	ședința foto	Ședința foto s-a încheiat devreme.
shrink	a se micșora	Cămașa ar putea intra la apă.
shrug	a ridica din umeri	Ea a ridicat ușor din umeri.
sigh	a ofta	El a oftat de ușurare.
simulate	a simula	Programul poate simula traficul.
simulation	simularea	Simularea a prezis inundații.
simultaneously	simultan	Două alarme au sunat simultan.
sin	păcatul	Mândria este considerată un păcat.
situated	situat	Hotelul este situat în centrul orașului.
sketch	schița	Ea a făcut o schiță rapidă.
skip	a sări peste	Nu sări peste micul dejun.
slam	a trânti	El poate trânti ușa.
slap	a plesni	Nu lovi masa cu palma.
slavery	sclavia	Sclavia a modelat istoria regiunii.
slot	intervalul	Rezervă un interval orar online.
smash	a se sparge	Paharul s-a făcut țăndări pe podea.
snap	a se rupe	Creanga s-a rupt în bătaia vântului.
soak	a înmuia	Lasă fasolea la înmuiat peste noapte.
soar	a crește vertiginos	Prețurile combustibilului ar putea crește vertiginos.
socialist	socialist	Partidul susține politici socialiste.
sole	singur	El a fost singurul supraviețuitor.
solely	exclusiv	Decizia a fost exclusiv a lui.
solicitor	avocatul	Avocatul a pregătit contractul.
solidarity	solidaritatea	Muncitorii au dat dovadă de solidaritate.
solo	solo	Ea a lansat un album solo.
sound	solid	Planul este solid și practic.
sovereignty	suveranitatea	Tratatul a protejat suveranitatea națională.
spam	spamul	Spamul a umplut căsuța de e-mail.
span	a se întinde pe	Podul traversează râul.
spark	a stârni	O mică remarcă a stârnit o dezbatere.
specialized	specializat	Clinica oferă îngrijire specializată.
specification	specificația	Designul respectă fiecare specificație.
specimen	specimenul	Specimenul a fost depozitat în siguranță.
spectacle	spectacolul	Parada a fost un spectacol plin de viață.
spectrum	spectrul	Opiniile acoperă un spectru larg.
spell	perioada	Perioada secetoasă a durat săptămâni.
sphere	sfera	Politica a intrat în sfera culturală.
spin	a se învârti	Roțile au început să se învârtă.
spine	coloana vertebrală	Rana i-a afectat coloana vertebrală.
spotlight	lumina reflectoarelor	Scandalul l-a adus în lumina reflectoarelor.
spouse	soțul	Soțul ei a participat la ceremonie.
spy	spionul	Spionul a trimis mesaje codificate.
squad	echipa	Echipa de salvare a ajuns repede.
squeeze	a strânge	Strângeți mânerul ușor.
stab	a înjunghia	Raportul descria o rană înjunghiată.
stability	stabilitatea	Politica a adus stabilitate.
stabilize	a stabiliza	Medicamentul a ajutat la stabilizarea lui.
stake	miza	Investitorii au o cotă-parte aici.
standing	statutul	Statutul ei în partid a crescut.
stark	izbitor	Rezultatele au arătat un contrast izbitor.
statistical	statistic	Studiul a folosit metode statistice.
steer	a direcționa	El a încercat să direcționeze dezbaterea.
stem	tulpina	Tulpina s-a rupt în timpul furtunii.
stereotype	stereotipul	Filmul a contestat un stereotip.
stimulus	stimulul	Pachetul a oferit un stimul economic.
stir	a amesteca	Amestecați sosul încet.
storage	depozitarea	Instalația oferă depozitare sigură.
straightforward	simplu	Instrucțiunile au fost clare.
strain	tensiunea	Întârzierea lungă a cauzat tensiune.
strand	firul	O șuviță de păr a căzut.
strategic	strategic	Compania a făcut o investiție strategică.
strip (long narrow piece)	fâșia	Tăiați o fâșie îngustă de hârtie.
strip (remove clothes/a layer)	a îndepărta	Îndepărtați vopseaua veche cu grijă.
strive	a se strădui	Ei se străduiesc să atingă excelența.
