source_headword	PT	example_PT
hunt	procurar	Eles procuram cogumelos no outono.
hurricane	o furacão	O furacão danificou muitas casas.
hurry	a pressa	Hoje não há pressa.
identity	a identidade	A identidade dela permaneceu secreta.
ignore	ignorar	Não ignores este aviso.
illegal	ilegal	É ilegal estacionar aqui.
imaginary	imaginário	A história tem uma ilha imaginária.
immediate	imediato	Precisamos de uma resposta imediata.
immigrant	o imigrante	O imigrante aprendeu inglês rapidamente.
impact	o impacto	A notícia teve um forte impacto.
import	importar	O país vai importar mais arroz.
importance	a importância	Ela compreendeu a importância do sono.
impression	a impressão	A primeira impressão dele foi positiva.
impressive	impressionante	O museu tem uma entrada impressionante.
improvement	a melhoria	Houve uma melhoria clara este mês.
incredibly	incrivelmente	O teste foi incrivelmente difícil.
indeed	de facto	Foi de facto um dia estranho.
indicate	indicar	A placa indicará a saída.
indirect	indireto	Ela deu uma resposta indireta.
indoor	interior	O hotel tem uma piscina interior.
indoors	dentro de casa	Ficámos dentro de casa durante a tempestade.
influence	a influência	O professor dele teve uma forte influência.
ingredient	o ingrediente	A farinha é o ingrediente principal.
injure	ferir	Não firas as costas.
injured	ferido	O jogador ferido saiu do campo.
innocent	inocente	A criança parecia completamente inocente.
intelligence	a inteligência	Ela mostrou grande inteligência na aula.
intend	pretender	Pretendo estudar no estrangeiro.
intention	a intenção	A intenção dele era ajudar.
invest	investir	Eles investem dinheiro na educação.
investigate	investigar	A polícia vai investigar o acidente.
involved	envolvido	Vários estudantes estiveram envolvidos.
iron	o ferro	O portão é feito de ferro.
issue	o problema	Este é um problema sério.
IT	a informática	Ela trabalha em informática.
journal	o diário	Ele escreve num diário.
judge	o juiz	O juiz ouviu com atenção.
keen	entusiasmado	Ela está entusiasmada por aprender.
keyboard	o teclado	O meu teclado deixou de funcionar.
kick	chutar	Chuta a bola suavemente.
killing	o homicídio	O homicídio chocou a aldeia.
kind (caring)	gentil	Foi um gesto gentil.
kiss	o beijo	Ela deu um beijo ao bebé.
label	a etiqueta	Lê a etiqueta antes de usar.
laboratory	o laboratório	O laboratório está fechado hoje.
lack	a falta	A falta de sono prejudica a memória.
latest	o mais recente	Já leste o relatório mais recente?
lay	colocar	Coloca o livro sobre a mesa.
layer	a camada	Adiciona outra camada de tinta.
leading	de destaque	Ela é uma cientista de destaque.
leaf	a folha	Uma folha caiu no meu casaco.
leather	o couro	A mala dele é feita de couro.
legal	legal	Precisamos de aconselhamento legal.
leisure	o lazer	Ler é a minha atividade de lazer favorita.
length	o comprimento	Mede o comprimento da sala.
lie2 (tell a lie)	mentir	Não mintas aos teus pais.
limit	o limite	O limite de velocidade é cinquenta.
lip	o lábio	Ela mordeu o lábio.
liquid	o líquido	A água é um líquido transparente.
literature	a literatura	Ela estuda literatura francesa.
live2	ao vivo	A banda tocou ao vivo ontem à noite.
living	vivo	As plantas vivas precisam de luz.
locate	localizar	Consegues localizar o ficheiro?
located	situado	O escritório está situado no centro.
location	a localização	Esta é uma boa localização.
lonely	só	Ele sentiu-se só depois da mudança.
loss	a perda	A perda foi difícil para todos.
luxury	o luxo	O hotel oferece verdadeiro luxo.
mad	zangado	Ela estava zangada com o atraso.
magic	a magia	O espetáculo estava cheio de magia.
mainly	principalmente	O grupo é principalmente de estudantes.
mall	o centro comercial	Encontrámo-nos no centro comercial.
management	a gestão	Uma boa gestão poupa tempo.
marketing	o marketing	O marketing ajuda a vender o produto.
marriage	o casamento	O casamento deles durou trinta anos.
meanwhile	entretanto	Eu cozinhei o jantar entretanto.
measure	medir	Mede a mesa com cuidado.
medium	médio	Encomendei uma pizza média.
mental	mental	O stress afeta a saúde mental.
mess	a confusão	Limpa esta confusão.
mild	suave	A sopa tem um sabor suave.
mine (hole in the ground)	a mina	A mina fechou no ano passado.
mix	misturar	Mistura os ovos com leite.
mixture	a mistura	A mistura ficou espessa.
mood	o humor	A música mudou o humor dela.
mud	a lama	Os sapatos dele estavam cobertos de lama.
murder	o assassinato	O assassinato aconteceu à noite.
muscle	o músculo	O exercício desenvolve os músculos.
mystery	o mistério	A casa velha é um mistério.
nail	a unha	Parti uma unha.
narrative	a narrativa	O romance tem uma narrativa clara.
nation	a nação	Toda a nação celebrou.
native	nativo	O espanhol é a língua nativa dela.
naturally	naturalmente	As crianças aprendem naturalmente a brincar.
necessarily	necessariamente	Comida cara não é necessariamente melhor.
needle	a agulha	A agulha é muito afiada.
neighbourhood	o bairro	Eles vivem num bairro tranquilo.
net	a rede	O pescador reparou a rede.
nor	nem	Ele não sorriu nem falou.
northern	do norte	Eles visitaram a costa do norte.
nuclear	nuclear	O debate foi sobre energia nuclear.
obvious	óbvio	A resposta era óbvia.
obviously	obviamente	Obviamente, precisamos de mais tempo.
occasion	a ocasião	Esta é uma ocasião especial.
occur	ocorrer	Acidentes podem ocorrer em qualquer lugar.
odd	estranho	Essa foi uma pergunta estranha.
official	oficial	O resultado oficial chegou hoje.
old-fashioned	antiquado	O telefone dela parece antiquado.
operation	a operação	A operação durou duas horas.
organized	organizado	A secretária dela está muito organizada.
organizer	o organizador	O organizador recebeu os convidados.
originally	originalmente	Ela veio originalmente do Canadá.
ought modal	deveria	Devias descansar.
ours	nosso	Esta mesa é nossa.
outdoor	de exterior	Comprámos mobiliário de exterior.
outdoors	ao ar livre	As crianças devem brincar ao ar livre.
package	o pacote	O pacote chegou esta manhã.
painful	doloroso	O corte foi doloroso.
pale	pálido	O rosto dele parecia pálido.
pan	a frigideira	Aquece primeiro a frigideira.
participate	participar	Todos podem participar.
particularly	particularmente	Gosto particularmente desta canção.
passion	a paixão	A música é a paixão dela.
path	o caminho	Segue o caminho pelo parque.
payment	o pagamento	O pagamento vence amanhã.
peaceful	pacífico	O jardim é pacífico.
percentage	a percentagem	Uma pequena percentagem concordou.
perfectly	perfeitamente	O plano funcionou perfeitamente.
performance	o desempenho	O desempenho dela foi excelente.
personally	pessoalmente	Pessoalmente prefiro chá.
persuade	persuadir	Consegues persuadi-lo a juntar-se?
photographer	o fotógrafo	O fotógrafo tirou muitas fotografias.
photography	a fotografia	A fotografia é o passatempo favorito dele.
pin	o alfinete	Coloca um alfinete no mapa.
pipe	o tubo	O tubo transporta água.
planning	o planeamento	O planeamento leva tempo.
pleasant	agradável	Tivemos uma noite agradável.
pleasure	o prazer	Foi um prazer conhecer-te.
plenty	muito	Temos muito tempo.
plot	o enredo	O enredo era fácil de seguir.
plus1	mais	Dois mais três são cinco.
poem	o poema	Ela escreveu um poema curto.
poet	o poeta	O poeta leu em voz alta.
poetry	a poesia	Ele gosta de poesia moderna.
poison	o veneno	Mantém o veneno longe das crianças.
poisonous	venenoso	Alguns cogumelos são venenosos.
policy	a política	A empresa mudou a sua política.
political	político	O discurso foi político.
politician	o político	O político respondeu a perguntas.
politics	a política	A política pode ser complicada.
port	o porto	O navio entrou no porto.
portrait	o retrato	O retrato está pendurado no átrio.
possibly	talvez	Ela talvez chegue tarde.
pot	o vaso	A planta precisa de um vaso maior.
pour	verter	Verte o leite lentamente.
poverty	a pobreza	Muitas famílias vivem na pobreza.
powder	o pó	Adiciona o pó à água.
powerful	poderoso	O motor é poderoso.
practical	prático	Esta é uma solução prática.
pray	rezar	Eles rezam todas as manhãs.
prayer	a oração	Ela fez uma oração silenciosa.
prediction	a previsão	A previsão dele estava correta.
prepared	preparado	Estou preparado para o exame.
presentation	a apresentação	A apresentação dela foi clara.
press	premir	Prime o botão uma vez.
pressure	a pressão	A pressão pode afetar a tua saúde.
pretend	fingir	Não finjas estar a dormir.
previous	anterior	A aula anterior foi mais fácil.
previously	anteriormente	Vivíamos anteriormente em Roma.
priest	o padre	O padre falou suavemente.
primary	principal	A saúde é a nossa principal preocupação.
prince	o príncipe	O príncipe visitou a escola.
princess	a princesa	A princesa usava um vestido azul.
printing	a impressão	Imprimir o relatório levou alguns minutos.
prisoner	o prisioneiro	O prisioneiro fugiu à noite.
private	privado	Esta é uma conversa privada.
producer	o produtor	O produtor gostou do filme.
production	a produção	A produção começa na próxima semana.
profession	a profissão	Ensinar é uma profissão respeitada.
profit	o lucro	A loja teve lucro.
promote	promover	Eles promovem uma alimentação saudável.
proper	adequado	Usa sapatos adequados para caminhar.
properly	corretamente	Fecha a porta corretamente.
property	a propriedade	Eles compraram uma propriedade perto do rio.
protest	o protesto	O protesto terminou pacificamente.
proud	orgulhoso	Ela sentiu-se orgulhosa do filho.
prove	provar	Consegues provar a tua resposta?
punish	punir	O professor não o puniu.
punishment	o castigo	O castigo parecia justo.
qualification	a qualificação	Precisas de uma qualificação para este trabalho.
qualified	qualificado	Ela é uma enfermeira qualificada.
qualify	qualificar-se	A nossa equipa pode qualificar-se.
queue	a fila	Esperámos numa longa fila.
quit	deixar	Ele decidiu deixar de fumar.
quotation	a citação	O ensaio começa com uma citação.
quote	citar	Posso citar as tuas palavras?
