simplified	SV	example_SV
哎	hej; oj	Hej, vad gör du här?
唉	suck; åh	Åh, jag är sen igen.
爱护	ta hand om; värna om	Vi bör ta hand om miljön.
爱惜	värdesätta; vara rädd om	Var rädd om din egen tid.
爱心	medkänsla; omtanke	Hon är mycket omtänksam.
安慰	trösta	Min vän tröstade mig.
安装	installera	Arbetaren installerar luftkonditioneringen.
岸	en strand; en flodbank	Båten närmar sig långsamt stranden.
暗	mörk	Det är mycket mörkt i rummet.
熬夜	vara uppe sent	Att vara uppe sent är dåligt för hälsan.
把握	säkerhet; grepp	Jag är inte säker på att jag kan göra detta bra.
摆	ställa; arrangera	Ställ stolarna prydligt.
办理	hantera; uträtta	Jag går till banken för att uträtta ett ärende.
傍晚	på kvällen; skymning	Vi går en promenad på kvällen.
包裹	ett paket	Jag fick ett paket.
包含	innehålla	Priset innehåller frukost.
包括	inkludera	Avgiften inkluderar lunch.
薄	tunn	Den här boken är tunn.
保持	behålla; hålla	Var vänlig och håll tyst.
保存	spara; bevara	Spara den här filen.
保留	reservera; behålla	Reservera en plats åt mig.
保险	en försäkring	Jag köpte en reseförsäkring.
宝贝	en skatt; älskling	Det här är min skatt.
宝贵	värdefull	Tid är mycket värdefull.
报到	registrera sig; anmäla sig	Nya studenter kommer till skolan för att registrera sig idag.
报道	rapportera; en rapport	Nyheterna rapporterade om den här saken.
报告	en rapport; rapportera	Han håller en rapport.
报社	en tidningsredaktion	Hon arbetar på en tidningsredaktion.
抱怨	klaga	Han klagar alltid på att arbetet är för mycket.
悲观	pessimistisk	Var inte alltför pessimistisk.
背	ryggen	Han sitter med ryggen mot dörren.
背景	en bakgrund	Berätta kort om din bakgrund.
被子	ett täcke	Täcket är mycket varmt.
本科	grundutbildning; kandidatnivå	Han är student på grundnivå.
本领	en färdighet	Han lärde sig en ny färdighet.
本质	en kärna; natur	Problemets kärna är mycket enkel.
彼此	varandra	Vi bör respektera varandra.
比例	en proportion; ett förhållande	Förhållandet mellan män och kvinnor är ungefär lika.
必然	oundviklig	Hårt arbete ger oundvikligen resultat.
必要	nödvändig	Det finns ingen anledning att oroa sig.
毕竟	trots allt	Trots allt är han fortfarande ett barn.
避免	undvika	Undvik att komma sent.
编辑	redigera; en redaktör	Han ansvarar för att redigera den här artikeln.
鞭炮	smällare	Vid vårfesten tänder en del människor smällare.
便	då; bekväm	Efter maten gick han till lektionen.
辩论	en debatt; debattera	De debatterar den här frågan.
标点	interpunktion	Var uppmärksam på interpunktionen.
标志	ett tecken; en symbol	Rött ljus är ett tecken på att stanna.
表达	uttrycka	Han uttryckte sin egen åsikt.
表面	en yta	Bordets yta är mycket ren.
表明	visa; klargöra	Resultatet visar att han har rätt.
表情	ett ansiktsuttryck	Hennes uttryck är mycket allvarligt.
表现	prestera; uppträda	Han presterade mycket bra idag.
冰激凌	en glass	Barn tycker om att äta glass.
病毒	ett virus	Det här viruset sprids mycket snabbt.
播放	spela upp; sända	Spela den här låten.
玻璃	ett glas; glas	Glaset gick sönder.
博物馆	ett museum	Vi går till museet i helgen.
脖子	en hals	Jag har lite ont i halsen.
不断	oavbruten; ständigt	Priserna fortsätter att stiga.
不见得	inte nödvändigtvis	Det här är inte nödvändigtvis något dåligt.
不耐烦	otålig	Efter att ha väntat länge blev han lite otålig.
不要紧	det gör inget; inte allvarligt	Det är okej, det gör inget.
补充	komplettera; lägga till	Jag vill lägga till en synpunkt.
不安	orolig	Efter att ha hört nyheten kände hon sig orolig.
不得了	mycket allvarlig	Den här saken är verkligen allvarlig.
不然	annars	Gå snabbt, annars kommer du för sent.
不如	det är bättre att	I stället för att åka fordon är det bättre att gå.
不足	otillräcklig	Det finns inte tillräckligt med vatten här.
布	ett tyg	Det här tyget är mycket mjukt.
步骤	ett steg	Följ stegen när du gör det.
部门	en avdelning	Jag arbetar på försäljningsavdelningen.
财产	egendom	Det här huset är hans egendom.
彩虹	en regnbåge	En regnbåge syntes efter regnet.
踩	trampa på	Trampa inte på gräset.
采访	intervjua	Reportern intervjuar läkaren.
采取	anta; vidta	Vi använde en ny metod.
参考	hänvisa till; konsultera	Titta i den här boken som referens.
参与	delta	Han deltar aktivt i aktiviteter.
惭愧	skammas	Jag skäms över mitt eget misstag.
操场	en idrottsplats	Studenterna springer på idrottsplatsen.
操心	oroa sig	Oroa dig inte för mig.
册	ett band; volym	Jag köpte ett band av en bok.
测验	ett prov	Imorgon är det ett litet prov.
曾经	en gång; tidigare	Jag har tidigare bott i Beijing.
