source_headword	BN	example_BN
hunt	খোঁজা	তারা শরতে মাশরুম খোঁজে।
hurricane	ঘূর্ণিঝড়	ঘূর্ণিঝড়টি অনেক ঘর ক্ষতিগ্রস্ত করেছে।
hurry	তাড়া	আজ কোনো তাড়া নেই।
identity	পরিচয়	তার পরিচয় গোপন ছিল।
ignore	উপেক্ষা করা	এই সতর্কতা উপেক্ষা করো না।
illegal	বেআইনি	এখানে পার্ক করা বেআইনি।
imaginary	কাল্পনিক	গল্পে একটি কাল্পনিক দ্বীপ আছে।
immediate	তাৎক্ষণিক	আমাদের তাৎক্ষণিক উত্তর দরকার।
immigrant	অভিবাসী	অভিবাসীটি দ্রুত ইংরেজি শিখেছে।
impact	প্রভাব	খবরটির শক্তিশালী প্রভাব ছিল।
import	আমদানি করা	দেশটি আরও চাল আমদানি করবে।
importance	গুরুত্ব	সে ঘুমের গুরুত্ব বুঝেছিল।
impression	ছাপ	তার প্রথম ছাপ ইতিবাচক ছিল।
impressive	চিত্তাকর্ষক	জাদুঘরের প্রবেশদ্বার চিত্তাকর্ষক।
improvement	উন্নতি	এই মাসে স্পষ্ট উন্নতি ছিল।
incredibly	অবিশ্বাস্যভাবে	পরীক্ষা অবিশ্বাস্যভাবে কঠিন ছিল।
indeed	সত্যিই	দিনটি সত্যিই অদ্ভুত ছিল।
indicate	নির্দেশ করা	চিহ্নটি বেরোনোর পথ নির্দেশ করবে।
indirect	পরোক্ষ	সে পরোক্ষ উত্তর দিয়েছিল।
indoor	ঘরের ভেতরের	হোটেলে ঘরের ভেতরের পুল আছে।
indoors	ঘরের ভিতরে	ঝড়ের সময় আমরা ঘরের ভিতরে ছিলাম।
influence	প্রভাব	তার শিক্ষকের শক্তিশালী প্রভাব ছিল।
ingredient	উপাদান	ময়দা প্রধান উপাদান।
injure	আঘাত করা	তোমার পিঠে আঘাত করো না।
injured	আহত	আহত খেলোয়াড় মাঠ ছেড়েছে।
innocent	নির্দোষ	শিশুটিকে পুরোপুরি নির্দোষ লাগছিল।
intelligence	বুদ্ধিমত্তা	সে ক্লাসে বড় বুদ্ধিমত্তা দেখিয়েছে।
intend	ইচ্ছা করা	আমি বিদেশে পড়তে চাই।
intention	উদ্দেশ্য	তার উদ্দেশ্য ছিল সাহায্য করা।
invest	বিনিয়োগ করা	তারা শিক্ষায় টাকা বিনিয়োগ করে।
investigate	তদন্ত করা	পুলিশ দুর্ঘটনাটি তদন্ত করবে।
involved	জড়িত	কয়েকজন ছাত্র জড়িত ছিল।
iron	লোহা	গেটটি লোহার তৈরি।
issue	সমস্যা	এটি গুরুতর সমস্যা।
IT	আইটি	সে আইটিতে কাজ করে।
journal	ডায়েরি	সে ডায়েরিতে লেখে।
judge	বিচারক	বিচারক মনোযোগ দিয়ে শুনলেন।
keen	আগ্রহী	সে শিখতে আগ্রহী।
keyboard	কীবোর্ড	আমার কীবোর্ড কাজ করা বন্ধ করেছে।
kick	লাথি মারা	বলটিকে আলতো করে লাথি মারো।
killing	হত্যা	হত্যাটি গ্রামকে স্তম্ভিত করেছে।
kind (caring)	দয়ালু	এটি করা দয়ালু কাজ ছিল।
kiss	চুমু	সে শিশুকে চুমু দিল।
label	লেবেল	ব্যবহারের আগে লেবেল পড়ো।
laboratory	পরীক্ষাগার	পরীক্ষাগার আজ বন্ধ।
lack	অভাব	ঘুমের অভাব স্মৃতির ক্ষতি করে।
latest	সর্বশেষ	তুমি কি সর্বশেষ প্রতিবেদন পড়েছ?
