source_headword	PT	example_PT
prey	a presa	As corujas caçam presas à noite.
privatization	a privatização	A privatização mudou o sistema ferroviário.
privilege	o privilégio	A educação não deveria ser um privilégio.
probe	a investigação	A investigação revelou erros graves.
problematic	problemático	O acordo continua problemático.
proceedings	o processo	Os processos judiciais começaram na segunda-feira.
proceeds	a receita	A receita apoiará as escolas locais.
processing	o processamento	O processamento de imagens leva tempo.
processor	o processador	O processador falhou durante os testes.
proclaim	proclamar	Os líderes proclamam vitória cedo demais.
productive	produtivo	A reunião foi produtiva.
productivity	a produtividade	A produtividade melhorou após a formação.
profitable	rentável	A loja tornou-se rentável este ano.
profound	profundo	O discurso teve um efeito profundo.
projection	a projeção	A projeção mostra um crescimento constante.
prominent	proeminente	Ela tornou-se uma cientista proeminente.
pronounced	pronunciado	O seu sotaque tornou-se mais pronunciado.
propaganda	a propaganda	A campanha usou propaganda online.
proposition	a proposta	A proposta é um negócio arriscado.
prosecute	processar	Os funcionários processam casos graves de fraude.
prosecution	a acusação	A acusação apresentou novas provas.
prosecutor	o procurador	O procurador interrogou a testemunha.
prospective	futuro	Os futuros alunos visitaram o campus.
prosperity	a prosperidade	O comércio trouxe prosperidade à região.
protective	protetor	Ela usou luvas protetoras.
protocol	o protocolo	O protocolo exige aprovação por escrito.
province	a província	A província investiu em transportes.
provincial	provincial	Os funcionários provinciais anunciaram o plano.
provision	a disposição	O contrato inclui uma disposição de segurança.
provoke	provocar	O discurso pode provocar reações fortes.
psychiatric	psiquiátrico	O hospital abriu uma unidade psiquiátrica.
pulse	a pulsação	A enfermeira verificou a pulsação dele.
pump	a bomba	A bomba move a água para cima.
punch	o soco	Ele deu um soco de raiva.
query	a dúvida	Envie a sua dúvida para o suporte.
quest	a busca	A busca deles por justiça continuou.
quota	a quota	A equipa atingiu a sua quota de vendas.
radar	o radar	A tempestade apareceu no radar.
radical	radical	O grupo propôs reformas radicais.
rage	a raiva	A raiva dele desapareceu rapidamente.
raid	a rusga	A polícia conduziu uma rusga de madrugada.
rally	o comício	Os apoiantes juntaram-se ao comício no centro.
ranking	o ranking	A universidade melhorou o seu ranking.
rape	a violação	Os casos de violação exigem uma investigação cuidadosa.
ratio	o rácio	A turma tem um rácio baixo de professores.
rational	racional	A decisão dela foi racional.
ray	o raio	Um raio de sol entrou.
readily	prontamente	Ele aceitou prontamente a oferta.
realization	a perceção	A perceção mudou os planos dela.
realm	o domínio	Esta questão pertence a outro domínio.
rear	traseiro	Use a entrada traseira hoje.
reasoning	o raciocínio	O raciocínio dele era claro.
reassure	tranquilizar	O médico tentou tranquilizá-la.
rebel	o rebelde	O líder rebelde escapou à captura.
rebellion	a rebelião	A rebelião acabou após negociações.
recipient	o destinatário	O destinatário assinou o formulário.
reconstruction	a reconstrução	A reconstrução começou após a inundação.
recount1	relatar	Ela consegue relatar os acontecimentos claramente.
referendum	o referendo	O referendo dividiu o país.
reflection	a reflexão	O ensaio exigia uma reflexão mais profunda.
reform	a reforma	A reforma melhorou os serviços públicos.
refuge	o refúgio	A família procurou refúgio no estrangeiro.
refusal	a recusa	A recusa dela surpreendeu o comité.
regain	recuperar	Ele trabalhou arduamente para recuperar a confiança.
regardless	independentemente	Eles continuaram independentemente das críticas.
regime	o regime	O regime restringiu a liberdade de expressão.
regulator	o regulador	O regulador multou a empresa.
regulatory	regulatório	A aprovação regulatória demorou meses.
rehabilitation	a reabilitação	A reabilitação ajudou-o a andar novamente.
reign	o reinado	O reinado do rei durou décadas.
rejection	a rejeição	A rejeição feriu a confiança dela.
relevance	a relevância	Os dados têm relevância limitada.
reliability	a fiabilidade	A fiabilidade é importante nos sistemas de emergência.
reluctant	relutante	Ele estava relutante em falar.
remainder	o restante	O restante foi para a caridade.
remains	os restos	Os restos mortais foram cuidadosamente examinados.
remedy	o recurso	A lei fornece um recurso.
reminder	o lembrete	O email foi um lembrete útil.
removal	a remoção	A remoção de barreiras ajudou o comércio.
render	tornar	O erro tornou o contrato inválido.
renew	renovar	Renove o seu passaporte em breve.
renowned	conceituado	Ela é conceituada pela sua investigação.
rental	o aluguer	O aluguer inclui seguro.
replacement	a peça de substituição	A peça de substituição chegou hoje.
reportedly	alegadamente	O ministro alegadamente demitiu-se ontem.
representation	a representação	A representação justa continua a ser importante.
reproduce	reproduzir	Estas plantas reproduzem-se rapidamente.
reproduction	a reprodução	A reprodução digital melhorou o acesso.
republic	a república	A república realizou eleições.
resemble	assemelhar-se	Os dois designs assemelham-se muito.
reside	residir	Eles residem perto da fronteira.
residence	a residência	A sua residência oficial é vigiada.
residential	residencial	A área é maioritariamente residencial.
residue	o resíduo	O detergente deixou um resíduo pegajoso.
resignation	a demissão	A sua demissão chocou o conselho.
resistance	a resistência	A resistência à mudança foi forte.
respective	respetivo	Eles voltaram para os seus respetivos escritórios.
respectively	respetivamente	As pontuações foram 80 e 90, respetivamente.
restoration	o restauro	O restauro do edifício demorou anos.
restraint	a contenção	A polícia mostrou contenção.
resume	retomar	As aulas retomam na próxima semana.
retreat	a retirada	O exército começou uma retirada.
retrieve	recuperar	Ela recuperou o ficheiro.
revelation	a revelação	A revelação prejudicou a reputação dele.
revenge	a vingança	Ele queria vingança pelo insulto.
reverse	reverter	O tribunal reverteu a decisão.
revival	a recuperação	A cidade viu uma recuperação económica.
revive	reavivar	O festival ajudou a reavivar as tradições locais.
revolutionary	revolucionário	A invenção foi revolucionária.
rhetoric	a retórica	A sua retórica soava agressiva.
rifle	a espingarda	A espingarda estava guardada em segurança.
riot	o motim	O motim durou várias horas.
rip	rasgar	Rasgue o papel com cuidado.
ritual	o ritual	O ritual marca as colheitas.
robust	robusto	O sistema é robusto.
rock	abalar	A explosão abalou a aldeia.
rod	o varão	A cortina está pendurada num varão.
rotate	rodar	Rode a pega lentamente.
rotation	a rotação	A rotação de culturas protege o solo.
ruling	a sentença	O tribunal emitiu uma sentença.
rumour	o boato	O boato espalhou-se rapidamente.
sack	despedir	O conselho pode despedir o treinador.
sacred	sagrado	O templo é sagrado.
sacrifice	o sacrifício	Os pais costumam fazer sacrifícios.
saint	o santo	A igreja homenageia um santo local.
sake	o bem	Ele ficou pelo bem dela.
sanction	a sanção	A sanção afetou o comércio internacional.
say	a palavra a dizer	Os funcionários tiveram uma palavra a dizer na programação.
scattered	espalhado	Papéis espalhados cobriam a secretária.
sceptical	cético	Ela permaneceu cética sobre a alegação.
scope	o âmbito	O âmbito do projeto expandiu-se.
screw	o parafuso	Aperte o parafuso com cuidado.
scrutiny	o escrutínio	O acordo enfrentou escrutínio público.
seal	selar	Feche o envelope antes de o enviar.
secular	secular	A escola segue um currículo laico.
seemingly	aparentemente	A tarefa era aparentemente simples.
segment	o segmento	O segmento final era mais curto.
seize	apreender	A polícia apreendeu os documentos.
seldom	raramente	Ela raramente falta a uma aula.
selective	seletivo	O programa é altamente seletivo.
senator	o senador	O senador apoiou a proposta de lei.
sensation	a sensação	A descoberta causou sensação.
sensitivity	a sensibilidade	O assunto exige sensibilidade.
sentiment	o sentimento	O sentimento público mudou rapidamente.
separation	a separação	A separação foi difícil.
serial	de série	O número de série está em falta.
settlement	o acordo	O acordo pôs fim à disputa.
set-up	a montagem	A montagem demorou a manhã toda.
sexuality	a sexualidade	O curso discute identidade e sexualidade.
shareholder	o acionista	Um acionista questionou o conselho.
shatter	despedaçar	A notícia despedaçou a sua confiança.
shed	cortar	A empresa cortará empregos.
sheer	puro	O mero tamanho surpreendeu todos.
shipping	o envio	Os custos de envio aumentaram.
shoot	a sessão fotográfica	A sessão fotográfica terminou cedo.
shrink	encolher	A camisa pode encolher.
shrug	encolher os ombros	Ela encolheu levemente os ombros.
sigh	suspirar	Ele suspirou de alívio.
simulate	simular	O software pode simular o trânsito.
simulation	a simulação	A simulação previu inundações.
simultaneously	simultaneamente	Dois alarmes soaram simultaneamente.
sin	o pecado	O orgulho é considerado um pecado.
situated	situado	O hotel está situado no centro.
sketch	o esboço	Ela fez um esboço rápido.
skip	saltar	Não salte o pequeno-almoço.
slam	bater	Ele pode bater a porta.
slap	bater	Não batas na mesa.
slavery	a escravatura	A escravatura moldou a história da região.
slot	o horário	Reserve um horário online.
smash	partir-se	O copo partiu-se no chão.
snap	quebrar	O ramo quebrou com o vento.
soak	deixar de molho	Deixe os feijões de molho durante a noite.
soar	disparar	Os preços dos combustíveis podem disparar.
