source_headword	MY	example_MY
abandon	စွန့်လွှတ်သည်	မနေ့က သူတို့ အစီအစဉ်ကို စွန့်လွှတ်ခဲ့သည်.
absolute	လုံးဝသော	ဤနေရာတွင် လုံးဝသော ရိုးသားမှု လိုအပ်သည်.
acceptable	လက်ခံနိုင်သော	ဤဖြေရှင်းချက်သည် လက်ခံနိုင်သည်.
accompany	လိုက်ပါသည်	တေးဂီတသည် မြင်ကွင်းတစ်ခုလုံးကို လိုက်ပါခဲ့သည်.
accurate	တိကျသော	အစီရင်ခံစာသည် တိကျရမည်.
accuse	စွပ်စွဲသည်	သူတို့က သူ့ကို အမှားဖြင့် စွပ်စွဲခဲ့သည်.
acknowledge	အသိအမှတ်ပြုသည်	သူမက ပြဿနာကို ပွင့်လင်းစွာ အသိအမှတ်ပြုခဲ့သည်.
acquire	ရရှိသည်	ကုမ္ပဏီသည် ကျွမ်းကျင်မှုအသစ်ကို ရရှိခဲ့သည်.
actual	အမှန်တကယ်သော	အမှန်တကယ် စျေးနှုန်းမှာ နည်းခဲ့သည်.
adapt	လိုက်လျောညီထွေဖြစ်သည်	ကျွန်ုပ်တို့ မြန်မြန် လိုက်လျောညီထွေဖြစ်ရသည်.
additional	ထပ်ဆောင်းသော	ထပ်ဆောင်း အချက်အလက်များ နောက်မှ ရောက်လာသည်.
administration	အုပ်ချုပ်ရေး	အုပ်ချုပ်ရေးက စည်းမျဉ်းများကို ပြောင်းခဲ့သည်.
adopt	လက်ခံကျင့်သုံးသည်	သူတို့ မူဝါဒအသစ်ကို လက်ခံကျင့်သုံးခဲ့သည်.
advance	တိုးတက်သည်	စီမံကိန်းသည် ဖြည်းဖြည်း တိုးတက်ခဲ့သည်.
affair	ကိစ္စ	ထိုကိစ္စသည် ကိုယ်ရေးကိုယ်တာ ဖြစ်နေခဲ့သည်.
afterwards	နောက်ပိုင်းတွင်	နောက်ပိုင်းတွင် လူတိုင်း သက်သာရာရခဲ့သည်.
agency	အေဂျင်စီ	အေဂျင်စီသည် အစီရင်ခံစာအသစ် ထုတ်ပြန်ခဲ့သည်.
agenda	အစီအစဉ်စာရင်း	အစီအစဉ်စာရင်းသည် ပြည့်နေပြီ.
aggressive	ရန်လိုသော	သူ၏ အသံနေအသံထားသည် အလွန် ရန်လိုသည်.
aid	အကူအညီ	ရွာသည် အကူအညီကို မြန်မြန် ရရှိခဲ့သည်.
aircraft	လေယာဉ်	လေယာဉ်သည် ညနေပိုင်းတွင် ဆင်းသက်ခဲ့သည်.
