source_headword	IT	example_IT
institute	l'istituto	L'istituto ha aperto un nuovo programma di ricerca.
institution	l'istituzione	L'istituzione ha cambiato le sue regole di ammissione.
insurance	l'assicurazione	La sua assicurazione ha coperto le spese ospedaliere.
intended	previsto	Il messaggio ha raggiunto il pubblico previsto.
intense	intenso	Il dibattito è diventato intenso molto rapidamente.
internal	interno	L'azienda ha avviato una revisione interna.
interpret	interpretare	Per favore, interpreta i risultati con attenzione.
interrupt	interrompere	Non interrompere l'oratore ora.
investigation	l'indagine	L'indagine ha rivelato gravi errori.
investment	l'investimento	L'investimento ha creato molti posti di lavoro locali.
joy	la gioia	Il loro successo ha portato grande gioia.
judgement	il giudizio	Il suo giudizio è migliorato con l'esperienza.
junior	junior	Si è unita al team come analista junior.
justice	la giustizia	La famiglia ha chiesto giustizia dopo il processo.
justify	giustificare	Devi giustificare chiaramente quella decisione.
labour	la manodopera	Il progetto richiede manodopera qualificata.
landscape	il paesaggio	Il paesaggio è cambiato dopo la tempesta.
largely	in gran parte	Il piano è stato in gran parte un successo.
launch	lanciare	Lanceranno il prodotto domani.
leadership	la leadership	Una forte leadership ha aiutato la squadra a riprendersi.
league	la lega	Il nostro club si è unito a una lega regionale.
lean	appoggiarsi	Non appoggiarti al muro bagnato.
licence	la licenza	La licenza scade il mese prossimo.
limited	limitato	Abbiamo un tempo limitato oggi.
lively	vivace	La riunione è diventata vivace dopo pranzo.
load	il carico	Il camion trasportava un carico pesante.
loan	il prestito	La banca ha approvato il prestito.
logical	logico	Il suo argomento era chiaro e logico.
long-term	a lungo termine	Questa è una soluzione a lungo termine.
loose	allentato	La maniglia sembra allentata.
lord	il signore	Il signore possedeva diversi villaggi.
lower	abbassare	Loro abbassano i prezzi durante l'inverno.
lung	il polmone	Fumare può danneggiare un polmone.
maintain	mantenere	Manteniamo un contatto regolare.
majority	la maggioranza	La maggioranza ha sostenuto la proposta.
mass	la massa	Una massa di nuvole ha coperto il cielo.
massive	massiccio	Il terremoto ha causato danni massicci.
master	il maestro	È diventata una maestra di negoziazione.
matching	abbinato	Indossava scarpe e cintura abbinate.
maximum	massimo	La stanza ha raggiunto la capacità massima.
means	il mezzo	L'e-mail è il nostro principale mezzo di contatto.
measurement	la misurazione	La misurazione era leggermente sbagliata.
melt	sciogliersi	La neve si scioglierà entro mezzogiorno.
military	militare	La base militare ha chiuso l'anno scorso.
mineral	il minerale	Il ferro è un minerale importante.
minimum	minimo	L'età minima è di diciotto anni.
minister	il ministro	Il ministro ha risposto a domande difficili.
minor	minore	L'incidente ha causato danni minori.
minority	la minoranza	Una minoranza si è opposta alla nuova regola.
mission	la missione	La loro missione si è conclusa in sicurezza.
mixed	misto	Le notizie hanno ricevuto reazioni miste.
modify	modificare	Possiamo modificare il design più tardi.
monitor	il monitor	L'infermiera monitorerà le sue condizioni.
moral	morale	La storia ha una lezione morale.
motor	il motore	Il motore si è fermato senza preavviso.
mount	montare	Montano telecamere vicino all'ingresso.
multiple	multiplo	Molteplici fattori hanno causato il ritardo.
multiply	moltiplicare	Moltiplica il numero per dieci.
mysterious	misterioso	Una luce misteriosa è apparsa fuori.
neat	ordinato	La sua scrivania è sempre ordinata.
nerve	il nervo	L'infortunio ha danneggiato un nervo.
nevertheless	tuttavia	Il compito era difficile; tuttavia, abbiamo finito.
nightmare	l'incubo	Il viaggio è diventato un incubo.
notion	la nozione	Rifiuta la nozione che il cambiamento sia impossibile.
numerous	numeroso	Numerosi studi supportano questa idea.
obey	rispettare	I conducenti devono rispettare i segnali.
objective	l'obiettivo	Il nostro obiettivo è ridurre i rifiuti.
obligation	l'obbligo	I genitori hanno l'obbligo di proteggere i bambini.
observation	l'osservazione	La sua osservazione ha cambiato la discussione.
observe	osservare	Gli scienziati osservano gli uccelli ogni primavera.
obtain	ottenere	Devi ottenere un permesso scritto.
occasionally	occasionalmente	Occasionalmente lavora da casa.
offence	l'offesa	Il commento ha causato una grave offesa.
offend	offendere	Non volevo offendere nessuno.
offensive	offensivo	Il poster conteneva un linguaggio offensivo.
opening	il posto vacante	Il posto di lavoro vacante ha attirato molti candidati.
operate	funzionare	La macchina può funzionare automaticamente.
