source_headword	SI	example_SI
crawl	බඩගානවා	දරුවා කාපට් එක හරහා බඩගාන්න පටන් ගත්තා.
creator	නිර්මාණකරු	නිර්මාණකරු ඔවුන්ගේ සහයෝගය සඳහා සැමට ස්තුති කළේය.
credibility	විශ්වසනීයත්වය	ප්‍රශ්න කිරීමේදී සාක්ෂිකරුගේ විශ්වසනීයත්වය නැති විය.
credible	විශ්වාසදායක	වාර්තාව විශ්වාසදායක සාක්ෂි ඉදිරිපත් කළේය.
creep	රිංගා යනවා	මීදුම නිම්නය හරහා රිංගා යන්නට විය.
critique	විචාරය	මහාචාර්යවරයා සවිස්තරාත්මක විචාරයක් කළේය.
crown	කිරුළ	රැජින රිදී කිරුළක් පැළඳ සිටියාය.
crude	දළ	චිත්‍රය දළ නමුත් පැහැදිලි විය.
crush	පොඩි කරනවා	බර ගල් මගින් නළය පොඩි කළ හැකිය.
crystal	පළිඟුව	පළිඟුව උදෑසන ආලෝකය පරාවර්තනය කළේය.
cult	නිකාය	නිකාය එහි සාමාජිකයින් හුදෙකලා කළේය.
cultivate	වගා කරනවා	ගොවීන් මේ ප්‍රදේශයේ වී වගා කරනවා.
curiosity	කුතුහලය	කුතුහලය ඇයව විද්‍යාවට යොමු කළේය.
custody	භාරය	දරුවා ඇගේ පියාගේ භාරයේ සිටියාය.
cutting	පුවත්පත් කැබැල්ල	පුවත්පත ඔහු ගැන කැපුමක් පළ කළේය.
cynical	නරුම	ඔහුගේ නරුම ප්‍රකාශය කණ්ඩායම කලබලයට පත් කළේය.
dam	වේල්ල	වේල්ලෙන් ගංගා ජලය රඳවා තබා ගනී.
damaging	හානිකර	හානිකර ලිපිය ප්‍රචාරක ව්‍යාපාරයට රිදෙව්වා.
dawn	අලුයම	අපි අලුයම ගමෙන් පිටත් වුණා.
debris	සුන්බුන්	කුණාටු සුන්බුන් මාර්ගය අවහිර කළේය.
debut	මංගලාවතරණය	ඇයගේ පළමු ඉදිරිපත් කිරීම ජාතික අවධානය දිනා ගත්තේය.
decision-making	තීරණ ගැනීම	හොඳ තීරණ ගැනීම සඳහා පැහැදිලි තොරතුරු අවශ්‍ය වේ.
decisive	තීරණාත්මක	ඇයගේ තීරණාත්මක ක්‍රියාව තවදුරටත් හානි වීම වළක්වා ඇත.
declaration	ප්‍රකාශය	අමාත්‍යවරයා නිල ප්‍රකාශයක් කියෙව්වා.
dedicated	කැපවූ	කැපවූ හෙදිය එක දිගට රාත්‍රියේ වැඩ කළාය.
dedication	කැපවීම	ඔහුගේ කැපවීම තරුණ ක්‍රීඩකයින්ට ආශ්වාදයක් විය.
deed	ක්‍රියාව	නිර්භීත ක්‍රියාවෙන් ජීවිත දෙකක් බේරුණා.
deem	සලකනවා	අධිකරණය විසින් ගිවිසුම වලංගු නොවන බව සැලකිය හැකිය.
default	පෙරනිමිය	දැනට පෙරනිමි සැකසුම භාවිතා කරන්න.
defect	දෝෂය	පරීක්ෂකවරුන් බරපතල දෝෂයක් සොයා ගත්හ.
defensive	ආරක්ෂක	ඔහුගේ ආරක්ෂක ස්වරය සැම දෙනාම පුදුමයට පත් කළේය.
deficiency	ඌනතාවය	යකඩ ඌනතාවය සෞඛ්‍යයට බලපෑම් කළ හැකිය.
deficit	හිඟය	අයවැය හිඟය නිලධාරීන් කනස්සල්ලට පත් කළේය.
defy	නොසලකා හරිනවා	විරෝධතාකරුවන් තහනම නොසලකා හැරීමට තීරණය කළහ.
delegate	නියෝජිතයා	සෑම නියෝජිතයෙකුටම ඡන්ද කාඩ්පතක් ලැබුණි.
delegation	නියෝජිත කණ්ඩායම	නියෝජිත කණ්ඩායම දහවල් වීමට පෙර පැමිණියහ.
delicate	සියුම්	සියුම් වීදුරුව පහසුවෙන් කැඩී ගියේය.
demon	යක්ෂයා	කතාව පුරාණ යක්ෂයෙකු විස්තර කරයි.
denial	ප්‍රතික්ෂේප කිරීම	ඔහුගේ ප්‍රතික්ෂේප කිරීම වින්දිතයන් කෝපයට පත් කළේය.
denounce	හෙළා දකිනවා	නායකයින් පාසල්වල ප්‍රචණ්ඩත්වය හෙළා දකී.
dense	ඝන	ඝන වනාන්තරය හිරු එළිය අවහිර කළේය.
density	ඝනත්වය	නගර මධ්‍යයේ ජනගහන ඝනත්වය ඉහළයි.
dependence	යැපීම	තෙල් මත රටේ යැපීම අඩු විය.
depict	නිරූපණය කරනවා	බිතුසිතුවමෙන් ගමේ ජීවිතය නිරූපණය වේ.
deploy	යොදවනවා	හමුදාව අමතර කාර්ය මණ්ඩලයක් යොදවනු ඇත.
deployment	යෙදවීම	භට පිරිස් යෙදවීම සඳුදා ආරම්භ විය.
deprive	අහිමි කරනවා	නින්ද නොමැතිකම සිසුන්ට අවධානය අහිමි කළ හැකිය.
deputy	නියෝජ්‍ය	නියෝජ්‍ය නිලධාරියා ගිවිසුමට අත්සන් කළේය.
descend	බැස යනවා	මාර්ගය වේගයෙන් බැස යන්නට පටන් ගත්තේය.
descent	බැසයාම	ගුවන් යානය එහි බැසයාම ආරම්භ කළේය.
designate	නම් කරනවා	නගරය නව උද්‍යානයක් නම් කරනු ඇත.
desirable	යෝග්‍ය	පන්ති කාමරවල හොඳ ආලෝකයක් තිබීම යෝග්‍ය වේ.
desktop	පරිගණක තිරය	ගොනුව මගේ පරිගණක තිරය මත ඇත.
destructive	විනාශකාරී	කුණාටුවට විනාශකාරී බලයක් තිබුණි.
detain	රඳවා ගන්නවා	පොලිසියට සැකකරුවන් එක රැයක් රඳවා තබා ගත හැකිය.
detection	හඳුනාගැනීම	කල්තියා හඳුනාගැනීම පිළිකා ප්‍රතිකාරය වැඩි දියුණු කරයි.
detention	රඳවා තබා ගැනීම	සිසුන් රඳවා තබා ගැනීමේ කොන්දේසිවලට එරෙහිව විරෝධතා දැක්වූහ.
deteriorate	පිරිහෙනවා	ඔහුගේ සෞඛ්‍යය පිරිහෙන්නට විය.
devastate	විනාශ කරනවා	භූමිකම්පාවෙන් වෙරළබඩ නගර විනාශ විය හැක.
devil	යක්ෂයා	දරුවා සිනාසෙන යක්ෂයෙකු ඇඳ ඇත.
devise	සැලසුම් කරනවා	ඉංජිනේරුවන් ආරක්ෂිත ප්‍රවාහන පද්ධති සැලසුම් කරයි.
diagnose	රෝග විනිශ්චය කරනවා	වෛද්‍යවරු රුධිර පරීක්ෂණ මගින් රෝගය විනිශ්චය කරති.
diagnosis	රෝග විනිශ්චය	රෝග විනිශ්චය මගින් ඇයගේ රෝග ලක්ෂණ පැහැදිලි කළේය.
dictate	නියම කරනවා	ගිවිසුම මගින් ගෙවීම් කොන්දේසි නියම කරනු ඇත.
dictator	ඒකාධිපතියා	ඒකාධිපතියා මාධ්‍ය පාලනය කළේය.
differentiate	වෙනස හඳුනා ගන්නවා	ඔබට කරුණු සහ මතය අතර වෙනස හඳුනාගත හැකිද?
