source_headword	HU	example_HU
absorb	elnyel	A törülköző gyorsan felszívja a vizet.
abstract	absztrakt	Az előadás elvont gondolatokat tárgyalt.
accent	akcentus	Az akcentusát könnyű megérteni.
accidentally	véletlenül	Véletlenül töröltem a fájlt.
accommodate	alkalmazkodik	A szálloda nagy családokat is el tud szállásolni.
accomplish	megvalósít	Június előtt elérte a célját.
accountant	könyvelő	A könyvelő ellenőrizte a számlát.
accuracy	pontosság	A teszt az olvasás pontosságát méri.
accurately	pontosan	A térkép pontosan mutatja az útvonalat.
acid	sav	A sav károsította a fémfelületet.
activate	aktivál	Nyomja meg a gombot a riasztó aktiválásához.
addiction	függőség	A függősége kihatott a munkájára.
additionally	ráadásul	Ráadásul több székre van szükségünk.
adequate	megfelelő	A szobában elegendő fény van.
adequately	megfelelően	A jelentés megfelelően megmagyarázta a problémát.
adjust	beállít	Indulás előtt állítsa be az ülést.
affordable	megfizethető	A lakás megfizethető a diákok számára.
agriculture	mezőgazdaság	A mezőgazdaság sok vidéki családot tart el.
AIDS	AIDS	Az orvosok modern gyógyszerekkel kezelik az AIDS-et.
alien	idegen	A film egy idegen bolygót mutat be.
alongside	mellett	A bicikliút a folyó mellett halad.
altogether	teljesen	A projekt összesen hat hétig tartott.
ambulance	mentőautó	A mentőautó perceken belül megérkezett.
amusing	szórakoztató	A történet szórakoztató és könnyed volt.
analyst	elemző	Az elemző áttekintette az értékesítési adatokat.
ancestor	ős	Az ősöm e falu közelében élt.
animation	animáció	Az animáció érthetőbbé tette a leckét.
annually	évente	A fesztivált évente rendezik meg.
anticipate	előre lát	Holnap erős forgalomra számítunk.
anxiety	szorongás	A szorongás megnehezítheti az alvást.
apology	bocsánatkérés	Őszinte bocsánatkérést ajánlott.
applicant	jelentkező	A jelentkező új önéletrajzot küldött.
appropriately	megfelelően	Kérjük, öltözzön fel az interjúnak megfelelően.
arrow	nyíl	A nyíl a kijárat felé mutat.
artwork	műalkotás	A múzeum helyi műalkotásokat állított ki.
aside	félre	Félreállt, hogy átengedje.
asset	eszköz	A tapasztalat értékes előny.
assign	kijelöl	A tanár ma feladta a házi feladatot.
assistance	segítség	Kérjen segítséget a személyzettől.
assumption	feltételezés	Ez a feltételezés lehet, hogy téves.
assure	biztosít	Biztosíthatom róla, hogy az ajtó zárva van.
astonishing	megdöbbentő	A kilátás a szikláról lenyűgöző volt.
attachment	melléklet	Az e-mail tartalmaz egy mellékletet.
auction	aukció	A festményt árverésen adták el.
audio	audió	A hangfelvétel tisztán szól.
automatic	automatikus	Az ajtó automatikus zárral rendelkezik.
automatically	automatikusan	A lámpák automatikusan bekapcsolnak.
awareness	tudatosság	A kampány növelte a társadalmi tudatosságot.
awkward	kínos	A csend kínos volt.
badge	jelvény	A látogatóknak kitűzőt kell viselniük.
balanced	kiegyensúlyozott	A kiegyensúlyozott étrend zöldségeket is tartalmaz.
ballet	balett	Iskola után balettot tanul.
balloon	lufi	A lufi az asztal felett lebegett.
barely	alig	Alig hallotta a bejelentést.
bargain	alkalmi vétel	Az a dzseki igazi alkalmi vétel volt.
basement	alagsor	A dobozok az alagsorban vannak.
basket	kosár	Az almákat a kosárba tette.
bat	ütő	A denevér kirepült a barlangból.
beneficial	előnyös	A rendszeres testmozgás előnyös az egészségre.
beside	mellett	A lámpa a kanapé mellett áll.
besides	ezenkívül	A matematika mellett kémiát is tanul.
bias	elfogultság	A cikk egyértelmű elfogultságot mutatott.
bid	ajánlat	A cég magasabb ajánlatot tett.
biological	biológiai	A biológiai teszt megerősítette az eredményt.
blanket	takaró	A gyerek egy takaró alatt aludt.
blow	ütés	Az erős ütés betörte az ablakot.
bold	merész	A címsor félkövér betűket használt.
bombing	bombázás	A bombázás több épületet is megrongált.
booking	foglalás	Visszaigazoltam a szállodai foglalást.
boost	fellendülés	A győzelem megnövelte a csapat önbizalmát.
bound	kötött	A csomagot madzaggal kötözték meg.
brick	tégla	A fal téglából készült.
briefly	röviden	Ebéd után röviden felszólalt.
broadcaster	műsorszolgáltató	A műsorszolgáltató interjút készített a polgármesterrel.
broadly	széleskörűen	A két terv nagyjából hasonló.
bug	hiba	Az alkalmazás egy hiba miatt összeomlott.
cabin	faház	Egy kis kunyhóban szálltunk meg.
canal	csatorna	A csónakok lassan haladtak a csatornán.
candle	gyertya	A gyertya égett az asztalon.
carbon	szén	A fák elnyelik a szenet a levegőből.
casual	laza	Hétköznapi ruhát viselt a munkában.
cave	barlang	A túrázók bementek a barlangba.
certainty	bizonyosság	Nem tudhatjuk teljes bizonyossággal.
certificate	bizonyítvány	Képzési bizonyítványt kapott.
challenging	kihívást jelentő	A kurzus nehéz volt, de hasznos.
championship	bajnokság	Csapatunk bejutott a bajnokság döntőjébe.
charming	elbűvölő	A régi utca elbűvölőnek tűnt.
chase	üldözés	A kutya a labdát kergette.
cheek	arc	Egy könnycsepp folyt le az arcán.
cheer	éljenzés	A tömeg hangosan ujjongani kezdett.
choir	kórus	A kórus gyönyörűen énekelt.
chop	felvág	Vágja a hagymát apró darabokra.
circuit	áramkör	A futó teljesítette a kört.
civilization	civilizáció	Ősi civilizáció formálta ezt a régiót.
clarify	tisztáz	Kérem, tisztázza az utolsó pontot.
classify	osztályoz	A tudósok fajok szerint osztályozzák az állatokat.
clerk	hivatalnok	Az eladó kinyomtatta a nyugtát.
cliff	szikla	Az ösvény egy szikla közelében ér véget.
clinic	klinika	A klinika nyolckor nyit.
clip	klip	Hozzáerősítette a csipeszt a papírhoz.
coincidence	véletlen	Véletlen volt, hogy ott találkoztam vele.
collector	gyűjtő	A gyűjtő ritka érméket vásárolt.
colony	gyarmat	A hangyák egy nagy kolóniát építettek.
colourful	színes	A piac világos és színes volt.
comic	képregény	A komikus jelenet megnevettetett minket.
commander	parancsnok	A parancsnok világos parancsokat adott.
comparative	összehasonlító	Az esszé összehasonlító adatokat használ.
completion	befejezés	A híd közel áll a befejezéshez.
compose	összeállít	Ő fogja szerezni a film zenéjét.
