source_headword	ES-419	example_ES-419
ability	la capacidad; la habilidad	Su capacidad para nadar es clara.
able	capaz; poder	Él puede venir hoy.
abroad	en el extranjero; al exterior	Ella quiere estudiar en el extranjero.
accept	aceptar	Por favor, acepta este pequeño regalo.
accident	el accidente	El accidente ocurrió cerca de la escuela.
according to	de acuerdo con; según	De acuerdo con el informe, viene lluvia.
achieve	lograr; alcanzar	Puedes lograr tu meta.
act	actuar; el acto	Él puede actuar en una obra.
active	activo; activa	Ella está activa todos los días.
actually	en realidad	En realidad necesito más tiempo.
advantage	la ventaja	Este plan tiene una ventaja.
adventure	la aventura	Su viaje fue una aventura.
advertise	anunciar; hacer publicidad	Anuncian el nuevo trabajo.
advertisement	el anuncio	Vi un anuncio.
advertising	la publicidad	La publicidad ayuda a vender comida.
affect	afectar	El sueño puede afectar la salud.
against	contra; apoyado en	No te apoyes contra la pared.
ah	ah	Ah, ahora entiendo.
airline	la aerolínea	La aerolínea está muy ocupada.
alive	vivo; viva	El pez pequeño está vivo.
all right	bien; de acuerdo	Todo está bien ahora.
allow	permitir	Aquí permiten perros.
almost	casi	Estamos casi listos.
alone	solo; sola	Ella vive sola.
along	a lo largo de; por	Camina por esta calle.
already	ya	Ya sé la respuesta.
alternative	la alternativa	Este tren es una alternativa.
although	aunque	Aunque es tarde, podemos quedarnos.
among	entre	Él estaba entre los árboles.
amount	la cantidad; el monto	La cantidad es demasiado pequeña.
ancient	antiguo; antigua	Esta muralla antigua es famosa.
ankle	el tobillo	Me duele el tobillo hoy.
anybody	alguien; cualquiera	¿Alguien puede responder esto?
any more	más; ya no	No necesito nada más.
anyway	de todos modos	De todos modos, podemos empezar.
anywhere	en cualquier lugar	Siéntate en cualquier lugar.
app	la aplicación; la app	Esta aplicación es útil.
appear	aparecer	Su nombre aparecerá aquí.
appearance	la apariencia	La apariencia de él es diferente.
apply	solicitar; aplicar	Solicita el trabajo hoy.
architect	el arquitecto; la arquitecta	La arquitecta tiene un plan.
architecture	la arquitectura	Me gusta la arquitectura moderna.
argue	discutir	No discutas con tu hermana.
argument	la discusión; el argumento	La discusión fue corta.
army	el ejército	El ejército es grande.
arrange	organizar; arreglar	Por favor, organiza la reunión.
arrangement	el arreglo; el acuerdo	Este acuerdo funciona bien.
asleep	dormido; dormida	El bebé está dormido.
assistant	el asistente; la asistente	La asistente me ayudó.
athlete	el atleta; la atleta	La atleta corre rápido.
attack	atacar; el ataque	El perro puede atacar.
attend	asistir a; ir a	Asisto a clase hoy.
attention	la atención	Por favor, presta atención.
attractive	atractivo; atractiva	El jardín es atractivo.
audience	el público; la audiencia	El público estaba en silencio.
author	el autor; la autora	La autora escribió este libro.
available	disponible	La comida está disponible ahora.
average	medio; el promedio	El promedio fue bueno.
avoid	evitar	Evita la calle concurrida.
award	el premio; premiar	Ella ganó un premio.
awful	horrible; pésimo	El tiempo estuvo pésimo.
background	el fondo; el contexto	La imagen tiene un fondo oscuro.
badly	mal	Él jugó mal hoy.
bar	el bar; la barra	Nos vimos en el bar del hotel.
baseball	el béisbol	El béisbol es popular aquí.
based	basado; basada	La película está basada en un libro.
basketball	el básquetbol; el baloncesto	Jugamos básquetbol después de la escuela.
bean	el frijol	Este frijol es verde.
bear (animal)	el oso	El oso vive en el bosque.
beat	vencer; golpear	Nuestro equipo puede vencerlos.
beef	la carne de res	Comí carne de res en la cena.
behave	comportarse	Por favor, compórtate bien en clase.
behaviour	el comportamiento	Su comportamiento fue amable.
belong	pertenecer	Estos zapatos me pertenecen.
belt	el cinturón	Su cinturón es negro.
benefit	el beneficio; la ventaja	El ejercicio tiene un beneficio real.
billion	mil millones; el billón	Mil millones es un número enorme.
bin	el bote de basura	Pon el papel en el bote de basura.
biology	la biología	La biología es mi mejor materia.
birth	el nacimiento	Su nacimiento fue en mayo.
biscuit	la galleta	Ella come una galleta.
bit	un poco; el pedazo	Necesito un poco más de tiempo.
blank	el espacio en blanco; vacío	Escribe tu nombre en el espacio en blanco.
blood	la sangre	La sangre es roja.
blow	soplar	El viento puede soplar fuerte.
board	el pizarrón; la tabla	Escribe esto en el pizarrón.
boil	hervir	Primero hierve el agua.
bone	el hueso	El perro tiene un hueso.
borrow	pedir prestado	¿Puedo pedir prestada tu pluma?
boss	el jefe; la jefa	Mi jefe es amable.
bottom	la parte de abajo; el fondo	Firma en la parte de abajo.
bowl	el tazón; el recipiente	El tazón está lleno.
brain	el cerebro	Tu cerebro necesita descanso.
bridge	el puente	El puente es viejo.
bright	brillante; luminoso	La habitación es luminosa.
brilliant	brillante; excelente	Esta idea es excelente.
broken	roto; rota	La silla está rota.
brush	cepillar; el cepillo	Cepíllate los dientes ahora.
burn	quemar; arder	No quemes el pan.
businessman	el empresario; la empresaria	La empresaria llegó temprano.
button	el botón	Presiona el botón rojo.
camp	el campamento; acampar	Acampamos junto al lago.
camping	acampar; el campamento	Acampar en verano es divertido.
can2	la lata	Abre la lata con cuidado.
care	el cuidado; cuidar	Cuida tu salud.
careful	cuidadoso; cuidadosa	Ten cuidado en las escaleras.
carefully	con cuidado	Lee la pregunta con cuidado.
carpet	la alfombra	La alfombra es suave.
cartoon	la caricatura; el dibujo animado	Esta caricatura es graciosa.
case	el caso; el estuche	Ponlo en el estuche.
cash	el efectivo	Pagué en efectivo.
castle	el castillo	El castillo es muy antiguo.
catch	atrapar; agarrar	Atrapa la pelota ahora.
cause	la causa; causar	La lluvia puede causar problemas.
celebrate	celebrar	Celebramos mi cumpleaños.
celebrity	la celebridad; el famoso	La celebridad fue muy amable.
certain	seguro; cierto	Estoy seguro de esto.
certainly	claro; por supuesto	Claro que te ayudaré.
chance	la oportunidad; la chance	Tienes una oportunidad.
character	el personaje; el carácter	Este personaje es valiente.
charity	la organización benéfica; la caridad	La organización benéfica ayuda a niños.
chat	chatear; conversar	Conversamos después de clase.
chef	el chef; la chef	La chef preparó sopa.
chemistry	la química	La química es difícil para mí.
chip	la papita; el chip	Esta papita está salada.
choice	la elección; la opción	Esta elección es importante.
church	la iglesia	La iglesia está cerca.
cigarette	el cigarrillo	El cigarrillo es malo para la salud.
circle	el círculo; rodear	Dibuja un círculo aquí.
classical	clásico; clásica	Me gusta la música clásica.
clear	claro; despejar	La respuesta es clara.
clearly	claramente	Habla claramente, por favor.
clever	inteligente; listo	Ella es una niña inteligente.
climate	el clima	El clima está cambiando.
close2	cerca; cercano	Mi escuela está cerca de casa.
closed	cerrado; cerrada	La tienda está cerrada.
clothing	la ropa	La ropa abrigada es útil.
cloud	la nube	La nube tapa el sol.
coach	el entrenador; la entrenadora	La entrenadora ayudó al equipo.
coast	la costa	A lo largo de la costa fuimos en auto.
code	el código	Ingresa el código aquí.
colleague	el colega; la colega	Mi colega me llamó.
collect	coleccionar; recoger	Colecciono tarjetas viejas.
column	la columna	Lee la primera columna.
comedy	la comedia	Esta comedia es graciosa.
comfortable	cómodo; cómoda	Esta silla es cómoda.
comment	el comentario; comentar	Deja un comentario abajo.
communicate	comunicarse	Nos comunicamos por correo electrónico.
community	la comunidad	Nuestra comunidad es amigable.
compete	competir	Ellos compiten cada año.
competition	la competencia; el concurso	La competencia empieza mañana.
complain	quejarse	No te quejes otra vez.
completely	completamente	Estoy completamente de acuerdo contigo.
condition	la condición; el estado	El auto está en buenas condiciones.
conference	la conferencia	La conferencia empieza a las nueve.
connect	conectar; unir	Conecta el teléfono a la computadora.
connected	conectado; conectada	Las dos ideas están conectadas.
consider	considerar	Por favor, considera mi idea.
contain	contener	Esta caja contiene libros.
context	el contexto	El contexto te ayuda a entender.
continent	el continente	Un continente es muy grande.
continue	continuar	Continúa leyendo, por favor.
control	controlar; el control	Controla la velocidad con cuidado.
cooker	la estufa	La estufa está limpia.
copy	la copia; copiar	Haz una copia para mí.
corner	la esquina; el rincón	Siéntate en la esquina.
correctly	correctamente	Escribe la respuesta correctamente.
count	contar	Cuenta los libros.
couple	la pareja	La pareja llegó temprano.
cover	cubrir; la cubierta	Cubre el tazón.
crazy	loco; loca; raro	Esta idea suena loca.
creative	creativo; creativa	Ella tiene una idea creativa.
credit	el crédito	Pagué con tarjeta de crédito.
crime	el delito; el crimen	El crimen es un problema serio.
criminal	el criminal; la criminal	El criminal se fue rápido.
cross	cruzar	Cruza la calle con cuidado.
crowd	la multitud	Una multitud esperaba afuera.
crowded	lleno; llena	El tren estaba lleno.
cry	llorar	No llores ahora.
cupboard	el armario	Las tazas están en el armario.
curly	rizado; rizada	Ella tiene el pelo rizado.
cycle	andar en bicicleta; la bicicleta	Voy a la escuela en bicicleta.
daily	diario; diariamente	Leo las noticias diariamente.
danger	el peligro	El letrero muestra peligro.
data	los datos	Los datos son útiles.
dead	muerto; muerta	La planta está muerta.
deal	el trato; la oferta	Esta es una buena oferta.
death	la muerte	La muerte es un tema difícil.
decision	la decisión	Toma una decisión hoy.
deep	profundo; profunda	El agua es profunda.
definitely	definitivamente; sin duda	Sin duda quiero té.
degree	el título; el grado	Mi título es en historia.
dentist	el dentista; la dentista	La dentista revisó mis dientes.
department	el departamento; la sección	La sección de zapatos está arriba.
depend	depender	Depende del clima.
desert	el desierto	El desierto es muy seco.
designer	el diseñador; la diseñadora	La diseñadora hizo este vestido.
destroy	destruir	No destruyas el archivo.
detective	el detective; la detective	La detective encontró la llave.
develop	desarrollar	Desarrollan una nueva aplicación.
device	el dispositivo; el aparato	Este dispositivo es útil.
diary	el diario	Ella escribe en su diario.
differently	de forma diferente	Lo hacemos de forma diferente.
digital	digital	Esta es una cámara digital.
direct	directo; directa	Toma un tren directo.
direction	la dirección	Camina en esta dirección.
director	el director; la directora	La directora disfrutó la película.
disagree	no estar de acuerdo	No estoy de acuerdo con esa idea.
disappear	desaparecer	El sol va a desaparecer pronto.
disaster	el desastre	La tormenta fue un desastre.
discover	descubrir	Ellos descubren una isla nueva.
discovery	el descubrimiento	El descubrimiento cambió la ciencia.
discussion	la discusión	La discusión terminó temprano.
disease	la enfermedad	Esta enfermedad es grave.
distance	la distancia	La distancia es corta.
divorced	divorciado; divorciada	Sus padres están divorciados.
document	el documento	Guarda este documento ahora.
double	doble; para dos personas	Necesito una habitación para dos personas.
download	descargar; la descarga	Descarga la aplicación hoy.
drama	el drama	El drama empieza esta noche.
drawing	el dibujo	Su dibujo es hermoso.
dream	el sueño	Tuve un sueño extraño.
driving	manejar; la conducción	Manejar de noche es difícil.
drop	dejar caer	No dejes caer el vaso.
drug	el medicamento; la droga	El medicamento lo ayudó.
dry	seco; seca	La toalla está seca.
earn	ganar	Gano dinero en el trabajo.
earth	la Tierra; la tierra	La Tierra es redonda.
easily	fácilmente	Ella aprende fácilmente.
education	la educación	La educación es importante.
effect	el efecto	El efecto fue claro.
either	cualquiera; uno de los dos	Cualquier respuesta está bien.
electric	eléctrico; eléctrica	Este auto es eléctrico.
electrical	eléctrico; eléctrica	El sistema eléctrico es seguro.
electricity	la electricidad	La electricidad es cara aquí.
electronic	electrónico; electrónica	Este boleto electrónico funciona.
employ	emplear; contratar	Contratan a cinco personas.
employee	el empleado; la empleada	La empleada trabaja mucho.
employer	el empleador; la empleadora	Mi empleador es justo.
empty	vacío; vacía	La habitación está vacía.
ending	el final	El final fue sorprendente.
