source_headword	TE	example_TE
machine	యంత్రం	ఈ యంత్రం కాఫీ చేస్తుంది.
magazine	పత్రిక	ఆమె సంగీత పత్రిక చదువుతుంది.
main	ముఖ్యమైన	ఇది ముఖ్యమైన తలుపు.
make	చేయు; తయారు చేయు	నేను ఇంట్లో భోజనం తయారు చేస్తాను.
man	మనిషి; పురుషుడు	ఆ మనిషి నా ఉపాధ్యాయుడు.
many	చాలా	ఇక్కడ చాలా విద్యార్థులు ఉన్నారు.
map	పటం	పటాన్ని చూడు.
March	మార్చి	నా పుట్టినరోజు మార్చిలో ఉంది.
market	మార్కెట్; సంత	మేము సంతలో పండ్లు కొంటాము.
married	వివాహితుడు; వివాహిత	నా అక్క వివాహితురాలు.
May	మే	పాఠశాల మేలో ముగుస్తుంది.
maybe	బహుశా	బహుశా వర్షం పడుతుంది.
me	నన్ను; నాకు	దయచేసి నాకు సహాయం చేయి.
meal	భోజనం	ఈ భోజనం వేడిగా ఉంది.
mean	అర్థం కావు	ఈ గుర్తుకు ఏమి అర్థం?
meaning	అర్థం	దీని అర్థం ఏమిటి?
meat	మాంసం	నేను రాత్రి భోజనానికి మాంసం తింటాను.
meet	కలవు	మేము తరగతి తర్వాత కలుస్తాము.
meeting	సమావేశం	సమావేశం ఇప్పుడు మొదలవుతుంది.
member	సభ్యుడు; సభ్యురాలు	ఆమె క్లబ్ సభ్యురాలు.
menu	మెను	దయచేసి మెనును చదువు.
message	సందేశం	నేను చిన్న సందేశం పంపుతాను.
metre	మీటరు	ఒక మీటరు ముందుకు నడువు.
midnight	అర్ధరాత్రి	రైలు అర్ధరాత్రి బయలుదేరుతుంది.
mile	మైలు	మేము ఒక మైలు నడుస్తాము.
milk	పాలు	నేను అల్పాహారంతో పాలు తాగుతాను.
million	పది లక్షలు	ఇక్కడ పది లక్షల మంది ఉంటారు.
minute1	నిమిషం	దయచేసి ఒక నిమిషం వేచి ఉండు.
miss	మిస్ అవు; కోల్పోవు	నాకు నా పాత పాఠశాల గుర్తుకొస్తుంది.
mistake	తప్పు	ఈ సమాధానంలో తప్పు ఉంది.
model	నమూనా	ఇది చిన్న నమూనా.
modern	ఆధునిక	వంటగది ఆధునికంగా ఉంది.
moment	క్షణం	దయచేసి ఒక క్షణం వేచి ఉండు.
Monday	సోమవారం	మేము సోమవారం పని మొదలుపెడతాము.
money	డబ్బు	నాకు కొంత డబ్బు కావాలి.
month	నెల	జూన్ వేడి నెల.
more	ఇంకా ఎక్కువ	నాకు ఇంకా ఎక్కువ సమయం కావాలి.
morning	ఉదయం	నేను ఉదయం చదువుతాను.
most	చాలా మంది	చాలా మంది విద్యార్థులు సంగీతం ఇష్టపడతారు.
mother	తల్లి	నా తల్లి ఈ రోజు పని చేస్తుంది.
mountain	పర్వతం	పర్వతం ఎత్తుగా ఉంది.
mouse	ఎలుక	ఎలుక కుర్చీ కింద ఉంది.
mouth	నోరు	దయచేసి నీ నోరు తెరువు.
move	కదిలించు; కదులు	కుర్చీని ఇక్కడికి కదిలించు.
movie	సినిమా	మేము ఈ రాత్రి సినిమా చూస్తాము.
much	ఎంత	దీని ధర ఎంత?
mum	అమ్మ	నా అమ్మ ఇంట్లో ఉంది.
museum	మ్యూజియం	మ్యూజియం పది గంటలకు తెరుస్తుంది.
music	సంగీతం	నేను సంగీతం వింటాను.
must modal	తప్పక	నువ్వు ఇక్కడ తప్పక ఆగాలి.
my	నా	ఇది నా పుస్తకం.
name	పేరు	నీ పేరు ఇక్కడ రాయి.
natural	సహజమైన	ఈ రసం సహజమైనది.
near	దగ్గర	బ్యాంకు ఇక్కడ దగ్గరలో ఉంది.
need	అవసరం కావు	నాకు ఒక కలం కావాలి.
