simplified	JA	example_JA
啊	確認・同意を表す助詞	はい、では今行きましょう。
阿姨	おば; おばさん; ベビーシッター	おばさんはスーパーで働いています。
矮	低い; 背が低い	この机は少し低いです。
爱好	趣味; 興味	私の趣味は音楽を聞くことです。
安静	静かな; 落ち着いた	図書館はとても静かです。
把	持つ; つかむ; 処置文の助詞	ドアを閉めてください。
搬	引っ越す; 運ぶ	私たちは明日引っ越します。
班	クラス; グループ	私たちのクラスには学生が二十人います。
办法	方法; 手段	この方法はとてもいいです。
办公室	事務室; オフィス	マネージャーはオフィスにいます。
半	半分; 半	私は三十分待ちました。
帮忙	手伝う; 助ける	手伝ってくれますか。
包	包む; かばん	彼女は新しいかばんを買いました。
饱	満腹の	私はもうお腹がいっぱいです。
北方	北; 北方	北方の冬はとても寒いです。
被	受け身の助詞; 〜に	友達が私の自転車を借りました。
鼻子	鼻	彼の鼻は少し赤いです。
比较	比べる; わりに	今日はわりに暑いです。
比赛	試合; 競争	この試合はとても大切です。
笔记本	ノート	私はノートを机の上に置きました。
必须	必ず〜しなければならない	あなたはしっかり復習しなければなりません。
变化	変化; 変わる	この町は大きく変わりました。
别人	他の人	他の人の物を取らないでください。
冰箱	冷蔵庫	果物は冷蔵庫の中にあります。
不但…而且…	〜だけでなく〜も	彼は賢いだけでなく、よく努力します。
菜单	メニュー	メニューをください。
参加	参加する	私はこの会議に参加したいです。
草	草	子犬が草の上を走っています。
层	階; 層	この建物は三階建てです。
差	違う; 足りない; 悪い	今日は天気が悪いです。
超市	スーパー	私はパンを買いにスーパーへ行きます。
衬衫	シャツ; ブラウス	このシャツはとてもきれいです。
城市	都市; 町	北京は大きな都市です。
成绩	成績; 結果	彼の数学の成績はとてもいいです。
迟到	遅刻する	授業に遅刻しないでください。
除了	〜のほかに; 〜を除いて	コーヒーのほかに、お茶もほしいです。
船	船; ボート	私たちは船でその町へ行きます。
春	春	春には花がたくさんあります。
词典	辞書	この辞書はとても役に立ちます。
聪明	賢い; 頭がいい	この子はとても賢いです。
打扫	掃除する	週末に部屋を掃除します。
打算	予定する; つもりである	明日はどんな予定がありますか。
带	持っていく; 連れていく	パスポートを持ってきてください。
担心	心配する	心配しないでください、私が手伝います。
蛋糕	ケーキ	このケーキはとても甘いです。
当然	もちろん; 当然	もちろんいいですよ。
地	副詞を作る助詞	彼はうれしそうに笑いました。
灯	明かり; ランプ	電気をつけてください。
地方	場所; 地域	この場所はとても静かです。
地铁	地下鉄	私は毎日地下鉄で仕事に行きます。
地图	地図	地図で学校を探します。
电梯	エレベーター	エレベーターは左にあります。
电子邮件	メール; 電子メール	先生にメールを送ります。
东	東	太陽は東から昇ります。
冬	冬	冬には熱いお茶を飲むのが好きです。
动物	動物	パンダは中国で有名な動物です。
短	短い	このズボンは短すぎます。
段	段落; 部分	この段落を読んでください。
锻炼	運動する; 鍛える	私は毎朝運動します。
多么	なんと; どれほど	ここの環境はなんといいのでしょう。
饿	お腹がすいた; 空腹の	お腹がすいたのでパンを食べたいです。
耳朵	耳	耳が少し痛いです。
发	送る; 発行する	夜にメールを送ります。
发烧	熱がある	彼は熱があって学校へ行けません。
发现	発見する; 気づく	この方法がいいことに気づきました。
方便	便利な	地下鉄に乗るのは便利です。
放	置く; 放す	本を机の上に置いてください。
放心	安心する	安心してください、時間通りに着きます。
分	分ける; 分配する	ケーキをみんなに分けてください。
复习	復習する	試験の前に復習しなければなりません。
附近	近く; 付近	近くにレストランがあります。
干净	清潔な; きれいな	この部屋はとてもきれいです。
感冒	風邪をひく; 風邪	風邪をひいたので休みたいです。
感兴趣	興味がある	私は中国語にとても興味があります。
刚才	さっき	さっき誰があなたに電話しましたか。
个子	身長; 背	彼は背が高いです。
根据	〜によると; 〜に基づいて	地図によると、学校は東にあります。
跟	〜と; ついて行く	友達と公園へ行きます。
更	もっと; さらに	今日は昨日よりさらに寒いです。
公斤	キログラム	このりんごは一キログラムあります。
公园	公園	子どもたちは公園で遊んでいます。
故事	物語; 話	祖父が私に物語を話してくれます。
刮风	風が吹く	今日は風が強いので、自転車に乗らないでください。
关	閉める; 消す	ドアを閉めてください。
关系	関係	同僚との関係はいいです。
关心	気にかける; 関心を持つ	母は私の健康をとても気にかけています。
关于	〜について	この本は中国文化について書かれています。
国家	国; 国家	中国はとても大きな国です。
过	経験を表す助詞	私は北京へ行ったことがあります。
过去	過去; 以前	以前ここには地下鉄がありませんでした。
还是	それとも; まだ	お茶を飲みますか、それともコーヒーを飲みますか。
害怕	怖がる	私は試験が怖くありません。
黑板	黒板	先生は黒板に漢字を書きます。
后来	その後; 後で	その後、私たちは公園へ行きました。
护照	パスポート	パスポートを持ってきてください。
96:花	使う; 費やす	電話を買うのに二千元かかりました。
97:花	花	机の上に花があります。
画	描く; 絵	妹はパンダを描くのが好きです。
坏	悪い; 壊れた	私のパソコンは壊れました。
欢迎	歓迎する; ようこそ	私の家へようこそ。
环境	環境; 周囲	この学校の環境はとてもいいです。
还	返す	明日私に本を返してください。
换	替える; 交換する	シャツを交換したいです。
黄河	黄河	黄河はとても長いです。
回答	答える; 回答	私の質問に答えてください。
会议	会議	会議は九時に始まります。
或者	または; あるいは	地下鉄またはバスに乗れます。
几乎	ほとんど	彼はほとんど毎日運動します。
机会	機会; チャンス	これはいい機会です。
极	非常に; 極めて	彼女は非常にうれしいです。
季节	季節	秋は私の好きな季節です。
记得	覚えている; 忘れずにする	クレジットカードを持ってくるのを覚えていますか。
检查	検査する; 調べる	医者が私を診察します。
简单	簡単な	この文はとても簡単です。
健康	健康	運動は健康にいいです。
见面	会う	明日学校で会いましょう。
讲	説明する; 話す	先生はとてもはっきり説明します。
教	教える	彼は私に漢字の書き方を教えてくれます。
脚	足; 足先	足が少し痛いです。
角	角; すみ	店は通りの角にあります。
接	迎えに行く; 受け取る; 電話に出る	友達を迎えに空港へ行きます。
街道	通り	この通りはとてもきれいです。
结婚	結婚する	彼らは来年結婚します。
结束	終わる; 終える	試合はもう終わりました。
节目	番組	このテレビ番組はとてもいいです。
节日	祝日; 祭り	春節は大切な中国の祝日です。
解决	解決する	この問題はもう解決しました。
借	借りる; 貸す	あなたの辞書を借りたいです。
经常	よく; しょっちゅう	私はよく図書館へ行きます。
经过	通る; 経過	私は毎日この公園を通ります。
经理	マネージャー; 部長	マネージャーは会議中です。
久	長い間	私はここに長く住んでいます。
旧	古い; 使い古した	この服はとても古いです。
句子	文	文を一つ書いてください。
决定	決める; 決定	中国語を勉強することに決めました。
可爱	かわいい	この猫はとてもかわいいです。
渴	喉が渇いた	喉が渇いたので水を飲みたいです。
刻	十五分; 一刻	八時十五分です。
客人	客; お客さん	今日、家にお客さんが来ました。
空调	エアコン	エアコンをつけてください。
口	口; 一口; 人や動物の助数詞	彼は水を一口飲みました。
哭	泣く	なぜ子どもが泣いているのですか。
裤子	ズボン	このズボンは新しいです。
筷子	箸	私は箸で食べられます。
蓝	青い	空は青いです。
老	年を取った; 古い	私の先生は年を取っていません。
离开	離れる; 去る	彼は明日北京を離れます。
礼物	贈り物; プレゼント	これはあなたへのプレゼントです。
历史	歴史	私は中国の歴史が好きです。
脸	顔	彼女の顔はとても赤いです。
练习	練習する; 練習	中国語を話す練習をもっとしてください。
辆	車両の助数詞	ドアの前にタクシーが一台あります。
聊天	おしゃべりする	友達とおしゃべりします。
了解	理解する; 知る	中国文化を理解したいです。
邻居	隣人	私の隣人はとても親切です。
留学	留学する	彼女は中国に留学しています。
楼	建物; 階	オフィスは三階にあります。
绿	緑の	春になると木々は緑になります。
马	馬	その馬はとても速く走ります。
马上	すぐに; ただちに	すぐ戻ります。
满意	満足している	この部屋にとても満足しています。
帽子	帽子	この帽子はとてもきれいです。
米	メートル; 米	この机は長さが二メートルです。
面包	パン	朝食にパンを食べます。
明白	分かる; 明らかな	あなたの言うことが分かります。
拿	取る; 持つ	私に本を一冊取ってください。
奶奶	父方の祖母; おばあさん	祖母は音楽を聞くのが好きです。
南	南	学校は町の南部にあります。
难	難しい	この問題は難しくありません。
难过	悲しい	彼女は今日は少し悲しそうです。
年级	学年	妹は三年生です。
年轻	若い	このマネージャーはとても若いです。
鸟	鳥	木の上に鳥がいます。
努力	努力する; 努力	彼はとても一生懸命勉強しています。
爬山	山に登る; 登山する	今週末、山登りに行きます。
