source_headword	IS	example_IS
hunt	leita að	Þau leita að sveppum á haustin.
hurricane	fellibylur	Fellibylurinn skemmdi mörg heimili.
hurry	asi	Það er enginn asi í dag.
identity	auðkenni	Auðkenni hennar var leyndarmál.
ignore	hunsa	Hunsaðu ekki þessa viðvörun.
illegal	ólöglegt	Það er ólöglegt að leggja hér.
imaginary	ímyndaður	Sagan hefur ímyndaða eyju.
immediate	tafarlaus	Við þurfum tafarlaust svar.
immigrant	innflytjandi	Innflytjandinn lærði ensku fljótt.
impact	áhrif	Fréttin hafði mikil áhrif.
import	flytja inn	Landið mun flytja inn meira af hrísgrjónum.
importance	mikilvægi	Hún skildi mikilvægi svefns.
impression	áhrif	Fyrstu áhrif hans voru jákvæð.
impressive	glæsilegur	Safnið hefur glæsilegan inngang.
improvement	framför	Það var skýr framför í þessum mánuði.
incredibly	ótrúlega	Prófið var ótrúlega erfitt.
indeed	sannarlega	Þetta var sannarlega skrítinn dagur.
indicate	vísa á	Skiltið mun vísa á útganginn.
indirect	óbeinn	Hún gaf óbeint svar.
indoor	innanhúss	Hótelið er með innisundlaug.
indoors	inni	Við vorum inni í storminum.
influence	áhrif	Kennarinn hans hafði mikil áhrif.
ingredient	innihaldsefni	Hveiti er aðalinnihaldsefnið.
injure	meiða	Meiddu ekki bakið.
injured	meiddur	Hinn meiddi leikmaður fór af vellinum.
innocent	saklaus	Barnið virtist alveg saklaust.
intelligence	greind	Hún sýndi mikla greind í tíma.
intend	ætla	Ég ætla að læra erlendis.
intention	ætlun	Ætlun hans var að hjálpa.
invest	fjárfesta	Þau fjárfesta peninga í menntun.
investigate	rannsaka	Lögreglan mun rannsaka slysið.
involved	tengdur	Nokkrir nemendur voru tengdir málinu.
iron	járn	Hliðið er úr járni.
issue	mál	Þetta er alvarlegt mál.
IT	upplýsingatækni	Hún vinnur við upplýsingatækni.
journal	dagbók	Hann skrifar í dagbók.
judge	dómari	Dómarinn hlustaði vandlega.
keen	áhugasamur	Hún er áhugasöm um að læra.
keyboard	lyklaborð	Lyklaborðið mitt hætti að virka.
kick	sparka	Sparkaðu boltanum varlega.
killing	morð	Morðið hneykslaði þorpið.
kind (caring)	vingjarnlegur	Þetta var vingjarnlegt verk.
kiss	koss	Hún gaf barninu koss.
label	miði	Lestu miðann fyrir notkun.
laboratory	rannsóknarstofa	Rannsóknarstofan er lokuð í dag.
lack	skortur	Skortur á svefni skaðar minni.
latest	nýjasti	Hefurðu lesið nýjustu skýrsluna?
lay	leggja	Leggðu bókina á borðið.
layer	lag	Bættu við öðru lagi af málningu.
leading	leiðandi	Hún er leiðandi vísindamaður.
leaf	laufblað	Laufblað féll á úlpuna mína.
