simplified	SK	example_SK
挨	vydržať	Vydržal celú noc a napokon sa dočkal úsvitu
癌症	rakovina	Včasné odhalenie rakoviny je veľmi dôležité
暧昧	nejasný	Jeho odpoveď bola veľmi nejasná
爱不释手	nevedieť sa odtrhnúť	Kniha sa jej tak páčila, že ju takmer nedokázala odložiť
爱戴	milovať a vážiť si	Študenti si tohto učiteľa hlboko vážia
安宁	pokojný	Noci sú tu veľmi pokojné
安详	pokojný	Výraz starého človeka bol veľmi pokojný
安置	presídliť	Vláda presídlila ľudí postihnutých katastrofou
按摩	masáž	Objednal som si masáž
暗示	naznačiť	Naznačila mi, aby som sa prestal pýtať
案件	prípad	Polícia vyšetruje tento prípad
案例	prípad	Tento prípad je veľmi typický
昂贵	drahý	Toto zariadenie je veľmi drahé
凹凸	nerovný	Povrch tejto cesty je nerovný
熬	vydržať	Vydržal tri ťažké pracovné dni, kým dokončil správu
奥秘	tajomstvo	Vedec chce odhaliť toto tajomstvo
巴不得	nedočkavo chcieť	Najradšej by som hneď vyrazil
巴结	podlizovať sa	Nechce sa podlizovať vedúcim
扒	držať sa	Dieťa sa držalo dverí a pozeralo von
疤	jazva	Na ruke má jazvu
拔苗助长	unáhliť veci	Nútiť dieťa takto študovať veci iba pokazí
把关	kontrolovať	Túto zmluvu musí skontrolovať právnik
把手	kľučka	Kľučka na dverách je pokazená
罢工	štrajkovať	Robotníci sa rozhodli zajtra štrajkovať
霸道	panovačný	Hovorí veľmi panovačne
掰	rozlomiť	Rozlomila chlieb na dve polovice
摆脱	zbaviť sa	Napokon sa zbavil zlého zvyku
拜访	navštíviť	Tento víkend navštívime učiteľa
拜年	vinšovať nový rok	Počas Sviatku jari chodíme starým rodičom vinšovať nový rok
拜托	spoliehať sa	V tejto veci sa spolieham na teba
败坏	poškodiť	Takéto správanie poškodí povesť firmy
斑	škvrna	Na mačke je čierna škvrna
颁布	vydať	Nové pravidlá budú vydané budúci týždeň
颁发	udeliť	Škola udelila certifikáty vynikajúcim študentom
版本	verzia	Tento softvér má novú verziu
伴侣	spoločník	Psa považuje za svojho spoločníka
伴随	sprevádzať	Úspech často sprevádza tlak
半途而废	vzdať sa v polovici	Pri výskume sa nemôžeš vzdať v polovici
扮演	hrať	Vo filme hrá lekára
榜样	vzor	Rodičia sú vzorom pre deti
绑架	únos	Polícia zastavila prípad únosu
磅	libra	Táto škatuľa váži dvadsať libier
包庇	kryť	Nikto nesmie kryť zločin
包袱	bremeno	Keď odložil bremeno, cítil sa oveľa uvoľnenejšie
包围	obkľúčiť	Reportéri obkľúčili herca
包装	obal	Obal tohto darčeka je veľmi pekný
保管	uchovávať	Tieto dokumenty uchovávam ja
保密	utajiť	Obsah stretnutia musí zostať utajený
保姆	opatrovateľka	Najali si opatrovateľku
保守	konzervatívny	Jeho názory sú pomerne konzervatívne
保卫	brániť	Vojaci bránia hranicu
保养	údržba	Toto auto potrebuje pravidelnú údržbu
保障	chrániť	Zákon chráni práva občanov
保重	dávaj na seba pozor	Keď budeš preč, dávaj na seba pozor
饱和	nasýtenie	Tento trh je už blízko nasýtenia
饱经沧桑	prežiť mnoho zmien	Tento starý človek prežil mnoho ťažkostí a zmien
报酬	odmena	Dostal primeranú odmenu
报仇	pomstiť sa	Nechce sa pomstiť, chce iba začať odznova
报答	odvďačiť sa	Za tvoju pomoc sa odvďačím skutkami
报复	pomsta	Pomsta konflikt iba prehĺbi
报警	zavolať políciu	Po zistení požiaru treba okamžite zavolať políciu
报销	preplatiť	Cestovné náklady možno preplatiť
抱负	ambícia	Od detstva má veľké ambície
暴力	násilie	Sme proti násiliu v akejkoľvek forme
暴露	vyjsť najavo	Tento problém postupne vyšiel najavo
曝光	zverejniť	Po zverejnení tejto fotografie vzbudila pozornosť
爆发	vypuknúť	Sopka náhle vybuchla
爆炸	výbuch	V laboratóriu nastal výbuch
卑鄙	podlý	Takýto podlý postup ľudí hnevá
悲哀	smutný	Po vypočutí správy sa cítil veľmi smutný
悲惨	tragický	Bolo to tragické obdobie dejín
北极	Arktída	Vedci robia výskum v Arktíde
备份	záloha	Najprv si zálohujte dôležité súbory
备忘录	poznámka	Zapísala si hlavné body do poznámky
背叛	zrada	Nedokázal prijať zradu svojho priateľa
背诵	recitovať	Študenti recitujú text naspamäť
被动	pasívny	Pri rokovaní nemôžeme byť príliš pasívni
被告	obžalovaný	Obžalovaný poprel všetky obvinenia
贝壳	mušľa	Dieťa zbieralo mušle pri mori
奔波	zháňať sa	Všade sa zháňa kvôli práci
奔驰	rútiť sa	Auto sa rútilo po diaľnici
本能	inštinkt	Chrániť deti je rodičovský inštinkt
本钱	kapitál	Podnikanie si vyžaduje kapitál
本人	osobne	Ja osobne som ochotný prevziať zodpovednosť
本身	sám osebe	So samotným plánom nie je problém
本事	schopnosť	Je veľmi schopný
笨拙	neobratný	Jeho pohyby sú trochu neobratné
崩溃	zrútiť sa	Systém sa náhle zrútil
