source_headword	TA	example_TA
take	எடு; எடுத்துச் செல்	சீட்டை எடு.
talk	பேசு; பேச்சு	வகுப்புக்குப் பிறகு நாம் பேசுவோம்.
tall	உயரமான	என் ஆசிரியர் உயரமானவர்.
taxi	டாக்ஸி	டாக்ஸி வெளியே உள்ளது.
tea	தேநீர்	இந்த தேநீர் சூடாக உள்ளது.
teach	கற்பி	நான் ஆங்கிலம் கற்பிக்கிறேன்.
teacher	ஆசிரியர்; ஆசிரியையர்	ஆசிரியை சிரிக்கிறார்.
team	அணி	எங்கள் அணி இன்று வெல்லும்.
teenager	இளம்வயதினர்	இளம்வயது மாணவன் புத்தகம் படிக்கிறான்.
telephone	தொலைபேசி; அழை	தொலைபேசி மேசையில் உள்ளது.
television	தொலைக்காட்சி	தொலைக்காட்சி புதியது.
tell	சொல்; கூறு	உன் பெயரை எனக்குச் சொல்.
ten	பத்து	என்னிடம் பத்து புத்தகங்கள் உள்ளன.
tennis	டென்னிஸ்	இன்று நாம் டென்னிஸ் விளையாடுகிறோம்.
terrible	மிகவும் மோசமான; பயங்கரமான	காலநிலை மிகவும் மோசமாக உள்ளது.
test	தேர்வு; சோதனை	தேர்வு இப்போது தொடங்குகிறது.
text	செய்தி; உரை	ஒரு குறுகிய செய்தி அனுப்பு.
than	விட	பத்து இரண்டை விட அதிகம்.
thank	நன்றி கூறு	உன் ஆசிரியருக்கு நன்றி கூறு.
thanks	நன்றி	உதவிக்கு நன்றி.
that	அது; அந்த	அந்த புத்தகம் என்னுடையது.
the	ஆங்கில நிர்ணய உருபு	தேநீர் சூடாக உள்ளது.
theatre	நாடக அரங்கம்	நாடக அரங்கம் நிலையம் அருகில் உள்ளது.
their	அவர்களின்	அவர்களின் வீடு பெரியது.
them	அவர்களை; அவர்களுக்கு	நான் அவர்களை அறிவேன்.
then	பிறகு; அப்போது	சாப்பிடு, பிறகு படி.
there	அங்கே	அங்கே ஒரு நாற்காலி உள்ளது.
they	அவர்கள்	அவர்கள் பள்ளியில் உள்ளனர்.
thing	பொருள்; விஷயம்	இந்த பொருள் பயனுள்ளது.
think	நினை; சிந்தி	நான் வீட்டைப் பற்றி சிந்திக்கிறேன்.
third	மூன்றாவது; மூன்றில் ஒன்று	இது மூன்றாவது பாடம்.
thirsty	தாகமாக	எனக்கு தாகமாக உள்ளது.
thirteen	பதின்மூன்று	அவனுக்கு பதின்மூன்று வயது.
thirty	முப்பது	என் அக்காவுக்கு முப்பது வயது.
this	இது; இந்த	இந்த சீட்டு புதியது.
thousand	ஆயிரம்	ஆயிரம் மக்கள் வந்தனர்.
three	மூன்று	நான் மூன்று பறவைகளை பார்க்கிறேன்.
through	வழியாக; மூலம்	நாம் பூங்கா வழியாக நடக்கிறோம்.
