source_headword	DE	example_DE
institute	das Institut	Das Institut hat ein neues Forschungsprogramm eröffnet.
institution	die Einrichtung	Die Einrichtung hat ihre Zulassungsregeln geändert.
insurance	die Versicherung	Ihre Versicherung deckte die Krankenhauskosten.
intended	vorgesehen	Die Nachricht erreichte das vorgesehene Publikum.
intense	intensiv	Die Debatte wurde sehr schnell intensiv.
internal	intern	Das Unternehmen hat eine interne Überprüfung gestartet.
interpret	interpretieren	Bitte interpretieren Sie die Ergebnisse sorgfältig.
interrupt	unterbrechen	Unterbrechen Sie den Sprecher jetzt nicht.
investigation	die Untersuchung	Die Untersuchung deckte schwere Fehler auf.
investment	die Investition	Die Investition schuf viele lokale Arbeitsplätze.
joy	die Freude	Ihr Erfolg brachte große Freude.
judgement	das Urteilsvermögen	Sein Urteilsvermögen verbesserte sich mit der Erfahrung.
junior	junior	Sie trat dem Team als Junior-Analystin bei.
justice	die Gerechtigkeit	Die Familie forderte nach dem Prozess Gerechtigkeit.
justify	rechtfertigen	Sie müssen diese Entscheidung klar rechtfertigen.
labour	die Arbeitskraft	Das Projekt erfordert qualifizierte Arbeitskräfte.
landscape	die Landschaft	Die Landschaft veränderte sich nach dem Sturm.
largely	größtenteils	Der Plan war größtenteils erfolgreich.
launch	auf den Markt bringen	Sie werden das Produkt morgen auf den Markt bringen.
leadership	die Führung	Starke Führung half dem Team, sich zu erholen.
league	die Liga	Unser Verein trat einer regionalen Liga bei.
lean	sich anlehnen	Lehnen Sie sich nicht gegen die nasse Wand.
licence	die Lizenz	Die Lizenz läuft nächsten Monat ab.
limited	begrenzt	Wir haben heute nur begrenzt Zeit.
lively	lebhaft	Das Treffen wurde nach dem Mittagessen lebhaft.
load	die Ladung	Der Lastwagen transportierte eine schwere Ladung.
loan	der Kredit	Die Bank genehmigte den Kredit.
logical	logisch	Ihr Argument war klar und logisch.
long-term	langfristig	Dies ist eine langfristige Lösung.
loose	locker	Der Griff fühlt sich locker an.
lord	der Herr	Der Herr besaß mehrere Dörfer.
lower	senken	Sie senken im Winter die Preise.
lung	die Lunge	Rauchen kann eine Lunge schädigen.
maintain	aufrechterhalten	Wir pflegen regelmäßigen Kontakt.
majority	die Mehrheit	Die Mehrheit unterstützte den Vorschlag.
mass	die Masse	Eine Masse von Wolken bedeckte den Himmel.
massive	massiv	Das Erdbeben verursachte massive Schäden.
master	der Meister	Sie wurde eine Meisterin der Verhandlung.
matching	passend	Er trug passende Schuhe und einen Gürtel.
maximum	maximal	Der Raum erreichte seine maximale Kapazität.
means	das Mittel	E-Mail ist unser wichtigstes Kontaktmittel.
measurement	die Messung	Die Messung war leicht falsch.
melt	schmelzen	Der Schnee wird bis Mittag schmelzen.
military	militärisch	Die Militärbasis wurde letztes Jahr geschlossen.
mineral	das Mineral	Eisen ist ein wichtiges Mineral.
minimum	minimal	Das Mindestalter beträgt achtzehn Jahre.
minister	der Minister	Der Minister beantwortete schwierige Fragen.
minor	gering	Der Unfall verursachte geringen Schaden.
minority	die Minderheit	Eine Minderheit war gegen die neue Regel.
mission	die Mission	Ihre Mission endete sicher.
mixed	gemischt	Die Nachrichten erhielten gemischte Reaktionen.
modify	ändern	Wir können das Design später ändern.
monitor	der Monitor	Die Krankenschwester wird seinen Zustand überwachen.
moral	moralisch	Die Geschichte hat eine moralische Lektion.
motor	der Motor	Der Motor blieb ohne Vorwarnung stehen.
mount	montieren	Sie montieren Kameras in der Nähe des Eingangs.
multiple	mehrfach	Mehrere Faktoren haben die Verzögerung verursacht.
multiply	multiplizieren	Multiplizieren Sie die Zahl mit zehn.
mysterious	geheimnisvoll	Ein geheimnisvolles Licht erschien draußen.
neat	ordentlich	Ihr Schreibtisch ist immer ordentlich.
nerve	der Nerv	Die Verletzung hat einen Nerv beschädigt.
nevertheless	trotzdem	Die Aufgabe war schwer; trotzdem wurden wir fertig.
nightmare	der Albtraum	Die Reise wurde zu einem Albtraum.
notion	die Vorstellung	Verwerfen Sie die Vorstellung, dass Veränderung unmöglich ist.
numerous	zahlreich	Zahlreiche Studien stützen diese Idee.
obey	befolgen	Autofahrer müssen die Schilder befolgen.
objective	das Ziel	Unser Ziel ist es, Abfall zu reduzieren.
obligation	die Verpflichtung	Eltern haben die Verpflichtung, Kinder zu schützen.
observation	die Beobachtung	Seine Beobachtung hat die Diskussion verändert.
observe	beobachten	Wissenschaftler beobachten die Vögel jeden Frühling.
obtain	einholen	Sie müssen eine schriftliche Erlaubnis einholen.
occasionally	gelegentlich	Sie arbeitet gelegentlich von zu Hause aus.
offence	die Beleidigung	Der Kommentar verursachte eine schwere Beleidigung.
offend	beleidigen	Ich wollte niemanden beleidigen.
offensive	beleidigend	Das Plakat enthielt beleidigende Sprache.
