hsk_key	source_word	simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV	ET	example_ET	IS	example_IS
1004:安检	安检	安检	bezbednosna provera	Pre ulaska u stanicu putnici moraju proći bezbednosnu proveru.	varnostni pregled	Pred vstopom na postajo morajo potniki skozi varnostni pregled.	saugumo patikra	Prieš įeidami į stotį keleiviai turi praeiti saugumo patikrą.	drošības pārbaude	Pirms ieiešanas stacijā pasažieriem jāiziet drošības pārbaude.	turvakontroll	Enne jaama sisenemist peavad reisijad läbima turvakontrolli.	öryggisskoðun	Farþegar þurfa að fara í öryggisskoðun áður en þeir fara inn á stöðina.
1006:按	按	按	pritisnuti; prema	Pritisnite zeleno dugme da otvorite vrata.	pritisniti; po	Pritisnite zeleni gumb, da odprete vrata.	paspausti; pagal	Paspauskite žalią mygtuką, kad atidarytumėte duris.	nospiest; saskaņā ar	Nospiediet zaļo pogu, lai atvērtu durvis.	vajutama; järgi	Vajutage rohelist nuppu, et uks avada.	ýta á; samkvæmt	Ýttu á græna hnappinn til að opna hurðina.
1009:白酒	白酒	白酒	kinesko žestoko piće baijiu	Ne pije kineski baijiu, pije samo čaj.	kitajska žgana pijača baijiu	Ne pije kitajskega baijiuja, pije samo čaj.	kiniškas stiprusis gėrimas baidžiu	Jis negeria kiniško baidžiu, geria tik arbatą.	ķīniešu stiprais dzēriens baijiu	Viņš nedzer ķīniešu baijiu, tikai tēju.	Hiina kange jook baijiu	Ta ei joo Hiina baijiud, vaid ainult teed.	kínverskt sterkt áfengi baijiu	Hann drekkur ekki kínverskt baijiu, bara te.
1010:办公	办公	办公	raditi kancelarijski posao	Danas radi od kuće.	delati pisarniško delo	Danes dela od doma.	dirbti biuro darbą	Šiandien ji dirba iš namų.	strādāt biroja darbu	Viņa šodien strādā no mājām.	kontoritööd tegema	Ta töötab täna kodust.	vinna skrifstofuvinnu	Hún vinnur heima í dag.
1012:办事	办事	办事	obavljati poslove	Popodne idem u banku da obavim neke poslove.	urejati zadeve	Popoldne grem v banko urediti nekaj zadev.	tvarkyti reikalus	Po pietų eisiu į banką tvarkyti reikalų.	kārtot lietas	Pēcpusdienā iešu uz banku kārtot lietas.	asju ajama	Pärastlõunal lähen panka asju ajama.	sinna erindum	Ég fer í bankann síðdegis til að sinna erindum.
1017:报考	报考	报考	prijaviti se za ispit	Priprema se da se prijavi za ispit iz kineskog.	prijaviti se na izpit	Pripravlja se na prijavo na izpit iz kitajščine.	registruotis į egzaminą	Jis ruošiasi registruotis į kinų kalbos egzaminą.	pieteikties eksāmenam	Viņš gatavojas pieteikties ķīniešu valodas eksāmenam.	eksamile registreeruma	Ta valmistub hiina keele eksamile registreeruma.	skrá sig í próf	Hann er að undirbúa sig fyrir að skrá sig í kínverskuprófið.
1021:背包	背包	背包	ranac	Moj ranac je kod vrata.	nahrbtnik	Moj nahrbtnik je pri vratih.	kuprinė	Mano kuprinė padėta prie durų.	mugursoma	Mana mugursoma ir pie durvīm.	seljakott	Mu seljakott on ukse juures.	bakpoki	Bakpokinn minn er við dyrnar.
1022:北部	北部	北部	severni deo	U severnom delu grada nalazi se planina.	severni del	V severnem delu mesta je gora.	šiaurinė dalis	Miesto šiaurinėje dalyje yra kalnas.	ziemeļu daļa	Pilsētas ziemeļu daļā ir kalns.	põhjaosa	Linna põhjaosas on mägi.	norðurhluti	Í norðurhluta borgarinnar er fjall.
1028:笔试	笔试	笔试	pismeni ispit	Sutra ujutru je pismeni ispit.	pisni izpit	Jutri dopoldne bo pisni izpit.	rašytinis testas	Rytoj ryte bus rašytinis testas.	rakstisks pārbaudījums	Rīt no rīta būs rakstisks pārbaudījums.	kirjalik test	Homme hommikul on kirjalik test.	skriflegt próf	Það er skriflegt próf á morgun fyrir hádegi.
1030:毕业生	毕业生	毕业生	diplomac; svršeni učenik	Mnogi diplomci traže posao.	diplomant	Veliko diplomantov išče delo.	absolventas	Daug absolventų ieško darbo.	absolvents	Daudzi absolventi meklē darbu.	lõpetaja	Paljud lõpetajad otsivad tööd.	útskriftarnemi	Margir útskriftarnemar eru að leita að vinnu.
1033:表	表	表	obrazac; tabela; sat	Molimo popunite ovaj obrazac do kraja.	obrazec; tabela; ura	Prosimo, do konca izpolnite ta obrazec.	forma; lentelė; laikrodis	Prašome iki galo užpildyti šią formą.	veidlapa; tabula; pulkstenis	Lūdzu, aizpildiet šo veidlapu līdz galam.	vorm; tabel; kell	Palun täitke see vorm lõpuni.	eyðublað; tafla; úr	Vinsamlegast ljúktu við að fylla út þetta eyðublað.
1039:并	并	并	takođe; i; zapravo	Zapravo se uopšte ne osećam umorno.	tudi; in; pravzaprav	Pravzaprav se sploh ne počutim utrujeno.	taip pat; ir; iš tikrųjų	Iš tikrųjų visai nesijaučiu pavargęs.	arī; un; patiesībā	Patiesībā es nejūtos noguris.	ka; ja; tegelikult	Tegelikult ma ei tunne end väsinuna.	líka; og; í raun	Í raun finn ég alls ekki fyrir þreytu.
