source_headword	KO	example_KO
strengthen	강화하다	새로운 정책은 온라인 안전을 강화할 것입니다.
strictly	엄격히	티켓은 1인당 두 장으로 엄격히 제한됩니다.
striking	눈에 띄는	그 그림은 눈에 띄는 색감을 가지고 있습니다.
stroke	획	그녀는 종이 위에 한 획을 그었습니다.
stunning	멋진	산의 경치가 멋졌습니다.
subsequent	그 다음의	그 다음의 회의에서 예산이 확정되었습니다.
subsequently	그 후에	도로가 폐쇄되었고 그 후에 차량이 천천히 이동했습니다.
suburb	교외	그들은 조용한 교외에 살고 있습니다.
suffering	고통	약이 그의 고통을 줄여주었습니다.
sufficient	충분한	그 팀은 충분한 시간을 가지고 있습니다.
sufficiently	충분히	방은 충분히 따뜻합니다.
super	대단히	새 태블릿은 대단히 빠릅니다.
surgeon	외과 의사	외과 의사가 다친 무릎을 치료했습니다.
survival	생존	깨끗한 물은 생존에 필수적입니다.
survivor	생존자	생존자가 홍수에 대해 설명했습니다.
suspend	유보하다	학교에서 여행을 유보할 수도 있습니다.
sustainable	지속 가능한	그 농장은 지속 가능한 방식을 사용합니다.
swallow	삼키다	물과 함께 알약을 삼키세요.
sympathetic	동정적인	매니저는 그녀의 문제에 동정적이었습니다.
tackle	다루다	우리는 주택 문제를 다루어야 합니다.
tag	꼬리표	가방에 가격 꼬리표가 있었습니다.
tap	수도꼭지	그녀는 수도꼭지를 잠갔습니다.
technological	기술적인	기술적인 변화는 모든 직장에 영향을 미칩니다.
teens	십대	많은 십대들이 매일 소셜 미디어를 사용합니다.
temple	사원	사원이 강 근처에 있었습니다.
temporarily	일시적으로	사무실은 일시적으로 폐쇄되었습니다.
tendency	경향	그는 늦게 도착하는 경향이 있습니다.
tension	긴장	토론 중에 긴장이 고조되었습니다.
terms	조건	계약 조건이 명확했습니다.
terribly	몹시	그 아이는 몹시 화가 났습니다.
terrify	겁먹게 하다	큰 소리가 개를 겁먹게 합니다.
territory	영토	지도는 새로운 영토를 보여줍니다.
terror	공포	공격 이후 공포가 퍼졌습니다.
terrorism	테러	테러는 공공 안전을 위협합니다.
terrorist	테러리스트	경찰은 어제 테러리스트를 체포했습니다.
testing	테스트	제품 테스트가 월요일에 시작됩니다.
textbook	교과서	그녀는 생물 교과서를 잊어버렸습니다.
theft	절도	그 지역에서 절도가 증가했습니다.
therapist	치료사	치료사는 그가 불안을 관리하도록 도왔습니다.
thesis	논문	그녀의 논문은 온라인 학습을 조사합니다.
thorough	철저한	철저한 검토 결과 오류가 발견되지 않았습니다.
thoroughly	철저히	상처를 철저히 씻으세요.
thumb	엄지손가락	그는 승인을 알리기 위해 엄지손가락을 치켜세웠습니다.
timing	타이밍	전화 타이밍이 완벽했습니다.
tissue	휴지	그녀는 휴지로 유리를 닦았습니다.
ton	톤	트럭에는 1톤의 모래가 실려 있었습니다.
tonne	톤	화물 무게는 1톤이었습니다.
tournament	토너먼트	테니스 토너먼트가 내일 시작됩니다.
trace	추적하다	과학자들은 바이러스의 출처를 추적할 수 있습니다.
trading	거래	주식 거래가 정오에 중단되었습니다.
tragedy	비극	그 사고는 끔찍한 비극이었습니다.
tragic	비극적인	그 충돌 사고는 비극적인 결과를 낳았습니다.
trait	특성	인내는 유용한 특성입니다.
transmit	전염시키다	모기는 질병을 전염시킬 수 있습니다.
transportation	교통	오늘 대중교통이 혼잡합니다.
trap	함정	이 상자는 곤충을 안전하게 가둘 수 있습니다.
treasure	보물	낡은 궤짝에 보물이 들어 있었습니다.
tribe	부족	부족은 자신들의 전통을 보호했습니다.
trigger	유발하다	연기는 알람을 유발할 수 있습니다.
trillion	조	부채가 1조 달러에 달했습니다.
troop	군대	군대가 국경을 향해 이동했습니다.
tsunami	쓰나미	쓰나미가 해안의 집들을 파괴했습니다.
ultimate	궁극적인	궁극적인 목표는 평화입니다.
unacceptable	받아들일 수 없는	그 지연은 승객들에게 받아들일 수 없었습니다.
uncertainty	불확실성	불확실성이 투자자들을 긴장하게 만들었습니다.
undergo	겪다	환자는 내일 수술을 겪을 것입니다.
undertake	착수하다	팀은 설문 조사를 착수할 것입니다.
unfold	전개되다	드라마가 천천히 전개되기 시작했습니다.
unfortunate	불운한	그 오류는 불운했지만 고칠 수 있었습니다.
unite	통합하다	지도자들은 당을 통합하려고 노력했습니다.
unity	단결	연설은 국가적 단결을 촉구했습니다.
universal	보편적인	그 앱은 보편적인 디자인을 사용합니다.
urgent	긴급한	병원은 긴급한 전화를 받았습니다.
