source_headword	JA	example_JA
stranger	知らない人	見知らぬ人が道を尋ねた。
strength	力	彼女の力がチームを助けた。
string	紐	箱を紐で結びなさい。
strongly	強く	私はその考えに強く反対する。
studio	スタジオ	その芸術家は小さなスタジオで働いている。
stuff	物	自分の物を棚に置きなさい。
substance	物質	警察は奇妙な物質を発見した。
successfully	うまく	彼らはプロジェクトをうまく終えた。
sudden	突然の	突然の音で私たちは目が覚めた。
suffer	苦しむ	多くの植物が乾燥した天候で苦しむ。
suitable	ふさわしい	このジャケットは学校にふさわしい。
summarize	要約する	その記事を要約できますか。
summary	要約	今夜短い要約を書きなさい。
supply	供給	その町にはきれいな水の供給が必要だ。
supporter	支持者	すべての支持者が大声で応援した。
surely	きっと	きっと私たちはこれを解決できる。
surface	表面	表面は冷たくて滑らかに感じた。
survive	生き残る	これらの動物は寒い冬を生き抜く。
switch	スイッチを入れる／切る	キッチンの電気を消しなさい。
symptom	症状	咳は症状の一つである可能性がある。
tail	しっぽ	その犬は長いしっぽを持っている。
talent	才能	彼女には音楽の才能がある。
talented	才能のある	彼は才能のある若い俳優だ。
tape	テープ	箱を閉じるのにテープを使いなさい。
tax	税金	全員がこの税金を払わなければならない。
technical	技術的な	私たちは技術的な問題を抱えていた。
technique	技術	この技術は時間を節約する。
tend	傾向がある	子供は早く学ぶ傾向がある。
tent	テント	私たちは小さなテントで寝た。
theirs	彼らのもの	青い自転車は彼らのものだ。
theme	テーマ	パーティーのテーマはビーチだった。
theory	理論	彼の理論がその問題を説明している。
therefore	それゆえに	雨が降ったので、私たちは中にいた。
though	～だけれども	疲れていたが、彼女は働き続けた。
throat	喉	今朝は喉が痛い。
throughout	～の間ずっと	人々は夜中ずっと踊った。
tight	きつい	この靴はきつすぎる。
till	～まで	私が戻るまでここで待ちなさい。
tin	缶	豆の缶を開けなさい。
tiny	とても小さな	とても小さな鳥が近くに降り立った。
toe	つま先	私は昨日つま先を怪我した。
tongue	舌	彼女はお茶で舌をやけどした。
total	全体の	全体の費用は安かった。
totally	完全に	あなたの懸念は完全に理解しています。
trade	貿易	国際貿易は雇用を生み出す。
translate	翻訳する	この文を翻訳してください。
translation	翻訳	その翻訳は自然に聞こえる。
treat	扱う	みんなに敬意を持って接しなさい。
treatment	治療	その患者は今日治療が必要だ。
trend	傾向	この傾向は世界中で強まっている。
trick	トリック	そのカードのトリックには驚いた。
truth	真実	真実を話してください。
tube	チューブ	チューブを優しく絞りなさい。
typically	通常	学生は通常9時前に到着する。
tyre	タイヤ	その車には新しいタイヤが必要だ。
ugly	醜い	あの壁の色は醜く見える。
unable	できない	彼は答えることができなかった。
uncomfortable	不快な	この椅子は座り心地が悪い。
underwear	下着	旅行のためにきれいな下着を荷物に詰めなさい。
unemployed	失業中の	彼女は2ヶ月間失業していた。
unemployment	失業	冬の間、失業が増加した。
unfair	不公平な	その決定は不公平に思えた。
union	組合	組合はより安全な労働を求めた。
unless	～しない限り	私が電話しない限り出発しないでください。
unlike	～と違って	トムと違って、アナは冬が大好きだ。
unlikely	ありそうもない	今週雪が降ることはありそうもない。
unnecessary	不必要な	余分なバッグは不要だ。
unpleasant	不快な	その部屋には不快な匂いがあった。
update	更新する	私は携帯電話を更新する必要がある。
upon	～の上に	昔々、ある王様がいた。
upset	動揺して	彼女は電話の後に動揺した。
used1	使われる	この部屋は会議に使われる。
used2	慣れている	私は早起きに慣れている。
valuable	価値のある	この時計は価値がある。
value	価値	その家は昨年価値が下がった。
various	さまざまな	私たちはさまざまな郷土料理を試した。
version	バージョン	このバージョンの方がうまく機能する。
victim	被害者	被害者が警察を呼んだ。
viewer	視聴者	一人の視聴者が質問をした。
violent	暴力的な	その映画はあまりにも暴力的だった。
volunteer	ボランティアをする	私は図書館でボランティアをしている。
vote	投票する	明日忘れずに投票しなさい。
warn	警告する	私は彼に警告しようとした。
warning	警告	画面に警告が表示された。
waste	無駄にする	きれいな水を無駄にしてはいけない。
weapon	武器	そのナイフは武器になった。
weigh	重さを量る	小麦粉の重さを慎重に量りなさい。
western	西部の	彼らは西部劇を見た。
whatever	何でも	好きなものを何でも選びなさい。
whenever	～する時はいつでも	助けが必要な時はいつでも電話してください。
whether	～かどうか	彼女が同意するかどうか私は知らない。
wing	翼	その鳥は片方の翼を怪我した。
within	～以内に	2日以内に返信してください。
wonder	不思議に思う	何が起こったのだろうかと思う。
wool	ウール	このコートはウールで作られている。
worldwide	世界中で	その歌は世界中で人気になった。
worth	価値がある	この本は読む価値がある。
written	書面による	書面による指示を送ってください。
yard	庭	子供たちは庭で遊んだ。
youth	若者	若者向けのクラブが地元の十代の若者を支援している。
