hsk_key	source_word	simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV	ET	example_ET	IS	example_IS
5001:物体	物体	物体	predmet; fizičko telo	Ovaj predmet je polako potonuo u vodi.	predmet; fizično telo	Ta predmet je počasi potonil v vodi.	objektas; fizinis kūnas	Šis objektas lėtai nuskendo vandenyje.	priekšmets; fizisks ķermenis	Šis priekšmets lēnām nogrima ūdenī.	ese; füüsiline keha	See ese vajus aeglaselt vees põhja.	hlutur; efnislegur hlutur	Þessi hlutur sökk hægt í vatninu.
5005:喜剧	喜剧	喜剧	komedija	Ova komedija je neprekidno zasmejavala celu publiku.	komedija	Ta komedija je brez prestanka nasmejala vse občinstvo.	komedija	Ši komedija privertė visą publiką be perstojo juoktis.	komēdija	Šī komēdija lika visai publikai nepārtraukti smieties.	komöödia	See komöödia pani kogu publiku lakkamatult naerma.	gamanleikur	Þessi gamanleikur fékk alla áhorfendur til að hlæja án afláts.
5006:喜事	喜事	喜事	radosna vest; veseli događaj	U porodici je bila radosna vest, pa su rođaci došli da čestitaju.	vesel dogodek; dobra novica	V družini je bil vesel dogodek, zato so sorodniki prišli čestitat.	džiugus įvykis; gera žinia	Šeimoje buvo džiugus įvykis, todėl giminaičiai atėjo pasveikinti.	priecīgs notikums; laba ziņa	Ģimenē bija priecīgs notikums, tāpēc radinieki atnāca apsveikt.	rõõmus sündmus; hea uudis	Peres oli rõõmus sündmus ja sugulased tulid õnnitlema.	gleðitíðindi; gleðilegur atburður	Það voru gleðitíðindi í fjölskyldunni og ættingjarnir komu að óska til hamingju.
5007:洗漱	洗漱	洗漱	umiti se; oprati zube	Ona svakog jutra ustaje u šest i umiva se.	umiti se; urediti se	Vsako jutro vstane ob šestih in se umije.	nusiprausti; susitvarkyti	Ji kas rytą keliasi šeštą ir nusiprausia.	nomazgāties; sakopties	Viņa katru rītu ceļas sešos un sakopjas.	end pesema; hommikutoimetusi tegema	Ta tõuseb igal hommikul kell kuus ja peseb end.	þvo sér og snyrta sig	Hún fer á fætur klukkan sex á hverjum morgni og þvær sér.
5011:戏曲	戏曲	戏曲	tradicionalna opera	Deda posebno voli da sluša lokalnu tradicionalnu operu.	tradicionalna opera	Dedek še posebej rad posluša lokalno tradicionalno opero.	tradicinė opera	Senelis ypač mėgsta klausytis vietinės tradicinės operos.	tradicionālā opera	Vectēvam īpaši patīk klausīties vietējo tradicionālo operu.	traditsiooniline ooper	Vanaisa armastab eriti kuulata kohalikku traditsioonilist ooperit.	hefðbundin ópera	Afi hefur sérstaklega gaman af að hlusta á hefðbundna óperu úr héraðinu.
5014:下功夫	下功夫	下功夫	uložiti trud; potruditi se	Ona je spremna da uloži trud kako bi lepo pisala kineske znakove.	vložiti trud	Pripravljena je vložiti trud, da bi lepo pisala kitajske pismenke.	įdėti pastangų	Ji pasirengusi įdėti pastangų, kad gražiai rašytų kiniškus rašmenis.	pielikt pūles	Viņa ir gatava pielikt pūles, lai labi rakstītu ķīniešu rakstzīmes.	vaeva nägema; pingutama	Ta on valmis vaeva nägema, et hiina kirjamärke ilusti kirjutada.	leggja sig fram; leggja vinnu í	Hún er tilbúin að leggja sig fram við að skrifa kínversku táknin fallega.
5015:下单	下单	下单	naručiti; poslati porudžbinu	Već sam naručio udžbenik preko interneta.	oddati naročilo	Učbenik sem že naročil prek spleta.	pateikti užsakymą	Aš jau internetu užsakiau vadovėlį.	veikt pasūtījumu	Es jau internetā pasūtīju mācību grāmatu.	tellimust esitama	Ma esitasin õpiku tellimuse juba internetis.	leggja inn pöntun; panta	Ég er þegar búinn að panta kennslubókina á netinu.
5017:下线	下线	下线	povući iz upotrebe; prestati sa radom	Ova stara funkcija će sutra zvanično biti povučena iz upotrebe.	ukiniti; prenehati delovati	Ta stara funkcija bo jutri uradno ukinjena.	nutraukti veikimą; išjungti	Ši sena funkcija rytoj bus oficialiai išjungta.	pārtraukt darbību; izņemt no lietošanas	Šī vecā funkcija rīt oficiāli tiks izņemta no lietošanas.	kasutuselt eemaldama; välja lülitama	See vana funktsioon eemaldatakse homme ametlikult kasutuselt.	taka úr notkun	Þessi gamla aðgerð verður formlega tekin úr notkun á morgun.
5018:下旬	下旬	下旬	poslednjih deset dana meseca	Izložba će se otvoriti u poslednjih deset dana avgusta.	zadnjih deset dni meseca	Razstava se bo odprla v zadnjih desetih dneh avgusta.	paskutinės dešimt mėnesio dienų	Paroda bus atidaryta paskutinėmis dešimčia rugpjūčio dienų.	mēneša pēdējā dekāde	Izstāde tiks atklāta augusta pēdējā dekādē.	kuu viimased kümme päeva	Näitus avatakse augusti viimase kümne päeva jooksul.	síðustu tíu dagar mánaðar	Sýningin verður opnuð síðustu tíu dagana í ágúst.
5023:显	显	显	činiti da izgleda; pokazivati	Ova odeća čini da izgleda vrlo poletno.	delovati; kazati se	Ta obleka mu daje zelo svež videz.	atrodyti; išryškinti	Šis drabužis leidžia jam atrodyti labai žvaliai.	likt izskatīties; izcelt	Šis apģērbs liek viņam izskatīties ļoti možam.	välja paistma; näima	See riietus paneb ta väga reibas välja nägema.	láta líta út; sýna	Þessi föt láta hann líta mjög hressilega út.
