source_headword	AZ	example_AZ
rock (music)	rok musiqisi	Mən rok musiqisini sevirəm.
role	rol	Onun rolu vacibdir.
roof	dam	Dam təmirə ehtiyac duyur.
round	dairəvi	Masa dairəvidir.
route	marşrut	Bu marşrut daha qısadır.
rubbish	zibil	Zibili bayıra qoy.
rude	kobud	Bu şərh kobud idi.
runner	qaçışçı	Qaçışçı yorğun görünür.
running	qaçış	Qaçış məni sağlam saxlayır.
sadly	təəssüf ki	Təəssüf ki, qatarı qaçırdıq.
safe	təhlükəsiz	Bu küçə təhlükəsiz görünür.
sail	yelkənlə üzmək	Biz şənbə günü yelkənlə üzürük.
sailing	yelkənli idman	Yelkənli idman burada məşhurdur.
salary	maaş	Onun maaşı indi daha yüksəkdir.
sale	endirim	Endirim sabah başlayır.
sauce	sous	Düyüyə sous əlavə et.
save	saxlamaq	İşini indi saxla.
scared	qorxmuş	Uşaq qorxmuş hiss edir.
scary	qorxulu	Bu hekayə qorxuludur.
scene	səhnə	Son səhnə gülməli idi.
schedule	cədvəl	Bu gün cədvəli yoxla.
score	hesab	Hesab neçədir?
screen	ekran	Ekranı diqqətlə təmizlə.
search	axtarmaq	Şəkilləri vebdə axtar.
season	mövsüm	Yay məşğul mövsümdür.
seat	oturacaq	Zəhmət olmasa, bu oturacağı götür.
second1 (next after the first)	ikinci	İkinci, əllərini yu.
secondly	ikincisi	İkincisi, cavabını yoxla.
secret	gizli	Bu sirri təhlükəsiz saxla.
secretary	katib	Katib bu gün zəng etdi.
seem	görünmək	Sən yorğun görünürsən.
sense	məna	Bu planın mənası var.
separate	ayrı	Kağızları ayrı saxla.
series	serial	Bu serial populyardır.
serious	ciddi	Bu problem ciddidir.
serve	xidmət etmək	Onlar günorta nahar verirlər.
service	xidmət	Xidmət sürətli idi.
several	bir neçə	Bir neçə tələbə erkən gəldi.
shake	çalxalamaq	Əvvəlcə şüşəni çalxala.
shall modal	gərək	Gərək indi başlayaq?
shape	forma	Kvadrat forma çək.
sheet	çarşaf	Çarşafı çarpayının üstünə qoy.
ship	gəmi	Gəmi bu gün getdi.
shoulder	çiyin	Çiynim ağrıyır.
shout	qışqırmaq	Sinifdə qışqırma.
shut	bağlamaq	Zəhmət olmasa, pəncərəni bağla.
side	tərəf	Bu tərəfdə otur.
sign	lövhə	Lövhəni diqqətlə oxu.
silver	gümüş	Gümüş parlaq metaldır.
simple	sadə	Bu tapşırıq sadədir.
since	bəri	Mən günortadan bəri gözləyirəm.
singing	mahnı oxumaq	Mahnı oxumaq mənə rahatlamağa kömək edir.
single	tək	Mən tək bilet aldım.
sir	cənab	Cənab, çantanız hazırdır.
site	sayt	Bu sayt təhlükəsizdir.
size	ölçü	Sizə hansı ölçü lazımdır?
ski	xizək sürmək	Biz qışda xizək sürürük.
skiing	xizək sürmə	Xizək sürmə qışda əyləncəlidir.
skin	dəri	Onun dərisi quru görünür.
sky	səma	Səma aydındır.
slowly	yavaşca	Buz üzərində yavaşca yeri.
smartphone	smartfon	Mənim smartfonum yenidir.
smell	iy vermək	Şorbanın iyi yaxşı gəlir.
smile	gülümsəmək	Kamera üçün gülümsə.
smoke	tüstü	Otağı tüstü doldurdu.
smoking	siqaret çəkmək	Siqaret çəkmək qadağandır.
soap	sabun	Sabun və su istifadə et.
soccer	futbol	Futbol burada populyardır.
social	sosial	Bu sosial tədbirdir.
society	cəmiyyət	Cəmiyyət zamanla dəyişir.
