source_headword	ET	example_ET
absolutely	täiesti	Olen sinuga täiesti nõus.
academic	akadeemiline	Akadeemiline aasta algab septembris.
access	juurdepääs	Õpilastel on vaja juurdepääsu raamatukogule.
accommodation	majutus	Broneerisime majutuse jaama lähedal.
account	konto	Ta avas uue pangakonto.
achievement	saavutus	Kursuse lõpetamine oli suur saavutus.
ad	reklaam	Reklaam näitas uut telefoni.
addition	lisand	Bassein on kasulik lisand.
admire	imetlema	Imetlen tema rahulikku suhtumist.
admit	tunnistama	Ta tunnistas oma viga.
advanced	edasijõudnud	See on edasijõudnute inglise keele tund.
advise	nõu andma	Arstid annavad nõu regulaarselt liikuda.
afford	endale lubama	Me ei saa taksot endale lubada.
aged	vanune	Kursus on kümneaastastele lastele.
agent	agent	Reisiagent muutis meie piletid.
agreement	kokkulepe	Nad jõudsid täna kokkuleppele.
ahead	ees	Ees olev tee on vaba.
aim	püüdma	Püüame peagi lõpetada.
alarm	äratuskell	Äratuskell helises kell kuus.
album	album	Selles albumis on kümme laulu.
alcohol	alkohol	Hotell ei paku alkoholi.
alcoholic	alkohoolne	See jook ei ole alkohoolne.
amazed	hämmastunud	Ta oli tulemusest hämmastunud.
ambition	ambitsioon	Tema ambitsioon on saada piloodiks.
ambitious	ambitsioonikas	Tal on ambitsioonikas plaan.
analyse	analüüsima	Peame tulemusi analüüsima.
analysis	analüüs	Tema analüüs oli selge ja hoolikas.
announce	teatama	Nad teatavad homme võitja.
announcement	teade	Teade üllatas kõiki.
annoy	ärritama	Valju muusika võib naabreid ärritada.
annoyed	ärritunud	Ta näis pärast hilinemist ärritunud.
annoying	tüütu	See heli on tõesti tüütu.
apart	lahus	Majad on kahe meetri kaugusel lahus.
apologize	vabandama	Vabandan hilinemise pärast.
application	taotlus	Palun täida taotlus veebis.
appointment	aeg	Mul on homme hambaarsti aeg.
appreciate	hindama	Hindan sinu abi.
approximately	umbes	Jalutuskäik kestab umbes kakskümmend minutit.
arrest	vahistama	Politsei vahistas juhi.
arrival	saabumine	Meie saabumine oli oodatust hilisem.
assignment	ülesanne	Ülesanne tuleb esitada reedel.
assist	aitama	Õed aitavad arsti.
atmosphere	õhkkond	Kohvikus on rahulik õhkkond.
attach	lisama	Lisa fail oma e-kirjale.
attitude	suhtumine	Tema suhtumine muutus pärast koosolekut.
attract	meelitama	Erksad lilled meelitavad mesilasi.
attraction	vaatamisväärsus	Loss on populaarne vaatamisväärsus.
authority	asutus	Kohalik asutus parandas tee.
aware	teadlik	Ta on riskist teadlik.
backwards	tagurpidi	Ta kõndis ettevaatlikult tagurpidi.
bake	küpsetama	Küpsetan igal pühapäeval leiba.
balance	tasakaal	Head jalanõud aitavad tasakaalu hoida.
ban	keelama	Linn keelab autod.
bank (river)	jõekallas	Istusime jõekaldal.
base	baas	Meeskond naasis baasi.
basic	põhiline	Kõigil on vaja põhilisi arvutioskusi.
basis	alus	Usaldus on sõpruse alus.
battery	aku	Minu telefoni aku on tühi.
battle	lahing	Lahing kestis kogu öö.
beauty	ilu	Imetlesime mägede ilu.
bee	mesilane	Mesilane maandus lillele.
belief	uskumus	Tema uskumus andis talle julgust.
bell	kell	Kooli kell helises valjult.
bend	painutama	Painuta põlvi, kui tõstad.
bite	hammustama	Koer võib võõraid hammustada.
block	blokeerima	Kukkunud puu blokeeris tee.
bomb	pomm	Pomm kahjustas mitut hoonet.
border	piir	Nad ületasid piiri öösel.
bother	tülitama	Palun ära tülita oma õde.
branch	oks	Oks murdus tormis.
brand	bränd	See bränd on õpilaste seas populaarne.
brave	vapper	Vapper mees päästis lapse.
breath	hingetõmme	Hinga sügavalt sisse.
breathe	hingama	Ma ei saa selles suitsus hingata.
breathing	hingamine	Tema hingamine oli aeglane.
bride	pruut	Pruut kandis valget kleiti.
bubble	mull	Mull hõljus klaasi kohal.
bury	matma	Nad matsid kasti liiva sisse.
calm	rahulik	Jää eksami ajal rahulikuks.
campaign	kampaania	Kampaania kogus koolidele raha.
campus	ülikoolilinnak	Õpilased elavad ülikoolilinnaku lähedal.
candidate	kandidaat	Iga kandidaat vastas kolmele küsimusele.
cap	müts	Ta kandis pesapallimütsi.
captain	kapten	Kapten rääkis meeskonnaga.
careless	hooletu	Hooletu viga maksis meile aega.
category	kategooria	Vali õige kategooria.
ceiling	lagi	Lagi värviti valgeks.
celebration	pidustus	Pidustus kestis kogu õhtu.
central	keskne	Hotellil on keskne asukoht.
ceremony	tseremoonia	Tseremoonia algas keskpäeval.
chain	kett	Ta kandis hõbedast ketti.
challenge	väljakutse	See projekt on tõeline väljakutse.
champion	tšempion	Tšempion tänas oma treenerit.
channel	kanal	Palun vaheta kanalit.
chapter	peatükk	Loe järgmine peatükk täna õhtul.
charge	tasu	Lastele tasu ei ole.
cheat	spikerdama	Ära spikerda testis.
cheerful	rõõmsameelne	Ta kõlas täna hommikul rõõmsameelselt.
chemical	keemiline	Keemiline lõhn oli tugev.
chest	rind	Pärast jooksmist valutas tal rind.
childhood	lapsepõlv	Mäletan oma lapsepõlvekodu.
claim	väitma	Nad väidavad, et toode on ohutu.
clause	osalause	See osalause muudab tähendust.
click	klõpsama	Klõpsa sinist nuppu.
client	klient	Klient küsis rohkem üksikasju.
cloth	lapp	Pühi laud selle lapiga.
clue	vihje	Vihje aitas meil selle lahendada.
coal	kivisüsi	Vana rong kasutas kivisütt.
coin	münt	Ta leidis põrandalt mündi.
collection	kogu	Tema margikogu on suur.
coloured	värviline	Ta kandis värvilist salli.
combine	ühendama	Ühenda jahu ja vesi.
commercial	reklaami-	Reklaamipaus kestis viis minutit.
commit	pühenduma	Peame plaanile pühenduma.
communication	suhtlus	Hea suhtlus hoiab ära vead.
comparison	võrdlus	See võrdlus on kasulik.
competitive	konkurentsivõimeline	Turg on väga konkurentsivõimeline.
competitor	konkurent	Meie peamine konkurent alandas hindu.
complaint	kaebus	Ta esitas kaebuse müra kohta.
complex	keeruline	Juhised on liiga keerulised.
concentrate	keskenduma	Ma ei saa keskenduda, kui muusika mängib.
conclude	lõpetama	Lõpetame nüüd koosoleku.
conclusion	järeldus	Tema järeldus tundus mõistlik.
confident	enesekindel	Ta tundis end enne intervjuud enesekindlalt.
confirm	kinnitama	Palun kinnita oma e-posti aadress.
confuse	segadusse ajama	Need kaks nime ajavad mind segadusse.
confused	segaduses	Ma olin kaardi tõttu segaduses.
connection	ühendus	Internetiühendus on aeglane.
consequence	tagajärg	Unepuudusel on tagajärg.
consist	koosnema	Toit koosneb kolmest käigust.
consume	tarbima	Suured autod tarbivad rohkem kütust.
consumer	tarbija	Tarbija soovib selget teavet.
contact	kontakt	Võta minuga pärast lõunat ühendust.
container	anum	Pane supp anumasse.
content1	sisu	Kursuse sisu on kasulik.
continuous	pidev	Masin tegi pidevat müra.
contrast	kontrast	Nendevaheline kontrast on selge.
convenient	mugav	Jaam on väga mugav.
convince	veenma	Ta veenis teda uuesti proovima.
costume	kostüüm	Ta kandis piraadikostüümi.
cottage	suvila	Nad üürisid väikese suvila.
cotton	puuvill	See särk on puuvillast.
countryside	maapiirkond	Jalutasime läbi maapiirkonna.
court	kohus	Juhtum jõudis kohtusse.
covered	kaetud	Laud oli paberitega kaetud.
cruel	julm	Naermine oli julm.
cultural	kultuuriline	Muuseum pakub kultuuriüritusi.
currency	valuuta	Kohalik valuuta on euro.
current	praegune	Praegune olukord on parem.
currently	praegu	Ta töötab praegu kodus.
curtain	kardin	Kardin kattis akna.
custom	komme	See komme on väga vana.
damage	kahju	Torm tekitas tõsist kahju.
decade	kümnend	Nad elasid seal kümnendi.
decorate	kaunistama	Kaunistame toa koos.
define	määratlema	Kas sa saad selle termini määratleda?
definite	kindel	Me vajame kindlat vastust.
definition	määratlus	Kirjuta määratlus oma vihikusse.
deliver	kohale toimetama	Nad toimetavad toitu meie koju.
departure	väljumine	Väljumisaeg muutus.
despite	hoolimata	Hoolimata vihmast jalutasime.
destination	sihtkoht	Pariis oli nende lõplik sihtkoht.
determine	määrama	Testid määravad sinu taseme.
determined	otsustav	Ta oli otsustanud edu saavutada.
development	areng	Linna areng oli kiire.
diagram	diagramm	Joonista lihtne diagramm.
diamond	teemant	Sõrmuses oli väike teemant.
difficulty	raskus	Tal oli raskusi ukse avamisega.
directly	otse	Palun räägi otse minuga.
