source_headword	CS	example_CS
stranger	cizinec	Cizinec se zeptal na cestu.
strength	síla	Její síla pomohla týmu.
string	provázek	Zavažte tu krabici provázkem.
strongly	důrazně	S tímto nápadem důrazně nesouhlasím.
studio	studio	Umělec pracuje v malém studiu.
stuff	věci	Dej si své věci na polici.
substance	látka	Policie našla podivnou látku.
successfully	úspěšně	Úspěšně dokončili projekt.
sudden	náhlý	Probudil nás náhlý hluk.
suffer	trpět	Mnoho rostlin v suchém počasí trpí.
suitable	vhodný	Tato bunda je vhodná do školy.
summarize	shrnout	Můžete ten článek shrnout?
summary	shrnutí	Dnes večer napište krátké shrnutí.
supply	zásoba	Město potřebuje zásobu čisté vody.
supporter	fanoušek	Každý fanoušek hlasitě jásal.
surely	určitě	To určitě dokážeme vyřešit.
surface	povrch	Povrch byl na dotek chladný a hladký.
survive	přežít	Tato zvířata přežijí chladné zimy.
switch	přepnout	Vypněte světlo v kuchyni.
symptom	příznak	Kašel může být příznakem.
tail	ocas	Ten pes má dlouhý ocas.
talent	talent	Má talent na hudbu.
talented	talentovaný	Je to talentovaný mladý herec.
tape	lepicí páska	K zavření krabice použijte lepicí pásku.
tax	daň	Tuto daň musí platit každý.
technical	technický	Měli jsme technický problém.
technique	technika	Tato technika šetří čas.
tend	mít tendenci	Děti mají tendenci učit se rychle.
tent	stan	Spali jsme v malém stanu.
theirs	jejich	Ta modrá kola jsou jejich.
theme	téma	Večírek měl plážové téma.
theory	teorie	Jeho teorie ten problém vysvětluje.
therefore	proto	Pršelo, proto jsme zůstali uvnitř.
though	ačkoli	Ačkoli byla unavená, pracovala dál.
throat	krk	Dnes ráno mě bolí v krku.
throughout	během celého	Lidé tančili po celý večer.
tight	těsný	Tyto boty mi připadají příliš těsné.
till	dokud	Počkejte tu, dokud se nevrátím.
tin	plechovka	Otevřete plechovku fazolí.
tiny	drobný	Poblíž přistál drobný ptáček.
toe	prst na noze	Včera jsem si zranil prst na noze.
tongue	jazyk	Spálila si jazyk o čaj.
total	celkový	Celkové náklady byly nízké.
totally	naprosto	Naprosto chápu vaše obavy.
trade	obchod	Mezinárodní obchod vytváří pracovní místa.
translate	přeložit	Přeložte prosím tuto větu.
translation	překlad	Tento překlad zní přirozeně.
treat	chovat se k	Ke každému se chovejte s respektem.
treatment	léčba	Pacient dnes potřebuje léčbu.
trend	trend	Tento trend celosvětově roste.
trick	trik	Ten karetní trik mě překvapil.
truth	pravda	Řekni prosím pravdu.
tube	tuba	Jemně tubu zmáčkněte.
typically	obvykle	Studenti obvykle přijíždějí před devátou.
tyre	pneumatika	Auto potřebuje novou pneumatiku.
ugly	ošklivý	Ta barva stěny vypadá ošklivě.
unable	neschopný	Nebyl schopen odpovědět.
uncomfortable	nepohodlný	Tato židle je nepohodlná.
underwear	spodní prádlo	Sbalte si na cestu čisté spodní prádlo.
unemployed	nezaměstnaný	Byla dva měsíce nezaměstnaná.
unemployment	nezaměstnanost	Během zimy se nezaměstnanost zvýšila.
unfair	nespravedlivý	Toto rozhodnutí se zdálo nespravedlivé.
union	odbory	Odbory požadovaly bezpečnější práci.
unless	pokud ne	Neodcházejte, pokud nezavolám.
unlike	na rozdíl od	Na rozdíl od Toma má Ana zimu ráda.
unlikely	nepravděpodobný	Sníh je tento týden nepravděpodobný.
unnecessary	zbytečný	Tašky navíc jsou zbytečné.
unpleasant	nepříjemný	V místnosti byl nepříjemný zápach.
update	aktualizovat	Potřebuji si aktualizovat telefon.
upon	na	Byl jednou jeden král.
upset	rozrušený	Po tom hovoru se cítila rozrušená.
used1	používaný	Tato místnost se používá pro schůzky.
used2	zvyklý	Jsem zvyklý na brzká rána.
valuable	cenný	Tyto hodinky jsou cenné.
value	hodnota	Dům loni ztratil hodnotu.
various	různý	Ochutnali jsme různé místní pokrmy.
version	verze	Tato verze funguje lépe.
victim	oběť	Oběť zavolala policii.
viewer	divák	Jeden z diváků položil otázku.
violent	násilný	Ten film byl příliš násilný.
volunteer	dobrovolník	Pracuji jako dobrovolník v knihovně.
vote	volit	Nezapomeňte zítra volit.
warn	varovat	Snažil jsem se ho varovat.
warning	varování	Na obrazovce se objevilo varování.
waste	plýtvat	Neplýtvejte čistou vodou.
weapon	zbraň	Nůž se stal zbraní.
weigh	zvážit	Mouku pečlivě zvažte.
western	západní	Dívali se na westernový film.
whatever	cokoliv	Vyber si cokoliv chceš.
whenever	kdykoli	Zavolej, kdykoli budeš potřebovat pomoc.
whether	zda	Nevím, zda s tím souhlasí.
wing	křídlo	Ten pták si poranil jedno křídlo.
within	do	Odpovězte prosím do dvou dnů.
wonder	říkat si	Říkám si, co se stalo.
wool	vlna	Tento kabát je vyroben z vlny.
worldwide	celosvětově	Ta píseň se stala populární po celém světě.
worth	stát za	Tato kniha stojí za přečtení.
written	písemný	Zašlete prosím písemné pokyny.
yard	dvůr	Děti si hrály na dvoře.
youth	mládež	Kluby mládeže podporují místní dospívající.
