source_headword	KO	example_KO
crawl	기어가다	아기가 양탄자 위를 기어가기 시작했습니다.
creator	창작자	창작자는 모든 사람의 지원에 감사했습니다.
credibility	신빙성	그 증인은 심문 중에 신빙성을 잃었습니다.
credible	믿을 수 있는	그 보고서는 믿을 수 있는 증거를 제시했습니다.
creep	스며들다	안개가 계곡 사이로 스며들기 시작했습니다.
critique	비평	교수님은 상세한 비평을 하셨습니다.
crown	왕관	여왕은 은색 왕관을 썼습니다.
crude	조잡한	그 그림은 조잡했지만 분명했습니다.
crush	으깨다	무거운 바위가 파이프를 으깰 수 있습니다.
crystal	크리스털	그 크리스털은 아침 햇살을 반사했습니다.
cult	사이비 종교	그 사이비 종교는 신도들을 고립시켰습니다.
cultivate	경작하다	농부들은 이 지역에서 쌀을 경작합니다.
curiosity	호기심	호기심이 그녀를 과학의 길로 이끌었습니다.
custody	양육권	아이는 아버지의 양육권 아래에 남았습니다.
cutting	오려낸 기사	신문에 그에 대한 오려낸 기사가 실렸습니다.
cynical	냉소적인	그의 냉소적인 발언이 팀을 화나게 했습니다.
dam	댐	댐은 강물을 가두어 둡니다.
damaging	해로운	그 해로운 기사가 캠페인에 타격을 주었습니다.
dawn	새벽	우리는 새벽에 마을을 떠났습니다.
debris	잔해	폭풍우의 잔해가 도로를 막았습니다.
debut	데뷔	그녀의 데뷔는 전국적인 관심을 끌었습니다.
decision-making	의사 결정	좋은 의사 결정을 위해서는 명확한 정보가 필요합니다.
decisive	결단력 있는	그녀의 결단력 있는 행동이 추가 피해를 막았습니다.
declaration	선언문	장관이 공식 선언문을 낭독했습니다.
dedicated	헌신적인	헌신적인 간호사는 밤새 일했습니다.
dedication	헌신	그의 헌신은 어린 선수들에게 영감을 주었습니다.
deed	행위	그 용감한 행위는 두 생명을 구했습니다.
deem	간주하다	법원은 그 계약이 무효라고 간주할 수도 있습니다.
default	기본값	지금은 기본 설정을 사용하세요.
defect	결함	검사관들이 심각한 결함을 발견했습니다.
defensive	방어적인	그의 방어적인 어조는 모두를 놀라게 했습니다.
deficiency	결핍	철분 결핍은 건강에 영향을 미칠 수 있습니다.
deficit	적자	예산 적자가 공무원들을 걱정하게 했습니다.
defy	반항하다	시위자들은 그 금지령에 반항하기로 했습니다.
delegate	대표	각 대표는 투표 카드를 받았습니다.
delegation	대표단	대표단은 정오 전에 도착했습니다.
delicate	연약한	연약한 유리는 쉽게 깨졌습니다.
demon	악마	그 이야기는 고대의 악마를 묘사합니다.
denial	부인	그의 부인은 피해자들을 화나게 했습니다.
denounce	비난하다	지도자들은 학교 내 폭력을 비난합니다.
dense	빽빽한	빽빽한 숲이 햇빛을 가렸습니다.
density	밀도	시내는 인구 밀도가 높습니다.
dependence	의존도	그 국가의 석유 의존도가 감소했습니다.
depict	묘사하다	그 벽화는 마을 생활을 묘사합니다.
deploy	배치하다	군대는 추가 인력을 배치할 것입니다.
deployment	배치	군대 배치가 월요일에 시작되었습니다.
deprive	빼앗다	수면 부족은 학생들의 집중력을 빼앗을 수 있습니다.
deputy	부대리	대리인이 계약서에 서명했습니다.
descend	내려가다	그 길은 가파르게 내려가기 시작했습니다.
descent	하강	비행기가 하강을 시작했습니다.
designate	지정하다	시에서는 새로운 공원을 지정할 것입니다.
desirable	바람직한	교실에는 좋은 조명이 바람직합니다.
desktop	바탕화면	그 파일은 제 바탕화면에 있습니다.
destructive	파괴적인	그 폭풍은 파괴적인 힘을 가지고 있었습니다.
detain	구금하다	경찰은 용의자들을 밤새 구금할 수 있습니다.
detection	발견	조기 발견은 암 치료를 개선합니다.
detention	구류	학생들은 구류 조건에 항의했습니다.
deteriorate	악화되다	그의 건강이 악화되기 시작했습니다.
devastate	황폐화시키다	지진은 해안 마을들을 황폐화시킬 수 있습니다.
devil	악마	아이가 웃고 있는 악마를 그렸습니다.
devise	고안하다	엔지니어들은 더 안전한 운송 시스템을 고안합니다.
diagnose	진단하다	의사들은 혈액 검사로 그 질병을 진단합니다.
diagnosis	진단	그 진단이 그녀의 증상을 설명해 주었습니다.
dictate	좌우하다	그 계약이 지불 조건을 좌우할 것입니다.
dictator	독재자	그 독재자는 언론을 통제했습니다.
differentiate	구별하다	사실과 의견을 구별할 수 있습니까?
dignity	존엄성	모든 사람은 직장에서 존엄성을 존중받을 자격이 있습니다.
dilemma	딜레마	그 관리자는 심각한 딜레마에 직면했습니다.
dimension	측면	그 문제에는 정치적인 측면이 있습니다.
diminish	줄어들다	통증이 서서히 줄어들 것입니다.
dip	떨어지다	기온이 영하로 떨어질 수도 있습니다.
diplomat	외교관	그 외교관은 외국 지도자들을 만났습니다.
diplomatic	외교적인	외교 회담이 밤새 계속되었습니다.
directory	안내 책자	안내 책자에서 그의 번호를 찾아보세요.
disastrous	처참한	그 처참한 홍수는 여러 다리를 파괴했습니다.
discard	버리다	유용한 기록을 버리지 마십시오.
discharge	퇴원시키다	병원에서는 내일 그를 퇴원시킬 것입니다.
disclose	밝히다	관계자들은 그 수치를 밝히기를 거부했습니다.
disclosure	폭로	그 폭로는 이사회를 충격에 빠뜨렸습니다.
discourse	담론	대중의 담론이 더 정중해졌습니다.
discretion	재량	민감한 사건에는 당신의 재량을 발휘하세요.
discrimination	차별	법은 채용에 있어서의 차별을 금지합니다.
dismissal	해고	그의 해고는 대중의 분노를 일으켰습니다.
displace	쫓아내다	그 전쟁은 수천 명의 사람들을 쫓아낼 수도 있습니다.
disposal	처리	쓰레기 처리는 여전히 지역 문제로 남아 있습니다.
dispose	처분하다	그 회사는 화학 물질을 안전하게 처분해야 합니다.
dispute	분쟁	그 분쟁은 몇 달 동안 지속되었습니다.
disrupt	방해하다	소음은 집중을 방해할 수 있습니다.
disruption	혼란	그 파업은 큰 혼란을 야기했습니다.
dissolve	녹다	설탕은 뜨거운 차에 녹을 것입니다.
distinction	차이	그들 사이의 차이는 중요합니다.
distinctive	독특한	그녀는 독특한 목소리를 가지고 있습니다.
distort	왜곡하다	거울은 당신의 모습을 왜곡할 수 있습니다.
distress	고통	그 전화는 심각한 고통을 초래했습니다.
disturbing	충격적인	그 다큐멘터리는 충격적인 장면들을 보여주었습니다.
divert	우회시키다	경찰은 교통을 우회시켜야 했습니다.
divine	신성한	그 예배당은 신성한 분위기를 지니고 있습니다.
doctrine	교리	그 정당은 오래된 교리를 거부했습니다.
documentation	서류 작업	출시 전에 서류 작업을 완료하세요.
domain	도메인	그 웹사이트는 안전한 도메인을 사용합니다.
dominance	지배	그 팀의 지배는 10년 동안 지속되었다.
donor	기증자	그 기증자는 오늘 헌혈을 했다.
dose	복용량	아침 식사 후 1회 복용량을 드세요.
drain	물을 빼다	물은 강으로 흘러들어갈 것이다.
drift	표류하다	연기가 도로 위로 떠돌기 시작했다.
driving	주된	비가 지연의 주된 요인이었다.
drown	익사하다	해류에 휩쓸려 익사할 수 있는 곳에서는 절대 수영하지 마세요.
dual	이중의	그 장치는 이중 기능을 가지고 있다.
dub	부르다	비평가들은 그 도시를 문화의 수도라고 부른다.
dumb	멍청한	그것은 멍청한 실수였다.
duo	2인조	그 코미디 2인조는 유럽을 순회했다.
eager	열망하는	학생들은 시작하기를 열망했다.
earnings	소득	회사의 수익이 급격히 상승했다.
ease	완화하다	새 도로는 교통 체증을 완화할 것이다.
echo	울리다	그녀의 목소리가 홀에 울렸다.
ecological	생태학적인	생태학적 영향은 여전히 불확실하다.
educator	교육자	그 교육자는 새로운 과정을 설계했다.
effectiveness	효과	그 연구는 백신의 효과를 측정했다.
efficiency	효율성	더 나은 소프트웨어가 효율성을 향상시켰다.
ego	자아	그의 자존심이 직장에서 문제를 일으켰다.
elaborate	정교한	그 정교한 의상은 몇 주가 걸렸다.
electoral	선거의	선거 제도가 작년에 바뀌었다.
elevate	높이다	그 상은 그녀의 인지도를 높일 것이다.
eligible	자격이 있는	거주자만 할인받을 자격이 있다.
elite	엘리트	엘리트들은 사립 아카데미에서 훈련받았다.
embark	착수하다	그들은 긴 여정에 착수할 것이다.
embarrassment	당혹감	그는 당혹감을 숨기기 위해 웃었다.
embassy	대사관	대사관에서 새로운 여행 권고를 발표했다.
embed	종군하다	기자는 부대와 동행할 것이다.
embody	구현하다	그 조각상은 용기를 구현하는 것 같다.
emergence	출현	휴대폰의 출현은 일상생활을 변화시켰다.
empirical	경험적인	그 논문은 실증적 증거에 의존한다.
empower	권한을 주다	교육은 지역 사회에 권한을 부여할 수 있다.
enact	제정하다	의회는 개혁안을 제정하기 위해 투표했다.
encompass	포함하다	그 과정은 현대사를 포함할 것이다.
encouragement	격려	그녀의 격려가 그가 계속하도록 도왔다.
encouraging	고무적인	초기 결과는 고무적으로 보인다.
endeavour	노력	그 구조는 어려운 노력이었다.
endless	끝없는	사막은 끝이 없는 것처럼 보였다.
endorse	지지하다	노조는 그 후보를 지지하기를 거부했다.
endorsement	지지	그의 지지가 그녀의 선거 운동을 촉진했다.
endure	견디다	식물은 혹독한 겨울을 견딜 수 있다.
enforce	집행하다	경찰은 제한 속도를 집행한다.
enforcement	집행	강력한 단속이 불법 투기를 줄였다.
engagement	참여	이번 학기에 학생 참여가 향상되었다.
engaging	매력적인	그 연사는 흥미로운 강연을 했다.
enquire	문의하다	프론트 데스크에 문의하세요.
enrich	풍요롭게 하다	여행은 당신의 이해를 풍요롭게 할 수 있다.
enrol	등록하다	학생들은 9월 이전에 등록해야 한다.
ensue	뒤따르다	발표 이후 혼란이 뒤따를 수 있다.
enterprise	기업	그 기업은 지역 예술가를 고용한다.
enthusiast	열광적인 팬	모든 자전거 애호가는 이 경로를 안다.
entitle	자격을 주다	그 티켓은 당신에게 입장 자격을 줄 것이다.
entity	독립체	그 회사는 별도의 법인이다.
epidemic	전염병	전염병이 여러 지역으로 퍼졌다.
equality	평등	그 운동은 평등을 위해 싸웠다.
equation	방정식	그 방정식은 두 개의 미지수를 포함하고 있다.
erect	세우다	작업자들이 새로운 울타리를 세울 것이다.
escalate	확대되다	갈등이 빠르게 확대될 수 있다.
essence	본질	그 시는 어린 시절의 본질을 포착한다.
establishment	기득권층	기득권층은 개혁에 반대했다.
eternal	영원한	그들은 영원한 우정을 약속했다.
evacuate	대피시키다	소방관들은 주민들이 안전하게 대피하도록 도왔다.
evoke	환기하다	그 노래는 강렬한 기억을 불러일으킬 수 있다.
evolutionary	진화의	그 화석은 진화적 변화를 보여준다.
exaggerate	과장하다	당신의 경험을 과장하지 마세요.
excellence	탁월함	그 학교는 학업의 우수성을 보상한다.
exceptional	예외적인	그녀는 뛰어난 기술을 보여주었다.
excess	초과	초과된 물이 지하실을 침수시켰다.
exclusion	제외	사회적 배제는 청년들에게 해를 끼친다.
exclusive	독점적인	그 클럽은 독점적인 접근을 제공한다.
exclusively	오로지	이 방은 직원들만 전용으로 사용합니다.
execute	실행하다	그 팀은 계획을 주의 깊게 실행할 것이다.
execution	실행	전략의 실행에 몇 달이 걸렸다.
exert	가하다	더 많은 압력을 가해야 한다.
exile	망명	그 작가는 망명 생활을 했다.
expenditure	지출	공공 지출이 작년에 증가했다.
experimental	실험적인	그 치료법은 아직 실험적이다.
expire	만료되다	내 여권은 곧 만료될 것이다.
explicit	명백한	지시 사항은 명확했다.
explicitly	명시적으로	규정은 흡연을 명시적으로 금지한다.
exploitation	착취	그 보고서는 노동자 착취를 폭로했다.
explosive	폭발성의	폭발 장치가 안전하게 제거되었다.
extremist	극단주의자	극단주의 그룹은 지지를 잃었다.
facilitate	촉진하다	그 앱은 원격 학습을 촉진할 것이다.
faction	파벌	한 파벌이 지도자를 반대했다.
faculty	교수진	교수진은 그 제안을 승인했다.
fade	희미해지다	페인트는 햇빛에 바랠 것이다.
fairness	공정성	모든 대회에서 공정성은 중요하다.
fatal	치명적인	그 사고는 치명적인 부상을 초래했다.
fate	운명	아무도 그의 운명을 알지 못했다.
favourable	유리한	그 리뷰는 호의적이었다.
feat	위업	그 봉우리를 등반한 것은 위업이었다.
feminist	페미니스트	페미니스트 운동은 대중의 토론을 변화시켰다.
fibre	섬유	이 빵에는 섬유질이 추가로 들어 있다.
fierce	맹렬한	거센 폭풍이 지붕들을 훼손했다.
film-maker	영화 제작자	영화 제작자는 나중에 질문에 답했다.
filter	필터	그 필터는 공기 중의 먼지를 제거한다.
fine	벌금	회사는 벌금을 냈다.
firearm	총기	경찰관은 도난당한 총기를 회수했다.
fit	꼭 맞음	새 신발은 크기가 꼭 맞습니다.
fixture	고정물	그 램프는 영구적인 고정물입니다.
flaw	결함	그 디자인에는 심각한 결함이 하나 있습니다.
flawed	결함이 있는	결함이 있는 연구는 잘못된 결과를 냈습니다.
flee	달아나다	가족들은 전투를 피해 달아나야 했습니다.
fleet	항공기 편대	그 항공사는 자사 항공기들을 새로 교체했습니다.
flesh	살	가시가 그의 살을 찔렀습니다.
flexibility	유연성	원격 근무는 더 많은 유연성을 제공합니다.
flourish	번창하다	소규모 기업들은 이곳에서 번창할 수 있습니다.
fluid	수분	운동 후에는 수분을 충분히 섭취하세요.
footage	영상	그 영상은 충돌 장면을 보여주었습니다.
foreigner	외국인	그 양식은 당신이 외국인인지 묻습니다.
forge	구축하다	그들은 새로운 동맹을 구축하려고 노력했습니다.
formula	공식	그 공식은 문제를 해결했습니다.
formulate	만들어 내다	과학자들은 새로운 이론을 만들어 냅니다.
forth	앞으로	강물은 배를 앞으로 실어 나갔습니다.
forthcoming	곧 나올	곧 나올 보고서가 모든 것을 설명할 것입니다.
foster	촉진하다	그 프로그램은 자립심을 기르는 데 도움을 줍니다.
fragile	부서지기 쉬운	부서지기 쉬운 꽃병은 조심스럽게 다뤄야 합니다.
franchise	프랜차이즈	그 식당은 세계적인 프랜차이즈가 되었습니다.
frankly	솔직히	솔직히 우리는 시간이 더 필요합니다.
frustrated	좌절감을 느끼는	직원들은 지연으로 인해 좌절감을 느꼈습니다.
frustrating	좌절감을 주는	느린 연결 상태는 불만스러웠습니다.
frustration	불만	회의 중에 불만이 커졌습니다.
functional	기능적인	오래된 주방은 여전히 기능적으로 쓸 만합니다.
fundraising	모금	모금은 다음 주에 시작됩니다.
funeral	장례식	장례식은 금요일에 열렸습니다.
gallon	갤런	그 탱크는 1갤런을 담을 수 있습니다.
gambling	도박	도박은 법으로 제한되어 있습니다.
gathering	모임	모임은 평화롭게 끝났습니다.
gaze	시선	그녀는 짧게 그의 시선을 마주했습니다.
gear	장비	등반 전에 안전 장비를 챙기세요.
generic	일반적인	일반 버전은 비용이 덜 듭니다.
genocide	집단 학살	그 집단 학살은 깊은 국가적 트라우마를 남겼습니다.
glance	힐끗 봄	그는 재빨리 힐끗 보았습니다.
glimpse	짧게 봄	나는 바다를 언뜻 보았습니다.
glorious	영광스러운	그 팀은 영광스러운 승리를 누렸습니다.
glory	영광	그녀는 올림픽의 영광을 꿈꿨습니다.
governance	통치	좋은 통치는 투명성을 필요로 합니다.
grace	품위	그녀는 품위 있게 패배를 받아들였습니다.
grasp	이해하다	그는 그 개념을 이해하지 못했습니다.
grave (for dead person)	무덤	무덤은 꽃으로 덮여 있었습니다.
grave (serious)	심각한	상황은 여전히 심각합니다.
gravity	중력	중력은 물체들을 지구를 향해 끌어당깁니다.
grid	격자무늬	그 지도는 단순한 격자무늬를 사용합니다.
grief	큰 슬픔	큰 슬픔은 그의 가족 전체를 변화시켰습니다.
grin	활짝 웃음	그 소년은 활짝 웃어 보였습니다.
grind	갈다	직원들은 매일 아침 콩을 갑니다.
grip	움켜쥠	밧줄을 단단히 잡으세요.
gross	총계의	총소득이 급격히 증가했습니다.
guerrilla	게릴라	게릴라 전사들은 언덕에 숨었습니다.
guidance	안내	그 가이드는 실용적인 안내를 제공합니다.
guilt	죄책감	그녀는 거짓말을 한 후에 죄책감을 느꼈습니다.
gut	직감	어려운 선택을 할 때는 직감을 믿으세요.
hail	환호하며 맞이하다	마을 사람들은 그 의사를 영웅으로 칭송했습니다.
halfway	중간에	우리는 언덕의 중간에서 멈췄습니다.
halt	멈춤	기차가 갑자기 멈췄습니다.
handful	소수	소수의 자원봉사자들이 늦게까지 남았습니다.
handling	취급	올바른 취급은 손상을 방지합니다.
handy	유용한	이 도구는 수리할 때 유용합니다.
harassment	괴롭힘	회사는 괴롭힘에 대한 불만을 조사했습니다.
hardware	하드웨어	그 상점은 컴퓨터 하드웨어를 판매합니다.
harmony	조화	합창단은 완벽한 조화를 이루며 노래했습니다.
harsh	가혹한	판사는 가혹한 판결을 내렸습니다.
harvest	수확	수확은 9월에 시작됩니다.
haunt	괴롭히다	그 기억이 계속해서 그를 괴롭혔습니다.
hazard	위험	얼음은 심각한 도로 위의 위험 요소입니다.
heighten	고조시키다	그 연설은 긴장을 고조시킬 수도 있습니다.
heritage	유산	이 성은 지역 유산의 일부입니다.
hierarchy	직급 체계	사무실의 직급 체계는 명확하게 정의되어 있습니다.
high-profile	세간의 이목을 끄는	세간의 이목을 끄는 그 재판은 기자들을 끌어모았습니다.
hint	힌트	그녀는 나에게 유용한 힌트를 주었습니다.
homeland	고국	그는 고국으로 돌아갔습니다.
hopeful	희망적인	의사들은 회복에 대해 희망적입니다.
horizon	지평선	태양이 지평선 아래로 사라졌습니다.
horn	경적	자동차 경적이 모든 사람을 깨웠습니다.
hostage	인질	그 인질은 무사히 집으로 돌아왔습니다.
hostile	적대적인	군중은 적대적으로 변했습니다.
hostility	적대감	공개적인 적대감으로 인해 회담이 끝났습니다.
humanitarian	인도주의적인	인도주의적 임무로 식량을 전달했습니다.
humanity	인류	인류는 공통의 과제에 직면해 있습니다.
humble	겸손한	그녀는 성공한 후에도 겸손함을 유지했습니다.
hydrogen	수소	수소는 매우 쉽게 연소됩니다.
identification	신분증	입구에서는 신분증이 필요합니다.
ideological	이념적인	그 분쟁은 이념적 뿌리를 가지고 있었습니다.
ideology	이념	그의 이념은 모든 연설에 영향을 미쳤습니다.
idiot	바보	그 누구도 바보라고 부르지 마세요.
ignorance	무지	무지는 두려움을 퍼뜨릴 수 있습니다.
imagery	심상	그 시는 생생한 심상을 사용합니다.
immense	엄청난	그 프로젝트는 엄청난 노력을 필요로 했습니다.
imminent	임박한	폭풍이 임박한 것 같았습니다.
implementation	이행	그 법의 이행은 느렸습니다.
imprison	투옥하다	정권은 비판자들을 투옥하려고 했습니다.
imprisonment	수감	그의 수감 생활은 5년 동안 계속되었습니다.
inability	무능력	집중하지 못하는 그녀의 무능력함이 선생님들을 걱정시켰습니다.
inadequate	불충분한	그 피난처는 난방이 불충분했습니다.
inappropriate	부적절한	그의 농담은 부적절했습니다.
incidence	발생률	독감 발생률이 증가했습니다.
inclined	경향이 있는	그녀는 동의하는 경향이 있습니다.
inclusion	포용성	그 학교는 포용성을 증진시킵니다.
