simplified	AZ	example_AZ
爱	sevmək; xoşlamaq	Mən anamı sevirəm.
八	səkkiz	Məndə səkkiz kitab var.
爸爸	ata; papa	Atam evdədir.
杯子	stəkan; fincan	Bu stəkan böyükdür.
北京	Pekin	Mən Pekində işləyirəm.
本	kitablar üçün say sözü; cild	Məndə bir kitab var.
不	deyil; yox	Mən düyü yemirəm.
不客气	dəyməz	Çox sağ ol. Dəyməz.
菜	yemək; tərəvəz	Bu yemək dadlıdır.
茶	çay	Mən çay içirəm.
吃	yemək	Mən alma yeyirəm.
出租车	taksi	Mən məktəbə taksi ilə gedirəm.
打电话	telefon etmək; zəng etmək	Mən zəng edirəm.
大	böyük	Bu məktəb böyükdür.
的	-ın/-in/-un/-ün; yiyəlik göstəricisi	Bu mənim kitabımdır.
点	saat; nöqtə; bir az	İndi saat səkkizdir.
电脑	kompüter	Kompüterim stolun üstündədir.
电视	televizor	Mən televizora baxıram.
电影	kino; film	Kino xoşuma gəlir.
东西	əşya; şey	Bu nə şeydir?
都	hamı; hamısı	Biz hamımız şagirdik.
读	oxumaq	Mən kitab oxuyuram.
对不起	bağışlayın; üzr istəyirəm	Bağışlayın, mən sizi tanımıram.
多	çox; daha çox	Mənim çox dostum var.
多少	nə qədər; neçə	Bu stəkan neçəyədir?
儿子	oğul; oğlan övladı	Mənim oğlum şagirddir.
二	iki	Fevralda soyuq olur.
饭馆	restoran; yeməkxana	Restoran məktəbin qarşısındadır.
飞机	təyyarə	Mən Pekinə təyyarə ilə gedirəm.
分钟	dəqiqə	Mən beş dəqiqə oxuyuram.
高兴	sevincli; şad	Bu gün çox sevincliyəm.
个	ümumi say sözü	Mənim bir dostum var.
工作	işləmək; iş	Mən Pekində işləyirəm.
狗	it	Mən itləri xoşlayıram.
汉语	Çin dili	Mən Çin dilini öyrənirəm.
好	yaxşı	Bu gün hava yaxşıdır.
喝	içmək	Mən su içirəm.
和	və; ilə	Mən dostumla məktəbə gedirəm.
很	çox	O çox gözəldir.
后面	arxasında; arxa	Məktəb restoranın arxasındadır.
回	qayıtmaq	Mən evə qayıdıram.
会	bacarmaq; bilmək	Mən çincə danışa bilirəm.
火车站	dəmir yolu vağzalı	Vağzal böyükdür.
几	neçə; bir neçə	Sənin neçə dostun var?
家	ev; ailə	Evim Pekindədir.
叫	adlanmaq; çağırmaq	Adın nədir?
今天	bu gün	Bu gün istidir.
九	doqquz	İndi saat doqquzdur.
开	açmaq; işə salmaq	Mən kompüteri işə salıram.
看	baxmaq; görmək; oxumaq	Mən kitab oxuyuram.
看见	görmək	Mən müəllimi görürəm.
块	parça; yuan	Bu kitab on yuandır.
来	gəlmək	O məktəbə gəlir.
老师	müəllim	Müəllim məktəbdədir.
了	tamamlanma hissəciyi	Mən düyü yedim.
冷	soyuq	Bu gün soyuqdur.
里	içində; -da/-də	Stəkanda su var.
零	sıfır	Sıfır bir deyil.
六	altı	İndi saat altıdır.
妈妈	ana; mama	Anam çay içir.
吗	hə-yox sual hissəciyi	Sən şagirdsən?
买	almaq; satın almaq	Mən alma alıram.
猫	pişik	Pişik stulun üstündədir.
没	yoxdur; etməmiş	Məndə pul yoxdur.
没关系	eybi yoxdur	Eybi yoxdur.
米饭	düyü; bişmiş düyü	Mən düyü yeyirəm.
名字	ad	Adın nədir?
明天	sabah	Sabah mən Pekinə gedirəm.
哪	hansı; hara; haraya	Sən hara gedirsən?
那	o; həmin; onlar	O mənim müəllimimdir.
呢	sual hissəciyi; bəs	Bəs sən?
能	bacarmaq; mümkün olmaq	Mən gedə bilərəmmi?
你	sən; siz	Necəsən?
年	il	Bir ildə on iki ay var.
女儿	qız; qız övladı	Onun qızı çox gözəldir.
朋友	dost	O mənim dostumdur.
漂亮	gözəl	O çox gözəldir.
苹果	alma	Alma xoşuma gəlir.
七	yeddi	İndi saat yeddidir.
前面	qarşısında; qabağında	Restoran mağazanın qarşısındadır.
钱	pul	Məndə pul yoxdur.
请	zəhmət olmasa; dəvət etmək; xahiş etmək	Zəhmət olmasa, çay için.
去	getmək	Mən məktəbə gedirəm.
热	isti	Bu gün istidir.
人	adam; insan; insanlar	Məktəbdə çox adam var.
认识	tanımaq; bilmək	Mən onu tanıyıram.
日	gün; tarix	Bu gün martın biridir.
三	üç	Məndə üç stəkan var.
商店	mağaza	Mağaza məktəbin qarşısındadır.
上	üstündə; yuxarıda	Kitab stolun üstündədir.
上午	səhər; günortadan əvvəl	Səhər mən Çin dilini öyrənirəm.
少	az; az miqdarda	Şagirdlər azdır.
什么	nə	Bu nədir?
十	on	Məndə on kitab var.
时候	vaxt; zaman	Sən nə vaxt gəlirsən?
是	olmaq; -dır/-dir/-dur/-dür	Mən şagirdəm.
书	kitab	Mən kitab oxuyuram.
谁	kim	O kimdir?
水	su	Mən su içirəm.
水果	meyvə	Mən meyvə alıram.
睡觉	yatmaq	Mən yatmağa gedirəm.
说话	danışmaq	Müəllim danışır.
四	dörd	Mənim dörd dostum var.
岁	yaş	Mənim on yaşım var.
他	o; kişi	O müəllimdir.
她	o; qadın	O şagird qızdır.
太	həddindən artıq; çox	Bu stəkan həddindən artıq böyükdür.
天气	hava; hava şəraiti	Bu gün hava yaxşıdır.
听	dinləmək; eşitmək	Mən müəllimin danışdığını eşidirəm.
同学	sinif yoldaşı; kurs yoldaşı	O mənim sinif yoldaşımdır.
喂	alo	Alo?
我	mən; məni; mənim	Mən həkiməm.
我们	biz	Biz məktəbə gedirik.
五	beş	Məndə beş alma var.
喜欢	xoşlamaq; sevmək	Mən çay içməyi xoşlayıram.
下	altında; aşağı; növbəti	Kitab stolun altındadır.
下午	günortadan sonra	Günortadan sonra mən mağazaya gedirəm.
下雨	yağış yağmaq	Bu gün yağış yağır.
先生	cənab; ər	Salam, cənab.
现在	indi	İndi mən məktəbdəyəm.
想	istəmək; düşünmək	Mən su içmək istəyirəm.
小	kiçik	Bu stəkan kiçikdir.
小姐	xanım; gənc xanım	Salam, xanım.
些	bir neçə; bir az	Məndə bir neçə kitab var.
写	yazmaq	Mən heroqliflər yazıram.
谢谢	təşəkkür edirəm; sağ ol	Təşəkkür edirəm.
星期	həftə; həftənin günü	Bu gün bazar ertəsidir.
学生	şagird; tələbə	Mən şagirdəm.
学习	oxumaq; öyrənmək	Mən Çin dilini öyrənirəm.
学校	məktəb	Məktəb böyükdür.
一	bir	Məndə bir stəkan var.
衣服	paltar; geyim	Mən paltar alıram.
医生	həkim	O həkimdir.
医院	xəstəxana	Xəstəxana məktəbin qarşısındadır.
椅子	stul	Stul stolun arxasındadır.
有	var; malik olmaq	Mənim dostlarım var.
月	ay	Bu gün mayın dördüdür.
再见	sağ ol; görüşənədək	Sağ olun, müəllim.
在	-da/-də; olmaq	Mən evdəyəm.
怎么	necə	Bu heroqlif necə oxunur?
怎么样	necə; necəsən	Bu gün necəsən?
这	bu; bunlar	Bu mənim kitabımdır.
中国	Çin	Mən Çinə gedirəm.
中午	günorta	Günorta mən düyü yeyirəm.
住	yaşamaq; qalmaq	Mən Pekində yaşayıram.
桌子	stol; masa	Kitab stolun üstündədir.
字	heroqlif; hərf; yazı	Bu heroqlif kiçikdir.
昨天	dünən	Dünən mən kino gördüm.
坐	oturmaq; minmək	Mən təyyarəyə minib Pekinə gedirəm.
做	etmək; hazırlamaq	Mən yemək hazırlayıram.
