source_headword	PT-BR	example_PT-BR
ability	a capacidade; a habilidade	A capacidade dela de nadar é clara.
able	capaz; poder	Ele pode vir hoje.
abroad	no exterior; para o exterior	Ela quer estudar no exterior.
accept	aceitar	Por favor, aceite este pequeno presente.
accident	o acidente	O acidente aconteceu perto da escola.
according to	de acordo com; segundo	De acordo com o relatório, vem chuva.
achieve	alcançar; realizar	Você pode alcançar seu objetivo.
act	agir; atuar; o ato	Ele pode atuar em uma peça.
active	ativo; ativa	Ela é ativa todos os dias.
actually	na verdade	Na verdade, eu preciso de mais tempo.
advantage	a vantagem	Este plano tem uma vantagem.
adventure	a aventura	A viagem deles foi uma aventura.
advertise	anunciar	Eles anunciam o novo emprego.
advertisement	o anúncio	Eu vi um anúncio.
advertising	a propaganda; a publicidade	A propaganda ajuda a vender comida.
affect	afetar; influenciar	O sono pode afetar sua saúde.
against	contra; encostado em	Não encoste na parede.
ah	ah	Ah, agora eu entendo.
airline	a companhia aérea	A companhia aérea está muito ocupada.
alive	vivo; viva	O peixinho está vivo.
all right	tudo bem; certo	Tudo está bem agora.
allow	permitir; deixar	Eles permitem cães aqui.
almost	quase	A gente está quase pronto.
alone	sozinho; sozinha	Ela mora sozinha.
along	ao longo de	Caminhe ao longo desta rua.
already	já	Eu já sei a resposta.
alternative	a alternativa	Este trem é uma alternativa.
although	embora	Embora seja tarde, a gente pode ficar.
among	entre	Ele ficou entre as árvores.
amount	a quantidade; o valor	A quantidade é muito pequena.
ancient	antigo; antiga	Este muro antigo é famoso.
ankle	o tornozelo	Meu tornozelo dói hoje.
anybody	alguém; qualquer pessoa	Alguém pode responder a isto?
any more	mais; não mais	Eu não preciso de mais nada.
anyway	de qualquer forma; mesmo assim	De qualquer forma, a gente pode começar agora.
anywhere	em qualquer lugar	Sente-se em qualquer lugar que você quiser.
app	o app; o aplicativo	Este aplicativo é útil.
appear	aparecer	O nome dela vai aparecer aqui.
appearance	a aparência	A aparência dele é diferente.
apply	candidatar-se; aplicar-se	Candidate-se ao emprego hoje.
architect	o arquiteto; a arquiteta	A arquiteta tem um plano.
architecture	a arquitetura	Eu gosto de arquitetura moderna.
argue	discutir; argumentar	Não discuta com sua irmã.
argument	a discussão; o argumento	A discussão foi curta.
army	o exército	O exército é grande.
arrange	organizar; combinar	Por favor, organize a reunião.
arrangement	o acordo; a organização	Este acordo funciona bem.
asleep	dormindo	O bebê está dormindo.
