source_headword	VI	example_VI
stranger	người lạ	Một người lạ đã hỏi đường.
strength	sức mạnh	Sức mạnh của cô ấy đã giúp ích cho đội.
string	sợi dây	Hãy buộc cái hộp bằng sợi dây.
strongly	mạnh mẽ	Tôi kịch liệt phản đối ý tưởng đó.
studio	phòng làm việc	Người nghệ sĩ làm việc trong một phòng làm việc nhỏ.
stuff	đồ đạc	Hãy để đồ đạc của bạn lên kệ.
substance	chất	Cảnh sát đã tìm thấy một chất lạ.
successfully	thành công	Họ đã hoàn thành thành công dự án.
sudden	đột ngột	Một tiếng ồn đột ngột đánh thức chúng tôi.
suffer	chịu đựng	Nhiều loài cây phải chịu đựng thời tiết khô hạn.
suitable	phù hợp	Chiếc áo khoác này phù hợp để mặc đi học.
summarize	tóm tắt	Bạn có thể tóm tắt bài báo không?
summary	bản tóm tắt	Hãy viết một bản tóm tắt ngắn vào tối nay.
supply	nguồn cung cấp	Thị trấn cần một nguồn cung cấp nước sạch.
supporter	cổ động viên	Mọi cổ động viên đều reo hò lớn.
surely	chắc chắn	Chắc chắn chúng ta có thể giải quyết chuyện này.
surface	bề mặt	Bề mặt có cảm giác lạnh và nhẵn.
survive	sống sót	Những con vật này sống sót qua những mùa đông lạnh giá.
switch	tắt / bật	Hãy tắt đèn nhà bếp.
symptom	triệu chứng	Ho có thể là một triệu chứng.
tail	cái đuôi	Con chó có một cái đuôi dài.
talent	tài năng	Cô ấy có năng khiếu âm nhạc.
talented	tài năng	Cậu ấy là một diễn viên trẻ tài năng.
tape	băng dính	Dùng băng dính để đóng hộp lại.
tax	thuế	Mọi người đều phải đóng khoản thuế này.
technical	thuộc về kỹ thuật	Chúng tôi đã gặp một vấn đề kỹ thuật.
technique	kỹ thuật	Kỹ thuật này giúp tiết kiệm thời gian.
tend	có xu hướng	Trẻ em có xu hướng học rất nhanh.
tent	cái lều	Chúng tôi đã ngủ trong một cái lều nhỏ.
theirs	của họ	Những chiếc xe đạp màu xanh là của họ.
theme	chủ đề	Bữa tiệc có chủ đề bãi biển.
theory	lý thuyết	Lý thuyết của ông ấy giải thích được vấn đề.
therefore	vì vậy	Trời mưa, vì vậy chúng tôi ở trong nhà.
though	mặc dù	Mặc dù mệt, cô ấy vẫn tiếp tục làm việc.
throat	cổ họng	Sáng nay cổ họng tôi bị đau.
throughout	xuyên suốt	Mọi người đã khiêu vũ suốt buổi tối.
tight	chật	Những đôi giày này có cảm giác quá chật.
till	cho đến khi	Hãy đợi ở đây cho đến khi tôi quay lại.
tin	hộp thiếc	Hãy mở một hộp đậu.
tiny	nhỏ bé	Một con chim nhỏ bé đậu xuống gần đó.
toe	ngón chân	Tôi bị đau ngón chân vào ngày hôm qua.
tongue	lưỡi	Cô ấy bị bỏng lưỡi vì uống trà.
total	tổng cộng	Tổng chi phí rất thấp.
totally	hoàn toàn	Tôi hoàn toàn hiểu mối lo ngại của bạn.
trade	thương mại	Thương mại quốc tế tạo ra việc làm.
translate	dịch	Vui lòng dịch câu này.
translation	bản dịch	Bản dịch nghe rất tự nhiên.
treat	đối xử	Hãy đối xử với mọi người một cách tôn trọng.
treatment	sự điều trị	Bệnh nhân cần được điều trị vào hôm nay.
trend	xu hướng	Xu hướng này đang phát triển trên toàn thế giới.
trick	trò ảo thuật	Trò ảo thuật với lá bài đó đã làm tôi ngạc nhiên.
truth	sự thật	Vui lòng nói sự thật.
tube	cái tuýp	Hãy bóp nhẹ cái tuýp.
typically	thông thường	Sinh viên thông thường sẽ đến trước chín giờ.
tyre	lốp xe	Chiếc ô tô cần một lốp xe mới.
ugly	xấu xí	Màu tường đó trông thật xấu xí.
unable	không thể	Anh ấy không thể trả lời.
uncomfortable	không thoải mái	Chiếc ghế này không thoải mái.
underwear	đồ lót	Hãy chuẩn bị đồ lót sạch cho chuyến đi.
unemployed	thất nghiệp	Cô ấy đã bị thất nghiệp trong hai tháng.
unemployment	nạn thất nghiệp	Tình trạng thất nghiệp đã tăng trong suốt mùa đông.
unfair	không công bằng	Quyết định có vẻ không công bằng.
union	công đoàn	Công đoàn đã yêu cầu công việc an toàn hơn.
unless	trừ khi	Đừng rời đi trừ khi tôi gọi.
unlike	khác với	Khác với Tom, Ana rất yêu mùa đông.
unlikely	khó xảy ra	Tuyết khó có thể rơi vào tuần này.
unnecessary	không cần thiết	Những chiếc túi thêm là không cần thiết.
unpleasant	khó chịu	Căn phòng có một mùi khó chịu.
update	cập nhật	Tôi cần cập nhật điện thoại của mình.
upon	vào lúc	Ngày xửa ngày xưa, có một vị vua.
upset	buồn bã	Cô ấy cảm thấy buồn bã sau cuộc gọi.
used1	được sử dụng	Căn phòng này được sử dụng cho các cuộc họp.
used2	quen với	Tôi đã quen với những buổi sáng sớm.
valuable	có giá trị	Chiếc đồng hồ này rất có giá trị.
value	giá trị	Ngôi nhà đã bị mất giá trị vào năm ngoái.
various	nhiều loại	Chúng tôi đã thử nhiều món ăn địa phương khác nhau.
version	phiên bản	Phiên bản này hoạt động tốt hơn.
victim	nạn nhân	Nạn nhân đã gọi cho cảnh sát.
viewer	người xem	Một người xem đã đặt câu hỏi.
violent	bạo lực	Bộ phim này quá bạo lực.
volunteer	tình nguyện	Tôi làm tình nguyện viên tại thư viện.
