hsk_key	source_word	simplified	JA	example_JA	KO	example_KO	VI	example_VI	TH	example_TH	MS	example_MS	ID	example_ID
503:爱人	爱人	爱人	配偶; 愛する人	私の配偶者は今日残業しています。	배우자; 사랑하는 사람	제 배우자는 오늘 야근해요.	vợ/chồng; người thương	Vợ tôi hôm nay làm thêm giờ.	คู่สมรส; คนรัก	คู่สมรสของฉันทำงานล่วงเวลาวันนี้	pasangan; orang tersayang	Pasangan saya bekerja lebih masa hari ini.	pasangan; orang tercinta	Pasangan saya bekerja lembur hari ini.
508:班级	班级	班级	クラス; 学級	私たちのクラスには三十人の学生がいます。	반; 학급	우리 반에는 학생이 서른 명 있어요.	lớp; nhóm lớp	Lớp chúng tôi có ba mươi học sinh.	ชั้นเรียน; ห้องเรียน	ชั้นเรียนของเรามีนักเรียนสามสิบคน	kelas; kumpulan kelas	Kelas kami ada tiga puluh orang pelajar.	kelas; rombongan belajar	Di kelas kami ada tiga puluh siswa.
509:搬家	搬家	搬家	引っ越す	私たちは今週末に引っ越します。	이사하다	우리는 이번 주말에 이사해요.	chuyển nhà	Cuối tuần này chúng tôi chuyển nhà.	ย้ายบ้าน	สุดสัปดาห์นี้เราจะย้ายบ้าน	berpindah rumah	Kami akan berpindah rumah hujung minggu ini.	pindah rumah	Kami akan pindah rumah akhir pekan ini.
510:办	办	办	処理する; 手続きする	午後、銀行へ行ってキャッシュカードを作ります。	처리하다; 신청하다	저는 오후에 은행에 가서 은행 카드를 만들어요.	xử lý; làm thủ tục	Chiều nay tôi đến ngân hàng làm thẻ ngân hàng.	จัดการ; ทำเรื่อง	บ่ายนี้ฉันไปธนาคารเพื่อทำบัตรธนาคาร	mengurus; membuat	Saya pergi ke bank petang ini untuk membuat kad bank.	mengurus; membuat	Sore ini saya pergi ke bank untuk membuat kartu bank.
513:半天	半天	半天	半日; 長い時間	私は長い間待って、やっと彼が来ました。	한나절; 오랫동안	저는 한참 기다린 뒤에야 그가 왔어요.	nửa ngày; rất lâu	Tôi đợi rất lâu rồi anh ấy mới đến.	ครึ่งวัน; นานมาก	ฉันรอนานมากกว่าเขาจะมา	setengah hari; lama sekali	Saya menunggu lama sekali sebelum dia datang.	setengah hari; lama sekali	Saya menunggu lama sekali baru dia datang.
517:北	北	北	北方; 北側	学校の北側に公園があります。	북쪽	학교 북쪽에 공원이 하나 있어요.	phía bắc	Phía bắc trường có một công viên.	ทิศเหนือ	ทางเหนือของโรงเรียนมีสวนสาธารณะ	utara	Di sebelah utara sekolah ada sebuah taman.	utara	Di sebelah utara sekolah ada sebuah taman.
520:笔记	笔记	笔记	メモ; ノート	彼は授業でまじめにノートを取ります。	필기; 노트	그는 수업 시간에 꼼꼼히 필기해요.	ghi chép; vở ghi	Anh ấy ghi chép cẩn thận trong giờ học.	บันทึก; สมุดจด	เขาจดบันทึกอย่างตั้งใจในชั้นเรียน	nota; catatan	Dia mencatat nota dengan teliti semasa kelas.	catatan	Di kelas dia mencatat dengan teliti.
526:变	变	变	変わる; 変える	天気が寒くなりました。	변하다; 바뀌다	날씨가 추워졌어요.	thay đổi; trở nên	Thời tiết đã trở nên lạnh.	เปลี่ยน; กลายเป็น	อากาศเริ่มหนาวแล้ว	berubah; menjadi	Cuaca sudah menjadi sejuk.	berubah; menjadi	Cuaca sudah menjadi dingin.
528:变成	变成	变成	変わって何かになる	雨が雪に変わりました。	변해서 ~이 되다	비가 눈으로 변했어요.	trở thành; biến thành	Mưa đã biến thành tuyết.	กลายเป็น; เปลี่ยนเป็น	ฝนกลายเป็นหิมะ	bertukar menjadi; menjadi	Hujan bertukar menjadi salji.	berubah menjadi	Hujan berubah menjadi salju.
531:别的	别的	别的	別の; ほかの	ほかに質問がありますか。	다른; 기타의	다른 질문이 더 있나요?	khác	Bạn còn câu hỏi nào khác không?	อย่างอื่น; อื่น ๆ	คุณมีคำถามอื่นอีกไหม	yang lain; lain	Adakah kamu ada soalan lain?	yang lain; berbeda	Apakah kamu masih punya pertanyaan lain?
