source_headword	SW	example_SW
institute	taasisi	Taasisi ilianzisha programu mpya ya utafiti.
institution	shirika	Taasisi ilibadilisha sheria zake za udahili.
insurance	bima	Bima yake ililipa gharama za hospitali.
intended	iliyokusudiwa	Ujumbe uliwafikia watazamaji waliokusudiwa.
intense	kali	Mjadala ulikuwa mkali haraka sana.
internal	ya ndani	Kampuni ilianza ukaguzi wa ndani.
interpret	kutafsiri	Tafadhali fasiri matokeo kwa uangalifu.
interrupt	kukatiza	Usikatize mzungumzaji sasa.
investigation	uchunguzi	Uchunguzi ulifichua makosa makubwa.
investment	uwekezaji	Uwekezaji ulitengeneza nafasi nyingi za kazi za ndani.
joy	furaha	Mafanikio yao yalileta furaha kubwa.
judgement	hukumu	Hukumu yake iliboreka kutokana na uzoefu.
junior	mdogo	Alijiunga na timu kama mchambuzi wa ngazi ya chini.
justice	haki	Familia ilidai haki baada ya kesi kumalizika.
justify	kuhalalisha	Lazima uhalalishe uamuzi huo waziwazi.
labour	nguvu kazi	Mradi unahitaji nguvu kazi yenye ujuzi.
landscape	mandhari	Mandhari yalibadilika baada ya dhoruba.
largely	kwa kiasi kikubwa	Mpango huo ulifanikiwa kwa kiasi kikubwa.
launch	kuzindua	Watazindua bidhaa hiyo kesho.
leadership	uongozi	Uongozi thabiti ulisaidia timu kupona.
league	ligi	Klabu yetu ilijiunga na ligi ya kikanda.
lean	kuegemea	Usiegemee ukuta wenye maji.
licence	leseni	Leseni inaisha muda wake mwezi ujao.
limited	chache	Tuna muda mchache leo.
lively	changamfu	Mkutano ulikuwa mchangamfu baada ya chakula cha mchana.
load	mzigo	Lori lilibeba mzigo mzito.
loan	mkopo	Benki iliidhinisha mkopo.
logical	yenye mantiki	Hoja yake ilikuwa wazi na yenye mantiki.
long-term	ya muda mrefu	Hili ni suluhisho la muda mrefu.
loose	legelege	Kipini kinahisi legelege.
lord	bwana	Bwana huyo alimiliki vijiji kadhaa.
lower	kushusha	Wao hushusha bei wakati wa msimu wa baridi.
lung	pafu	Uvutaji sigara unaweza kuharibu pafu.
maintain	kudumisha	Tunadumisha mawasiliano ya mara kwa mara.
majority	wengi	Wengi waliunga mkono pendekezo hilo.
mass	kundi	Kundi la mawingu lilifunika anga.
massive	kubwa sana	Tetemeko la ardhi lilisababisha uharibifu mkubwa sana.
master	bingwa	Alikuwa bingwa wa majadiliano.
matching	inayoendana	Alivaa viatu na mshipi unaoendana.
maximum	upeo	Chumba kilifikia uwezo wake wa mwisho.
means	njia	Barua pepe ndiyo njia yetu kuu ya mawasiliano.
measurement	kipimo	Kipimo kilikuwa na makosa kidogo.
melt	kuyeyuka	Theluji itayeyuka ifikapo mchana.
military	ya kijeshi	Kambi ya kijeshi ilifungwa mwaka jana.
mineral	madini	Chuma ni madini muhimu.
minimum	ya chini kabisa	Umri wa chini kabisa ni miaka kumi na nane.
minister	waziri	Waziri alijibu maswali magumu.
minor	ndogo	Ajali ilisababisha uharibifu mdogo.
minority	wachache	Wachache walipinga sheria hiyo mpya.
mission	kazi	Kazi yao ilikamilika salama.
mixed	mchanganyiko	Habari zilipokea hisia mchanganyiko.
modify	kurekebisha	Tunaweza kurekebisha muundo baadaye.
monitor	kufuatilia	Muuguzi atafuatilia hali yake.
