source_headword	FI	example_FI
crawl	ryömiä	Vauva alkoi ryömiä maton poikki.
creator	luoja	Luoja kiitti kaikkia heidän tuestaan.
credibility	uskottavuus	Todistaja menetti uskottavuutta kuulustelun aikana.
credible	uskottava	Raportti tarjosi uskottavia todisteita.
creep	hiipiä	Sumu alkoi hiipiä laakson halki.
critique	kritiikki	Professori antoi yksityiskohtaisen kritiikin.
crown	kruunu	Kuningatar käytti hopeakruunua.
crude	karkea	Piirustus oli karkea mutta selkeä.
crush	murskata	Raskaat kivet voivat murskata putken.
crystal	kristalli	Kristalli heijasti aamuvaloa.
cult	kultti	Kultti eristi jäsenensä.
cultivate	viljellä	Maanviljelijät viljelevät riisiä tällä alueella.
curiosity	uteliaisuus	Uteliaisuus johdatti hänet tieteen pariin.
custody	huoltajuus	Lapsi jäi isänsä huostaan.
cutting	leike	Sanomalehti julkaisi leikkeen hänestä.
cynical	kyyninen	Hänen kyyninen huomautuksensa järkytti tiimiä.
dam	pato	Pato pidättelee jokivettä.
damaging	vahingollinen	Vahingollinen artikkeli vahingoitti kampanjaa.
dawn	aamunkoitto	Lähdimme kylästä aamunkoitteessa.
debris	romu	Myrskyn roskat tukkivat tien.
debut	debyytti	Hänen debyyttinsä herätti kansallista huomiota.
decision-making	päätöksenteko	Hyvä päätöksenteko vaatii selkeää tietoa.
decisive	ratkaiseva	Hänen ratkaiseva toimintansa esti lisävahingot.
declaration	julistus	Ministeri luki virallisen julistuksen.
dedicated	omistautunut	Omistautunut sairaanhoitaja työskenteli yön yli.
dedication	omistautuminen	Hänen omistautumisensa inspiroi nuorempia pelaajia.
deed	teko	Rohkea teko pelasti kaksi ihmishenkeä.
deem	katsoa	Tuomioistuin voi katsoa sopimuksen pätemättömäksi.
default	oletus	Käytä oletusasetusta toistaiseksi.
defect	vika	Tarkastajat löysivät vakavan vian.
defensive	puolustuskannalla	Hänen puolusteleva sävynsä yllätti kaikki.
deficiency	puute	Raudanpuute voi vaikuttaa terveyteen.
deficit	alijäämä	Budjettialijäämä huolestutti virkamiehiä.
defy	uhmata	Mielenosoittajat päättivät uhmata kieltoa.
delegate	edustaja	Jokainen edustaja sai äänestyskortin.
delegation	valtuuskunta	Valtuuskunta saapui ennen keskipäivää.
delicate	herkkä	Herkkä lasi särkyi helposti.
demon	demoni	Tarina kuvaa muinaista demonia.
denial	kieltäminen	Hänen kiistämisensä suututti uhreja.
denounce	tuomita	Johtajat tuomitsevat väkivallan kouluissa.
dense	tiheä	Tiheä metsä peitti auringonvalon.
density	tiheys	Väestöntiheys on korkea keskustassa.
dependence	riippuvuus	Maan riippuvuus öljystä väheni.
depict	kuvata	Seinämaalaus kuvaa kylän elämää.
deploy	sijoittaa	Armeija lähettää lisähenkilöstöä.
deployment	käyttöönotto	Joukkojen sijoittaminen alkoi maanantaina.
deprive	riistää	Unenpuute voi viedä opiskelijoilta keskittymiskyvyn.
deputy	varamies	Apulaisjohtaja allekirjoitti sopimuksen.
descend	laskeutua	Polku alkoi laskeutua jyrkästi.
descent	laskeutuminen	Lentokone aloitti laskeutumisensa.
designate	nimittää	Kaupunki osoittaa uuden puiston.
desirable	haluttava	Hyvä valaistus on suotavaa luokkahuoneissa.
desktop	työpöytä	Tiedosto on työpöydälläni.
destructive	tuhoisa	Myrskyllä oli tuhoisa voima.
detain	pidättää	Poliisi voi pidättää epäillyt yön yli.
detection	havaitseminen	Varhainen havaitseminen parantaa syövän hoitoa.
detention	pidätys	Opiskelijat protestoivat pidätysolosuhteita vastaan.
deteriorate	huonontua	Hänen terveytensä alkoi huonontua.
devastate	tuhota	Maanjäristys voi tuhota rannikkokaupunkeita.
devil	paholainen	Lapsi piirsi hymyilevän paholaisen.
devise	suunnitella	Insinöörit kehittävät turvallisempia liikennejärjestelmiä.
diagnose	diagnosoida	Lääkärit diagnosoivat taudin verikokeilla.
diagnosis	diagnoosi	Diagnoosi selitti hänen oireensa.
dictate	sanella	Sopimus sanelee maksuehdot.
dictator	diktaattori	Diktaattori hallitsi mediaa.
differentiate	erottaa	Pystytkö erottamaan faktan mielipiteestä?
dignity	ihmisarvo	Jokainen ansaitsee ihmisarvoa työssä.
dilemma	dilemma	Johtaja joutui kohtaamaan vakavan dilemman.
dimension	ulottuvuus	Ongelmalla on poliittinen ulottuvuus.
diminish	vähentyä	Kivun pitäisi vähentyä hitaasti.
dip	kastaa	Lämpötilat voivat laskea pakkasen puolelle.
