source_headword	LT	example_LT
abolish	panaikinti	Įstatymas panaikins seną mokestį.
abortion	abortas	Abortas išlieka jautria medicinine problema.
absence	nebuvimas	Jos nebuvimas atidėjo galutinį sprendimą.
absent	nedalyvaujantis	Du nariai nedalyvavo pamokoje.
absurd	absurdiškas	Teiginys visiems skambėjo absurdiškai.
abundance	gausa	Slėnyje yra gausu vandens.
abuse	smurtas	Ataskaitoje buvo aprašytas smurtas darbo vietoje.
academy	akademija	Akademija ruošia jaunus muzikantus.
accelerate	paspartinti	Naujas finansavimas paspartins tyrimą.
acceptance	priėmimas	Jo kritikos priėmimas paliko man įspūdį.
accessible	prieinamas	Muziejus yra prieinamas neįgaliųjų vežimėlių naudotojams.
accomplishment	pasiekimas	Knygos užbaigimas buvo tikras pasiekimas.
accordance	atitiktis	Darbas buvo atliktas laikantis taisyklių.
accordingly	atitinkamai	Įrodymai pasikeitė, ir mes atitinkamai pasielgėme.
accountability	atskaitomybė	Taisyklės didina vadovų atskaitomybę.
accountable	atsakingas	Vadovai yra atsakingi už saugumą.
accumulate	kauptis	Už ekrano gali kauptis dulkės.
accumulation	kaupimasis	Duomenų kaupimasis užtruko mėnesius.
accusation	kaltinimas	Kaltinimas šokiravo komitetą.
accused	kaltinamasis	Kaltinamasis pasirodė teisme.
acquisition	įsigijimas	Įsigijimas greitai išplėtė įmonę.
acre	akras	Ferma užima vieną akrą.
activation	aktyvavimas	Kortelės aktyvavimas užtrunka kelias minutes.
activist	aktyvistas	Aktyvistas kalbėjo mitinge.
acute	ūmus	Po bėgimo ji pajuto ūmų skausmą.
adaptation	adaptacija	Adaptacija pakeitė romano pabaigą.
adhere	laikytis	Darbuotojai privalo laikytis saugos taisyklių.
adjacent	gretimas	Viešbutis yra greta stoties.
adjustment	koregavimas	Nedidelis koregavimas išsprendė problemą.
administer	suleisti	Slaugytojos atsargiai suleidžia vakciną.
administrative	administracinis	Administracijos darbuotojai tvarko formas.
administrator	administratorius	Administratorius atkūrė mano slaptažodį.
admission	įėjimas	Įėjimas į muziejų yra nemokamas.
adolescent	paauglys	Paaugliui reikėjo papildomos paramos.
adoption	įvaikinimas	Įvaikinimas suteikė vaikui stabilius namus.
