source_headword	TR	example_TR
institute	enstitü	Enstitü yeni bir araştırma programı başlattı.
institution	kurum	Kurum kabul kurallarını değiştirdi.
insurance	sigorta	Sigortası hastane masraflarını karşıladı.
intended	hedeflenen	Mesaj hedeflenen kitleye ulaştı.
intense	yoğun	Tartışma çok çabuk yoğunlaştı.
internal	iç	Şirket bir iç inceleme başlattı.
interpret	yorumlamak	Lütfen sonuçları dikkatlice yorumlayın.
interrupt	sözünü kesmek	Şimdi konuşmacının sözünü kesmeyin.
investigation	soruşturma	Soruşturma ciddi hataları ortaya çıkardı.
investment	yatırım	Yatırım birçok yerel iş yarattı.
joy	sevinç	Başarıları büyük bir sevinç getirdi.
judgement	muhakeme	Muhakeme yeteneği tecrübeyle gelişti.
junior	kıdemsiz	Ekibe kıdemsiz bir analist olarak katıldı.
justice	adalet	Aile duruşmadan sonra adalet talep etti.
justify	haklı çıkarmak	Bu kararı açıkça gerekçelendirmelisin.
labour	iş gücü	Proje vasıflı iş gücü gerektiriyor.
landscape	manzara	Fırtınadan sonra manzara değişti.
largely	büyük ölçüde	Plan büyük ölçüde başarılı oldu.
launch	piyasaya sürmek	Ürünü yarın piyasaya sürecekler.
leadership	liderlik	Güçlü liderlik ekibin toparlanmasına yardımcı oldu.
league	lig	Kulübümüz bölgesel bir lige katıldı.
lean	yaslanmak	Islak duvara yaslanmayın.
licence	lisans	Lisansın süresi gelecek ay doluyor.
limited	sınırlı	Bugün sınırlı vaktimiz var.
lively	canlı	Toplantı öğle yemeğinden sonra canlı geçti.
load	yük	Kamyon ağır bir yük taşıdı.
loan	kredi	Banka krediyi onayladı.
logical	mantıklı	Onun argümanı açık ve mantıklıydı.
long-term	uzun vadeli	Bu uzun vadeli bir çözümdür.
loose	gevşek	Kapı kolu gevşek duruyor.
lord	lord	Lord birkaç köye sahipti.
lower	düşürmek	Kış aylarında fiyatları düşürürler.
lung	akciğer	Sigara içmek akciğere zarar verebilir.
maintain	sürdürmek	Düzenli iletişim sürdürüyoruz.
majority	çoğunluk	Çoğunluk teklifi destekledi.
mass	küme	Gökyüzünü bir bulut kümesi kapladı.
massive	devasa	Deprem devasa hasara yol açtı.
master	usta	O müzakere ustası oldu.
matching	uyumlu	Uyumlu ayakkabı ve kemer taktı.
maximum	maksimum	Oda maksimum kapasiteye ulaştı.
means	araç	E-posta ana iletişim aracımızdır.
measurement	ölçüm	Ölçüm biraz yanlıştı.
melt	erimek	Kar öğlene kadar eriyecek.
military	askeri	Askeri üs geçen yıl kapandı.
mineral	mineral	Demir önemli bir mineraldir.
minimum	asgari	Asgari yaş on sekizdir.
minister	bakan	Bakan zor soruları yanıtladı.
minor	ufak	Kaza ufak bir hasara yol açtı.
minority	azınlık	Bir azınlık yeni kurala karşı çıktı.
mission	görev	Görevleri güvenli bir şekilde sona erdi.
mixed	karışık	Haberler karışık tepkiler aldı.
modify	değiştirmek	Tasarımı daha sonra değiştirebiliriz.
monitor	izlemek	Hemşire onun durumunu izleyecek.
moral	ahlaki	Hikayenin ahlaki bir dersi var.
motor	motor	Motor aniden durdu.
mount	monte etmek / kurmak	Girişin yakınına kameralar kuruyorlar.
multiple	birden fazla / çoklu	Gecikmeye birden fazla faktör neden oldu.
multiply	çarpmak	Sayıyı on ile çarpın.
mysterious	gizemli	Dışarıda gizemli bir ışık belirdi.
neat	düzenli	Masası her zaman düzenlidir.
nerve	sinir	Yaralanma bir sinire zarar verdi.
nevertheless	yine de / buna rağmen	Görev zordu; yine de bitirdik.
nightmare	kabus	Yolculuk bir kabusa dönüştü.
notion	kavram / düşünce	Değişimin imkansız olduğu düşüncesini reddedin.
numerous	çok sayıda	Çok sayıda çalışma bu fikri destekliyor.
obey	uymak / itaat etmek	Sürücüler işaretlere uymalıdır.
objective	hedef / amaç	Hedefimiz israfı azaltmaktır.
obligation	yükümlülük / zorunluluk	Ebeveynlerin çocukları koruma yükümlülüğü vardır.
observation	gözlem	Gözlemi tartışmayı değiştirdi.
observe	gözlemlemek	Bilim insanları her bahar kuşları gözlemler.
obtain	elde etmek / almak	Yazılı izin almalısınız.
occasionally	ara sıra	Ara sıra evden çalışıyor.
offence	suç / hakaret	Yorum ciddi bir hakarete neden oldu.
