source_headword	TE	example_TE
crawl	పాకు	శిశువు కార్పెట్ మీద పాకడం ప్రారంభించింది.
creator	సృష్టికర్త	సృష్టికర్త వారి మద్దతు కోసం అందరికీ కృతజ్ఞతలు తెలిపారు.
credibility	విశ్వసనీయత	విచారణ సమయంలో సాక్షి విశ్వసనీయతను కోల్పోయాడు.
credible	నమ్మదగిన	నివేదిక నమ్మదగిన ఆధారాలను అందించింది.
creep	నెమ్మదిగా కదులు	లోయ గుండా పొగమంచు నెమ్మదిగా కదలడం ప్రారంభించింది.
critique	విమర్శ	ప్రొఫెసర్ వివరణాత్మక విమర్శను ఇచ్చారు.
crown	కిరీటం	రాణి వెండి కిరీటాన్ని ధరించింది.
crude	ముతక	చిత్రం ముతకగా ఉన్నప్పటికీ స్పష్టంగా ఉంది.
crush	నలిపివేయు	భారీ రాళ్లు పైపును నలిపివేయగలవు.
crystal	స్ఫటికం	స్ఫటికం ఉదయం కాంతిని ప్రతిబింబించింది.
cult	శాఖ	ఆ శాఖ తన సభ్యులను ఒంటరిగా ఉంచింది.
cultivate	సాగు చేయు	ఈ ప్రాంతంలో రైతులు వరిని సాగు చేస్తారు.
curiosity	కుతూహలం	కుతూహలం ఆమెను సైన్స్ వైపు నడిపించింది.
custody	అదుపు	పిల్లవాడు ఆమె తండ్రి అదుపులో ఉన్నాడు.
cutting	కటింగ్	పత్రిక అతని గురించి ఒక కటింగ్‌ను ప్రచురించింది.
cynical	విరక్తిగల	అతని విరక్తిగల వ్యాఖ్య జట్టును కలవరపెట్టింది.
dam	ఆనకట్ట	ఆనకట్ట నది నీటిని నిలిపి ఉంచుతుంది.
damaging	హానికరమైన	హానికరమైన వ్యాసం ప్రచారాన్ని దెబ్బతీసింది.
dawn	వేకువజాము	మేము వేకువజామున గ్రామాన్ని విడిచిపెట్టాము.
debris	శిథిలాలు	తుఫాను శిథిలాలు రహదారిని అడ్డుకున్నాయి.
debut	అరంగేట్రం	ఆమె అరంగేట్రం జాతీయ దృష్టిని ఆకర్షించింది.
decision-making	నిర్ణయం తీసుకోవడం	సరైన నిర్ణయం తీసుకోవడానికి స్పష్టమైన సమాచారం అవసరం.
decisive	నిర్ణయాత్మక	ఆమె నిర్ణయాత్మక చర్య మరింత నష్టాన్ని నివారించింది.
declaration	ప్రకటన	మంత్రి అధికారిక ప్రకటనను చదివారు.
dedicated	అంకితభావం గల	అంకితభావం గల నర్సు రాత్రంతా పనిచేసింది.
dedication	అంకితభావం	అతని అంకితభావం యువ క్రీడాకారులకు స్ఫూర్తినిచ్చింది.
deed	పని	ఆ ధైర్యమైన పని ఇద్దరి ప్రాణాలను రక్షించింది.
deem	భావించు	కోర్టు ఈ ఒప్పందాన్ని చెల్లనిదిగా భావించవచ్చు.
default	డిఫాల్ట్	ప్రస్తుతానికి డిఫాల్ట్ సెట్టింగ్‌ని ఉపయోగించండి.
defect	లోపం	ఇన్‌స్పెక్టర్లు తీవ్రమైన లోపాన్ని కనుగొన్నారు.
defensive	రక్షణాత్మక	అతని రక్షణాత్మక స్వరం అందరినీ ఆశ్చర్యపరిచింది.
deficiency	లోపం	ఇనుము లోపం ఆరోగ్యాన్ని ప్రభావితం చేస్తుంది.
deficit	లోటు	బడ్జెట్ లోటు అధికారులను ఆందోళనకు గురిచేసింది.
defy	ధిక్కరించు	నిరసనకారులు నిషేధాన్ని ధిక్కరించాలని నిర్ణయించుకున్నారు.
delegate	ప్రతినిధి	ప్రతి ప్రతినిధికి ఓటింగ్ కార్డు లభించింది.
delegation	ప్రతినిధి బృందం	ప్రతినిధి బృందం మధ్యాహ్నానికి ముందే చేరుకుంది.
delicate	సున్నితమైన	సున్నితమైన గాజు సులభంగా పగిలిపోయింది.
demon	రాక్షసుడు	ఈ కథ ఒక పురాతన రాక్షసుడిని వివరిస్తుంది.
denial	తిరస్కరణ	అతని తిరస్కరణ బాధితులకు కోపం తెప్పించింది.
