hsk_key	source_word	simplified	KA	example_KA	HY	example_HY
1004:安检	安检	安检	უსაფრთხოების შემოწმება	სადგურში შესვლამდე ყველა მგზავრმა უსაფრთხოების შემოწმება უნდა გაიაროს.	անվտանգության ստուգում	Կայարան մտնելուց առաջ բոլոր ուղևորները պետք է անցնեն անվտանգության ստուգում։
1006:按	按	按	დაჭერა; მიხედვით	კარის გასაღებად გთხოვთ მწვანე ღილაკს დააჭიროთ.	սեղմել; ըստ	Դուռը բացելու համար խնդրում եմ սեղմել կանաչ կոճակը։
1009:白酒	白酒	白酒	ბაიძიუ; ჩინური ალკოჰოლი	ის ბაიძიუს არ სვამს, მხოლოდ ჩაის სვამს.	բայձյու; չինական ալկոհոլ	Նա բայձյու չի խմում, միայն թեյ է խմում։
1010:办公	办公	办公	ოფისის საქმეების კეთება	ის დღეს სახლიდან მუშაობს.	գրասենյակային աշխատանք անել	Նա այսօր տանից է աշխատում։
1012:办事	办事	办事	საქმეების მოგვარება	დღეს ნაშუადღევს რამდენიმე საქმისთვის ბანკში მივდივარ.	գործեր կարգավորել	Այսօր կեսօրից հետո որոշ գործեր կարգավորելու համար բանկ եմ գնում։
1017:报考	报考	报考	გამოცდაზე განაცხადის შეტანა	ის ჩინური ენის გამოცდაზე განაცხადის შესატანად ემზადება.	քննությանը գրանցվել	Նա պատրաստվում է գրանցվել չինարենի քննությանը։
1021:背包	背包	背包	ზურგჩანთა	ჩემი ზურგჩანთა კართან დევს.	ուսապարկ	Իմ ուսապարկը դռան մոտ է։
1022:北部	北部	北部	ჩრდილოეთი ნაწილი	ამ ქალაქის ჩრდილოეთ ნაწილში ერთი მთაა.	հյուսիսային մաս	Այս քաղաքի հյուսիսային մասում լեռ կա։
1028:笔试	笔试	笔试	წერითი გამოცდა	ხვალ დილით წერითი გამოცდაა.	գրավոր քննություն	Վաղը առավոտյան գրավոր քննություն կա։
1030:毕业生	毕业生	毕业生	კურსდამთავრებული	ბევრი კურსდამთავრებული სამსახურს ეძებს.	շրջանավարտ	Շատ շրջանավարտներ աշխատանք են փնտրում։
1033:表	表	表	ფორმა; ცხრილი; საათი	გთხოვთ ეს ფორმა ბოლომდე შეავსოთ.	ձևաթուղթ; աղյուսակ; ժամացույց	Խնդրում եմ ամբողջությամբ լրացնել այս ձևաթուղթը։
1039:并	并	并	ასევე; და; სინამდვილეში	მე სინამდვილეში დაღლილად არ ვგრძნობ თავს.	նաև; և; իրականում	Ես իրականում հոգնածություն չեմ զգում։
1043:不必	不必	不必	საჭირო არ არის	ახლავე პასუხის გაცემა საჭირო არ არის.	պետք չէ	Դու հիմա պատասխանելու կարիք չունես։
1044:不便	不便	不便	მოუხერხებელი	აქ მანქანის გაჩერება მოუხერხებელია.	անհարմար	Այստեղ կայանելը անհարմար է։
1046:不够	不够	不够	არასაკმარისი	ეს სკამები ყველას დასაჯდომად საკმარისი არ არის.	բավարար չէ	Այս աթոռները բոլորի նստելու համար բավարար չեն։
1048:不论	不论	不论	რაც არ უნდა იყოს; მიუხედავად	ამინდი როგორიაც არ უნდა იყოს, ჩვენ მაინც გავემგზავრებით.	ինչ էլ լինի; անկախ	Ինչպիսին էլ եղանակը լինի, մենք ճանապարհ կընկնենք։
1049:步	步	步	ნაბიჯი	მან წინ ერთი ნაბიჯი გადადგა.	քայլ	Նա մի քայլ առաջ գնաց։
1050:部	部	部	ფილმებისა და წიგნებისთვის სათვლელი სიტყვა; განყოფილება	ეს ფილმი ძალიან საინტერესოა.	հաշվիչ բառ ֆիլմերի և գրքերի համար; բաժին	Այս ֆիլմը շատ հետաքրքիր է։
1054:不光	不光	不光	მხოლოდ არა	ეს თამაში მხოლოდ ბავშვებს კი არა, უფროსებსაც მოსწონთ.	ոչ միայն	Այս խաղը ոչ միայն երեխաներին, այլև մեծերին է դուր գալիս։
1056:不满	不满	不满	უკმაყოფილო	ის ამ შედეგით ძალიან უკმაყოფილოა.	դժգոհ	Նա այս արդյունքից շատ դժգոհ է։
1063:参赛	参赛	参赛	შეჯიბრში მონაწილეობა	ჩვენი კლასიდან ხუთი ადამიანი შეჯიბრში მონაწილეობს.	մրցմանը մասնակցել	Մեր դասարանից հինգ հոգի մասնակցում են մրցմանը։
1067:查看	查看	查看	შემოწმება; ნახვა	მასწავლებელი მოსწავლეთა სიას ამოწმებს.	ստուգել; դիտել	Ուսուցիչը ստուգում է աշակերտների ցուցակը։
1068:茶叶	茶叶	茶叶	ჩაის ფოთლები	ამ მაღაზიის ჩაის ფოთლები ძალიან ახალია.	թեյի տերևներ	Այս խանութի թեյի տերևները շատ թարմ են։
1069:查找	查找	查找	ძებნა	მე ინტერნეტში ინფორმაციას ვეძებ.	փնտրել	Ես առցանց տեղեկություն եմ փնտրում։
1070:差点儿	差点儿	差点儿	თითქმის	მე ავტობუსი თითქმის გამომრჩა.	քիչ էր մնում; գրեթե	Քիչ էր մնում ավտոբուսը բաց թողնեի։
1072:厂	厂	厂	ქარხანა	ეს ქარხანა მობილურ ტელეფონებს აწარმოებს.	գործարան	Այս գործարանը բջջային հեռախոսներ է արտադրում։
1075:车速	车速	车速	მანქანის სიჩქარე	წვიმიან დღეს მანქანის სიჩქარე ცოტა უფრო ნელი უნდა იყოს.	մեքենայի արագություն	Անձրևոտ օրերին մեքենայի արագությունը պետք է մի փոքր դանդաղ լինի։
1076:车位	车位	车位	პარკირების ადგილი	ქვემოთ კიდევ ერთი პარკირების ადგილია.	կայանատեղի	Ներքևում դեռ մեկ կայանատեղի կա։
1077:城	城	城	ქალაქი; დაბა	ამ ქალაქში ბევრი ძველი ქუჩაა.	քաղաք; ավան	Այս քաղաքում շատ հին փողոցներ կան։
1080:乘客	乘客	乘客	მგზავრი	მგზავრებო, გთხოვთ უკანა კარიდან ჩამოხვიდეთ.	ուղևոր	Ուղևորներ, խնդրում ենք հետևի դռնից իջնել։
1085:迟	迟	迟	გვიან	ის დღეს ცოტა გვიან მოვიდა.	ուշ	Նա այսօր մի փոքր ուշ եկավ։
1086:重	重	重	ხელახლა; განმეორებით	ეს ესე ერთხელ ხელახლა უნდა დაიწეროს.	նորից; կրկին	Այս շարադրությունը պետք է մեկ անգամ նորից գրել։
1091:出行	出行	出行	მგზავრობა; გარეთ გასვლა	დღესასწაულებზე ბევრი ადამიანი მოგზაურობს.	ճանապարհորդել; դուրս գնալ	Տոներին շատ մարդիկ են ճանապարհորդում։
