simplified	NE	example_NE
哎	अरे	अरे, तिमी यहाँ किन आयौ?
唉	हाय	हाय, म फेरि ढिलो भएँ।
爱护	हेरचाह गर्नु	हामीले वातावरणको हेरचाह गर्नुपर्छ।
爱惜	कदर गर्नु	कृपया आफ्नो समयको कदर गर।
爱心	दयालु मन	उनी धेरै दयालु मनकी छिन्।
安慰	सान्त्वना दिनु	साथीले मलाई सान्त्वना दियो।
安装	जडान गर्नु	कामदारले वातानुकूलक जडान गर्दैछ।
岸	किनार	डुंगा बिस्तारै किनार नजिक पुग्यो।
暗	अँध्यारो	कोठाभित्र निकै अँध्यारो छ।
熬夜	रातभरि जाग्नु	रातभरि जाग्नु स्वास्थ्यका लागि राम्रो होइन।
把握	विश्वास	यो काम राम्रोसँग गर्न सक्छु भन्ने मलाई विश्वास छैन।
摆	मिलाएर राख्नु	कृपया कुर्सीहरू मिलाएर राख।
办理	कामकाज मिलाउनु	म बैंकमा कामकाज मिलाउन जाँदैछु।
傍晚	साँझपख	साँझपख हामी हिँड्न जान्छौं।
包裹	पार्सल	मैले एउटा पार्सल पाएँ।
包含	समावेश हुनु	मूल्यमा बिहानको खाजा समावेश छ।
包括	समावेश गर्नु	शुल्कमा दिउँसोको खाना समावेश छ।
薄	पातलो	यो किताब धेरै पातलो छ।
保持	कायम राख्नु	कृपया शान्ति कायम राख।
保存	सुरक्षित राख्नु	कृपया यो फाइल सुरक्षित राख।
保留	आरक्षित राख्नु	कृपया मेरो लागि एउटा सिट आरक्षित राखिदेऊ।
保险	बीमा	मैले यात्रा बीमा किनेँ।
宝贝	बहुमूल्य कुरा	यो मेरो बहुमूल्य कुरा हो।
宝贵	बहुमूल्य	समय धेरै बहुमूल्य हुन्छ।
报到	दर्ता हुन आउनु	नयाँ विद्यार्थीहरू आज विद्यालयमा दर्ता हुन आउँछन्।
报道	समाचार दिनु	समाचारले यो कुरा प्रकाशित गर्यो।
报告	प्रतिवेदन	उनी अहिले प्रतिवेदन प्रस्तुत गर्दैछन्।
报社	पत्रिका कार्यालय	उनी पत्रिका कार्यालयमा काम गर्छिन्।
抱怨	गुनासो गर्नु	उनी सधैं काम धेरै भएको गुनासो गर्छन्।
悲观	निराशावादी	धेरै निराशावादी नहोऊ।
背	पिठ्युँ	उनी ढोकातिर पिठ्युँ फर्काएर बसेका छन्।
背景	पृष्ठभूमि	कृपया आफ्नो पृष्ठभूमि छोटकरीमा बताऊ।
被子	सिरक	सिरक धेरै न्यानो छ।
本科	स्नातक तह	उनी स्नातक तहका विद्यार्थी हुन्।
本领	सीप	उनले नयाँ सीप सिके।
本质	मूल स्वभाव	समस्याको मूल स्वभाव सरल छ।
彼此	एकअर्का	हामीले एकअर्काको सम्मान गर्नुपर्छ।
比例	अनुपात	पुरुष र महिलाको अनुपात झन्डै उस्तै छ।
必然	अवश्य	मेहनतले अवश्य परिणाम दिन्छ।
必要	आवश्यक	चिन्ता गर्नु आवश्यक छैन।
毕竟	जे भए पनि	जे भए पनि, उनी अझै बच्चा नै हुन्।
避免	जोगिनु	कृपया ढिलो हुनबाट जोगिनु।
编辑	सम्पादन गर्नु	उनी यो लेख सम्पादन गर्ने जिम्मामा छन्।
鞭炮	पटाका	वसन्त चाडमा केही मानिसहरू पटाका पड्काउँछन्।
便	त्यसपछि	खाना खाएपछि उनी त्यसपछि कक्षामा गए।
辩论	बहस गर्नु	उनीहरू यो विषयमा बहस गर्दैछन्।
标点	विराम चिह्न	कृपया विराम चिह्नमा ध्यान देऊ।
标志	चिन्ह	रातो बत्ती रोक्ने चिन्ह हो।
表达	व्यक्त गर्नु	उनले आफ्नो विचार व्यक्त गरे।
表面	सतह	टेबलको सतह धेरै सफा छ।
表明	देखाउनु	परिणामले उनी सही भएको देखाउँछ।
表情	अनुहारको भाव	उनको अनुहारको भाव धेरै गम्भीर छ।
表现	प्रदर्शन गर्नु	उनले आज धेरै राम्रो प्रदर्शन गरे।
冰激凌	आइसक्रिम	बच्चाहरू आइसक्रिम खान मन पराउँछन्।
病毒	भाइरस	यो भाइरस धेरै छिटो फैलिन्छ।
播放	बजाउनु	कृपया यो गीत बजाऊ।
玻璃	सिसा	सिसाको गिलास फुट्यो।
博物馆	संग्रहालय	हामी सप्ताहन्तमा संग्रहालय जान्छौं।
脖子	घाँटी	मेरो घाँटी अलि दुखेको छ।
不断	लगातार	मूल्य लगातार बढिरहेको छ।
不见得	जरूरी छैन	यो जरूरी छैन कि नराम्रो कुरा हो।
不耐烦	अधैर्य	धेरै बेर कुर्दा उनी अलि अधैर्य भए।
不要紧	ठीकै छ	केही छैन, ठीकै छ।
补充	थप्नु	म एउटा विचार थप्न चाहन्छु।
不安	अशान्त	यो खबर सुनेर उनी अशान्त भइन्।
不得了	गम्भीर	यो कुरा साँच्चै गम्भीर छ।
不然	नत्र	छिटो हिँड, नत्र ढिलो हुन्छ।
不如	भन्दा राम्रो	गाडी चढ्नुभन्दा हिँड्नु राम्रो।
不足	अपर्याप्त	यहाँ पानी अपर्याप्त छ।
布	कपडा	यो कपडाको टुक्रा धेरै नरम छ।
步骤	चरण	कृपया चरणअनुसार काम गर।
部门	विभाग	म बिक्री विभागमा काम गर्छु।
财产	सम्पत्ति	यो घर उनको सम्पत्ति हो।
彩虹	इन्द्रेणी	पानी परेपछि इन्द्रेणी देखा पर्यो।
踩	कुल्चिनु	घाँस नकुल्च।
采访	अन्तर्वार्ता लिनु	पत्रकारले डाक्टरको अन्तर्वार्ता लिइरहेको छ।
采取	अपनाउनु	हामीले नयाँ उपाय अपनायौं।
参考	सन्दर्भ लिनु	कृपया यो किताबलाई सन्दर्भका रूपमा हेर।
参与	सहभागी हुनु	उनी गतिविधिमा सक्रिय रूपमा सहभागी हुन्छन्।
惭愧	लज्जित	म आफ्नै गल्तीका लागि लज्जित छु।
操场	खेलमैदान	विद्यार्थीहरू खेलमैदानमा दौडिरहेका छन्।
操心	चिन्ता गर्नु	मेरो लागि चिन्ता नगर।
册	प्रति	मैले किताबको एउटा प्रति किनेँ।
测验	सानो परीक्षा	भोलि एउटा सानो परीक्षा छ।
曾经	पहिले	म पहिले बेइजिङमा बसेको थिएँ।
叉子	काँटा	म सलाद काँटाले खान्छु।
差距	अन्तर	शहर र गाउँबीच अन्तर छ।
插	घुसाउनु	कृपया फूलहरू फूलदानमा घुसाऊ।
拆	भत्काउनु	कामदारहरूले पुरानो घर भत्काइरहेका छन्।
产品	उत्पादन	यो उत्पादनको गुणस्तर धेरै राम्रो छ।
产生	उत्पन्न हुनु	यो समस्याले नयाँ प्रभाव उत्पन्न गर्यो।
